chu_lemma|orv_lemma|pos|lcs_lemma|conj_type
то|то|Df|to|
бѣсъ|бѣсъ|Nb|běsъ|masc_o
законъ|законъ|Nb|zakonъ|masc_o
милость|милость|Nb|milostь|fem_i
или|или|C-|ili|
родъ|родъ|Nb|rodъ|masc_o
искати|искати|V-|jьskati|iskati
хлѣбъ|хлѣбъ|Nb|xlěbъ|masc_o
петръ|петръ|Ne|petrъ|masc_o_u
оуслꙑшати|услышати|V-|uslyšǢti|31
грѣхъ|грѣхъ|Nb|grěxъ|masc_o
положити|положити|V-|položiti|40
врагъ|ворогъ|Nb|vorgъ|masc_o
оумрѣти|умерети|V-|umerti|13
миръ#2|миръ|Nb|mirъ|masc_o
мати|мати|Nb|mati|fem_R
благъ|благыи|A-|bolgъ|adj_hard
мрьтвъ|мьртвыи|A-|mŕ̥tvъ|adj_hard
лѣто|лѣто|Nb|lěto|nt_o
жити|жити|V-|žiti|11
братръ|братръ|Nb|bratrъ|masc_o
кꙑи|кыи|Pi|kъjь|kъjь
къто|къто|Px|kъto|kъto
коньць|коньць|Nb|konьkь|masc_o_PV3
ѕѣло|зѣло|Df|gělo|
стоꙗти|стояти|V-|stojǢti|31
ѡ|о|I-|o|
послоушати|послушати|V-|poslušǢti|54
ꙗкоже|якоже|G-|akože|
авити|явити|V-|aviti|40
ходити|ходити|V-|xoditi|40
гора|гора|Nb|gora|fem_a
нарицати|нарицати|V-|narikati|54
кънѧѕь|кънязь|Nb|kъnęgь|masc_o_PV3
привести|привести|V-|privesti|11
пристѫпити|приступити|V-|pristǫpiti|40
оучитель|учитель|Nb|učiteĺь|masc_tel
чоудо|чудо|Nb|čudo|nt_S
ли|ли|Df|li|
прѣжде|переже|Df|perђe|
просити|просити|V-|prositi|40
гробъ|гробъ|Nb|grobъ|masc_o
съпасениѥ|съпасение|Nb|sъpasenьje|nt_jo
оузьрѣти|узьрѣти|V-|uzьrěti|31
събьрати|събьрати|V-|sъbьrati|51_abl
правьда|правьда|Nb|pravьda|fem_a
