orv_lemma|chu_lemma|pos|count|lcs_lemma|pre_jot|morph_replace|PV2/3|doublet|stem1|stem2|conj_type|noun_verb|loan_place|non_assim|eng_trans|etym_disc|bad_etym|loan_source|clitic|automatched|ch_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col|nevsky-treaty|nov-list|nov-marg|nov-sin|novgorod-jaroslav|ostromir-col|paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam|vest-kur|zadon|bitflag
съ|съ|R-|3070|sъ||||||||0|||||||1|1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col|nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav||paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp||riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam|vest-kur|zadon|35183825780735
свои|свои|Pt|2382|svojь|||||||pron_soft|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col|nevsky-treaty|nov-list|nov-marg|nov-sin|novgorod-jaroslav|ostromir-col|paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad||vest-kur|zadon|30786325577727
къ|къ|R-|2296|kъ||||||||0|||||||1|1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh||||nov-list||nov-sin|novgorod-jaroslav||paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch||spi|stefan|suz-lav|turch|usp-sbor|||vest-kur|zadon|28552932687871
тыи||Pd|2296|tъ|||||||pron_hard|2||||||||0|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh|mst||nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav||paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam|vest-kur|zadon|35184362520575
отъ|отъ|R-|2255|otъ||||||||0|||||||1|1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|||kur|lav|luk-koloc_subtitle_added|mikh||mstislav-col|nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav||paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch||spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam|vest-kur|zadon|35150002844671
вьсь|вьсь|Px|2127|vьxь||vьxъ|vьśь||||vьxь|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem||lav|luk-koloc_subtitle_added|mikh||mstislav-col|nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav|ostromir-col|paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam|vest-kur|zadon|35184370970623
по|по|R-|2011|po||||||||0|||||||1|1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh|mst||nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav||paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad||vest-kur|zadon|30786316009471
сии||Pd|1775|sь|||||||sь|2||||||||0|e_sl||avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem||lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col|nevsky-treaty|nov-list|nov-marg|nov-sin|novgorod-jaroslav|ostromir-col|paz|peter||pskov_subtitle_added|pvl-hyp||riga-goth|rusprav||sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam||zadon|26383380115454
азъ|вѣ|Pp|1717|azъ|||||||azъ|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn||klem|kur|lav||mikh|mst|mstislav-col|nevsky-treaty|nov-list|nov-marg|nov-sin||ostromir-col|paz|peter||pskov_subtitle_added|pvl-hyp|rig-smol1281||rusprav||sergrad|shch|smol-pol-lit|spi|stefan|suz-lav||usp-sbor||||zadon|19236013456383
и|и|Df|1537|i||||||||0||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac||gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col||nov-list||nov-sin||ostromir-col|paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp||riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad||vest-kur|zadon|30785783201663
