orv_lemma|chu_lemma|pos|lcs_lemma|conj_type
нѣмьчьскыи|нѣмьчьскъ|A-|němьčьskъ|adj_hard
въторьникъ|въторьникъ|Nb|vъtorьnikъ|masc_o
апостольскыи|апостольскъ|A-|apostolьskъ|adj_hard
съдьржати|съдрьжати|V-|sъdŕ̥žǢti|31
възискание|възисканиѥ|Nb|vъziskanьje|nt_jo
бъдѣние|бъдѣниѥ|Nb|bъděnьje|nt_jo
творьць|творьць|Nb|tvorьkь|masc_o_PV3
правовѣрьныи|правовѣрьнъ|A-|pravověrьnъ|adj_hard
въскочити|въскочити|V-|vъskočiti|40
отъгънати|отъгънати|V-|otъgъnati|51_abl
дружьба|дроужьба|Nb|družьba|fem_a
сквьрныи|скврьнъ|A-|skvŕ̥nъ|adj_hard
накърмити|накръмити|V-|nakr̥miti|40
пасти#2|пасти|V-|pasti|11
присныи|приснъ|A-|prisnъ|adj_hard
усьрдие|оусрьдиѥ|Nb|usŕ̥dьje|nt_jo
лъжь|лъжь|Nb|lъžь|fem_i
коньныи|коньнъ|A-|końьnъ|adj_hard
тъщета|тъщета|Nb|tъščeta|fem_a
сълньчьныи|слъньчьнъ|A-|sl̥nьčьnъ|adj_hard
благовоньныи|благовоньнъ|A-|bolgovońьnъ|adj_hard
събьрание|събьраниѥ|Nb|sъbьranьje|nt_jo
показание|показаниѥ|Nb|pokazanьje|nt_jo
възоръ|възоръ|Nb|vъzorъ|masc_o
добытъкъ|добꙑтъкъ|Nb|dobytъkъ|masc_o
умьныи|оумьнъ|A-|umьnъ|adj_hard
бързо|бръзо|Df|br̥zo|
възнесение|възнесениѥ|Nb|vъznesenьje|nt_jo
напрасно|напрасно|Df|naprasno|
въселеньскыи|въселѥньскъ|A-|vъsedĺenьskъ|adj_hard
прѣкрьстити|прѣкрьстити|V-|perkrьstiti|40
сквьрна|скврьна|Nb|skvŕ̥na|fem_a
благочьстивыи|благочьстивъ|A-|bolgočьstivъ|adj_hard
святительскыи|свѧтительскъ|A-|svętiteĺьskъ|adj_hard
мочьныи|мощьнъ|A-|moћьnъ|adj_hard
сълучити|сълоучити|V-|sъlučiti|40
бесконьчьныи|бесконьчьнъ|A-|beskonьčьnъ|adj_hard
съвъкупляти|съвъкоуплꙗти|V-|sъvъkupĺǢti|54
прѣображение|прѣображениѥ|Nb|per+obraženьje|nt_jo
пролитие|пролитиѥ|Nb|prolitьje|nt_jo
грьмѣти|грьмѣти|V-|grьměti|31
отъсълати|отъсълати|V-|otъsъlati|52
