ӣе̄ӡекіѭ̄|| · |10|1|MATT 1.9|5000008
ӣе̄ӡекіѣ̄|| |10|1|MATT 1.10|5000009
же|| |10|1|MATT 1.10|5000009
роді|| |10|1|MATT 1.10|5000009
манасиѭ̄|| · |10|1|MATT 1.10|5000009
манасіӣ|| |10|1|MATT 1.10|5000009
же|| |10|1|MATT 1.10|5000009
роді|| |10|1|MATT 1.10|5000009
а̄мо̄с̄а|| · |10|1|MATT 1.10|5000009
А̄мось|| |10|1|MATT 1.10|5000009
же|| |10|1|MATT 1.10|5000009
роді|| |10|1|MATT 1.10|5000009
ӣо̄сіѭ̄|| · |10|1|MATT 1.10|5000009
Ӣо̄сіа̄|| |10|1|MATT 1.11|5000010
же|| |10|1|MATT 1.11|5000010
роді|| |10|1|MATT 1.11|5000010
ӣо̄хоніѭ̄|| · |10|1|MATT 1.11|5000010
и|| |10|1|MATT 1.11|5000010
братиѭ̄|| |10|1|MATT 1.11|5000010
е̄го|| · |10|1|MATT 1.11|5000010
Въ|| |10|1|MATT 1.11|5000010
прѣселеніӣ|| |10|1|MATT 1.11|5000010
вавілонстѣа̄мь|| · |10|1|MATT 1.11|5000010
По|| |10|1|MATT 1.12|5000011
прѣселениӣ|| |10|1|MATT 1.12|5000011
же|| |10|1|MATT 1.12|5000011
вавілоньстѣ|| · |10|1|MATT 1.12|5000011
Ӣо̄хониѣ̄|| |10|1|MATT 1.12|5000011
роди|| |10|1|MATT 1.12|5000011
салатилѣ|| · |10|1|MATT 1.12|5000011
салатіль|| |10|1|MATT 1.12|5000011
же|| |10|1|MATT 1.12|5000011
роді|| |10|1|MATT 1.12|5000011
ӡоров̄авелѣ|| · |10|1|MATT 1.12|5000011
Ӡоров̄авель|| |10|1|MATT 1.13|5000012
же|| |10|1|MATT 1.13|5000012
роді|| · |10|1|MATT 1.13|5000012
А̄віо̄уда|| · |10|1|MATT 1.13|5000012
А̄віо̄удъ|| |10|1|MATT 1.13|5000012
же|| |10|1|MATT 1.13|5000012
роді|| |10|1|MATT 1.13|5000012
е̄лиа̄кіма|| · |10|1|MATT 1.13|5000012
е̄лиа̄кимь|| |10|1|MATT 1.13|5000012
же|| |10|1|MATT 1.13|5000012
роді|| |10|1|MATT 1.13|5000012
А̄ӡара|| · |10|1|MATT 1.13|5000012
А̄ӡарь|| |10|1|MATT 1.14|5000013
же|| |10|1|MATT 1.14|5000013
роді|| |10|1|MATT 1.14|5000013
садока|| · |10|1|MATT 1.14|5000013
садокь|| |10|1|MATT 1.14|5000013
же|| |10|1|MATT 1.14|5000013
роді|| |10|1|MATT 1.14|5000013
