id,lemma,pos,normalised,count,chrabr,euch,kiev-mis,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,bitflag
1282,праздьнъ,A-,праздьнъ,14,,,,marianus,,supr_fixed,,,zogr,296
1283,етеръ,Px,етеръ,110,,,,marianus,,supr_fixed,vit-const,vit-meth,zogr,488
1284,знамениѥ,Nb,знаменіе,125,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1285,любодѣи,A-,любодѣі,2,,,,marianus,,,,,zogr,264
1286,иона,Ne,іона,47,,,,marianus,,supr_fixed,,,zogr,296
1287,чрѣво,Nb,чрѣво,47,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1288,китовъ,A-,кітовъ,2,,,,marianus,,,,,zogr,264
1289,нощь,Nb,ношть,136,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1290,ниневьгитьскъ,A-,ніневьгітьскъ,4,,,,marianus,,,,,zogr,264
1291,проповѣдь,Nb,проповѣдь,7,,,,marianus,,supr_fixed,,vit-meth,zogr,424
1292,ионинъ,A-,іонінъ,10,,,,marianus,,supr_fixed,,,zogr,296
1293,бездъньнъ,A-,бездъньнъ,3,,,,marianus,,,,,zogr,264
1294,отънѫдоуже,Df,отънѫдоуже,2,,,,marianus,,,,,zogr,264
1295,помести,V-,поместі,4,,,,marianus,,,,,zogr,264
1296,оукрасити,V-,оукрасіті,25,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1297,лютъ,A-,лютъ,57,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1298,гории,A-,горіі,23,,,,marianus,,supr_fixed,,,zogr,296
1299,вънѣ,Df,вънѣ,25,,,,marianus,,supr_fixed,vit-const,,zogr,360
1300,сестра,Nb,сестра,38,,,,marianus,,supr_fixed,vit-const,,zogr,360
1301,сѣсти,V-,сѣсті,98,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1302,помориѥ,Nb,поморіе,5,,,,marianus,,,,,zogr,264
1303,притъча,Nb,прітъча,123,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1304,позобати,V-,позобаті,5,,,,marianus,,,,,zogr,264
1305,камениѥ,Nb,каменіе,70,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1306,прозѧбнѫти,V-,прозѧбнѫті,16,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1307,глѫбина,Nb,глѫбіна,28,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1308,въсиꙗти,V-,въсіѣті,13,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1309,присвѧнѫти,V-,прісвѧнѫті,3,,,,marianus,,,,,zogr,264
1310,корениѥ,Nb,кореніе,13,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1311,исъхнѫти,V-,ісъхнѫті,8,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1312,възити,V-,възіті,53,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1313,подавити,V-,подавіті,5,,,,marianus,,,,,zogr,264
1314,съто,Ma,съто,91,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1315,избꙑти,V-,ізбъіті,40,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1316,разоумѣвати,V-,разоумѣваті,20,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1317,събꙑвати,V-,събъіваті,4,,,,marianus,,supr_fixed,,vit-meth,zogr,424
1318,пророчьство,Nb,пророчьство,5,,,,marianus,,,vit-const,,zogr,328
1319,исаинъ,A-,ісаінъ,3,,,,marianus,,supr_fixed,,,zogr,296
1320,слоухъ,Nb,слоухъ,41,,,,marianus,psal-sin_pipe_removed,supr_fixed,,vit-meth,zogr,440
1321,зьрѣти,V-,зьрѣті,44,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1322,отлъстѣти,V-,отлъстѣті,1,,,,marianus,,,,,,8
1323,тѧжько,Df,тѧжько,4,,,,marianus,,supr_fixed,,,zogr,296
1324,съмѣжити,V-,съмѣжіті,3,,,,marianus,,supr_fixed,,,zogr,296
1325,еда,G-,еда,40,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1326,когда,Df,когда,19,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1327,въжделѣти,V-,въжделѣті,13,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1328,радость,Nb,радость,108,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1329,корень,Nb,корень,19,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1330,врѣменьнъ,A-,врѣменьнъ,7,,,,marianus,,supr_fixed,,,zogr,296
1331,печаль,Nb,печаль,73,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1332,гонениѥ,Nb,гоненіе,10,,,,marianus,,supr_fixed,,,zogr,296
1333,льсть,Nb,льсть,47,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1334,богатьство,Nb,богатьство,43,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1335,подавлꙗти,V-,подавлѣті,6,,,,marianus,,,,,zogr,264
1336,триѥ десѧте,Ma,тріе десѧте,21,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1337,прѣдъложити,V-,прѣдъложіті,19,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1338,сѣмѧ,Nb,сѣмѧ,70,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1339,село,Nb,село,99,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1340,въсѣꙗти,V-,въсѣѣті,21,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1341,плѣвелъ,Nb,плѣвелъ,17,,,,marianus,,,,,zogr,264
1342,пьшеница,Nb,пьшеніца,24,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1343,трѣва,Nb,трѣва,24,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1344,отъкѫдоу,Du,отъкѫдоу,49,,,,marianus,,supr_fixed,,,zogr,296
1345,исплѣти,V-,ісплѣті,2,,,,marianus,,,,,zogr,264
1346,въстръгнѫти,V-,въстръгнѫті,4,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1347,коупьно,Df,коупьно,56,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1348,снопъ,Nb,снопъ,3,,,,marianus,,supr_fixed,,,zogr,296
1349,съжещи,V-,съжешті,16,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1350,зрьно,Nb,зрьно,12,,,,marianus,,supr_fixed,,,zogr,296
1351,горюшьнъ,A-,горюшьнъ,9,,,,marianus,,,,,zogr,264
1352,зелиѥ,Nb,зеліе,10,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1353,витати,V-,вітаті,11,,,,marianus,,supr_fixed,,,zogr,296
1354,вѣтвь,Nb,вѣтвь,7,,,,marianus,,,,,zogr,264
1355,квасъ,Nb,квасъ,19,,,,marianus,,supr_fixed,,,zogr,296
1356,съкрꙑти,V-,съкръіті,53,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1357,мѫка#1,Nb,мѫка#1,4,,,,marianus,,,,,zogr,264
1358,сатъ,Nb,сатъ,4,,,,marianus,,,,,zogr,264
1359,въскꙑсѣти,V-,въскъісѣті,2,,,,marianus,,,,,zogr,264
1360,съложениѥ,Nb,съложеніе,11,,,,marianus,,supr_fixed,,,zogr,296
1361,съказати#2,V-,съказаті#2,29,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1362,диꙗволъ,Nb,діѣволъ,90,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1363,жѧтель,Nb,жѧтель,2,,,,marianus,,,,,zogr,264
1364,съжиѕати,V-,съжізаті,3,,,,marianus,,supr_fixed,,,zogr,296
1365,съконьчаниѥ,Nb,съконьчаніе,16,,,,marianus,,supr_fixed,,,zogr,296
1366,сканъдалъ,Nb,сканъдалъ,8,,,,marianus,psal-sin_pipe_removed,,,,,24
1367,безаконениѥ,Nb,безаконеніе,53,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,,56
1368,пещь,Nb,пешть,20,,,,marianus,psal-sin_pipe_removed,supr_fixed,,vit-meth,zogr,440
1369,огньнъ,A-,огньнъ,29,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1370,просвьтѣти,V-,просвьтѣті,8,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1371,продаꙗти,V-,продаѣті,27,,,,marianus,,supr_fixed,,,zogr,296
1372,коуповати,V-,коуповаті,9,,,,marianus,,supr_fixed,,,zogr,296
1373,коупьць,Nb,коупьць,3,,,,marianus,,supr_fixed,,,zogr,296
1374,мъногоцѣньнъ,A-,мъногоцѣньнъ,11,,,,marianus,,supr_fixed,,,zogr,296
1375,продати,V-,продаті,29,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1376,имѣниѥ,Nb,імѣніе,68,,,,marianus,psal-sin_pipe_removed,supr_fixed,,vit-meth,zogr,440
1377,коупити,V-,коупіті,35,,,,marianus,,supr_fixed,,,zogr,296
1378,неводъ,Nb,неводъ,3,,,,marianus,,supr_fixed,,,zogr,296
1379,избьрати,V-,ізбьраті,69,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1380,испльнити,V-,іспльніті,110,,,,marianus,psal-sin_pipe_removed,supr_fixed,,vit-meth,zogr,440
1381,извлѣщи,V-,ізвлѣшті,14,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1382,краи,Nb,краі,8,,,,marianus,,supr_fixed,vit-const,,zogr,360
1383,изврѣщи,V-,ізврѣшті,7,,,,marianus,,supr_fixed,,,zogr,296
1384,вънъ,Df,вънъ,58,,,,marianus,psal-sin_pipe_removed,supr_fixed,,vit-meth,zogr,440
1385,отълѫчити,V-,отълѫчіті,28,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1386,домовитъ,A-,домовітъ,4,,,,marianus,,,,,zogr,264
1387,отьчьствиѥ,Nb,отьчьствіе,10,,,,marianus,,,,,zogr,264
1388,тектоновъ,A-,тектоновъ,2,,,,marianus,,,,,zogr,264
1389,иосифъ,Ne,іосіфъ,80,,,,marianus,psal-sin_pipe_removed,supr_fixed,,vit-meth,zogr,440
1390,блазнити,V-,блазніті,7,,,,marianus,,supr_fixed,,vit-meth,zogr,424
1391,бещьстии,A-,бештьстіі,3,,,,marianus,,,,,zogr,264
1392,невѣрьство,Nb,невѣрьство,11,,,,marianus,,supr_fixed,,,,40
1393,иродъ,Ne,іродъ,48,,,,marianus,,supr_fixed,,,zogr,296
1394,тетрархъ,Nb,тетрархъ,2,,,,marianus,,,,,zogr,264
1395,исоусовъ,A-,ісоусовъ,50,,,,marianus,,supr_fixed,,,zogr,296
1396,въскрьснѫти,V-,въскрьснѫті,74,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1397,въсадити,V-,въсадіті,26,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1398,иродиꙗ,Ne,іродіѣ,10,,,,marianus,,,,,zogr,264
1399,рождьство,Nb,рождьство,12,,,,marianus,,supr_fixed,vit-const,,zogr,360
1400,иродовъ,A-,іродовъ,8,,,,marianus,,supr_fixed,,,zogr,296
1401,иродиꙗдинъ,A-,іродіѣдінъ,2,,,,marianus,,,,,zogr,264
1402,издрещи,V-,іздрешті,9,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1403,въспросити,V-,въспросіті,10,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1404,навадити,V-,навадіті,4,,,,marianus,,supr_fixed,,,zogr,296
1405,миса,Nb,міса,4,,,,marianus,,,,,,8
1406,печальнъ,A-,печальнъ,20,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1407,оусѣкнѫти,V-,оусѣкнѫті,16,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1408,поустъ,A-,поустъ,33,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1409,пѣшь,A-,пѣшь,6,,,,marianus,,supr_fixed,vit-const,,zogr,360
1410,година,Nb,годіна,66,,,,marianus,,supr_fixed,,,zogr,296
1411,ближьнии,A-,бліжьніі,13,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1412,градьць,Nb,градьць,6,,,,marianus,,supr_fixed,,,zogr,296
1413,брашьно,Nb,брашьно,45,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1414,оукроухъ,Nb,оукроухъ,18,,,,marianus,,supr_fixed,,,zogr,296
1415,кошь,Nb,кошь,12,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1416,испльнь,A-,іспльнь,30,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1417,тꙑсѧщи,Ma,тъісѧшті,43,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1418,дѣти,Nb,дѣті,46,,,,marianus,,supr_fixed,vit-const,,zogr,360
1419,оубѣдити,V-,оубѣдіті,8,,,,marianus,,,vit-const,,zogr,328
1420,варити,V-,варіті,34,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1421,вълаꙗти,V-,вълаѣті,5,,,,marianus,,,vit-const,,zogr,328
1422,противьнъ,A-,протівьнъ,23,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1423,четврьтъ,Mo,четврьтъ,12,,,,marianus,,supr_fixed,,,zogr,296
1424,стража,Nb,стража,14,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1425,призракъ,Nb,прізракъ,4,,,,marianus,,,,,zogr,264
1426,страхъ,Nb,страхъ,108,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1427,излѣсти,V-,ізлѣсті,50,,,,marianus,,supr_fixed,,,zogr,296
1428,оутапати,V-,оутапаті,4,,,,marianus,,,,,zogr,264
1429,оусѫмьнѣти,V-,оусѫмьнѣті,7,,,,marianus,,,,,zogr,264
1430,прѣстати,V-,прѣстаті,25,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1431,поклонити,V-,поклоніті,83,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1432,генисаретьскъ,A-,генісаретьскъ,7,,,,marianus,,,,,zogr,264
1433,прѣстѫпати,V-,прѣстѫпаті,13,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1434,прѣдаꙗниѥ,Nb,прѣдаѣніе,12,,,,marianus,,supr_fixed,,,zogr,296
1435,старьць,Nb,старьць,117,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1436,омꙑвати,V-,омъіваті,5,,,,marianus,,supr_fixed,,,zogr,296
1437,прѣданиѥ,Nb,прѣданіе,16,,,,marianus,,supr_fixed,,,zogr,296
1438,зълословити,V-,зълословіті,6,,,,marianus,,,,,zogr,264
1439,польѕевати,V-,пользеваті,4,,,,marianus,,,,,zogr,264
1440,почисти,V-,почісті,25,,,,marianus,,supr_fixed,vit-const,vit-meth,zogr,488
1441,разорити,V-,разоріті,50,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1442,приближати,V-,прібліжаті,25,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1443,оустьна,Nb,оустьна,34,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1444,отъстоꙗти,V-,отъстоѣті,9,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1445,въсоуѥ,Df,въсоуе,17,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1446,садъ,Nb,садъ,7,,,,marianus,,supr_fixed,,,zogr,296
1447,искоренити,V-,іскореніті,5,,,,marianus,,supr_fixed,vit-const,,zogr,360
1448,остати,V-,остаті,58,,,,marianus,,supr_fixed,vit-const,,zogr,360
1449,вождь,Nb,вождь,5,,,,marianus,,,vit-const,,zogr,328
1450,водити,V-,водіті,11,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1451,ѥдиначе,Df,едіначе,3,,,,marianus,,supr_fixed,,,,40
1452,оу,Df,оу,36,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1453,въмѣщати,V-,въмѣштаті,8,,,,marianus,,supr_fixed,,,zogr,296
1454,афедронъ,Nb,афедронъ,4,,,,marianus,,,,,zogr,264
1455,оубииство,Nb,оубііство,14,,,,marianus,,supr_fixed,,,zogr,296
1456,прѣлюбодѣꙗние,Nb,прѣлюбодѣѣніе,6,,,,marianus,,,,,zogr,264
1457,любодѣꙗние,Nb,любодѣѣніе,4,,,,marianus,,,,,zogr,264
1458,татьба,Nb,татьба,4,,,,marianus,,,,,zogr,264
1459,лъжесъвѣдѣниѥ,Nb,лъжесъвѣдѣніе,2,,,,marianus,,,,,zogr,264
1460,власвимиꙗ,Nb,власвіміѣ,18,,,,marianus,,,,,zogr,264
1461,иже,Pd,іже,103,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1462,тѵрьскъ,A-,турьскъ,8,,,,marianus,,,,,zogr,264
1463,сидоньскъ,A-,сідоньскъ,9,,,,marianus,,,,,zogr,264
1464,хананеискъ,A-,хананеіскъ,3,,,,marianus,,supr_fixed,,,zogr,296
1465,зълѣ,Df,зълѣ,34,,,,marianus,,supr_fixed,,,zogr,296
1466,въпити,V-,въпіті,80,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1467,поврѣщи,V-,поврѣшті,36,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1468,кроупица,Nb,кроупіца,6,,,,marianus,,,,,zogr,264
1469,падати,V-,падаті,16,,,,marianus,,supr_fixed,vit-const,vit-meth,zogr,488
1470,трапеза,Nb,трапеза,50,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1471,ѡ,I-,о,163,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1472,галилеискъ,A-,галілеіскъ,31,,,,marianus,,,,,zogr,264
1473,приврѣщи,V-,пріврѣшті,6,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1474,бѣдьнъ,A-,бѣдьнъ,6,,,,marianus,,supr_fixed,,,zogr,296
1475,присѣдѣти,V-,прісѣдѣті,7,,,,marianus,,supr_fixed,,,zogr,296
1476,чьто,Px,чьто,86,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1477,како,Df,како,28,,,,marianus,psal-sin_pipe_removed,supr_fixed,,vit-meth,zogr,440
1478,ослабѣти,V-,ослабѣті,7,,,,marianus,,supr_fixed,,,zogr,296
1479,отъкѫдѣ,Du,отъкѫдѣ,3,,,,marianus,,,,,zogr,264
1480,толико,Df,толіко,12,,,,marianus,,supr_fixed,,,zogr,296
1481,колико,Du,коліко,48,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1482,рꙑбица,Nb,ръібіца,4,,,,marianus,,,,,zogr,264
1483,кошьница,Nb,кошьніца,10,,,,marianus,,supr_fixed,,,zogr,296
1484,магдаланьскъ,A-,магдаланьскъ,2,,,,marianus,,,,,zogr,264
1485,садоукеи,Nb,садоукеі,9,,,,marianus,,,,,zogr,264
1486,искоушати,V-,іскоушаті,28,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1487,вечеръ,Df,вечеръ,10,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1488,ведро,Nb,ведро,2,,,,marianus,,,,,zogr,264
1489,чрьмьновати,V-,чрьмьноваті,4,,,,marianus,,,,,zogr,264
1490,оутро,Df,оутро,22,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1491,зимьнъ,A-,зімьнъ,5,,,,marianus,,supr_fixed,,,zogr,296
1492,дрѧселовати,V-,дрѧселоваті,2,,,,marianus,,,,,zogr,264
1493,расѫждати,V-,расѫждаті,2,,,,marianus,,,,,zogr,264
1494,прѣлюбодѣи,A-,прѣлюбодѣі,4,,,,marianus,,,,,zogr,264
1495,забꙑти,V-,забъіті,44,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1496,фарисеискъ,A-,фарісеіскъ,15,,,,marianus,,,,,zogr,264
1497,садоукеискъ,A-,садоукеіскъ,6,,,,marianus,,,,,zogr,264
1498,помꙑшлꙗти,V-,помъішлѣті,52,,,,marianus,psal-sin_pipe_removed,supr_fixed,,vit-meth,zogr,440
1499,хлѣбьнъ,A-,хлѣбьнъ,5,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1500,кесариꙗ,Ne,кесаріѣ,15,,,,marianus,,supr_fixed,,,zogr,296
1501,филиповъ,A-,філіповъ,5,,,,marianus,,supr_fixed,,,zogr,296
1502,въпрашати,V-,въпрашаті,101,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1503,иѥремиꙗ,Ne,іереміѣ,6,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,,56
1504,живъ,A-,жівъ,118,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1505,вариона,Ne,варіона,2,,,,marianus,,,,,zogr,264
1506,плъть,Nb,плъть,129,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1507,адовъ,A-,адовъ,19,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1508,оудолѣти,V-,оудолѣті,8,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1509,ключь,Nb,ключь,7,,,,marianus,,supr_fixed,,,zogr,296
1510,раздрѣшити,V-,раздрѣшіті,26,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1511,отътолѣ,Df,отътолѣ,7,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,,248
1512,пострадати,V-,пострадаті,45,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1513,третии,Mo,третіі,56,,,,marianus,,supr_fixed,vit-const,vit-meth,zogr,488
1514,прѣрѣкати,V-,прѣрѣкаті,6,,,,marianus,,supr_fixed,,,,40
1515,милосрьдъ,A-,мілосрьдъ,10,,,,marianus,,supr_fixed,,,zogr,296
1516,польѕа,Nb,польза,18,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1517,приобрѣсти,V-,пріобрѣсті,32,,,,marianus,,supr_fixed,,vit-meth,zogr,424
1518,отъщетити,V-,отъштетіті,6,,,,marianus,,supr_fixed,,,zogr,296
1519,измѣна,Nb,ізмѣна,5,,,,marianus,psal-sin_pipe_removed,,,,zogr,280
1520,къжьдо,Px,къжьдо,55,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1521,въкоусити,V-,въкоусіті,32,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1522,вꙑсокъ,A-,въісокъ,28,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1523,прѣобразити,V-,прѣобразіті,4,,,,marianus,,supr_fixed,,,zogr,296
1524,облакъ,Nb,облакъ,53,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1525,осиꙗти,V-,осіѣті,3,,,,marianus,,,,,zogr,264
1526,съходити,V-,съходіті,32,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1527,заповѣдѣти,V-,заповѣдѣті,24,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1528,видѣниѥ,Nb,відѣніе,33,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1529,мѣсѧць,Nb,мѣсѧць,65,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1530,мъножицеѭ,Df,мъножіцеѭ,13,,,,marianus,psal-sin_pipe_removed,,,vit-meth,zogr,408
1531,невѣрьнъ,A-,невѣрьнъ,23,,,,marianus,,supr_fixed,,,zogr,296
1532,развратити,V-,развратіті,8,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1533,доколѣ,Du,доколѣ,33,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1534,трьпѣти,V-,трьпѣті,49,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1535,отъсѫдоу,Df,отъсѫдоу,21,,,,marianus,,supr_fixed,,,zogr,296
1536,тамо,Df,тамо,36,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,504
1537,невъзможьнъ,A-,невъзможьнъ,6,,,,marianus,,,,,zogr,264
1538,постъ,Nb,постъ,13,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1539,галилеꙗ,Ne,галілеѣ,73,,,,marianus,,supr_fixed,,,zogr,296
1540,дидрагъма,Nb,дідрагъма,2,,,,marianus,,,,,,8
1541,дань,Nb,дань,9,,,,marianus,,supr_fixed,vit-const,,zogr,360
1542,кинъсъ,Nb,кінъсъ,6,,,,marianus,,,,,zogr,264
1543,свободьнъ,A-,свободьнъ,7,,,,marianus,,supr_fixed,,vit-meth,,168
1544,ѫдица,Nb,ѫдіца,1,,,,marianus,,,,,,8
1545,статиръ,Nb,статіръ,1,,,,marianus,,,,,,8
1546,отрочѧ,Nb,отрочѧ,37,,,,marianus,,,vit-const,,zogr,328
1547,таковъ,A-,таковъ,68,,,,marianus,,supr_fixed,vit-const,vit-meth,zogr,488
1548,сканъдалисати,V-,сканъдалісаті,2,,,,marianus,,,,,,8
1549,обѣсити,V-,обѣсіті,9,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1550,жрьнꙑ,Nb,жрьнъі,5,,,,marianus,,supr_fixed,,,zogr,296
1551,вꙑꙗ,Nb,въіѣ,31,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1552,осьльскъ,A-,осьльскъ,1,,,,marianus,,,,,,8
1553,потопити,V-,потопіті,7,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,,56
1554,пѫчина,Nb,пѫчіна,10,,,,marianus,,supr_fixed,vit-const,,,104
1555,морьскъ,A-,морьскъ,17,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
1556,неволꙗ,Nb,неволѣ,6,,,,marianus,,supr_fixed,,,,40
1557,отъсѣщи,V-,отъсѣшті,19,,,,marianus,psal-sin_pipe_removed,supr_fixed,,vit-meth,zogr,440
1558,добрѣ,A-,добрѣ,16,,,,marianus,,supr_fixed,,,zogr,296
1559,родити#2,V-,родіті#2,10,,,,marianus,,supr_fixed,,,zogr,296
1560,вꙑинѫ,Df,въіінѫ,48,,,,marianus,psal-sin_pipe_removed,supr_fixed,,,zogr,312
1561,възискати,V-,възіскаті,67,,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,376
