ⱃⱁⰴⰹ|V-|3saia----i|ⱃⱁⰴі|родити#1|5000002|| |10|1|1|MATT 1.3|1|1|3|1
ⰰ̄ⱃⰰⰰ̄ⰿⰰ|Ne|-s---mg--i|ⰰⱃⰰⰰⰿⰰ|FIXME|5000002|| ·|10|1|1|MATT 1.3|1|1|3|1
Ⰰ̄ⱃⰰⰰ̄ⰿⱏ|Ne|-s---mn--i|Ⰰⱃⰰⰰⰿⱏ|FIXME|5000003| | |10|1|1|MATT 1.4|1|1|4|1
ⰶⰵ|Df|---------n|ⰶⰵ|же|5000003|| |10|1|1|MATT 1.4|1|1|4|1
ⱃⱁⰴⰹ|V-|3saia----i|ⱃⱁⰴі|родити#1|5000003|| |10|1|1|MATT 1.4|1|1|4|1
ⰰ̄ⰿⰹⱀⰰⰴⰰⰲⰰ|A-|-s---fnpsi|ⰰⰿіⱀⰰⰴⰰⰲⰰ|аминадавовъ|5000003|| · |10|1|1|MATT 1.4|1|1|4|1
ⰰ̄ⰿⰹⱀⰰⰴⰰⰲⱏ|V-|-supamn-si|ⰰⰿіⱀⰰⰴⰰⰲⱏ|FIXME|5000003|| |10|1|1|MATT 1.4|1|1|4|1
ⰶⰵ|Df|---------n|ⰶⰵ|же|5000003|| |10|1|1|MATT 1.4|1|1|4|1
ⱃⱁⰴⰹ|V-|3saia----i|ⱃⱁⰴі|родити#1|5000003|| · |10|1|1|MATT 1.4|1|1|4|1
Ⱀⰰⱄⱄ̆ⱁⱀⰰ|Ne|-s---mg--i|Ⱀⰰⱄⱄⱁⱀⰰ|FIXME|5000003|| · |10|1|1|MATT 1.4|1|1|4|1
ⱀⰰⱄⱄ̆ⱁ̄ⱀⱏ|Nb|-s---ma--i|ⱀⰰⱄⱄⱁⱀⱏ|FIXME|5000003|| |10|1|1|MATT 1.4|1|1|4|1
ⰶⰵ|Df|---------n|ⰶⰵ|же|5000003|| |10|1|1|MATT 1.4|1|1|4|1
ⱃⱁⰴⰹ|V-|3saia----i|ⱃⱁⰴі|родити#1|5000003|| |10|1|1|MATT 1.4|1|1|4|1
ⱄⰰⰾⱐⰿⱁⱀⰰ|Ne|-s---mg--i|ⱄⰰⰾⱐⰿⱁⱀⰰ|саломи|5000003|| ·|10|1|1|MATT 1.4|1|1|4|1
Ⱄⰰⰾⰿ̄ⱁⱀⱏ|Ne|-s---mn--i|Ⱄⰰⰾⰿⱁⱀⱏ|FIXME|5000004| | |10|1|1|MATT 1.5|1|1|5|1
ⰶⰵ|Df|---------n|ⰶⰵ|же|5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⱃⱁⰴⰹ|V-|3saia----i|ⱃⱁⰴі|родити#1|5000004|| |10|1|1|MATT 1.5|1|1|5|1
Ⰲⱁⱁ҅ⰸⰰ|Nb|-s---fn--i|Ⰲⱁⱁⰸⰰ|FIXME|5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⱁⱅ|R-|---------n|ⱁⱅ|отъ|5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⱃⰰⱈⰰⰲⱏⰹ|Ne|-s---fg--i|ⱃⰰⱈⰰⰲⱏі|FIXME|5000004|| · |10|1|1|MATT 1.5|1|1|5|1
Ⰲⱁⱁ̄ⰸⱐ|Nb|-s---mn--i|Ⰲⱁⱁⰸⱐ|FIXME|5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⰶⰵ|Df|---------n|ⰶⰵ|же|5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⱃⱁⰴⰹ|V-|3saia----i|ⱃⱁⰴі|родити#1|5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⱁ҅ⰲⰹⱁ̄ⰴⰰ|Ne|-s---mg--i|ⱁⰲіⱁⰴⰰ|FIXME|5000004|| · |10|1|1|MATT 1.5|1|1|5|1
(ⱉ҅҅ⱅⱏ|R-|---------n|ⱉⱅⱏ|отъ|5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⱃⱁⱅⱏⰹ)|Nb|-p---ma--i|ⱃⱁⱅⱏі|FIXME|5000004|| · |10|1|1|MATT 1.5|1|1|5|1
Ⱁ̄ⰲⰻⱁ҅̄ⰴⱏ|Nb|-p---mg--i|Ⱁⰲⰻⱁⰴⱏ|FIXME|5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⰶⰵ|Df|---------n|ⰶⰵ|же|5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⱃⱁⰴⰹ|V-|3saia----i|ⱃⱁⰴі|родити#1|5000004|| · |10|1|1|MATT 1.5|1|1|5|1
