ⰶⰵ|||ⰶⰵ||5000003|| |10|1|1|MATT 1.4|1|1|4|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000003|| · |10|1|1|MATT 1.4|1|1|4|1
Ⱀⰰⱄⱄ̆ⱁⱀⰰ|||Ⱀⰰⱄⱄⱁⱀⰰ||5000003|| · |10|1|1|MATT 1.4|1|1|4|1
ⱀⰰⱄⱄ̆ⱁ̄ⱀⱏ|||ⱀⰰⱄⱄⱁⱀⱏ||5000003|| |10|1|1|MATT 1.4|1|1|4|1
ⰶⰵ|||ⰶⰵ||5000003|| |10|1|1|MATT 1.4|1|1|4|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000003|| |10|1|1|MATT 1.4|1|1|4|1
ⱄⰰⰾⱐⰿⱁⱀⰰ|||ⱄⰰⰾⱐⰿⱁⱀⰰ||5000003|| ·|10|1|1|MATT 1.4|1|1|4|1
Ⱄⰰⰾⰿ̄ⱁⱀⱏ|||Ⱄⰰⰾⰿⱁⱀⱏ||5000004| | |10|1|1|MATT 1.5|1|1|5|1
ⰶⰵ|||ⰶⰵ||5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000004|| |10|1|1|MATT 1.5|1|1|5|1
Ⰲⱁⱁ҅ⰸⰰ|||Ⰲⱁⱁⰸⰰ||5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⱁⱅ|||ⱁⱅ||5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⱃⰰⱈⰰⰲⱏⰹ|||ⱃⰰⱈⰰⰲⱏі||5000004|| · |10|1|1|MATT 1.5|1|1|5|1
Ⰲⱁⱁ̄ⰸⱐ|||Ⰲⱁⱁⰸⱐ||5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⰶⰵ|||ⰶⰵ||5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⱁ҅ⰲⰹⱁ̄ⰴⰰ|||ⱁⰲіⱁⰴⰰ||5000004|| · |10|1|1|MATT 1.5|1|1|5|1
(ⱉ҅҅ⱅⱏ|||ⱉⱅⱏ||5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⱃⱁⱅⱏⰹ)|||ⱃⱁⱅⱏі||5000004|| · |10|1|1|MATT 1.5|1|1|5|1
Ⱁ̄ⰲⰻⱁ҅̄ⰴⱏ|||Ⱁⰲⰻⱁⰴⱏ||5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⰶⰵ|||ⰶⰵ||5000004|| |10|1|1|MATT 1.5|1|1|5|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000004|| · |10|1|1|MATT 1.5|1|1|5|1
ⰻ̄ⰵ̄ⱄⰵⰰ̄|||ⰻⰵⱄⰵⰰ||5000004|| ·|10|1|1|MATT 1.5|1|1|5|1
Ⰻ̄ⰵ̄ⱄⰵⰻ̄|||Ⰻⰵⱄⰵⰻ||5000005| | |10|1|1|MATT 1.6|1|1|6|1
ⰶⰵ|||ⰶⰵ||5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⰴ҃ⰴⰰ|||ⰴⰴⰰ||5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⱌ҃ⱃⱑ|||ⱌⱃⱑ||5000005|| · |10|1|1|MATT 1.6|1|1|6|1
ⰴ҃ⰴⱏ|||ⰴⰴⱏ||5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⰶⰵ|||ⰶⰵ||5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⱌ҃ⱃⱐ|||ⱌⱃⱐ||5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⱄⱁⰾⱁⰿⱁⱀⰰ|||ⱄⱁⰾⱁⰿⱁⱀⰰ||5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⱉⱅ|||ⱉⱅ||5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⱆ̄ⱃⰹⰻ̄ⱀⱏⰹⱗ̄|||ⱆⱃіⰻⱀⱏіⱗ||5000005|| ·|10|1|1|MATT 1.6|1|1|6|1
Ⱄⱁⰾⱁⰿⱁⱀⱏ|||Ⱄⱁⰾⱁⰿⱁⱀⱏ||5000006| | |10|1|1|MATT 1.7|1|1|7|1
ⰶⰵ|||ⰶⰵ||5000006|| |10|1|1|MATT 1.7|1|1|7|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000006|| · |10|1|1|MATT 1.7|1|1|7|1
ⱃⱁⰲⱁⰰ̄ⰿⰰ|||ⱃⱁⰲⱁⰰⰿⰰ||5000006|| · |10|1|1|MATT 1.7|1|1|7|1
Ⱃⱁⰲⱁⰰ̄ⰿⱏ|||Ⱃⱁⰲⱁⰰⰿⱏ||5000006|| |10|1|1|MATT 1.7|1|1|7|1
ⰶⰵ|||ⰶⰵ||5000006|| |10|1|1|MATT 1.7|1|1|7|1
ⱃⱁⰴⰻ|||ⱃⱁⰴⰻ||5000006|| |10|1|1|MATT 1.7|1|1|7|1
ⰰ̄ⰲⰹⰰ̄ⰴⰰ|||ⰰⰲіⰰⰴⰰ||5000006|| · |10|1|1|MATT 1.7|1|1|7|1
Ⰰ̄ⰲⰹⰰ̄ⰴⱏ|||Ⰰⰲіⰰⰴⱏ||5000006|| |10|1|1|MATT 1.7|1|1|7|1
