никодимъ,Ne,3086
ꙇмѧ,Nb,442
емоу,Pp,64
кънѧзь,Nb,277
ꙇюдеꙇскъ,A-,1587
сь,Pd,47
приде,V-,221
къ,R-,59
н҄емоу,Pp,64
ноштиѭ,Nb,1293
ꙇ,C-,13
рече,V-,106
емоу,Pp,64
равⸯви,Nb,1772
вѣмь,V-,138
ѣко,G-,115
отъ,R-,80
б҃а,Nb,34
пришьлъ,V-,221
еси,V-,18
оучител҄ь,Nb,988
никътоже,Px,940
бо,Df,94
не,Df,8
можетъ,V-,31
знамени,Nb,0
сихъ,Pd,47
творити,V-,637
ѣже,Pr,96
тꙑ,Pp,304
сътвориши,V-,73
аште,G-,248
не,Df,8
бѫдетъ,V-,18
б҃ъ,Nb,34
съ,R-,92
н҄имь,Pp,64
отъвѣшта,V-,271
и҃с,Ne,343
ꙇ,C-,13
рече,V-,106
емоу,Pp,64
амин,I-,298
амин,I-,298
г҃лѭ,V-,102
тебѣ,Pp,304
аште,G-,248
къто,Px,250
не,Df,8
родитъ,V-,1198
сѧ,Pk,21
съвꙑше,Df,3087
не,Df,8
можетъ,V-,31
видѣти,V-,479
ц҃рсиѣ,Nb,782
б҃жиѣ,A-,239
г҃ла,V-,102
къ,R-,59
н҄емоу,Pp,64
никодимъ,Ne,3086
како,Du,30
можетъ,V-,31
ч҃къ,Nb,211
родити,V-,1198
сѧ,Pk,21
старъ,A-,2270
сꙑ,V-,18
еда,Du,869
можетъ,V-,31
въторицеѭ,Df,1933
въ,R-,111
ѫтробѫ,Nb,2445
вьлѣсти,V-,456
матере,Nb,1170
своеѩ,Pt,217
ꙇ,C-,13
родити,V-,1198
сѧ,Pk,21
отъвѣшта,V-,271
и҃с,Ne,343
амин,I-,298
амин,I-,298
г҃лѭ,V-,102
тебѣ,Pp,304
аште,G-,248
къто,Px,250
не,Df,8
родитъ,V-,1198
сѧ,Pk,21
водоѭ,Nb,355
ꙇ,C-,13
д҃хомь,Nb,443
не,Df,8
можетъ,V-,31
вьнити,V-,380
вь,R-,111
ц҃рсие,Nb,782
б҃жие,A-,239
рожденъ,V-,0
отъ,R-,80
плъти,Nb,1509
плъть,Nb,1509
естъ,V-,18
ꙇ,C-,13
рождено,V-,0
отъ,R-,80
д҃ха,Nb,443
д҃хъ,Nb,443
естъ,V-,18
не,Df,8
чюди,V-,1007
сѧ,Pk,21
ѣко,G-,115
рѣхъ,V-,106
ти,Pp,304
подобаетъ,V-,128
вамъ,Pp,266
родити,V-,1198
сѧ,Pk,21
съвꙑше,Df,3087
д҃хъ,Nb,443
ꙇдеже,Dq,798
хоштетъ,V-,301
доушетъ,V-,2823
ꙇ,C-,13
гласъ,Nb,382
его,Pp,64
слꙑшиши,V-,689
нъ,C-,11
не,Df,8
вѣси,V-,138
отъкѫдоу,Du,1348
приходитъ,V-,889
ꙇ,C-,13
камо,Du,3088
ꙇдетъ,V-,671
тако,Df,48
естъ,V-,18
рожденꙑ,V-,1198
отъ,R-,80
д҃ха,Nb,443
отъвѣшта,V-,271
никодимъ,Ne,3086
ꙇ,C-,13
рече,V-,106
емоу,Pp,64
како,Du,30
могѫтъ,V-,31
си,Pd,47
бꙑти,V-,18
отъвѣшта,V-,271
и҃с,Ne,343
ꙇ,C-,13
рече,V-,106
емоу,Pp,64
тꙑ,Pp,304
еси,V-,18
оучител҄ь,Nb,988
ꙇ҃левъ,A-,1118
ꙇ,C-,13
сихъ,Pd,47
ли,Du,752
не,Df,8
вѣси,V-,138
амин,I-,298
амин,I-,298
г҃лѭ,V-,102
тебѣ,Pp,304
ѣко,G-,115
еже,Pr,96
вѣмь,V-,138
г҃лемъ,V-,102
ꙇ,C-,13
еже,Pr,96
дастъ,V-,116
въ,R-,111
рѫцѣ,Nb,414
его,Pp,64
вѣроуѩі,V-,968
въ,R-,111
с҃на,Nb,341
ꙇматъ,V-,9
животъ,Nb,36
вѣчьнꙑ,A-,411
а,C-,85
ꙇже,Pr,96
не,Df,8
вѣроуетъ,V-,968
въ,R-,111
с҃на,Nb,341
не,Df,8
оузьритъ,V-,857
живота,Nb,36
нъ,C-,11
гнѣвъ,Nb,575
б҃жі,A-,239
прѣбꙑваетъ,V-,2174
