сапогоу,сапогоу
сѧ,сѧ
старъ,старъ
сꙑ,съі
еда,еда
можетъ,можетъ
въторицеѭ,въторіцеѭ
въ,въ
ѫтробѫ,ѫтробѫ
вьлѣсти,вьлѣсті
матере,матере
своеѩ,своеѧ
ꙇ,і
родити,родіті
сѧ,сѧ
отъвѣшта,отъвѣшта
и҃с,іс
амин,амін
амин,амін
г҃лѭ,глѭ
тебѣ,тебѣ
аште,аште
къто,къто
не,не
родитъ,родітъ
сѧ,сѧ
водоѭ,водоѭ
ꙇ,і
д҃хомь,дхомь
не,не
можетъ,можетъ
вьнити,вьніті
вь,вь
ц҃рсие,црсіе
б҃жие,бжіе
рожденъ,рожденъ
отъ,отъ
плъти,плъті
плъть,плъть
естъ,естъ
ꙇ,і
рождено,рождено
отъ,отъ
д҃ха,дха
д҃хъ,дхъ
естъ,естъ
не,не
чюди,чоуді
сѧ,сѧ
ѣко,ѣко
рѣхъ,рѣхъ
ти,ті
подобаетъ,подобаетъ
вамъ,вамъ
родити,родіті
сѧ,сѧ
съвꙑше,съвъіше
д҃хъ,дхъ
ꙇдеже,ідеже
хоштетъ,хоштетъ
доушетъ,доушетъ
ꙇ,і
гласъ,гласъ
его,его
слꙑшиши,слъішіші
нъ,нъ
не,не
вѣси,вѣсі
отъкѫдоу,отъкѫдоу
приходитъ,пріходітъ
ꙇ,і
камо,камо
ꙇдетъ,ідетъ
тако,тако
естъ,естъ
рожденꙑ,рожденъі
отъ,отъ
д҃ха,дха
отъвѣшта,отъвѣшта
никодимъ,нікодімъ
ꙇ,і
рече,рече
емоу,емоу
како,како
могѫтъ,могѫтъ
си,сі
бꙑти,бъіті
отъвѣшта,отъвѣшта
и҃с,іс
ꙇ,і
рече,рече
емоу,емоу
тꙑ,тъі
еси,есі
оучител҄ь,оучітель
ꙇ҃левъ,ілевъ
ꙇ,і
сихъ,сіхъ
ли,лі
не,не
вѣси,вѣсі
амин,амін
амин,амін
г҃лѭ,глѭ
тебѣ,тебѣ
ѣко,ѣко
еже,еже
вѣмь,вѣмь
