chu_word,torot_tokno,grc_word,grc_tokno
сътѫжаѭще,2346799,θλίβοντές,3320261
мі,2346800,με,3320262
Мноѕи,2346801,πολλοὶ,3320263
въсташѩ,2346802,ἐπανίστανται,3320264
на,2346803,ἐπ᾽,3320265
мѩ,2346804,ἐμέ,3320266
Мноѕиі,2346805,,
вьсташѩ,2346806,,
на,2346807,,
мѩ,2346808,,
Мноѕи,2346809,πολλοὶ,3320267
глѭтъ,2346810,λέγουσιν,3320268
дш҃і,2346811,ψυχῇ,3320270
моеі,2346812,μου,3320271
нѣсть,2346813,ἔστιν,3320273
сп҃ньѣ,2346814,σωτηρία,3320274
о,2346815,ἐν,3320275
бѕ҃ѣ,2346816,θεῷ,3320277
его,2346817,αὐτοῦ,3320278
диѣ псал,2346818,διάψαλμα,3320279
Тъі,2346820,σὺ,3320280
же,2346821,δέ,3320281
г҃і,2346822,Κύριε,3320282
застѫпьнікъ,2346823,ἀντιλήμπτωρ,3320283
моі,2346824,μου,3320284
есі,2346825,εἶ,3320285
слава,2346826,δόξα,3320286
моѣ,2346827,μου,3320287
вьзнесе,2346828,ὑψῶν,3320289
главѫ,2346829,κεφαλήν,3320291
моѭ,2346830,μου,3320292
Гласьмъ,2346831,φωνῇ,3320293
моімъ,2346832,μου,3320294
къ,2346833,πρὸς,3320295
гв҃і,2346834,Κύριον,3320296
возьвахъ,2346835,ἐκέκραξα,3320297
И,2346836,καὶ,3320298
оуслъіша,2346837,ἐπήκουσέν,3320299
мѩ,2346838,μου,3320300
отъ,2346839,ἐξ,3320301
горъї,2346840,ὄρους,3320302
ст҃ъіѩ,2346841,ἁγίου,3320303
своеѩ,2346842,αὐτοῦ,3320304
Азъ,2346843,ἐγὼ,3320306
же,2346844,,
оусънѫхъ,2346845,ἐκοιμήθην,3320307
ї,2346846,καὶ,3320308
съпахъ,2346847,ὕπνωσα,3320309
въстахъ,2346848,ἐξηγέρθην,3320310
ѣко,2346849,ὅτι,3320311
г҃ъ,2346850,Κύριος,3320312
застѫпитъ,2346851,ἀντιλήμψεταί,3320313
мѩ,2346852,μου,3320314
Не,2346853,οὐ,3320315
оубоѭ,2346854,φοβηθήσομαι,3320316
сѩ,2346855,,
отъ,2346856,ἀπὸ,3320317
тьмъі,2346857,μυριάδων,3320318
людеі,2346858,λαοῦ,3320319
Нападаѭщіхъ,2346859,ἐπιτιθεμένων,3320322
на,2346860,,
мѩ,2346861,μοι,3320323
окръстъ,2346862,κύκλῳ,3320321
Въскръсні,2346863,ἀνάστα,3320324
г҃і,2346864,Κύριε,3320325
сп҃і,2346865,σῶσόν,3320326
мѩ,2346866,με,3320327
бж҃е,2346867,θεός,3320329
мои,2346868,μου,3320330
ѣко,2346869,ὅτι,3320331
тъі,2346870,σὺ,3320332
поразі,2346871,ἐπάταξας,3320333
вьсѩ,2346872,πάντας,3320334
вражьдуѭщѩѩ,2346873,ἐχθραίνοντάς,3320336
мнѣ,2346874,μοι,3320337
въсоуе,2346875,ματαίως,3320338
зѫбъі,2346876,ὀδόντας,3320339
грѣшьнъіхъ,2346877,ἁμαρτωλῶν,3320340
съкроушілъ,2346878,συνέτριψας,3320341
есі,2346879,,
Гн҃е,2346880,κυρίου,3320343
естъ,2346881,,
сп҃нье,2346882,σωτηρία,3320345
и,2346883,καὶ,3320346
на,2346884,ἐπὶ,3320347
людехъ,2346885,λαόν,3320349
твоіхъ,2346886,σου,3320350
бл҃гословещвенье,2346887,εὐλογία,3320352
твое,2346888,σου,3320353
слава,2346889,,
ВЬ,2346890,Εἰς,3320354
КОНЦЬ,2346891,τέλος,3320356
ПСАЛОМЪ,2346892,ψαλμοῖς,3320358
ДА҃ДО҃ВЪ҃,2346893,Δαυείδ,3320361
Вънегда,2346894,Ἐν,3320362
вьзъівахъ,2346895,ἐπικαλεῖσθαί,3320364
оуслъіша,2346896,εἰσήκουσέν,3320366
мѩ,2346897,μου,3320367
бж҃е,2346898,θεὸς,3320369
правъдъї,2346899,δικαιοσύνης,3320371
моеѩ,2346900,μου,3320372
Въ,2346901,ἐν,3320373
скръбі,2346902,θλίψει,3320374
пространілъ,2346903,ἐπλάτυνάς,3320375
мѩ,2346904,μοι,3320376
еси,2346905,,
Помилоуі,2346906,οἰκτείρησόν,3320377
мѩ,2346907,με,3320378
ї,2346908,καὶ,3320379
оуслъіші,2346909,εἰσάκουσον,3320380
молітвѫ,2346910,προσευχῆς,3320382
моѭ,2346911,μου,3320383
Сн҃ве,2346912,υἱοὶ,3320384
чл҃чі,2346913,ἀνθρώπων,3320385
доколѣ,2346914,ἕως,3320386
тѩжькоср҃ді,2346915,βαρυκάρδιοι,3320388
Вьскѫѭ,2346916,ἵνα,3320389
любите,2346917,ἀγαπᾶτε,3320391
соуетьнаа,2346918,ματαιότητα,3320392
ї,2346919,καὶ,3320393
іщете,2346920,ζητεῖτε,3320394
лъжѩ,2346921,ψεῦδος,3320395
Ї,2346922,καὶ,3320397
оувѣдіте,2346923,γνῶτε,3320398
ѣко,2346924,ὅτι,3320399
оудіви,2346925,ἐθαυμάστωσεν,3320400
г҃ь,2346926,Κύριος,3320401
прѣднаго,2346927,ὅσιον,3320403
своего,2346928,αὐτοῦ,3320404
Гь҃,2346929,Κύριος,3320405
оуслъішітъ,2346930,εἰσακούσεταί,3320406
мѩ,2346931,μου,3320407
егда,2346932,ἐν,3320408
вьзовѫ,2346933,κεκραγέναι,3320410
къ,2346934,πρὸς,3320412
немоу,2346935,αὐτόν,3320413
Гнѣваите,2346936,ὀργίζεσθε,3320414
сѩ,2346937,,
а,2346938,καὶ,3320415
не,2346939,μὴ,3320416
съгрѣшаіте,2346940,ἁμαρτάνετε,3320417
ѣже,2346941,ἃ,3320418
глте,2346942,λέγετε,3320419
вь,2346943,ἐν,3320420
ср҃ціхъ,2346944,καρδίᾳ,3320421
вашіхъ,2346945,,
На,2346946,ἐπὶ,3320422
ложіхъ,2346947,κοίταις,3320424
вашіхъ,2346948,ὑμῶν,3320425
оумолітъ,2346949,κατανύγητε,3320426
сѩ,2346950,,
Пожьрѣте,2346951,θύσατε,3320428
жрътвѫ,2346952,θυσίαν,3320429
правьдѫ,2346953,δικαιοσύνης,3320430
И,2346954,καὶ,3320431
оупьваіте,2346955,ἐλπίσατε,3320432
на,2346956,ἐπὶ,3320433
г҃ѣ,2346957,Κύριον,3320434
Мнозі,2346958,πολλοὶ,3320435
глѭтъ,2346959,λέγουσιν,3320436
къто,2346960,Τίς,3320437
ѣвітъ,2346961,δείξει,3320438
намъ,2346962,ἡμῖν,3320439
