304,septiembre,Ne
305,martes,Ne
306,miércoles,Ne
307,jueves,Ne
308,maestre,Nb
309,entrar,V-
310,mal,Nb
311,arrayaz,Nb
312,Málaga,Ne
313,quien,Pr
314,ya,Df
315,mañana,Nb
316,librar,V-
317,hecho,Nb
318,víspera,Nb
319,echar,V-
320,dormir,V-
321,poco,Df
322,después,Df
323,mediodía,Nb
324,cama,Nb
325,guisa,Nb
326,ninguno,Px
327,emplazamiento,Nb
328,ruido,Nb
329,llanto,Nb
330,hora,Nb
331,pendón,Nb
332,llamar,V-
333,aquí,Df
334,adelante,Df
335,acaecer,V-
336,reinar,V-
337,alto,A-
338,comienzo,Nb
339,comenzar,V-
340,era,Nb
341,alzar,V-
342,nombrar,V-
343,recibir,V-
344,veinte,Py
345,seis,Ma
346,más,Df
347,enterrar,V-
348,cuerpo,Nb
349,padre,Nb
350,ciudad,Nb
351,Córdoba,Ne
352,cerca,Df
353,Sevilla,Ne
354,calentura,Nb
355,fazer,V-
356,sosegar,V-
357,paz,Nb
358,recaudo,Nb
359,esa,Pd
360,desamparar,V-
361,quebranto,Nb
362,placer,Nb
363,ambos,Px
364,poco,A-
365,hablar,V-
366,cuánto,Pi
367,bien,Nb
368,señaladamente,Df
369,vez,Nb
370,tutor,Nb
371,consentir,V-
372,ocasión,Nb
373,estragar,V-
374,meter,V-
375,flaco,A-
376,peligro,Nb
377,ello,Pp
378,pugnar,V-
379,lo,S-
380,consejo,Nb
381,acuerdo,Nb
382,aventura,Nb
383,afán,Nb
384,contienda,Nb
385,daño,Nb
386,adolecer,V-
387,guarecer,V-
388,Garcí,Ne
389,González,Ne
390,traer,V-
391,peligroso,A-
392,catar,V-
393,entender,V-
394,pesar,V-
395,sacar,V-
396,recelar,V-
397,ida,Nb
398,sospecha,Nb
399,tardar,V-
400,guisar,V-
401,quién,Pi
402,electo,Nb
403,natural,A-
404,emparentar,V-
405,dueña,Nb
406,Betanza,Ne
407,rogar,V-
408,iglesia,Nb
409,catedral,Nb
410,Salvador,Ne
411,gente,Nb
412,fortaleza,Nb
413,Diego,Ne
414,Gómez,Ne
415,Castañeda,Ne
416,mismo,A-
417,demandar,V-
418,tregua,Nb
419,defiado,A-
420,monasterio,Nb
421,Francisco,Ne
422,Real,Ne
423,mercado,Nb
424,hombre,Nb
425,poderoso,A-
426,alcanzar,V-
