torot_word|deep_cleaned
ѥсть:|есть
не|не
тъчиѭ|тъчіѭ
тѣлесьнꙑихъ|тѣлесьнъііхъ
добродѣтелиї|добродѣтеліі
болѣꙁньно|болѣзньно
любити:|любіті
нъ|нъ
и|і
ѭтрьнѧаго|ѭтрьнѧаго
чловѣка|чловѣка
чистити|чістіті
могѹщиихъ:|могоущііхъ
въꙁдрьжаниꙗ|въздрьжаніꙗ
бо|бо
дѣло|дѣло
ѥсть:|есть
еже|еже
кромѣ|кромѣ
бꙑти|бъіті
вьсеꙗ|вьсеꙗ
скотьнꙑꙗ|скотьнъіꙗ
сласти:|сласті
и|і
ничъсоже|нічъсоже
чрѣсъ|чрѣсъ
волю|волю
ꙁаповѣдиї|заповѣдіі
бж҃ии|бж҃іі
творити:|творіті
въꙁдрьжаниѥ|въздрьжаніе
ѥсть:|есть
ѹꙁда|оузда
въстѧꙁаѭщи:|въстѧзаѭщі
на|на
брашъно:|брашъно
и|і
на|на
имѣниѥ:|імѣніе
и|і
славѹ:|славоу
пожелѣньнааго|пожелѣньнааго
ѹстрьмлениꙗ:|оустрьмленіꙗ
нѣсть|нѣсть
бо|бо
чъсо|чъсо
благꙑихъ|благъііхъ
сътѧжѧти|сътѧжѧті
бес|бес
трьпѣниꙗ:|трьпѣніꙗ
и|і
родительнааго|родітельнааго
вьꙁдрьжаниꙗ:|вьздрьжаніꙗ
въ|въ
трьпѣнии|трьпѣніі
бо|бо
вашемь|вашемь
сьтꙗжите|сьтꙗжіте
дш҃а|дш҃а
вашꙗ:|ваша
хотѧи|хотѧі
бо|бо
исправити|ісправіті
вьꙁдръжание:|вьздръжаніе
часто|часто
млт҃вꙋ|млт҃воу
да|да
творите:|творіте
беспрѣстани|беспрѣстані
бо|бо
мл҃твѹ|мл҃твоу
дѣите|дѣіте
рече:|рече
мл҃тва|мл҃тва
и|і
вьꙁдрьжание|вьздрьжаніе
праꙁнить|празніть
ѹма:|оума
ѿ|от
мирьскꙑихь|мірьскъііхь
сластии:|сластіі
и|і
ѿ|от
всѧкого|всѧкого
дѣланиꙗ|дѣланіꙗ
вьслаплꙗеть:|вьслаплꙗеть
пльть|пльть
и|і
крьвь|крьвь
рече:|рече
ап҃ль|ап҃ль
пльтьскыꙗ|пльтьскъіꙗ
страсти:|страсті
и|і
ниꙁьвлачашта|нізьвлачаща
ѹма|оума
вь|вь
хотѣние|хотѣніе
свое|свое
ꙁане|зане
рече|рече
пльть|пльть
и|і
крьвь:|крьвь
црс҃твиꙗ|црс҃твіꙗ
бж҃иꙗ|бж҃іꙗ
не|не
имать|імать
наслѣдовати:|наслѣдоваті
си|сі
пльть:|пльть
пишта|піща
есть|есть
чрьв͗мь:|чрьвмь
вьнегда|вьнегда
приближать|прібліжать
сꙗ|сꙗ
на|на
мꙗ•|мꙗ
ꙁьлобꙋѫштеи•|зьлобоуѫщеі
сьнѣсти|сьнѣсті
пльтии|пльтіі
моихь•|моіхь
иже|іже
ѹбо|оубо
вьꙁдрьжанием͗|вьздрьжаніем
истаить|істаіть
пльть|пльть
своѫ•|своѫ
гладомь|гладомь
ꙁаморить|заморіть
бѣсꙑ:|бѣсъі
и|і
немоштьнѣишаꙗ|немощьнѣішаꙗ
на|на
своѫ|своѫ
брань|брань
сьдѣваеть•|сьдѣваеть
трѣбѣ|трѣбѣ
ѹбо|оубо
есть|есть
ꙗкоже|ꙗкоже
речено:|речено
всѣми|всѣмі
чѹвьствии|чоувьствіі
вьꙁдрьжати|вьздрьжаті
сꙗ|сꙗ
ꙁьрѣниемь•|зьрѣніемь
слѹхомь•|слоухомь
обонꙗниемь•|обонꙗніемь
ꙗꙁыкомь|ꙗзъікомь
же|же
и•|і
чрѣвомь:|чрѣвомь
и|і
косениемь:|косеніемь
стѹпаниемь•|стоупаніемь
нелѣпомь•|нелѣпомь
и|і
прочиими:|прочіімі
подобаеть|подобаеть
бо|бо
вьꙁдрьжьникѹ:|вьздрьжьнікоу
всѧкоꙗ|всѧкоꙗ
стѹдовьныꙗ|стоудовьнъіꙗ
сласти:|сласті
и|і
желаниꙗ|желаніꙗ
вышьшѹ|въішьшоу
быти•|бъіті
вьꙁдрьжание|вьздрьжаніе
бо|бо
рачителе|рачітеле
ꙗвѣ|ꙗвѣ
тѣломь|тѣломь
сьдрави|сьдраві
сѹт:|соут
а|а
ѹмомь|оумомь
цѣли|цѣлі
дш҃а|дш҃а
веселꙗште:|веселꙗще
радостиѫ|радостіѫ
ꙗже|ꙗже
кь|кь
б҃ѹ:|б҃оу
ѹма|оума
ѿ|от
ꙁемьныхь:|земьнъіхь
ѿстѹпльшꙗ•|отстоупльша
а|а
вышьниихь|въішьнііхь
желаѫшта•|желаѫща
вьсꙗкого|вьсꙗкого
сластохотѣниꙗ•|сластохотѣніꙗ
тѹждї|тоужді
сѹште:|соуще
прокое|прокое
ненавистьници•|ненавістьніці
страстемь:|страстемь
а|а
бг҃олюбьци|бг҃олюбьці
обрѣтаѫть|обрѣтаѫть
сꙗ:|сꙗ
млт҃ва|млт҃ва
же|же
ихь|іхь
чиста|чіста
къ|къ
гв҃и|гв҃і
и|і
сь|сь
анг҃лы|анг҃лъі
славꙗть|славꙗть
б҃а:|б҃а
рекошꙗ|рекоша
же|же
и|і
книгы:|кнігъі
вь|вь
слѣдь|слѣдь
похотии|похотіі
своихь|своіхь
не|не
ходи•|ході
и|і
ѿ|от
желаемыихь|желаемъііхь
си|сі
вьꙁбранꙗи•|вьзбранꙗі
и|і
не|не
весели|веселі
сꙗ|сꙗ
м͗ноꙁѣ|мнозѣ
брашьнѣ:|брашьнѣ
и|і
не|не
прѣсыштаи|прѣсъіщаі
сꙗ|сꙗ
вь|вь
вьсꙗкои|вьсꙗкоі
пишти•|піщі
и|і
не|не
раꙁливаи|разліваі
сꙗ•|сꙗ
на|на
раꙁличьна|разлічьна
брашьна•|брашьна
вь|вь
мноꙁѣ|мнозѣ
бо|бо
брашънѣ|брашънѣ
недѹгь|недоугь
бѹдеть:|боудеть
вьнимаꙗи|вьнімаꙗі
же|же
приложить|пріложіть
животѣ:|жівотѣ
блаженыи|блаженъіі
же|же
д҃дь|д҃дь
покаꙁаꙗ|показаꙗ
сьврьшеное|сьврьшеное
вьꙁдрьжание|вьздрьжаніе
рече:|рече
присвꙗнѹхь|прісвꙗноухь
ꙗко|ꙗко
сѣно•|сѣно
исьше|ісьше
и|і
ср҃дце|ср҃дце
мое|мое
ꙗко|ꙗко
ꙁьбыхь|зьбъіхь
сьнѣсти|сьнѣсті
хлѣба|хлѣба
моего:|моего
ѿ|от
гласа|гласа
вьꙁдыханиꙗ|вьздъіханіꙗ
моего:|моего
прильпе|прільпе
пльть|пльть
моꙗ|моꙗ
кости|кості
моеи:|моеі
и|і
пакы|пакъі
ꙁане|зане
попель|попель
ꙗко|ꙗко
хлѣбь|хлѣбь
ꙗхь:|ꙗхь
питие|пітіе
мое|мое
сь|сь
плачем͗|плачем
растварꙗхь:|растварꙗхь
павьль|павьль
же|же
рече:|рече
ѹмрьтвите|оумрьтвіте
ѹды|оудъі
вашꙗ|ваша
ꙁем͗ныꙗ•|земнъіꙗ
и|і
пакы|пакъі
очистимь|очістімь
себе|себе
братиꙗ|братіꙗ
ѿ|от
в͗сꙗкоꙗ|всꙗкоꙗ
скврьны|скврьнъі
пльти•|пльті
и|і
дх҃а•|дх҃а
сьдѣваѫште|сьдѣваѫще
ст҃ынѫ|ст҃ъінѫ
вь|вь
страсѣ|страсѣ
бж҃ии:|бж҃іі
да|да
бѹдемь|боудемь
цр҃кꙑ|цр҃къі
б҃а|б҃а
жива•|жіва
и|і
петрь|петрь
подадите|подадіте
вь|вь
вѣрѣ|вѣрѣ
вашеи|вашеі
добрѹ|доброу
дѣтель•|дѣтель
а|а
въ|въ
дѣтели|дѣтелі
раꙁѹмь•|разоумь
а|а
вь|вь
раꙁѹмѣ•|разоумѣ
вьꙁдрьжание•|вьздрьжаніе
и|і
трьпѣние•|трьпѣніе
трѣбѣ|трѣбѣ
ѹбо|оубо
есть•|есть
присно|прісно
трѣꙁвити|трѣзвіті
сꙗ|сꙗ
и|і
бьдѣти•|бьдѣті
и|і
вышьниихь|въішьнііхь
искати|іскаті
и|і
мѹдровати•|моудроваті
по|по
ꙁаповѣди|заповѣді
г҃ни|г҃ні
гл҃ѫшти•|гл҃ѫщі
да|да
бѹдѹть|боудоуть
чрѣсла|чрѣсла
ваша|ваша
прѣпоꙗсана•|прѣпоꙗсана
и|і
свѣтильници|свѣтільніці
горѹште|гороуще
и|і
вы|въі
подобьни|подобьні
члк҇ⷪмь•|члкомь
чаѫштемь|чаѫщемь
г҃а|г҃а
своего•|своего
когда|когда
вьꙁвратить|вьзвратіть
сꙗ|сꙗ
ѿ|от
бракь•|бракь
да|да
пришьдьшѹ|прішьдьшоу
и|і
тлькновьшѹ:|тлькновьшоу
абие|абіе
ѿврьꙁѹть|отврьзоуть
сꙗ|сꙗ
емѹ•|емоу
и|і
приводить•|пріводіть
блажени|блажені
раби|рабі
ти|ті
ꙗже|ꙗже
г҃ь|г҃ь
пришьдь|прішьдь
обрѧштеть|обрѧщеть
тако|тако
творꙗшта:|творꙗща
амин|амін
гл҃ѫ|гл҃ѫ
вамь•|вамь
ꙗко|ꙗко
прѣпоꙗшеть|прѣпоꙗшеть
сꙗ•|сꙗ
и|і
посадить|посадіть
ꙗ•|ꙗ
и|і
минѫвь|мінѫвь
послѹжить|послоужіть
им|ім
томѹ|томоу
слава|слава
вь|вь
вѣкы|вѣкъі
вѣкомь|вѣкомь
АМИН|амін
ꙁ҃|з҃
О|о
ПОСТѢ|постѣ
Чрьнориꙁьць|чрьнорізьць
хотꙗ|хотꙗ
чистомь|чістомь
постомь:|постомь
себе|себе
б҃ꙁѣ|б҃зѣ
присвоити•|прісвоіті
сѹштее|соущее
истовое|істовое
поштение:|пощеніе
дльжьнь|дльжьнь
есть•|есть
иꙁволити•|ізволіті
а|а
не|не
пораблꙗти|пораблꙗті
сꙗ|сꙗ
страстемь•|страстемь
и|і
велїе|веліе
беꙁмьвие|безмьвіе
дѣати|дѣаті
выинѫ|въіінѫ
и|і
таковыи|таковъіі
ан҃гломь|ан҃гломь
ретить•|ретіть
и|і
сь|сь
правьдьникы|правьдьнікъі
ликѹеть•|лікоуеть
свобаждаемь|свобаждаемь
бо|бо
ꙁемьныихъ|земьнъііхъ
на|на
небесьскаꙗ|небесьскаꙗ
тьштит|тьщіт
сѧ•|сѧ
сьде|сьде
дрꙗселѹꙗ•|дрꙗселоуꙗ
онамо|онамо
свѣтьлить|свѣтьліть
сꙗ|сꙗ
сьде|сьде
нѹдꙗ|ноудꙗ
себе•|себе
тамо|тамо
почиваеть•|почіваеть
подобьнь|подобьнь
бо|бо
есть|есть
постьникь|постьнікь
фѹниковѹ|фоуніковоу
цвѣтѹ:|цвѣтоу
гл҃емꙋмѹ|гл҃емоумоу
алаѳиѫ:|алаѳіѫ
ꙗко|ꙗко
вьнѣѫдѹ|вьнѣѫдоу
ѹбо|оубо
есть|есть
дрꙗхлоблѣштьн•|дрꙗхлоблѣщьн
ѫтрьюдѣже|ѫтрьюдѣже
снѣжань•|снѣжань
и|і
многоплодьн͗•|многоплодьн
такожде|такожде
и|і
постьникь•|постьнікь
вьнѣѫдѹ|вьнѣѫдоу
сѣтѹеть•|сѣтоуеть
а|а
ѫтрьѭдѹ|ѫтрьѭдоу
свѣтьль|свѣтьль
сы|съі
кь|кь
б҃ѹ:|б҃оу
дрьꙁновениемь|дрьзновеніемь
бесѣдѹеть•|бесѣдоуеть
ел͗ми|елмі
бо|бо
рече•|рече
вьнѣшьнии|вьнѣшьніі
нашь|нашь
чл҃кь|чл҃кь
растьлѣваеть:|растьлѣваеть
тольми|тольмі
ѫтрьни|ѫтрьні
понавлꙗеть|понавлꙗеть
сꙗ:|сꙗ
дьнь|дьнь
аче|аче
д҃нь•|д҃нь
пость|пость
ѹбо|оубо
есть•|есть
еже|еже
не|не
тьчьѫ|тьчьѫ
поꙁдѣ|поздѣ
ꙗдати•|ꙗдаті
нь|нь
еже|еже
мало|мало
ꙗсти•|ꙗсті
и|і
не|не
еже|еже
черес͗|черес
д͗нь|днь
ꙗсти•|ꙗсті
се|се
поштение|пощеніе
есть•|есть
нь|нь
еже|еже
нераꙁличьна|неразлічьна
брашьна|брашьна
ꙗсти•|ꙗсті
поштение|пощеніе
бо|бо
истинно|істінно
есть•|есть
трꙗпеꙁа|трꙗпеза
единѣмь|едінѣмь
брашьномь|брашьномь
ѹстроена•|оустроена
пость|пость
же|же
беꙁѹмьнъ|безоумьнъ
есть•|есть
иже|іже
ѹставьнааго|оуставьнааго
врѣмене|врѣмене
жидеть|жідеть
вь|вь
годь•|годь
еже|еже
ꙗстии|ꙗстіі
и•|і
беꙁ|без
вьстꙗгноваениꙗ•|вьстꙗгноваеніꙗ
кь|кь
трꙗпеꙁѣ|трꙗпезѣ
влѣчеть•|влѣчеть
и|і
сь|сь
пльтиѫ|пльтіѫ
ѹма|оума
кь|кь
сласти|сласті
прѣдьлежаштии|прѣдьлежащіі
вꙗжꙗ•|вꙗжа
нуждьно|нуждьно
есть|есть
и|і
се|се
блюсти•|блюсті
вь|вь
вьꙁдрьжани|вьздрьжані
брашьннѣем͗|брашьннѣем
да|да
не|не
вь|вь
скарѣдие|скарѣдіе
ихь|іхь
кого|кого
придеть•|прідеть
кьто|кьто
кьгда•|кьгда
се|се
бо|бо
и|і
проклꙗто|проклꙗто
есть•|есть
и|і
бѣсовьско|бѣсовьско
ѿнѫдь•|отнѫдь
не|не
ꙗко|ꙗко
ꙁьло|зьло
бо•|бо
ѿемлемь|отемлемь
сꙗ|сꙗ
ихь•|іхь
да|да
не|не
бѹдеть•|боудеть
нь|нь
да|да
сластьныихь|сластьнъііхь
крьмь|крьмь
себе|себе
ѿврьгьше•|отврьгьше
полꙗштꙗꙗ|полꙗщаꙗ
ѹды|оудъі
пльти|пльті
вь|вь
мѣрѹ•|мѣроу
ѹдрѹчаемь•|оудроучаемь
да|да
аште|аще
же|же
сьдравь|сьдравь
есть•|есть
мѹчить|моучіть
сꙗ•|сꙗ
лѣпотьнѣ|лѣпотьнѣ
егдаже|егдаже
и|і
немоштьнѹеть|немощьноуеть
крьмить|крьміть
сꙗ|сꙗ
мѣрьнѣ|мѣрьнѣ
не|не
подобаеть|подобаеть
бо|бо
ослаблꙗти|ослаблꙗті
тѣла|тѣла
подвиꙁаѫштиимь|подвізаѫщіімь
сꙗ:|сꙗ
нь|нь
елико|еліко
довьлѣти|довьлѣті
на|на
подвигь|подвігь
мошти:|мощі
прьвое|прьвое
ꙁаконь|законь
ꙁаповѣдаеть|заповѣдаеть
гл҃ꙗ•|гл҃ꙗ
иже|іже
аште|аще
помолить|помоліть
сꙗ|сꙗ
молитвою|молітвою
и|і
сикеры|сікеръі
да|да
очистить|очістіть
сꙗ•|сꙗ
и|і
елико|еліко
сътварꙗеть|сътварꙗеть
сꙗ|сꙗ
ѿ|от
лоꙁиꙗ:|лозіꙗ
да|да
не|не
сьнѣсть|сьнѣсть
всꙗ|всꙗ
дьни|дьні
мл҃твы|мл҃твъі
своеѧ•|своеѧ
ꙗко|ꙗко
с҃ть|с҃ть
бѹдеть|боудеть
г҃ѫ:|г҃ѫ
и|і
даниль|даніль
рече:|рече
аꙁь|азь
бѣхь|бѣхь
плача|плача
сꙗ|сꙗ
три|трі
седморица|седморіца
д҃нь:|д҃нь
хлѣба|хлѣба
желаниа|желаніа
не|не
ꙗхъ•|ꙗхъ
и|і
вино|віно
не|не
вьниде|вьніде
вь|вь
ѹста|оуста
моꙗ:|моꙗ
маꙁнѫ|мазнѫ
не|не
помаꙁахь|помазахь
сꙗ•|сꙗ
тѣмьже|тѣмьже
тако|тако
сꙗ|сꙗ
истаивь|істаівь
неꙗденьимь•|неꙗденьімь
и|і
отьнѫдь|отьнѫдь
не|не
желаꙗ|желаꙗ
ꙗдомыхь:|ꙗдомъіхь
бы҇ⷭ|бъіс
мѹжь|моужь
желании|желаніі
дх҃овьныихь:|дх҃овьнъііхь
и|і
сьподоби|сьподобі
сꙗ:|сꙗ
таинь|таінь
потаеныихь|потаенъііхь
видьць|відьць
быти•|бъіті
и|і
сьбесѣдьникь|сьбесѣдьнікь
анг҃лѹ|анг҃лоу
гаврилѹ:|гаврілоу
такожде|такожде
и|і
ꙗдь|ꙗдь
трии|тріі
отрокь•|отрокь
ѿ|от
сѣмѧнь|сѣмѧнь
ꙁемьныихь|земьнъііхь
бѣаше:|бѣаше
и|і
вьꙁдрьжание|вьздрьжаніе
ихь:|іхь
и|і
любы|любъі
ꙗже|ꙗже
кь|кь
б҃ѹ|б҃оу
огнь|огнь
пештьныи|пещьнъіі
на|на
росѹ|росоу
прѣложи:|прѣложі
и|і
моси:|мосі
четырьми|четъірьмі
десꙗты|десꙗтъі
дн҃ьми:|дн҃ьмі
поста|поста
ꙁако|зако
приꙗть:|пріꙗть
такоже|такоже
и|і
илиꙗ|іліꙗ
толицѣми|толіцѣмі
дн҃ьми|дн҃ьмі
поста•|поста
самовидьць|самовідьць
славы|славъі
г҃нꙗ|г҃нꙗ
бы҇ⷭ:|бъіс
и|і
анна•|анна
самоилѧ|самоілѧ
постомь|постомь
и|і
молитвоѫ•|молітвоѫ
приꙗтъ|пріꙗтъ
и|і
ап҃ль|ап҃ль
трѹды•|троудъі
и|і
бьдѣнии•|бьдѣніі
и|і
посты|постъі
тѣло|тѣло
порабоштааше|порабощааше
Рече|рече
же|же
и|і
прⷪкь|прокь
иоиль|іоіль
ос҃тите|ос҃тіте
поштение:|пощеніе
проповѣдите|проповѣдіте
слѹжение•|слоуженіе
и|і
вьꙁьпиите:|вьзьпііте
ѹвы|оувъі
мнѣ|мнѣ
ѹвы|оувъі
мнѣ:|мнѣ
ꙗко|ꙗко
блиꙁь|блізь
дьнь|дьнь
гн҃ь•|гн҃ь
и|і
по|по
малѣ•|малѣ
нынꙗ|нъінꙗ
гл҃еть|гл҃еть
г҃ь|г҃ь
б҃ь|б҃ь
нашь:|нашь
обратите|обратіте
сꙗ|сꙗ
кь|кь
мнѣ|мнѣ
вьсѣмь|вьсѣмь
срдцемь|срдцемь
вашимь:|вашімь
поштениемь|пощеніемь
и|і
рыданиемь•|ръіданіемь
и|і
паче|паче
вьпиемь•|вьпіемь
и|і
растрьгнѣте|растрьгнѣте
срд҃ца|срд҃ца
вашꙗ:|ваша
и|і
обратите|обратіте
сꙗ|сꙗ
кь|кь
г҃ѹ|г҃оу
б҃ѹ|б҃оу
вашемѹ|вашемоу
ꙗко|ꙗко
милостивь•|мілостівь
и|і
штедрь|щедрь
есть:|есть
трьпѣливь•|трьпѣлівь
и|і
мномилостивь:|мномілостівь
и|і
каꙗ|каꙗ
сꙗ|сꙗ
о|о
ꙁьлобахь|зьлобахь
вашихь:|вашіхь
и|і
пакы|пакъі
дв҃дь⸱|дв҃дь
аꙁь|азь
же|же
вьнегда|вьнегда
они|оні
огавие|огавіе
творꙗахѹ|творꙗахоу
ми:|мі
облачаахь|облачаахь
сꙗ|сꙗ
вь|вь
врѣтиште:|врѣтіще
и|і
сьмѣрꙗахь|сьмѣрꙗахь
постомь|постомь
д҃шѹ|д҃шоу
моѫ:|моѫ
и|і
колѣнѣ|колѣнѣ
мои|моі
иꙁнеможете|ізнеможете
постомь:|постомь
и|і
пльть|пльть
моꙗ|моꙗ
иꙁмѣни|ізмѣні
сꙗ|сꙗ
олѣѧ|олѣѧ
ради:|раді
поштение|пощеніе
бо|бо
истин͗но|істінно
есть:|есть
не|не
тьчьѫ|тьчьѫ
еже|еже
истаити|істаіті
себе|себе
самомѹ:|самомоу
нь|нь
и|і
еликоже|елікоже
есть|есть
ꙗди•|ꙗді
ѫже|ѫже
есть|есть
хотѣль|хотѣль
ꙗсти:|ꙗсті
дати|даті
вьдовици•|вьдовіці
и|і
сиротѣ|сіротѣ
да|да
вьꙁьмь|вьзьмь
и|і
насышть|насъіщь
сꙗ|сꙗ
молить|моліть
сѧ|сѧ
ꙁа|за
нь:|нь
и|і
приꙗта|пріꙗта
бѫдеть|бѫдеть
жрьтва|жрьтва
его|его
б҃мь:|б҃мь
ꙗкоже|ꙗкоже
рече|рече
исаиꙗ:|ісаіꙗ
постꙗ|постꙗ
сꙗ|сꙗ
раꙁдраблꙗи|раздраблꙗі
алчьныимь|алчьнъіімь
хлѣбь|хлѣбь
свои:|своі
благыи|благъіі
же|же
нашь|нашь
вл҃ка:|вл҃ка
хотꙗ|хотꙗ
дѣломь|дѣломь
ны|нъі
накаꙁати•|наказаті
прьвь•|прьвь
самь|самь
пости|пості
сꙗ•|сꙗ
и|і
о|о
бѣсьнѣмь|бѣсьнѣмь
рече:|рече
сь|сь
род•|род
ничимьже|нічімьже
можеть|можеть
иꙁити:|ізіті
тькьмо|тькьмо
мл҃твоѫ|мл҃твоѫ
и|і
постомь•|постомь
и|і
приводить•|пріводіть
егда|егда
постиши|постіші
сꙗ:|сꙗ
не|не
бѹди|боуді
ꙗко|ꙗко
лицемѣри:|ліцемѣрі
и|і
блажени|блажені
ал͗чѹште|алчоуще
нынꙗ:|нъінꙗ
ꙗко|ꙗко
ти|ті
насытꙗть|насъітꙗть
сꙗ|сꙗ
о|о
х҃ѣ|х҃ѣ
емѹже|емоуже
слава|слава
вь|вь
вѣкы|вѣкъі
вѣком:|вѣком
АМИН|амін
и҃|і҃
Ꙍ|о
СРЕБРОЛЮБИИ|сребролюбіі
Сребролюбиꙗ|сребролюбіꙗ
недѹгь•|недоугь
ꙁѣло|зѣло
лютъ|лютъ
и|і
гѹбительнь|гоубітельнь
есть•|есть
немоштьно|немощьно
ѹбо|оубо
жити|жіті
бг҃оѹгодно:|бг҃ооугодно
сѹштѹмѹ|соущоумоу
сластолюбивѹ|сластолюбівоу
и|і
сребролѫбивѹ:|сребролѫбівоу
си|сі
бо|бо
ꙗꙁꙗ|ꙗзꙗ
егда|егда
стѹденѫ|стоуденѫ
и|і
невѣрьнѹ|невѣрьноу
обрꙗть|обрꙗть
д҃шѹ:|д҃шоу
блг҃ны|блг҃нъі
етерь|етерь
воложить|воложіть
вь|вь
нѫ|нѫ
вины•|вінъі
написаваеть|напісаваеть
бо|бо
вь|вь
ѹмѣ|оумѣ
чрьнориꙁьцѹ•|чрьнорізьцоу
старость|старость
дльгѹ:|дльгоу
и|і
немошть|немощь
тѣлѹ:|тѣлоу
и|і
ꙗкоже|ꙗкоже
море|море
не|не
напльнѧеть|напльнѧеть
сꙗ|сꙗ
приемлꙗ|пріемлꙗ
множьство|множьство
рѣкь:|рѣкь
тако|тако
желание|желаніе
сребролюбиꙗ:|сребролюбіꙗ
не|не
испльнꙗеть|іспльнꙗеть
сꙗ|сꙗ
трѣбовании:|трѣбованіі
хотꙗи|хотꙗі
ѹбо|оубо
ѿсѣшти|отсѣщі
сребролюбиꙗ|сребролюбіꙗ
врѣдь:|врѣдь
корень|корень
да|да
исѣчеть•|ісѣчеть
сѫштѹ|сѫщоу
бо|бо
корени|корені
и|і
присѣкаемамь|прісѣкаемамь
вѣтвьмь:|вѣтвьмь
пакы|пакъі
ѿрастѹть:|отрастоуть
сребролюбивь|сребролюбівь
црьньць:|црьньць
дѣлаеть|дѣлаеть
прилѣжьно•|прілѣжьно
а|а
небрегы|небрегъі
имѣниꙗ:|імѣніꙗ
млт҃вахь|млт҃вахь
прилежить|прілежіть
и|і
чьтениихъ:|чьтенііхъ
Сребролюбивии|сребролюбівіі
сьбираѫть|сьбіраѫть
вьлагаѫште|вьлагаѫще
на|на
ꙁемле:|земле
а|а
несьтꙗживы:|несьтꙗжівъі
на|на
небеси•|небесі
гл҃ѫть|гл҃ѫть
же|же
кьнигы:|кьнігъі
проклꙗть|проклꙗть
творꙗи|творꙗі
идоль|ідоль
и|і
полагаꙗ|полагаꙗ
вь|вь
кровѣ•|кровѣ
такожде|такожде
и|і
имѣꙗи|імѣꙗі
сребролюбиꙗ|сребролюбіꙗ
страсть:|страсть
овь|овь
кланꙗеть|кланꙗеть
сꙗ|сꙗ
кѹмирѹ|коуміроу
непольꙁьнѹ•|непользьноу
овьжде•|овьжде
подобие|подобіе
носить•|носіть
привидѣние|прівідѣніе
богатьства•|богатьства
И|і
ꙗкоже|ꙗкоже
бываеть•|бъіваеть
чрѣвѹ|чрѣвоу
работаѫштиимь|работаѫщіімь
б҃ь|б҃ь
чрѣв|чрѣв
семѹ|семоу
ꙁлато|злато
такожде:|такожде
сь|сь
бѣсь•|бѣсь
чрьвь|чрьвь
вь|вь
костьхь|костьхь
чл҃кѹ|чл҃коу
бываеть:|бъіваеть
поꙗдаꙗ|поꙗдаꙗ
его|его
печалъѫ|печалъѫ
и|і
бесьньемь•|бесьньемь
и|і
ст҃ыими|ст҃ъіімі
книгами|кнігамі
въ|въ
истинѹ|істіноу
отьречено|отьречено
есть•|есть
симь|сімь
врѣдомь•|врѣдомь
ѧкоже|ѧкоже
речено:|речено
невѣрьнии•|невѣрьніі
и|і
ненадеждьии|ненадеждьіі
недѹгѹѫть:|недоугоуѫть
паче|паче
же|же
любосластьнии:|любосластьніі
и|і
идолослѹжителе•|ідолослоужітеле
ѹже|оуже
бо|бо
на|на
б҃а|б҃а
ѹпьваниꙗ|оупьваніꙗ
не|не
имѹть•|імоуть
нь|нь
на|на
капишта|капіща
цр҃ска•|цр҃ска
иже|іже
правааго|правааго
пѹти|поуті
сьстѹпьше•|сьстоупьше
вь|вь
брѣгы|брѣгъі
и|і
пропасти|пропасті
погыбѣльныꙗ:|погъібѣльнъіꙗ
вьводꙗть|вьводꙗть
сꙗ|сꙗ
ѩкоже|ѧкоже
рече•|рече
ѱание:|псаніе
любꙗи|любꙗі
ꙁлато•|злато
не|не
оправьдить|оправьдіть
сꙗ:|сꙗ
и|і
пакы•|пакъі
сребролюць•|сребролюць
ничьтоже|нічьтоже
беꙁаконнѣе:|безаконнѣе
сь|сь
бо|бо
и|і
своѫ|своѫ
дш҃ѹ|дш҃оу
продаждьнѹ|продаждьноу
творить•|творіть
и|і
мноꙁи|мнозі
дани|дані
бышꙗ|бъіша
вь|вь
падение|паденіе
ꙁлата|злата
ради•|раді
не|не
тьчьѫ|тьчьѫ
лика|ліка
анг҃льска|анг҃льска
испаде:|іспаде
нь|нь
и|і
прѣдатель|прѣдатель
влд҃чнь|влд҃чнь
бы҇ⷭ:|бъіс
и|і
ѹдавивь|оудавівь
сꙗ|сꙗ
погыбе:|погъібе
ибо|ібо
вы-истинѫ|въіістінѫ
гнѹсь|гноусь
и|і
скарѣдие|скарѣдіе
прокажениꙗ|прокаженіꙗ
есть|есть
сребролюбие•|сребролюбіе
ꙗкоже|ꙗкоже
ꙗвлено|ꙗвлено
бы҇ⷭ|бъіс
гиеꙁемь•|гіеземь
нь|нь
не|не
прѣбытьно|прѣбъітьно
есть|есть
хотꙗштѹмѹ•|хотꙗщоумоу
неестьствьно•|неестьствьно
бо|бо
нь|нь
волительно•|волітельно
и|і
можеть|можеть
вь|вь
скорѣ|скорѣ
чисть|чість
быти|бъіті
таковыи:|таковъіі
вьпиꙗ|вьпіꙗ
кь|кь
іс҃ѹ|іс҃оу
г҃и|г҃і
аште|аще
хоштѥши|хощеші
можеши|можеші
мꙗ|мꙗ
очистити•|очістіті
а|а
нерачаштѥмѹ|нерачащемоу
дрѣвѹ|дрѣвоу
прѣтыканиꙗ|прѣтъіканіꙗ
есть:|есть
жьрѹштиимь|жьроущіімь
емѹ|емоу
ї|і
вьсь|вьсь
беꙁѹмьныи|безоумьнъіі
вьпадеть|вьпадеть
сꙗ|сꙗ
вь|вь
не:|не
блажень|блажень
ѹбо|оубо
чл҃кь•|чл҃кь
иже|іже
обрѣте|обрѣте
сꙗ|сꙗ
