torot_word|deep_cleaned
беꙁмлъвьѥмь:|безмлъвьемь
и|і
трѹдꙑ|троудъі
отъ|отъ
ѹности|оуності
ꙁа|за
благочьстиѥ|благочьстіе
състарѣвъше|състарѣвъше
сѧ:|сѧ
стари:|старі
с҃толѣпьни:|с҃толѣпьні
сѣди|сѣді
власꙑ:|власъі
и|і
раꙁѹмомь:|разоумомь
блаꙁи:|блазі
съмѣрени:|съмѣрені
мѹдри:|моудрі
кротъци:|кротъці
цѣломѫдрьни:|цѣломѫдрьні
истин͗ни:|істінні
непорочъни:|непорочъні
правьдиви:|правьдіві
богочъстиви:|богочъстіві
огрѣбаѭще|огрѣбаѭще
сѧ|сѧ
отъ|отъ
вьсеꙗ|вьсеꙗ
ꙁълꙑ|зълъі
вещи:|вещі
бескѫдьни:|бескѫдьні
вьсѣхъ|вьсѣхъ
благъ|благъ
исплънени|ісплънені
же|же
б҃жиꙗ|б҃жіꙗ
любъве:|любъве
ови|ові
ихъ|іхъ
прѣшъдъше|прѣшъдъше
съто|съто
лѣтъ⸱|лѣтъ
въ|въ
беꙁмлъвии|безмлъвіі
живъше:|жівъше
ѡтъ|отъ
н҃|н҃
тъ|тъ
и|і
ѯ҃|ѯ҃
тъ|тъ
лѣтъ:|лѣтъ
и|і
не|не
исходѧще|ісходѧще
отинѹдь|отіноудь
иꙁ|із
лаврꙑ:|лавръі
ови|ові
же|же
ни|ні
въ|въ
цръкъвь|цръкъвь
иꙁлаꙁѧще:|ізлазѧще
ни|ні
града|града
же|же
видѣвъше:|відѣвъше
отънелѣ|отънелѣ
ѹединѣша:|оуедінѣша
дѣтельми|дѣтельмі
вьсѣми|вьсѣмі
ѹкрасовани:|оукрасовані
ꙁемьнии|земьніі
анг҃ли:|анг҃лі
и|і
небесьниї|небесьніі
чл҃вци:|чл҃вці
тѣмь|тѣмь
и|і
такѫ|такѫ
коньчинѹ|коньчіноу
опростиша:|опростіша
и|і
почъсть|почъсть
побѣдꙑ|побѣдъі
приꙗша:|пріꙗша
нашъдъшемъ|нашъдъшемъ
бо|бо
иꙁмаилитомъ:|ізмаілітомъ
нашеи|нашеі
лаврѣ:|лаврѣ
прѣжде|прѣжде
единоꙗ|едіноꙗ
недѣлѧ|недѣлѧ
прѣꙗтиꙗ|прѣꙗтіꙗ
ст҃ааго|ст҃ааго
града:|града
и|і
вьсѧ|вьсѧ
црькъвьнꙑꙗ|црькъвьнъіꙗ
свѧщенꙑꙗ|свѧщенъіꙗ
съсѹдꙑ|съсоудъі
раꙁграбльшемъ:|разграбльшемъ
мъноꙁи|мънозі
оц҃и|оц҃і
абиѥ|абіе
отъбѣгоша•|отъбѣгоша
осташа|осташа
же|же
крѣпъции|крѣпъціі
раби|рабі
хв҃и|хв҃і
въ|въ
лаврѣ:|лаврѣ
не|не
хотѧще|хотѧще
оставити|оставіті
мѣста:|мѣста
варвари|варварі
же|же
имавъше|імавъше
ꙗ:|ꙗ
и|і
по|по
мъногꙑ|мъногъі
дьни|дьні
мѹчивъше:|моучівъше
непьщѫѭще⸱|непьщѫѭще
имѣниꙗ|імѣніꙗ
обрѣсти:|обрѣсті
ѹ|оу
нихъже|ніхъже
ничъсоже|нічъсоже
вѣка|вѣка
сего|сего
не|не
бѧаше:|бѧаше
коньчънѣѥ|коньчънѣе
мꙑсли|мъіслі
своѥꙗ|своеꙗ
отъпадъше:|отъпадъше
неистовьни|неістовьні
бꙑвъше|бъівъше
вьсѧ|вьсѧ
на|на
ѹдꙑ|оудъі
растесаша:|растесаша
блажении|блаженіі
же|же
веселѹѭще|веселоуѭще
сѧ|сѧ
свѣтьломь|свѣтьломь
лицемь|ліцемь
благодарьнѣ|благодарьнѣ
д҃ша|д҃ша
своꙗ|своꙗ
г҃ѹ|г҃оу
отъдаша:|отъдаша
ꙗко|ꙗко
иꙁдавна|іздавна
желаниѥ|желаніе
имѫще|імѫще
раꙁдрѣшити|раздрѣшіті
сѧ|сѧ
и|і
съ|съ
х҃мь|х҃мь
бꙑти:|бъіті
поврьженомъ|поврьженомъ
же|же
тѣлесемъ|тѣлесемъ
ихъ|іхъ
на|на
мъногꙑ|мъногъі
дьни|дьні
непогребеномъ⸱|непогребеномъ
приидохомъ|пріідохомъ
мꙑ|мъі
отъ|отъ
аравиꙗ:|аравіꙗ
и|і
о҃ць|о҃ць
же|же
никомидъ|нікомідъ
ѹꙁьрѣвъ|оузьрѣвъ
мильнаѩ|мільнаѧ
та|та
видѣниꙗ|відѣніꙗ
о҃ць:|о҃ць
прѣнемогъ|прѣнемогъ
въ|въ
малѣ|малѣ
рещи|рещі
вьꙁѧтъ|вьзѧтъ
бꙑсть|бъість
мрьтвъ:|мрьтвъ
модестъ|модестъ
же|же
прѣподобьнꙑи|прѣподобьнъіі
пристѹпль|прістоупль
вьсѧ|вьсѧ
тѣлеса|тѣлеса
с҃тꙑихъ|с҃тъііхъ
събьравъ|събьравъ
омꙑ:|омъі
мъного|мъного
же|же
приплакавъ|пріплакавъ
и|і
охапавъ|охапавъ
ст҃ꙑꙗ|ст҃ъіꙗ
и|і
трьпѣливꙑꙗ|трьпѣлівъіꙗ
ихъ|іхъ
мощи:|мощі
положи|положі
въ|въ
ложихъ|ложіхъ
оч҃ихъ:|оч҃іхъ
сътворь|сътворь
же|же
надъ|надъ
ними|німі
обꙑчъноѥ|объічъное
правило:|правіло
прирече|прірече
имъ|імъ
исаиино|ісаііно
слово|слово
г҃лѫщеѥ:|г҃лѫщее
мѫжи|мѫжі
правьдиви|правьдіві
въꙁемлють|въземлють
сѧ:|сѧ
и|і
никътоже|нікътоже
не|не
раꙁѹмѣѥть:|разоумѣеть
отъ|отъ
лицѧ|ліцѧ
неправьдꙑ|неправьдъі
вьꙁѧтъ|вьзѧтъ
сѧ|сѧ
правьдьникъ:|правьдьнікъ
бѫдеть|бѫдеть
въ|въ
мирѣ|мірѣ
погребениѥ|погребеніе
ѥго:|его
и|і
д҃ша|д҃ша
правьдьнꙑихъ|правьдьнъііхъ
въ|въ
рѫцѣ|рѫцѣ
б҃жиї|б҃жіі
и|і
не|не
прикоснеть|прікоснеть
сѧ|сѧ
ихъ|іхъ
мѫка:|мѫка
они|оні
же|же
ѹсть|оусть
въ|въ
мирѣ:|мірѣ
и|і
ѹпъваниѥ|оупъваніе
ихъ|іхъ
бесъмрьтиꙗ|бесъмрьтіꙗ
исплънь:|ісплънь
малꙑ|малъі
покаꙁани:|показані
вельми|вельмі
благодѣтиѭ|благодѣтіѭ
свьтѧть|свьтѧть
сѧ⸱|сѧ
ꙗко|ꙗко
б҃ъ|б҃ъ
искѹси|іскоусі
ꙗ:|ꙗ
и|і
обрѣте|обрѣте
ꙗ|ꙗ
достоинꙑ|достоінъі
себѣ:|себѣ
и|і
ꙗко|ꙗко
вьсеплодьнꙑꙗ|вьсеплодьнъіꙗ
жрътвꙑ|жрътвъі
приꙗтъ|пріꙗтъ
ꙗ:|ꙗ
и|і
въ|въ
врѣмѧ|врѣмѧ
посѣщениꙗ|посѣщеніꙗ
ихъ|іхъ
въсьꙗѭть:|въсьꙗѭть
и|і
си|сі
о|о
ст҃ꙑихъ|ст҃ъііхъ
оц҃ихъ|оц҃іхъ
нашихъ|нашіхъ
рекъ:|рекъ
молѧаше|молѧаше
вьсѧ|вьсѧ
нꙑ|нъі
не|не
оставити|оставіті
мѣста|мѣста
того:|того
нъ|нъ
трьпѣти|трьпѣті
добльнѣ|добльнѣ
въ|въ
напастьхъ:|напастьхъ
помьнѧще|помьнѧще
г҃а|г҃а
г҃лѫща:|г҃лѫща
ꙗко|ꙗко
тѣсна|тѣсна
сѹть|соуть
врата|врата
и|і
ѹꙁъкъ|оузъкъ
пѫть|пѫть
въводѧи|въводѧі
въ|въ
жиꙁнь:|жізнь
