mysql> select tokens.id, token_alignment_id from tokens left join sentences on sentence_id = sentences.id left join source_divisions on source_division_id = source_divisions.id left join sources on source_id = sources.id where code = "psal-sin";
+---------+--------------------+
| id      | token_alignment_id |
| 2338982 |               NULL |
| 2338983 |            3332291 |
| 2338984 |            3332292 |
| 2338985 |            3332293 |
| 2338986 |            3332294 |
| 2338987 |            3332295 |
| 2338988 |            3332296 |
| 2338989 |            3332297 |
| 2338990 |            3332298 |
| 2338991 |            3332300 |
| 2338992 |            3332301 |
| 2338993 |            3332302 |
| 2338994 |            3332303 |
| 2338995 |            3332305 |
| 2338996 |            3332306 |
| 2338997 |            3332308 |
| 2338998 |            3332312 |
| 2338999 |            3332311 |
| 2339000 |            3332313 |
| 2339001 |            3332314 |
| 2339002 |               NULL |
| 2339003 |               NULL |
| 2339004 |            3332316 |
| 2339005 |            3332317 |
| 2339006 |               NULL |
| 2339007 |            3332319 |
| 2339009 |            3332320 |
| 2339010 |            3332322 |
| 2339011 |            3332323 |
| 2339012 |            3332324 |
| 2339013 |            3332326 |
| 2339014 |            3332327 |
| 2339015 |               NULL |
| 2339016 |               NULL |
| 2339017 |            3332329 |
| 2339018 |            3332330 |
| 2339019 |            3332331 |
| 2339020 |               NULL |
| 2339021 |            3332332 |
| 2339022 |            3332333 |
| 2339023 |            3332335 |
| 2339024 |            3332336 |
| 2339025 |            3332337 |
| 2339026 |            3332338 |
| 2339027 |               NULL |
| 2339028 |            3332340 |
| 2339029 |            3332341 |
| 2339030 |            3332342 |
| 2339031 |            3332344 |
| 2339032 |            3332345 |
| 2339033 |            3332346 |
| 2339034 |            3332347 |
| 2339035 |            3332348 |
| 2339036 |            3332349 |
| 2339037 |            3332350 |
| 2339038 |            3332351 |
| 2339039 |            3332352 |
| 2339040 |            3332353 |
| 2339041 |            3332354 |
| 2339042 |            3332356 |
| 2339043 |            3332357 |
| 2339044 |            3332358 |
| 2339045 |            3332359 |
| 2339046 |            3332360 |
| 2339047 |            3332361 |
| 2339048 |            3332362 |
| 2339049 |            3332363 |
| 2339050 |            3332364 |
| 2339051 |            3332366 |
| 2339052 |            3332367 |
| 2339053 |            3332369 |
| 2339054 |            3332370 |
| 2339055 |            3332371 |
| 2339056 |            3332373 |
| 2339057 |            3332374 |
| 2339058 |            3332375 |
| 2339059 |            3332376 |
| 2339060 |            3332377 |
| 2339061 |            3332378 |
| 2339062 |            3332379 |
| 2339063 |            3332380 |
| 2339064 |            3332381 |
| 2339065 |            3332382 |
| 2339066 |            3332383 |
| 2339067 |            3332385 |
| 2339068 |            3332387 |
| 2339069 |            3332388 |
| 2339070 |            3332389 |
| 2339071 |            3332390 |
| 2339072 |            3332394 |
| 2339073 |            3332391 |
| 2339074 |            3332392 |
| 2339075 |            3332393 |
| 2346584 |               NULL |
| 2346585 |               NULL |
| 2346731 |               NULL |
| 2346586 |            3320082 |
| 2346587 |            3320084 |
| 2346588 |               NULL |
| 2346589 |            3320085 |
| 2346590 |            3320086 |
| 2346591 |            3320087 |
| 2346592 |            3320088 |
| 2346593 |               NULL |
| 2346594 |            3320089 |
| 2346595 |            3320090 |
| 2346596 |            3320092 |
| 2346597 |            3320094 |
| 2346598 |            3320098 |
| 2346599 |               NULL |
| 2346600 |            3320099 |
| 2346601 |            3320102 |
| 2346602 |            3320104 |
| 2346603 |               NULL |
| 2346604 |            3320108 |
| 2346605 |            3320109 |
| 2346732 |               NULL |
| 2346606 |            3320111 |
| 2346607 |            3320113 |
| 2346608 |            3320114 |
| 2346609 |            3320115 |
| 2346610 |            3320116 |
| 2346611 |            3320117 |
| 2346612 |            3320118 |
| 2346613 |            3320120 |
| 2346614 |            3320121 |
| 2346615 |            3320123 |
| 2346616 |            3320124 |
| 2346617 |            3320125 |
| 2346618 |            3320126 |
| 2346619 |               NULL |
| 2346620 |            3320127 |
| 2346621 |            3320128 |
| 2346622 |            3320130 |
| 2346623 |            3320131 |
| 2346624 |               NULL |
| 2346625 |            3320132 |
| 2346626 |            3320133 |
| 2346627 |            3320134 |
| 2346628 |            3320135 |
| 2346629 |            3320136 |
| 2346630 |            3320138 |
| 2346631 |            3320139 |
| 2346632 |            3320140 |
| 2346633 |            3320143 |
| 2346634 |            3320144 |
| 2346635 |            3320145 |
| 2346636 |            3320146 |
| 2346637 |            3320147 |
| 2346638 |            3320148 |
| 2346639 |            3320149 |
| 2346640 |               NULL |
| 2346641 |               NULL |
| 2346642 |            3320150 |
| 2346643 |            3320151 |
| 2346644 |            3320152 |
| 2346645 |            3320153 |
| 2346646 |            3320154 |
