бж҃іи,3522491,θεοῦ,268107
рьци,3522492,εἰπὲ,268109
да,3522493,ἵνα,268110
камение,3522494,λίθοι,268112
се,3522495,οὗτοι,268113
xлѣби,3522496,ἄρτοι,268114
бѫдѫтъ,3522497,γένωνται,268115
о̆нъ,3522498,ὁ,268117
же,3522499,δὲ,268118
отъвѣштавъ,3522500,ἀποκριθεὶς,268119
рече,3522501,εἶπεν,268120
пишетъ,3522502,γέγραπται,268122
не,3522503,οὐκ,268124
о,3522504,ἐπ’,268125
xлѣбѣ,3522505,ἄρτῳ,268126
единомь,3522506,μόνῳ,268127
поживетъ,3522507,ζήσεται,268128
чк҃ъ,3522508,ἄνθρωπος,268130
нъ,3522509,ἀλλ’,268132
о̆,3522510,ἐπὶ,268133
всемь,3522511,παντὶ,268134
гл҃ѣ,3522512,ῥήματι,268135
ꙇсxодѧштиімь,3522513,ἐκπορευομένῳ,268136
ꙇз,3522514,διὰ,268137
оустъ,3522515,στόματος,268138
бж҃іи,3522516,θεοῦ,268139
тогда,3522517,τότε,268141
поѩтъ,3522518,παραλαμβάνει,268142
і,3522519,αὐτὸν,268143
диѣволъ,3522520,διάβολος,268145
вь,3522521,εἰς,268146
ст҃ъꙇ,3522522,ἁγίαν,268148
градъ,3522523,πόλιν,268149
ꙇ,3522524,καὶ,268151
постави,3522525,ἔστησεν,268152
і,3522526,αὐτὸν,268153
на,3522527,ἐπὶ,268154
крилѣ,3522528,πτερύγιον,268156
црък'вьнѣемь,3522529,ἱεροῦ,268158
ꙇ,3522530,καὶ,268160
гл҃а,3522531,λέγει,268161
емоу,3522532,αὐτῷ,268162
аште,3522533,εἰ,268164
сн҃ъ,3522534,υἱὸς,268165
еси,3522535,εἶ,268166
бж҃іи,3522536,θεοῦ,268168
поусти,3522537,βάλε,268170
себе,3522538,σεαυτὸν,268171
долоу,3522539,κάτω,268172
пишетъ,3522540,γέγραπται,268174
бо,3522541,γὰρ,268175
ѣко,3522542,ὅτι,268176
аꙉл҃омъ,3522543,ἀγγέλοις,268178
своимъ,3522544,αὐτοῦ,268179
заповѣстъ,3522545,ἐντελεῖται,268180
о,3522546,,
тебѣ,3522547,σοῦ,268182
ꙇ,3522548,καὶ,268183
на,3522549,ἐπὶ,268184
рѫкаxъ,3522550,χειρῶν,268185
възъмѫтъ,3522551,ἀροῦσίν,268186
тѧ,3522552,σε,268187
да,3522553,μήποτε,268189
не,3522554,,
когда,3522555,,
прѣтъкнеши,3522556,,
о,3522557,περὶ,268181
камен??,3522558,λίθον,268192
ногѫ,3522559,πόδα,268194
своѫ,3522560,,
Рече,3522561,ἔφη,268197
же,3522562,,
емоу,3522563,αὐτῷ,268198
ис҃,3522564,Ἰησοῦς,268200
пакꙑ,3522565,πάλιν,268202
пишетъ,3522566,γέγραπται,268203
не,3522567,οὐκ,268205
ꙇскоусиши,3522568,ἐκπειράσεις,268206
г҃а,3522569,κύριον,268207
б҃а,3522570,θεόν,268209
своего,3522571,σου,268210
пакꙑ,3522572,πάλιν,268212
поѩтъ,3522573,παραλαμβάνει,268213
его,3522574,αὐτὸν,268214
неприѣзнь,3522575,διάβολος,268216
на,3522576,εἰς,268217
горѫ,3522577,ὄρος,268218
вꙑсокѫ,3522578,ὑψηλὸν,268219
ꙃѣло,3522579,λίαν,268220
ꙇ,3522580,καὶ,268222
показа,3522581,δείκνυσιν,268223
емоу,3522582,αὐτῷ,268224
вьсѣ,3522583,πάσας,268225
цр҃ствиѣ,3522584,βασιλείας,268227
мира,3522585,κόσμου,268229
ꙇ,3522586,καὶ,268230
славѫ,3522587,δόξαν,268232
его,3522588,αὐτῶν,268233
ꙇ,3522589,καὶ,268235
гл҃а,3522590,εἶπεν,268236
емоу,3522591,αὐτῷ,268237
вьсѣ,3522592,πάντα,268241
си,3522593,ταῦτά,268239
дамь,3522594,δώσω,268242
ти,3522595,σοι,268240
аште,3522596,ἐὰν,268243
падъ,3522597,πεσὼν,268244
поклониши,3522598,προσκυνήσῃς,268245
ми,3522599,μοι,268246
сѧ,3522600,,
тогда,3522601,τότε,268248
гл҃а,3522602,λέγει,268249
емоу,3522603,αὐτῷ,268250
ис҃,3522604,Ἰησοῦς,268252
отиди,3522605,ὕπαγε,268254
диѣвол҄е,3522606,σατανᾶ,268256
пишетъ,3522607,γέγραπται,268258
бо,3522608,γάρ,268259
г҃ю,3522609,κύριον,268261
б҃ѵ,3522610,θεόν,268263
своемоу,3522611,σου,268264
поклониши,3522612,προσκυνήσεις,268265
сѧ,3522613,,
ꙇ,3522614,καὶ,268266
томоу,3522615,αὐτῷ,268267
единомоу,3522616,μόνῳ,268268
послоужиши,3522617,λατρεύσεις,268269
тогда,3522618,τότε,268271
остави,3522619,ἀφίησιν,268272
его,3522620,αὐτὸν,268273
диѣволъ,3522621,διάβολος,268275
ꙇ,3522622,καὶ,268277
се,3522623,ἰδοὺ,268278
аꙉл҃и,3522624,ἄγγελοι,268279
пристѫпишѧ,3522625,προσῆλθον,268280
ꙇ,3522626,καὶ,268281
слоужааxѫ,3522627,διηκόνουν,268282
емоу,3522628,αὐτῷ,268283
Слꙑшавъ,3522629,ἀκούσας,268285
же,3522630,δὲ,268286
ис҃,3522631,,
ѣко,3522632,ὅτι,268287
ꙇоӑнъ,3522633,Ἰωάννης,268288
прѣданъ,3522634,παρεδόθη,268289
бꙑстъ,3522635,,
отиде,3522636,ἀνεχώρησεν,268290
въ,3522637,εἰς,268291
галилеѭ,3522638,Γαλιλαίαν,268293
ꙇ,3522639,καὶ,268295
оставь,3522640,καταλιπὼν,268296
назаретъ,3522641,Ναζαρὰ,268298
пришедъ,3522642,ἐλθὼν,268299
вьсели,3522643,κατῴκησεν,268300
сѧ,3522644,,
въ,3522645,εἰς,268301
каперьнаоумъ,3522646,Καφαρναοὺμ,268302
на,3522647,,
поморие,3522648,παραθαλασσίαν,268304
въ,3522649,ἐν,268305
область,3522650,ὁρίοις,268306
завѵлон҄ѭ,3522651,Ζαβουλὼν,268307
ꙇ,3522652,καὶ,268308
невъф'талимл҄ѭ,3522653,Νεφθαλείμ,268309
да,3522654,ἵνα,268311
съконьчаатъ,3522655,πληρωθῇ,268312
