tokno|orv_word_torot|lemma_id|lemma_orv|text_title|subtitle|sentence_no|sentence_txt
37393|възʼвращахꙋ|1506|възвращати|The tale of the fall of Constantinople|The tale of the fall of Constantinople|279833|и възʼвращахꙋ ихъ бьюще. 
37414|оукреплѧхꙋ|1235|укрѣпляти|The tale of the fall of Constantinople|The tale of the fall of Constantinople|279835|ѡвогда побѣгающе ѿ тоурковъ. ѡвогда же оукреплѧхꙋсѧ. възвращахꙋсѧ и борѧхꙋсѧ с ними. 
37416|възвращахꙋ|1506|възвращати|The tale of the fall of Constantinople|The tale of the fall of Constantinople|279835|ѡвогда побѣгающе ѿ тоурковъ. ѡвогда же оукреплѧхꙋсѧ. възвращахꙋсѧ и борѧхꙋсѧ с ними. 
37541|пꙋщахꙋ|1774|пущати|The tale of the fall of Constantinople|The tale of the fall of Constantinople|279851|и стрѣлы бесчислены пꙋщахꙋ на нег. 
37586|бѣжахꙋ|278|бѣжати|The tale of the fall of Constantinople|The tale of the fall of Constantinople|279856|и бѣжахꙋ ѿ него вси тоурки изʼ града к разрꙋшенномꙋ мѣстꙋ. 
38256|ѡбʼхожахꙋ|2042|объходити|The tale of the fall of Constantinople|A terrible omen|279914|и тако с҃тли съ всѣми с҃щнʼными съборы вземʼше с҃тыѧ иконы. ѡбʼхожахꙋ по стенамъ града по всѧ д҃ни. просѧщи млсти б҃жїа съ слезами гл҃ще. 
38834|нꙋждахꙋ|1659|нудити|The tale of the fall of Constantinople|A terrible omen|279952|и ꙗко ꙋже збиша сʼ стѣнъ всѣхъ гражанъ. вʼскоре придвигнꙋвше грады древѧны и тоуры высокыѧ. и лѣсници тʼмочисленыѧ нꙋждахꙋсѧ силою взыти на стѣнꙋ. 
39189|бежахꙋ|278|бѣжати|The tale of the fall of Constantinople|A terrible omen|279978|тоурки же оужасʼшесѧ крѣпости ц҃рвы бежахꙋ изʼ града. 
39467|хранѧше|587|хранити|The tale of the fall of Constantinople|A terrible omen|279999|се же быс изволенїемʼ б҃жїимъ на погыбель граду. понеже полое мѣсто. тои к҃нзь зꙋстѣнїи хранѧше велию силою и мꙋжеством. 
39510|трꙋжахꙋ|1358|тружати|The tale of the fall of Constantinople|A terrible omen|280003|врачеве же чрезъ всю нощ ѡнꙋ трꙋжахꙋсѧ ѡ поможенїи его. і єдва исправиша емꙋ гроудʼ вышибеное мѣсто ѿ оудара. 
39893|оударѧше|7149|ударяти|The tale of the fall of Constantinople|A terrible omen|280040|аще и по коню оударѧше то падахꙋ под ними. 
40008|похвалѧхꙋ|7156|похваляти|The tale of the fall of Constantinople|A terrible omen|280050|и похвалѧхꙋ ц҃рѧ. 
40456|премѣнѧхꙋ|6873|прѣмѣняти|The tale of the fall of Constantinople|Another omen|280094|а тоуркомъ оубо множествомъ многым соуще премѣнѧхꙋсѧ на брань. 
40485|любѧше|233|любити|The tale of the fall of Constantinople|Another omen|280097|ѕило бо любѧше єго храбрости ради его и разꙋома. 
41097|хранѧше|587|хранити|The tale of the fall of Constantinople|Another omen|280148|такоже и пренепорочнаѧ м҃ти х҃а б҃а н҃шго неизречнʼными бл҃годѣѧнїи. и неисчетъными дарованїи. миловаше и хранѧше въ всѧ времена. 
41111|ѿвращаше|2039|отъвращати|The tale of the fall of Constantinople|Another omen|280149|ты же ꙗко неистове юже на тебѣ млсть б҃жїю щедротʼ ѿвращашесѧ. 
41219|полонѧхꙋ|1135|полонити|The tale of the fall of Constantinople|Another omen|280156|и падоша ѿ нихъ того д҃ни много людеи и женъ и дѣтеи. а иныхъ полонѧхꙋ. 
