tokno|orv_word_torot|lemma_id|lemma_orv|text_title|subtitle|sentence_no|sentence_txt
103502|затворѧше|10063|затворяти|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266798|вшедъ в печеру и затворѧше двери печерѣ 
103540|приходѧше|244|приходити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266804|и приходѧше в манастырь. в пѧтокъ на канунъ лазаревъ. 
104297|молѧху|118|молити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266888|шедше вси кланѧхусѧ игумену. и молѧху игумена. и приимаху брата в манастырь с радостью. 
104360|приходѧше|244|приходити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266892|аще кто коли принесѧше дѣтищь боленъ. кацѣмь любо недугом одержим. принесѧху в манастырь. ли сверженъ члв҃къ кацѣм любо недугомь ѡдержим приходѧше в манастырь къ блж҃ному ѳеѡдосью. повелѣваше сему дамьянъ млт҃ву створити болѧщему. 
104374|створѧше|59|сътворити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266893|и абье створѧше молитву. 
104475|помнѧше|1202|помьнити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266905|Такъже бѣ и другыи брат. именемь еремия. иже помнѧше крщ҃нье землѣ русьскыя. 
104506|оумышлѧше|5562|умышляти|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266909|аще которыи братъ оумышлѧше ити из манастырѧ и оузрѧше и пришедъ к нему ѡбличаше мысль ѥго и оутѣшаше брата. 
104621|възвратѧшет|196|възвратити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266918|и не възвратѧшетсѧ в црк҃вь до ѿпѣтья. 
104680|исхожаше|603|исходити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266924|се же старець послѣ исхожаше ис церкви. 
104956|молѧше|118|молити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266961|и ту молѧше б҃а со слезами. 
104974|приносѧшеть|720|приносити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266964|приносѧшеть же ѥму великыи антонии. и подаваше ѥму ѡконцемъ. 
104985|вмѣстѧше|2889|въмѣстити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266965|яко сѧ вмѣстѧше рука. тако приимаше пищю. 
105025|трудѧшет|1611|трудити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266969|яко трудѧшетсѧ. сѣдѧше на сѣдалѣ своем. 
105363|молѧше|118|молити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|267023|Ѳеѡдосии же молѧше б҃а за нь. и мл҃тву творѧше над нимь дн҃ь и нощь. дондеже на .г҃.ѥе. лѣто. Прогл҃а и слыша. и на ногы нача встаяти. акы младенець. 
105369|творѧше|101|творити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|267023|Ѳеѡдосии же молѧше б҃а за нь. и мл҃тву творѧше над нимь дн҃ь и нощь. дондеже на .г҃.ѥе. лѣто. Прогл҃а и слыша. и на ногы нача встаяти. акы младенець. 
105411|посажашеть|8600|посажати|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|267028|и посажашеть и кромѣ брати. 
105863|прихожаху|244|приходити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|267094|ѡвогда же пакы в нощи прихожаху к нему. страхъ ѥму творѧче в мечтѣ. ѧко се многъ народъ с мотыками лыскарѣ глщ҃е. 
107822|молѧше|118|молити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|267335|и молѧше б҃а всегда гл҃ѧ. 
109231|ѹязвлѧху|10307|уязвляти|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|267460|и тако ѹязвлѧху люди плотьскыя и ѥго ѡбласть· 
109447|любѧше|233|любити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|267481|излиха же любѧше черноризци· 
112560|износѧху|1787|износити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|267895|и износѧху· аще что ѡбрѣтаху· в кельи· 
113563|помышлѧше|801|помышляти|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|268017|но паче помышлѧше и новъгородъ переяти· 
117164|тружахъ|1358|тружати|The Primary Chronicle, Codex Laurentianus|Vladimir Monomakh’s Instruction|268497|А се тружахъсѧ· ловы дѣя· понеже сѣдох в черниговѣ· 
120396|осудѧше|1984|осудити|The Primary Chronicle, Codex Laurentianus|Vladimir Monomakh’s Instruction|268898|аще кого видѧше ли шюмна ли в коем зазорѣ не осудѧше но всѧ на любовь прекладаше· 
121914|възвратѧшеть|196|възвратити|The Primary Chronicle, Codex Laurentianus|Vladimir Monomakh’s Instruction|269123|а алтунопа възвратѧшеть сѧ вспѧть· 
121919|допустѧху|3595|допустити|The Primary Chronicle, Codex Laurentianus|Vladimir Monomakh’s Instruction|269124|и не допустѧху оугръ ѡпѧть· 
122525|припустѧху|3596|припустити|The Primary Chronicle, Codex Laurentianus|Vladimir Monomakh’s Instruction|269209|и не припустѧху ѥго к собѣ· но ѡсобь думаху ѡ двд҃ѣ· 
123091|молѧху|118|молити|The Primary Chronicle, Codex Laurentianus|Vladimir Monomakh’s Instruction|269278|и сия видѧще знаменья бл҃говѣрнии черньци· со въздыханьем молѧху сѧ к б҃у· и со слезами· да бы бъ҃ ѡбратилъ знаменья си на добро· 
123475|молѧхуть|118|молити|The Primary Chronicle, Codex Laurentianus|Vladimir Monomakh’s Instruction|269323|русскиѣ же кнѧзи и вои вси молѧхуть б҃а и ѡбѣты вздаяху б҃у· и мт҃ри ѥго· ѡвъ кутьею· ѡвъ же млстнею оубогым· 
124826|водѧшеть|767|водити|The Primary Chronicle, Codex Laurentianus|Vladimir Monomakh’s Instruction|269462|водѧшеть бо я въ дн҃ь столпъ ѡблаченъ· а в нощи столпъ ѡгненъ· 
124842|водѧше|767|водити|The Primary Chronicle, Codex Laurentianus|Vladimir Monomakh’s Instruction|269463|то се не столпъ водѧше ихъ но анг҃лъ идѧше пред ними в нощи и въ дн҃е· 
125099|моляшѣ|118|молити|The Tale of Luka Koločskij|The Tale of Luka Koločskij|281619|Человѣкъ же инъ разслабленый удивися и моляшѣ Луку, да принѣсеть к нѣму икону тую; 
125162|приношаху|720|приносити|The Tale of Luka Koločskij|The Tale of Luka Koločskij|281628|приношаху нѣдужныя 
125289|хожаху|129|ходити|The Tale of Luka Koločskij|The Tale of Luka Koločskij|281640|хромии хожаху, 
125322|хожашѣ|129|ходити|The Tale of Luka Koločskij|The Tale of Luka Koločskij|281646|И хожашѣ Лука от града во град со иконою Божия Матери, 
125461|ездяшѣ|679|ѣздити|The Tale of Luka Koločskij|The Tale of Luka Koločskij|281658|И на ловы ездяшѣ с ястрѣбы, и соколы, и с крѣчаты, 
125538|грабяшѣ|1513|грабити|The Tale of Luka Koločskij|The Tale of Luka Koločskij|281665|Егда убо ловцы князя Ондрѣя Дмитрѣевича съ ястребы и соколы повѣлѣниемъ князя своего на лов выезждяху, он же соколников бияшѣ и грабяшѣ и ястрѣбы и соколы себе взимашѣ, 
125604|вѣселяшѣ|782|веселити|The Tale of Luka Koločskij|The Tale of Luka Koločskij|281673|и с ними вѣселяшѣся и утѣшашѣся. 
125763|моляшѣ|118|молити|The Tale of Luka Koločskij|The Tale of Luka Koločskij|281692|и моляшѣся ему, полѣзное устроити по нѣмъ. 
129748|кѹплѧхѹ|316|купити|The First Novgorod Chronicle, Synodal manuscript|6631|269625|нъ лютъ бѧше пѹть. оже кѹплѧхѹ по ногатѣ хлѣбъ⁖ 
130067|въсажаше|8553|въсажати|The First Novgorod Chronicle, Synodal manuscript|6636|269662|оц҃ь и мт҃и. чадо своѥ въсажаше въ лодью даромь гостьмъ. 
130635|мълвлѧше|427|мълвити|The First Novgorod Chronicle, Synodal manuscript|6642|269726|а онъ мълвлѧше имъ. 
130863|творѧхѹ|101|творити|The First Novgorod Chronicle, Synodal manuscript|6644|269752|а се винꙑ ѥго творѧхѹ 
131803|пѹщахѹ|1774|пущати|The First Novgorod Chronicle, Synodal manuscript|6650|269847|въ лѣт҃ .҂ѕ҃.х҃.н҃. епс҃пъ и кѹпьце и слꙑ новгородьскꙑꙗ. не пѹщахѹ из рѹси. 
132510|мълвлѧше|427|мълвити|The First Novgorod Chronicle, Synodal manuscript|6657|269923|а нифонтъ тако мълвлѧше. 
134035|творѧше|101|творити|The First Novgorod Chronicle, Synodal manuscript|6675|270082|и много пакости творѧше домомъ ихъ. 
134118|творѧхѹть|101|творити|The First Novgorod Chronicle, Synodal manuscript|6675|270091|и ѹбиша захарию посадника. и неревина. и несдѹ. бирицѧ. ꙗко творѧхѹть е переветъ дрьжаще къ ст҃ослав҃. 
134529|кѹплѧху|316|купити|The First Novgorod Chronicle, Synodal manuscript|6677|270132|и кѹплѧху сѹждальць. по .в҃. ногатѣ⁖ 
134544|кѹплѧхѹ|316|купити|The First Novgorod Chronicle, Synodal manuscript|6678|270134|и кѹплѧхѹ кадь ръжи по .д҃. грвн҃ѣ. а хлѣбъ по .в҃. ногатѣ. а медъ по .і҃. кѹнъ пѹдъ. 
136083|творѧхѹ|101|творити|The First Novgorod Chronicle, Synodal manuscript|6692|270299|негодовахѹть бо ѥмѹ новгородьци. зане много творѧхѹ пакостии волости новгородьскеи. 
136626|коупла]хоу|316|купити|The First Novgorod Chronicle, Synodal manuscript|6696|270351|На тоуж҃ зимоу бꙑс҃ дорогъвь [оже коупла]хоу по двѣ ногате хлѣбъ. а кадь ръжи по .ѕ҃. грв҃нъ. 
137593|чюжѧше|11198|чужати|The First Novgorod Chronicle, Synodal manuscript|6702|270447|и тако сѧ чюжѧше. ѿ всѣхъ стх҃ъ. до гж҃ина дн҃и. 
137624|творѧхѹть|101|творити|The First Novgorod Chronicle, Synodal manuscript|6702|270451|творѧхѹть бо ꙗ съвѣтъ дьржаще на свою братью. 
138130|вожаше|1379|возити|The First Novgorod Chronicle, Synodal manuscript|6704|270502|и вожаше съ собою посадника новгородьскаго мирошкѹ. и иванка и фомѹ. 
138237|жѧлѧхѹ|1951|жалити|The First Novgorod Chronicle, Synodal manuscript|6704|270517|и жѧлѧхѹ по немь въ новегородѣ добрии. 
138302|хожахѹ|129|ходити|The First Novgorod Chronicle, Synodal manuscript|6704|270525|нъ хожахѹ по городѹ. по воли володимири. 
138564|веселѧше|782|веселити|The First Novgorod Chronicle, Synodal manuscript|6706|270554|и веселѧше сѧ блж҃нꙑи дш҃ею и теломь. ѹстроивъ собе памѧт҃ вѣчьнѹю. и всѣмъ крс҃тьꙗномъ чс҃тьнꙑи манастꙑрь⁖ 
139396|хожашеть|129|ходити|The First Novgorod Chronicle, Synodal manuscript|6712|270638|и хожашеть въ своѥи воли. 
139629|мѣнѧшеть|3068|мѣнити|The First Novgorod Chronicle, Synodal manuscript|6712|270667|фрѧзи же и вси воѥводꙑ ихъ. възлюбиша злат҃ и срѣбро. иже мѣнѧшеть имъ исаковиць. 
140375|крѣплѧше|2198|крѣпити|The First Novgorod Chronicle, Synodal manuscript|6712|270752|цс҃рь же мюрчюфолъ. крѣплѧше боꙗрꙑ и все людї хотѧ тѹ брань створити съ фрѧгꙑ. 
140603|съхожаше|1077|съходити|The First Novgorod Chronicle, Synodal manuscript|6712|270772|а ст҃ѹю бц҃ю иже въ влахѣрнѣ. идеже ст҃ꙑи дх҃ъ съхожаше на всѧ пѧтницѣ. и тѹ одраша. 
140626|хожаше|129|ходити|The First Novgorod Chronicle, Synodal manuscript|6712|270774|дигитрию же чюдьнѹю иже по град҃ хожаше ст҃ѹю бц҃ю. съблюде ю б҃ъ добрꙑми людьми. 
140724|молѧхѹть|118|молити|The First Novgorod Chronicle, Synodal manuscript|6712|270785|мнози бо философи молѧхѹть сѧ чс҃рви. 
140764|замꙑшлѧше|11322|замышляти|The First Novgorod Chronicle, Synodal manuscript|6712|270790|сь же дѹжь много брании замꙑшлѧше на град҃. 
142631|кѹплѧхѹть|316|купити|The First Novgorod Chronicle, Synodal manuscript|6723|271020|кадь ржи кѹплѧхѹть по .і҃. грв҃нъ. а овса по .г҃. грв҃нѣ. а рѣпѣ возъ по .в҃. гр҃внѣ. 
144100|молѧхѹ|118|молити|The First Novgorod Chronicle, Synodal manuscript|6726|271228|новгородьци же много молѧхѹ .с҃. 
147237|творѧхуть|101|творити|The First Novgorod Chronicle, Synodal manuscript|6735|271599|творѧхуть ѥ. потворꙑ дѣюще. 
147459|творѧхѹ|101|творити|The First Novgorod Chronicle, Synodal manuscript|6736|271626|бе бо ихъ пришло. творѧхѹ. .҂в҃. или боле 
147601|куплѧхѹ|316|купити|The First Novgorod Chronicle, Synodal manuscript|6736|271646|куплѧхѹ хлѣбъ по .в҃. кѹнѣ. а кадь ржи по .г҃. грв҃нѣ. а пшеницю по .е҃. грв҃нъ. а пшена. по .з҃. грв҃нъ. 
147965|прогонѧшеть|1776|прогонити|The First Novgorod Chronicle, Synodal manuscript|6736|271690|тъгдаж҃ оканьнꙑи диꙗволъ испьрва не хотѧи добра родѹ чл҃вчю. и завидѣвъ ѥмѹ. зане прогонѧшеть ѥго. нощнꙑмъ стоꙗниѥмь. пѣниѥмь и мл҃твами. и въздвиже на арсениꙗ мѹж҃ кротка и смерена. крамолѹ велику. простѹю чѧдь. 
149616|творѧхѹ|101|творити|The First Novgorod Chronicle, Synodal manuscript|6738|271896|нъ тѣхъ осочивъше тако творѧхѹ. овъихъ огньмь ижгоша. а дрѹгꙑхъ осѣкоша. 
149743|съжалѧшеть|11611|съжаляти|The First Novgorod Chronicle, Synodal manuscript|6738|271909|брат҃ брат҃ не съжалѧшеть сѧ. ни оч҃ь сн҃ови. ни мт҃и дъчери ни сѹсѣдъ сѹсѣдѹ. 
149783|кѹплѧхомъ|316|купити|The First Novgorod Chronicle, Synodal manuscript|6738|271915|и кѹплѧхомъ по грв҃нѣ хлѣб҃ и поболшю. 
149795|кѹплѧхомъ|316|купити|The First Novgorod Chronicle, Synodal manuscript|6738|271916|а ржи .д҃.ю час҃ кади кѹплѧхомъ по грв҃нѣ серѣбра. 
153174|творѧхѹть|101|творити|The First Novgorod Chronicle, Synodal manuscript|6824|272277|творѧхѹть бо ег҃ перевѣтъ державша к михаилу. 
155704|правлꙗаше|1038|правити|Colophon to the Ostromir Codex|Colophon to the Ostromir Codex|280194|изѧславоу же кънѧзоу тогда прѣдрьжѧщоу обѣ власти. и оц҃а своего ꙗрослава. и брата своего володимира. самъ же изѧславъ кънѧзь. правлꙗаше столъ о҃ца своего ꙗрослава кыевѣ. А брата своего столъ порѫчи правити. близокоу своему остромироу новѣгородѣ. 
160381|хожаше|129|ходити|The Primary Chronicle, Codex Hypatianus|6411|276167|В лѣто. ҂ѕ҃.у҃.а҃і·:· Игорвеи възрастъшю. и хожаше по ѡлзѣ и слушше его. 
160533|творѧху|101|творити|The Primary Chronicle, Codex Hypatianus|6415|276186|и ина многа зла творѧху срьу грѣком. елико же ратнии творѧть. 
162594|схожаху|1077|съходити|The Primary Chronicle, Codex Hypatianus|6420|276327|ѿгна множьство змии. и скоропия изъ града. яко не вьрежати сѧ чл҃вкомъ ѿ нихъ. ярость коньскую ѡбуздавъ. егда схожаху сѧ боярѣ. 
162757|творѧху|101|творити|The Primary Chronicle, Codex Hypatianus|6420|276342|и не точью бо за живота его така. и таковая створиша бѣсовѣ его ради. но и по см҃рти его пребывающа въ гроба его. знаменьа творѧху во имѧ его. а на прелещение ѡканнымъ чл҃вкомъ. болма крадомымъ на таковая ѿ дьявола. 
170983|съжалих꙽|1006|съжалити|Life of Sergij of Radonezh|1|291364|о семъ съжалих꙽ сѧ ѕѣло. како ѹбо таковыи старецъ пречюдныи і предобрыи. ѿнелѣже престави сѧ. кѕ҃ лѣт преиде. никтоже не дръзнѧше писати о немъ. ни дальнїи ни ближнїи. ни большїи ни меньшїи. бол꙽шїе ѹбо ꙗко не изволѧхꙋ. а мешї ꙗко не смѣѧхꙋ. 
171018|изволѧхꙋ|451|изволити|Life of Sergij of Radonezh|1|291364|о семъ съжалих꙽ сѧ ѕѣло. како ѹбо таковыи старецъ пречюдныи і предобрыи. ѿнелѣже престави сѧ. кѕ҃ лѣт преиде. никтоже не дръзнѧше писати о немъ. ни дальнїи ни ближнїи. ни большїи ни меньшїи. бол꙽шїе ѹбо ꙗко не изволѧхꙋ. а мешї ꙗко не смѣѧхꙋ. 
172994|возъвращахѹ|1506|възвращати|Life of Sergij of Radonezh|2|291491|жены же воздохнѹвъше и бьюще в перси своѧ возъвращахѹ сѧ. кааждо на свое мѣсто. токмо к себѣ глаголющи 
173103|носѧше|496|носити|Life of Sergij of Radonezh|2|291498|и егда в себѣ сего носѧше и сим непразднѣ сѹщи еи. тогда сама соблюдаше сѧ ѿ всѧкїѧ ск꙽верны и ѿ всѧкїѧ нечистоты. постом огражаѧ сѧ. и всѧкїѧ пища толъстыѧ ошаѧв с꙽ѧ. и ѿ мѧс. и ѿ млека 
173178|молѧше|118|молити|Life of Sergij of Radonezh|2|291503|начасте же втаинѣ наединѣ со воз꙽дыханїем и со слезами молѧше сѧ къ бг҃ѹ гл҃ѧ. 
173968|проꙗвлѧше|1613|проявляти|Life of Sergij of Radonezh|3|291557|еже проꙗвлѧше бѹдꙋщаго воз꙽дръжанїѧ образъ. ꙗко нѣкогда въ грѧдꙋщаѧ времена и лѣта. в꙽ пос꙽тномъ житїи просїѧти емѹ 
173991|привожаше|1003|приводити|Life of Sergij of Radonezh|3|291559|дрѹгоицы же мт҃и его привожаше к немꙋ женѹ нѣкѹю доилицѹ имѹщꙋ млеко да бы его напитала. 
174023|прихождахѹ|244|приходити|Life of Sergij of Radonezh|3|291561|и сїе видѣв꙽ше прихождахѹ к немѹ и дрꙋгїѧ жены. тацы же и доилици 
174896|прихожахѹ|244|приходити|Life of Sergij of Radonezh|4|291619|и прихожахѹ п꙽тица нбсныѧ и ꙗдѧхѹ ѿ плода его. 
174906|проꙗвлѧше|1613|проявляти|Life of Sergij of Radonezh|4|291620|виноград же проꙗвлѧше хотѧщїи разѹмъ подати сѧ емꙋ. 
174924|ношаше|496|носити|Life of Sergij of Radonezh|4|291622|преже ржства его мт҃и его видѣ сонъ таковы. ꙗко ношаше на рѹкѹ своею агнецъ красенъ имѹщъ на рогѹ своею свѣща. 
175018|проꙗвлѧше|1613|проявляти|Life of Sergij of Radonezh|4|291629|се же звѣзда проꙗвлѧше всѧкꙋ добродѣтель оѡтрочат. 
175233|недомышлѧше|3084|недомыслити|Life of Sergij of Radonezh|4|291643|ѡбаче аще она и недомышлѧше сѧ. но конецъ сбытїю послѣди со ѹдивленїемъ ꙗви. еликими дар꙽ми ѹгодника своего бг҃ъ обогати. 
175381|проѧвлѧше|1613|проявляти|Life of Sergij of Radonezh|4|291652|таковою блгдтїю г҃ь ѹдиви его. паче прочих младенцевъ новоражающих꙽ сѧ. и тацѣми знамен꙽ми проѧвлѧше о нем премꙋдрое бж҃їе промышленїе. 
175615|молѧше|118|молити|Life of Sergij of Radonezh|5|291667|отрокъ ж в꙽ таинѣ часто со слезами молѧше сѧ бг҃ѹ гл҃ѧ. 
175657|в꙽мѣнѧше|12564|въмѣняти|Life of Sergij of Radonezh|5|291672|не малꙋ же тщетꙋ в꙽мѣнѧше себѣ ѹчт҃ль его. 
175664|печалѧхѹ|2658|печалити|Life of Sergij of Radonezh|5|291673|вси же си печалѧхѹ сѧ невѣдꙋще ꙗж ѡ немъ вышнѧго с꙽троенїѧ бж҃їѧ промысла ꙗже хощет бг҃ъ сотворити на отрочати семъ. ꙗко не оставит г҃ь прпдбнаг своег. 
176146|молѧше|118|молити|Life of Sergij of Radonezh|5|291714|ѡтрок꙽ же помѣташе сѧ на земли лицем пред ногама стар꙽чима. и со слезами молѧше старца. да бы обиталъ в домѹ рѡдителеи его г҃лѧ 
176196|готовѧхѹ|1892|готовити|Life of Sergij of Radonezh|5|291719|ѡни же готовѧхѹ трапезꙋ поставити пред ним꙽. 
176350|молѧхѹ|118|молити|Life of Sergij of Radonezh|5|291737|родители ж его молѧхѹ с старцѹ вопрашающе его и гл҃юще. 
176612|провожахѹт|3655|провожати|Life of Sergij of Radonezh|5|291756|ѡни же провожахѹт его пред врата домовнаѧ. 
176628|помышлѧахꙋ|801|помышляти|Life of Sergij of Radonezh|5|291758|они же недоѹмѣвающе сѧ. помышлѧахꙋ ꙗк агг҃лъ посланъ быс. даровати отрокѹ ѹмѣнїе грамоте. 
176934|молѧше|118|молити|Life of Sergij of Radonezh|6|291785|предобрыи же отрокъ ѿвѣшеваше еи. кѹпно же и молѧше ю гл҃ѧ. 
177162|исхожаше|603|исходити|Life of Sergij of Radonezh|6|291807|къ дѣтем играющим не исхожаше и к ним не приставаше. 
177200|наслажаше|2468|наслажати|Life of Sergij of Radonezh|6|291809|иже сѹт с꙽квернослов꙽ци. и смѣхотворци. с тѣми ѿнѹд не водворѧше сѧ. но разве токмо ѹпражнѧше сѧ на славословїе бж҃їе и в том наслажаше с. 
177216|исхождааше|603|исходити|Life of Sergij of Radonezh|6|291811|на заѹтренюю и на литꙋргїю и на вечерню всегда исхождааше. 
177226|трѹждааше|3656|труждати|Life of Sergij of Radonezh|6|291812|и ст҃ыѧ книги часто почитающе и во всем всегда трѹждааше тѣло свое. 
177250|молѧше|118|молити|Life of Sergij of Radonezh|6|291814|и часто на мѣсте таине наединѣ со слезами молѧше сѧ къ бг҃ѹ гл҃ѧ. 
177487|дивлѧхꙋ|1063|дивити|Life of Sergij of Radonezh|6|291835|старцы же и прочїи люди видѣв꙽ши таковое пребыванїе ѹноши. дивлѧхꙋ сѧ гл҃ющи 
177792|ѿхождахѹ|697|отъходити|Life of Sergij of Radonezh|7|291857|а сами противѹ того раны на телеси своемъ. со ѹкоризною взимающе. и тщима рꙋкама ѿхождахѹ. иже послѣднѧгѡ бѣденьс꙽тва ѡбразъ. ꙗко не токмо имѣнїѧ обнажени быша. но и раны на плоти своеи подꙗша. и ꙗзвы жалос꙽тно на себѣ носиша и претерпѣша. 
178224|хождааше|129|ходити|Life of Sergij of Radonezh|8|291881|повсегда ж сѣтѹѧ хождааше аки дрѧхловати соѡбразꙋѧ. 
178320|молѧше|118|молити|Life of Sergij of Radonezh|8|291887|ѡ семъ многажды молѧше сѧ ѿц҃ѹ своемѹ гл҃ѧ. 
178524|блгсвѧхѹ|327|благословити|Life of Sergij of Radonezh|8|291903|а сн҃а своего бл҃женаго юношѹ вар꙽фоломѣѧ по всѧ дн҃и мнѡгими блгсвенїи блгсвѧхѹ и до послѣднѧго издыханїѧ. 
178856|молѧша|118|молити|Life of Sergij of Radonezh|8|291929|к немꙋ ж пришед бл҃женныи юноша варфоломѣи. молѧша стефана да бы шелъ с нимъ на в꙽зысканїе мѣста пѹстыннаго. 
179510|любѧше|233|любити|Life of Sergij of Radonezh|9|291976|бѧше бо и тот любѧше жити трѹдолюбно. живыи в꙽ кѣлїи своеи житіе жестъко. постом и мл҃твою и ѿ всего воздержаѧ сѧ. 
179535|ношаше|496|носити|Life of Sergij of Radonezh|9|291978|и ризы не щапливы ношаше. 
179850|хождаше|129|ходити|Life of Sergij of Radonezh|9|292000|добромꙋ семꙋ и преѹдобреномѹ отрокѹ. аще и в꙽ мирьстем ѹс꙽троенїи живѹщѹ емꙋ тогда. но ѡбаче бг҃ъ свыше призираше на него посѣщаѧ его своею блгдтью. соблюдаѧ его и огражаѧ ст҃ыми агг҃лы своими. и во всѧком мѣсте сохранѧѧ его и во всѧком пꙋти его амо же колиждо хождаше. 
179963|молѧше|118|молити|Life of Sergij of Radonezh|10|292006|и повсегда по всѧ времена с великимъ прилежанїем и с꙽ желанїем и со слезами молѧше сѧ бг҃ѹ да бы сподобити сѧ агг҃льскому томѹ образѹ. и причести сѧ во иноческыи ликъ 
180550|хвалѧше|649|хвалити|Life of Sergij of Radonezh|10|292040|дв҃дьскѹю пѣс всегда прсно во ѹстѣх имѣѧше. ѱалѡмскаѧ словеса имиже самъ тѣшаше сѧ. имиж хвалѧше бг҃а. 
180555|бл҃годарѧше|954|благодарити|Life of Sergij of Radonezh|10|292041|молча поꙗше и бл҃годарѧше б҃га гл҃ѧ. 
180650|ѿпѹщаше|2291|отъпущати|Life of Sergij of Radonezh|10|292052|егда ж ѿпѹщаше игѹмена ѡного иже пос꙽триг꙽шаго и. со мнѡѕем смиреномꙋдрїем сергїи рече емѹ. 
180707|просих|222|просити|Life of Sergij of Radonezh|10|292055|издавна бо сего просих ѹ бг҃а молѧ сѧ повсегда слыша и поминаѧ прорка вопїюща и глаголюща. 
181000|прошаше|222|просити|Life of Sergij of Radonezh|10|292082|сергїи же ѿпѹщаѧ игѹмена еще паки прошаше ѿ него блгсвенїѧ и мл҃твы. 
181201|хранѧше|587|хранити|Life of Sergij of Radonezh|11|292097|ис꙽правлѧѧ хранѧше ѹставъ правила иноческаго непорочно непотъкновенно ѹбо и незазорно. 
181256|приношаше|720|приносити|Life of Sergij of Radonezh|11|292098|кыи ѹбо ѹмъ или которыи ꙗзыкъ желанїѧ и началныѧ первыѧ теплоты и люб꙽ви того ꙗже къ бг҃ѹ о таиных добродѣтели его ис꙽правленїѧ. како доѹмѣет. или может повѣдати. или писанїю ꙗвлено предати. еже того ѹединенїе и дръзновенїе и стенанїе прошенїе. и всегдашнее моленїе еже прсно къ бг҃ѹ приношаше слезы теплыѧ плаканїѧ дш҃евнаѧ. воздыханїѧ срдчнаѧ. бдѣнїѧ повсенощнаѧ. пѣнїѧ трезвеннаѧ. мл҃твы непрестанныѧ. стоѧнїѧ несѣдалнаѧ. чтенїѧ прилѣжнаѧ. колѣнопокланѧнїѧ частаѧ. алканїѧ жаданїѧ. на земли леганїѧ. нищета дх҃овнаѧ. всего скѹдота. всего недостат꙽кы. 
181354|нахожаху|2006|находити|Life of Sergij of Radonezh|11|292102|мнѡѕи бо тогда з꙽вѣрїе часто нахожаху на нь. 
181409|ѿхожахѹ|697|отъходити|Life of Sergij of Radonezh|11|292108|ѕвѣрїе ѹбо ѿхожахѹ ѿ него. а пакости емѹ ни единыѧ несотвор꙽ше. 
181804|творѧше|101|творити|Life of Sergij of Radonezh|12|292140|не по мнѡѕех же дн҃ех егда бл҃женныи в хиже своеи. всенощнѹю свою единъ бес꙽ престани творѧше мл҃твѹ. внезапꙋ быс шѹмъ и клопот и мѧтежъ многъ и смѹщенїе и страх. не во снѣ но на ꙗвѣ. 
182040|творѧше|101|творити|Life of Sergij of Radonezh|12|292159|прпдбныи же крѣпкꙋ вѣрѹ любовь надежѹ бг҃ѹ стѧжавъ. и прилѣжнꙋ со слезами мл҃твѹ на враги творѧше. еж избавити сѧ емѹ ѿ таковаго бесовьскаго пронырьс꙽тва. 
182459|прохождаахꙋ|1871|проходити|Life of Sergij of Radonezh|12|292179|ѡвыи стадом выюще ревꙋще прохождаахꙋ. а дрꙋѕїи ж не во мноѕѣ. но или два или трїе или един по единомꙋ мимотечаху. 
182534|изношаше|1787|износити|Life of Sergij of Radonezh|12|292182|се же видѣвъ прпдбныи. ꙗко не ѕлобы ради приходит к немѹ ѕвѣрь. но паче да возмет ѿ брашна мало нѣчто в꙽ пищꙋ себѣ. и изношаше емѹ ѿ хижа своеѧ. малъ ѹкрꙋх хлѣба. 
182566|ѿхожаше|697|отъходити|Life of Sergij of Radonezh|12|292184|и вземъ ѹсты своими ѿхожаше. 
