TOROT form,Autoreconstructed LCS,Autonormalised OCS
покажите,pokažite,покажите
ми,mi,ми
склѧзъ,skъlęgь,скълѧѕь
кинъсънꙑ,ḱinъsьnъjь,к҄инъсьнъіи
они,oni,они
же,že,же
принѣсѧ,priněsę,принѣсѧ
емоу,jemu,ѥмоу
пѣнѧзъ,pěnęgь,пѣнѧѕь
онъ,onъ,онъ
же,že,же
г҃ла,golgola,глагола
имъ,jimъ,имъ
чи,čьjь,чии
естъ,jestъ,ѥстъ
образо,obrazъ,образъ
сь,sь,сь
и,i,и
написание,napisanьje,написаниѥ
г҃лшѧ,golgolašę,глаголашѧ
емоу,jemu,ѥмоу
кесаровъ,ḱesaŕevъ,к҄есар҄евъ
тъгда,tъgъda,тъгъда
г҃ла,golgola,глагола
имъ,jimъ,имъ
въздадите,vъzdadite,въздадите
оубо,ubo,оубо
кесарева,ḱesaŕeva,к҄есар҄ева
кесареви,ḱesaŕevi,к҄есар҄еви
ꙇ҅,i,и
б҃жиѣ,božьjǞ,божиꙗ
б҃гви,bogu,богоу
ꙇ,i,и
слꙑшавъше,slyšǞvъše,слъішавъше
дивишѧ,divišę,дивишѧ
сѧ,sę,сѧ
ꙇ,i,и
оставьше,ostavĺьše,оставл҄ьше
и,jь,и
отидѫ,otidǫ,отидѫ
Въ,vъ,въ
тъ,tъ,тъ
день,dьnь,дьнь
пристѫпишѧ,pristǫpišę,пристѫпишѧ
къ,kъ,къ
немоу,ńemu,н҄емоу
г҃лѭште,golgoĺǫћe,глаголѭще
садоукеи,saduḱeji,садоук҄еи
не,ne,не
бꙑти,byti,бъіти
вьскрѣшению,vъskrěšenьju,въскрѣшению
ꙇ,i,и
въпросишѧ,vъsprosišę,въспросишѧ
и,jь,и
г҃лѭште,golgoĺǫћe,глаголѭще
оучителю,učiteĺu,оучителю
моси,mosijь,мосии
рече,reče,рече
аште,aћe,аще
къто,kъto,къто
оумьретъ,umьretъ,оумьретъ
не,ne,не
имꙑ,jьmy,имъі
чѧдъ,čędъ,чѧдъ
да,da,да
поиметъ,pojьmetъ,поиметъ
братръ,bratrъ,братръ
женѫ,ženǫ,женѫ
его,jego,ѥго
ꙇ,i,и
вьскрѣситъ,vъskrěsitъ,въскрѣситъ
сѣмѧ,sěmę,сѣмѧ
братра,bratra,братра
своего,svojego,своѥго
бѣ,bě,бѣ
же,že,же
въ,vъ,въ
насъ,nasъ,насъ
седмь,sedmь,седмь
братриѩ҅,bratrьję,братриѩ
ꙇ,i,и
пръвꙑ,pŕ̥vъjь,прьвъіи
ожень,ožeńь,ожен҄ь
сѧ,sę,сѧ
оумьрѣтъ,umertъ,оумрѣтъ
ꙇ,i,и
не,ne,не
имꙑ,jьmy,имъі
сѣмене,sěmene,сѣмене
остави,ostavi,остави
же,že,же
женѫ,ženǫ,женѫ
своѭ,svojǫ,своѭ
братроу,bratru,братроу
своемоу,svojemu,своѥмоу
такожде,takoђe,такожде
и,i,и
въторꙑ,vъtorъjь,въторъіи
и,i,и
трети,tretьjьjь,третиии
до,do,до
седмааго,sedmajego,седмаѥго
послѣжде,poslěђe,послѣжде
же,že,же
ихъ,jixъ,ихъ
вьсѣхъ,vьxěxъ,вьсѣхъ
оумьрѣтъ,umertъ,оумрѣтъ
и,i,и
жена,žena,жена
въ,vъ,въ
вьскрѣшение,vъskrěšenьje,въскрѣшениѥ
оубо,ubo,оубо
котораго,kotorajego,котораѥго
отъ,otъ,отъ
седми,sedmi,седми
бѫдетъ,bǫdetъ,бѫдетъ
жена,žena,жена
вьси,vьxi,вьси
бо,bo,бо
имѣшѧ,jьměšę,имѣшѧ
ѭ,jǫ,ѭ
отъ вѣщавъ,otъvěћǞvъ,отъвѣщавъ
же,že,же
и҃съ,jisusъ,исоусъ
рече,reče,рече
имъ,jimъ,имъ
блѫдите,blǫdite,блѫдите
не,ne,не
вѣдѫште,vědǫћe,вѣдѫще
кънигъ,kъńigъ,кън҄игъ
ни,ni,ни
силꙑ,sily,силъі
б҃жиѩ҅,božьję,божиѩ
въ,vъ,въ
вьскрѣшение,vъskrěšenьje,въскрѣшениѥ
бо,bo,бо
ни,ni,ни
женѧтъ,ženętъ,женѧтъ
сѧ,sę,сѧ
ни,ni,ни
посагаѭтъ,posagajǫtъ,посагаѭтъ
нъ,nъ,нъ
ѣко,ako,ако
а҃нꙉи,anǵeli,анꙉели
б҃жии,božьjь,божии
на,na,на
небесе,nebese,небесе
сѫтъ,sǫtъ,сѫтъ
о,o,о
вьскрѣшени,vъskrěšenьji,въскрѣшении
же,že,же
мрътвꙑхъ,mŕ̥tvъjixъ,мрьтвъіихъ
нѣсте,něste,нѣсте
ли,li,ли
чьли,čьtli,чьтли
реченааго,rečenajego,реченаѥго
вамъ,vamъ,вамъ
б҃гмъ,bogomь,богомь
г҃лѫщемъ,golgoĺǫћemь,глаголѭщемь
азъ,azъ,азъ
есмъ,jesmь,ѥсмь
б҃ъ,bogъ,богъ
аврамль,avraamĺь,авраамл҄ь
ꙇ,i,и
богъ,bogъ,богъ
исаковъ,isaakovъ,исааковъ
ꙇ,i,и
б҃ъ,bogъ,богъ
иѣковль,ijǞkovĺь,иꙗковл҄ь
нѣстъ,něstъ,нѣстъ
б҃ъ,bogъ,богъ
мрътвꙑхъ,mŕ̥tvъjixъ,мрьтвъіихъ
нъ,nъ,нъ
живꙑхъ,živъjixъ,живъіихъ
ꙇ,i,и
слꙑшавъше,slyšǞvъše,слъішавъше
народи,narodi,народи
дивлѣхѫ,divĺǞaxǫ,дивлꙗахѫ
сѧ,sę,сѧ
о,o,о
оучении,učenьji,оучении
его,jego,ѥго
Фарисеи,fariseji,фарисеи
же,že,же
слꙑшавъше,slyšǞvъše,слъішавъше
ѣко,ako,ако
срами,sormi,срами
садоукеѩ҅,saduḱeję,садоук҄еѩ
събърашѧ,sъbьrašę,събьрашѧ
сѧ,sę,сѧ
въ коупѣ,vъkupě,въкоупѣ
Ꙇ,i,и
въпроси,vъsprosi,въспроси
отъ,otъ,отъ
нихъ,ńixъ,н҄ихъ
законооучитель,zakonoučiteĺь,законооучител҄ь
искоушаѩи,jьskušǞjęjь,искоушаѩи
и,jь,и
г҃лѧ,golgoĺę,глаголѩ
оучителю,učiteĺu,оучителю
каѣ,kajǞ,каꙗ
заповѣдь,zapovědь,заповѣдь
естъ,jestъ,ѥстъ
больши,boĺьši,бол҄ьши
въ,vъ,въ
законѣ,zakoně,законѣ
ꙇ҃с,jisusъ,исоусъ
же,že,же
рече,reče,рече
емоу,jemu,ѥмоу
възлюбиши,vъžĺubiši,въжлюбиши
г҃а,gospoda,господа
б҃а,boga,бога
твоего,tvojego,твоѥго
вьсѣмъ,vьxěmь,вьсѣмь
с҃рдцемъ,sŕ̥dьkemь,срьдьцемь
твоимъ,tvojimь,твоимь
и,i,и
вьсеѭ,vьxejǫ,вьсеѭ
д҃шеѭ,dušejǫ,доушеѭ
своеѭ,svojejǫ,своѥѭ
ꙇ,i,и
вьсеѭ,vьxejǫ,вьсеѭ
мꙑсльѭ҄,myslьjǫ,мъіслиѭ
твоеѭ҄,tvojejǫ,твоѥѭ
си,si,си
естъ,jestъ,ѥстъ
пръва,pŕ̥vajǞ,прьваꙗ
и,i,и
большиѣ,boĺьšijǞ,бол҄ьшиꙗ
заповѣдь,zapovědь,заповѣдь
вътораа,vъtorajǞ,вътораꙗ
же,že,же
подобъна,podobьna,подобьна
еи,jejь,ѥи
вьзлюбиши,vъžĺubiši,въжлюбиши
искрънѣго,jьskrьńǞjego,искрьнꙗѥго
твоего,tvojego,твоѥго
ѣко,ako,ако
самъ,samъ,самъ
сѧ,sę,сѧ
вь,vъ,въ
сею,seju,сею
обою,oboju,обою
заповѣдию,zapovědьju,заповѣдию
весь,vьxь,вьсь
законъ,zakonъ,законъ
и,i,и
пророци,proroki,пророци
висѧть,visętъ,висѧтъ
Събъраномъ,sъbьranomъ,събьраномъ
же,že,же
фарисеомъ,farisejomъ,фарисеомъ
въпроси,vъsprosi,въспроси
ѩ,ję,ѩ
и҃съ,jisusъ,исоусъ
г҃лѧ,golgoĺę,глаголѩ
что,čьto,чьто
сѧ,sę,сѧ
вамъ,vamъ,вамъ
мънитъ,mьnitъ,мьнитъ
о,o,о
х҃ѣ,xristosě,христосѣ
чи,čьjь,чии
естъ,jestъ,ѥстъ
с҃нъ,synъ,съінъ
г҃лашѧ,golgolašę,глаголашѧ
емоу,jemu,ѥмоу
д҃авꙑдвъ,davydovъ,давъідовъ
г҃ла,golgola,глагола
имъ,jimъ,имъ
како,kako,како
оубо,ubo,оубо
давꙑдъ,davydъ,давъідъ
д҃хмъ,duxomь,доухомь
нарицаатъ,narikajetъ,нарицаѥтъ
і,jь,и
г҃а,gospoda,господа
г҃лѧ,golgoĺę,глаголѩ
рече,reče,рече
г҃ъ,gospodь,господь
г҃ви,gospodi,господи
моемоу,mojemu,моѥмоу
сѧди,sędi,сѧди
о,o,о
деснѫѭ,desnǫjǫ,деснѫѭ
мене,mene,мене
дондеже,dońьdeže,дон҄ьдеже
положѫ,položǫ,положѫ
врагꙑ,vorgy,врагъі
твоѩ,tvoję,твоѩ
подъножие,podъnožьje,подъножиѥ
ногама,nogama,ногама
твоима,tvojima,твоима
аще,aћe,аще
оубо,ubo,оубо
д҃вдъ,davydъ,давъідъ
д҃хомъ,duxomь,доухомь
г҃а,gospoda,господа
нарицаетъ,narikajetъ,нарицаѥтъ
і,jь,и
како,kako,како
емоу,jemu,ѥмоу
естъ,jestъ,ѥстъ
с҃нъ,synъ,съінъ
ꙇ,i,и
никътоже,nikъtože,никътоже
не,ne,не
можааше,možǞaše,можааше
отъвѣштати,otъvěћǞti,отъвѣщати
емоу,jemu,ѥмоу
словесе,slovese,словесе
ни,ni,ни
съмѣ,sъmě,съмѣ
къто,kъto,къто
отъ,otъ,отъ
дьне,dьne,дьне
того,togo,того
въпросити,vъsprositi,въспросити
его,jego,ѥго
къ,kъ,къ
томоу,tomu,томоу
Тъгда,tъgъda,тъгъда
и҃с,jisusъ,исоусъ
г҃ла,golgola,глагола
къ,kъ,къ
народомъ,narodomъ,народомъ
и,i,и
оученикомъ,učenikomъ,оученикомъ
своимъ,svojimъ,своимъ
г҃лѧ,golgoĺę,глаголѩ
на,na,на
мосѣовѣ,mosejově,мосеовѣ
сѣдалищи,sědališči,сѣдалищи
сѣдѫ,sědǫ,сѣдѫ
кънижъници,kъńižьniki,кън҄ижьници
и,i,и
фарисеи,fariseji,фарисеи
вьсѣ,vьxa,вьсꙗ
оубо,ubo,оубо
елико,jeliko,ѥлико
аште,aћe,аще
рекѫтъ,rekǫtъ,рекѫтъ
вамъ,vamъ,вамъ
блюсти,bĺusti,блюсти
съблюдаите,sъbĺudajite,съблюдаите
и,i,и
творите,tvorite,творите
по,po,по
дѣломъ,dělomъ,дѣломъ
же,že,же
ихъ,jixъ,ихъ
не,ne,не
ходиите,xodite,ходите
г҃лѭтъ,golgoĺǫtъ,глаголѭтъ
бо,bo,бо
и,i,и
не,ne,не
творѧтъ,tvorętъ,творѧтъ
събираѭтъ,sъbirajǫtъ,събираѭтъ
же,že,же
брѣмена,bermena,брѣмена
тѧжъка,tęžьka,тѧжьца
и,i,и
не оудобь,neudobь,неоудобь
носима,nosima,носима
ꙇ,i,и
възлагаѭтъ,vъzlagajǫtъ,възлагаѭтъ
на,na,на
плешта,pleћǞ,плеща
ч҃лвска,čьlověčьska,чьловѣчьска
а,a,а
пръстомь,pŕ̥stomь,прьстомь
своимь,svojimь,своимь
не,ne,не
хотѧтъ,xotętъ,хотѧтъ
двигнѫти,dvignǫti,двигнѫти
ихъ,jixъ,ихъ
вьсѣ,vьxa,вьсꙗ
же,že,же
дѣла,děla,дѣла
своѣ,svojǞ,своꙗ
творѧтъ,tvorętъ,творѧтъ
да,da,да
видими,vidimi,видими
бѫдѫтъ,bǫdǫtъ,бѫдѫтъ
ч҃лвкꙑ,čьlověky,чьловѣкъі
раширѣѭтъ,orsšiŕǞjǫtъ,раширꙗѭтъ
же,že,же
хранилишта,xorniliščǞ,хранилища
своѣ,svojǞ,своꙗ
ꙇ,i,и
величаѭтъ,veličǞjǫtъ,величаѭтъ
подъметꙑ,podъmety,подъметъі
вьскрилиѣ,vъskridlьjǞ,въскрилиꙗ
ризъ,rizъ,ризъ
своихъ,svojixъ,своихъ
любѧтъ,ĺubętъ,любѧтъ
же,že,же
прѣждевъзлѣганиѣ,perђevъzlěganьje,прѣждевъзлѣганиѥ
на,na,на
вечерѣхъ,večeŕǞxъ,вечерꙗхъ
ꙇ,i,и
прѣждесѣданиѣ,perђesědanьje,прѣждесѣданиѥ
на,na,на
сонъмиштихъ,sъnьmiščixъ,съньмищихъ
ꙇ,i,и
цѣлованиѣ,kělovanьje,цѣлованиѥ
на,na,на
тръжиштихъ,tr̥žiščixъ,тръжищихъ
ꙇ,i,и
нарицати,narikati,нарицати
сѧ,sę,сѧ
отъ,otъ,отъ
ч҃лкъ,čьlověkъ,чьловѣкъ
равьви,ravvi,равви
вꙑ,vy,въі
же,že,же
не,ne,не
нарицаите,narikajite,нарицаите
сѧ,sę,сѧ
равъви,ravvi,равви
единъ,jedinъ,ѥдинъ
бо,bo,бо
естъ,jestъ,ѥстъ
вашъ,vašь,вашь
оучитель,učiteĺь,оучител҄ь
х҃ъ,xristosъ,христосъ
вьси,vьxi,вьси
же,že,же
вꙑ,vy,въі
братрьѣ,bratrьjǞ,братриꙗ
есте,jeste,ѥсте
ꙇ,i,и
отъца,otьka,отьца
не,ne,не
нарицаите,narikajite,нарицаите
себѣ,sebě,себѣ
на,na,на
земи,zemĺi,земл҄и
единъ,jedinъ,ѥдинъ
бо,bo,бо
естъ,jestъ,ѥстъ
о҃тцъ,otьkь,отьць
вашъ,vašь,вашь
ꙇже,jьže,иже
естъ,jestъ,ѥстъ
на,na,на
небесьхъ,nebesьxъ,небесьхъ
ни,ni,ни
нарицаите,narikajite,нарицаите
сѧ,sę,сѧ
наставьници,nastavьniki,наставьници
ѣко,ako,ако
наставьникъ,nastavьnikъ,наставьникъ
вашъ,vašь,вашь
единъ,jedinъ,ѥдинъ
естъ,jestъ,ѥстъ
а,a,а
болеи,boĺьjь,бол҄ии
васъ,vasъ,васъ
да,da,да
бѫдетъ,bǫdetъ,бѫдетъ
вамъ,vamъ,вамъ
слоуга,sluga,слоуга
А,a,а
иже,jьže,иже
вьзнесетъ,vъznesetъ,възнесетъ
сѧ,sę,сѧ
съмѣритъ,sъměritъ,съмѣритъ
сѧ,sę,сѧ
ꙇ,i,и
съмѣрѣѩи,sъměŕǞjęjь,съмѣрꙗѩи
сѧ,sę,сѧ
вьзнесетъ,vъznesetъ,възнесетъ
сѧ,sę,сѧ
Горе,goŕe,гор҄е
вамъ,vamъ,вамъ
кънигъчиѩ,kъńigъčьję,кън҄игъчиѩ
и,i,и
фарисѣи,fariseji,фарисеи
ꙇ,i,и
ѵ҅покрити,üpokriti,ѵпокрити
ѣко,ako,ако
сънѣдаате,sъnědajete,сънѣдаѥте
домꙑ,domy,домъі
въдовицъ,vьdovikь,вьдовиць
ꙇ,i,и
виноѭ,vinojǫ,виноѭ
далече,daleče,далече
молитвѫ,modlitvǫ,молитвѫ
творѧще,tvoręћe,творѧще
сего,sego,сего
ради,radi,ради
приимете,prijьmete,приимете
лише,liše,лише
осѫждение,osǫђenьje,осѫждениѥ
Горе,goŕe,гор҄е
вамъ,vamъ,вамъ
къникьчиѩ,kъńigъčьję,кън҄игъчиѩ
и,i,и
фарисѣи,fariseji,фарисеи
лицемѣри,likeměri,лицемѣри
ѣко,ako,ако
затварѣате,zatvaŕǞjete,затварꙗѥте
ц҃срствие,kěsaŕьstvьje,цѣсар҄ьствиѥ
н҃бское,nebesьskoje,небесьскоѥ
прѣдъ,perdъ,прѣдъ
ч҃лвкъ,čьlověkъ,чьловѣкъ
вꙑ,vy,въі
бо,bo,бо
не,ne,не
въходите,vъxodite,въходите
ни,ni,ни
въходѧштиихъ,vъxodęћьjixъ,въходѧщиихъ
оставлѣате,ostavĺǞjete,оставлꙗѥте
вънити,vъniti,вънити
Горе,goŕe,гор҄е
вамъ,vamъ,вамъ
кънигъчиѩ,kъńigъčьję,кън҄игъчиѩ
и,i,и
фарисѣи,fariseji,фарисеи
ѵ҅покрити,üpokriti,ѵпокрити
ѣко,ako,ако
прѣходите,perxodite,прѣходите
море,moŕe,мор҄е
и,i,и
соушѫ,sušǫ,соушѫ
сътворити,sъtvorite,сътворите
единого,jedinogo,ѥдиного
пришелъца,prišьdlьka,пришьльца
ꙇ,i,и
егда,jegъda,ѥгъда
бѫдетъ,bǫdetъ,бѫдетъ
творите,tvorite,творите
и,jь,и
с҃на,syna,съіна
ꙉеоньнѣ,ǵejoně,ꙉеонѣ
соугоубѣиша,sugubějьšǞ,соугоубѣиша
васъ,vasъ,васъ
Горе,goŕe,гор҄е
вамъ,vamъ,вамъ
вожди,voђi,вожди
слѣпии,slěpiji,слѣпии
г҃лѭштеи,golgoĺǫћeji,глаголѭщеи
ꙇже,jьže,иже
аще,aћe,аще
клънетъ,klьnetъ,кльнетъ
сѧ,sę,сѧ
ц҃рквьѭ҄,kŕ̥kъvьjǫ,црькъвиѭ
ничтоже,ničьtože,ничьтоже
естъ,jestъ,ѥстъ
а,a,а
иже,jьže,иже
клънетъ,klьnetъ,кльнетъ
сѧ,sę,сѧ
златомь,zoltomь,златомь
ц҃рквнꙑмъ,kŕ̥kъvьnomьjimь,црькъвьнъіимь
длъжень,dl̥žьnъ,длъжьнъ
естъ,jestъ,ѥстъ
боуи,buji,боуи
и,i,и
слѣпии,slěpiji,слѣпии
кто,kъto,къто
болеи,boĺьjь,бол҄ии
естъ,jestъ,ѥстъ
злато,zolto,злато
ли,li,ли
ли,li,ли
ц҃ркꙑ,kŕ̥ky,црькъі
с҃вщаѭщиѣ,svętęћijǞ,свѧтѧщиꙗ
злато,zolto,злато
ꙇ,i,и
иже,jьže,иже
аще,aћe,аще
кльнетъ,klьnetъ,кльнетъ
сѧ,sę,сѧ
олтаремь,olъtaŕemь,олътар҄емь
ничтоже,ničьtože,ничьтоже
естъ,jestъ,ѥстъ
а,a,а
иже,jьže,иже
кльнетъ,klьnetъ,кльнетъ
сѧ,sę,сѧ
даромь,daromь,даромь
иже,jьže,иже
естъ,jestъ,ѥстъ
връхоу,vŕ̥xu,врьхоу
его,jego,ѥго
длъженъ,dl̥žьnъ,длъжьнъ
естъ,jestъ,ѥстъ
боуи,buji,боуи
и,i,и
слѣпии,slěpiji,слѣпии
что,čьto,чьто
бо,bo,бо
естъ,jestъ,ѥстъ
боле,boĺe,бол҄е
даръ,darъ,даръ
ли,li,ли
или,ili,или
олтарь,olъtaŕь,олътар҄ь
с҃вщаѩи,svęћǞjęjь,свѧщаѩи
даръ,darъ,даръ
клънꙑи,klьnyjь,кльнъіи
сѧ,sę,сѧ
оубо,ubo,оубо
олтаремь,olъtaŕemь,олътар҄емь
кльнетъ,klьnetъ,кльнетъ
сѧ,sę,сѧ
имь,jimь,имь
и,i,и
сѫштиими,sǫћemьjimь,сѫщиимь
връхоу,vŕ̥xu,врьхоу
его,jego,ѥго
ꙇ,i,и
клънꙑи,klьnyjь,кльнъіи
сѧ,sę,сѧ
ц҃рквиѭ,kŕ̥kъvьjǫ,црькъвиѭ
кльнетъ,klьnetъ,кльнетъ
сѧ,sę,сѧ
еѭ,jejǫ,ѥѭ
и,i,и
живѫштимъ,živǫћemьjimь,живѫщиимь
вь,vъ,въ
неи,ńejь,н҄еи
ꙇ,i,и
клънꙑи,klьnyjь,кльнъіи
сѧ,sę,сѧ
н҃бсемь,nebesьmь,небесьмь
кльнетъ,klьnetъ,кльнетъ
сѧ,sę,сѧ
прѣстоломъ,perstolomь,прѣстоломь
б҃жиемь,božьjemь,божиѥмь
ꙇ,i,и
сѣдѧщимь,sědęћemь,сѣдѧщемь
на,na,на
немь,ńemь,н҄емь
Горе,goŕe,гор҄е
вамъ,vamъ,вамъ
кънигъчиѩ,kъńigъčьję,кън҄игъчиѩ
и,i,и
фарисѣи,fariseji,фарисеи
лицемѣри,likeměri,лицемѣри
ѣко,ako,ако
отъдесѧтъствоуете,otъdesętьstvujete,отъдесѧтьствоуѥте
мѧтѫ,mętǫ,мѧтѫ
и,i,и
копръ,koprъ,копръ
ꙇ҅,i,и
кѵминъ,küminъ,кѵминъ
ꙇ,i,и
остависте,ostaviste,остависте
тѧжьшаа,tęžьšǞjǞ,тѧжьшаꙗ
закона,zakona,закона
сѫдъ,sǫdъ,сѫдъ
и,i,и
милость,milostь,милость
и,i,и
вѣрѫ,věrǫ,вѣрѫ
си,si,си
же,že,же
подобааше,podobaaše,подобааше
сътворити,sъtvoriti,сътворити
ꙇ҅,i,и
тѣхъ,těxъ,тѣхъ
не,ne,не
оставити,ostaviti,оставити
Вожди,voђi,вожди
слѣпии,slěpiji,слѣпии
оцѣждаѭщеи,okěђǞjǫћeji,оцѣждаѭщеи
мьшицѫ,mъšikǫ,мъшицѫ
а,a,а
вельбѫдъ,velьbǫdъ,вельбѫдъ
поглъштаѭще,poglъћǞjǫћe,поглъщаѭще
Горе,goŕe,гор҄е
вамъ,vamъ,вамъ
кънижьници,kъńižьniki,кън҄ижьници
и,i,и
фарисеи,fariseji,фарисеи
ѵ҅покрити,üpokriti,ѵпокрити
ѣко,ako,ако
очиштаате,očišћǞjete,очищаѥте
вьнѣщънее,vъněšьńeje,вънѣшьн҄еѥ
стькльници,stьklьniki,стькльници
ꙇ,i,и
паропсидѣ,paropъsidě,паропъсидѣ
ѫтрьѫдѫ,ǫtrьjǫdu,ѫтриѭдоу
же,že,же
сѫтъ,sǫtъ,сѫтъ
плъни,pĺ̥ni,пльни
хꙑштениѣ,xyћenьjǞ,хъіщениꙗ
ꙇ,i,и
нечистотꙑ,nečistoty,нечистотъі
Фарисею,fariseje,фарисеѥ
слѣпе,slěpe,слѣпе
очисти,očisti,очисти
прѣжде,perђe,прѣжде
вьнѫтрьнее,vъnǫtrьńeje,вънѫтрьн҄еѥ
стекльници,stьklьniki,стькльници
ꙇ,i,и
поропсидѣ,paropъsidě,паропъсидѣ
да,da,да
бѫдетъ,bǫdetъ,бѫдетъ
и,i,и
вьнѣщьнее,vъněšьńeje,вънѣшьн҄еѥ
има,jima,има
чисто,čisto,чисто
Горе,goŕe,гор҄е
вамъ,vamъ,вамъ
кьнижьници,kъńižьniki,кън҄ижьници
и,i,и
фарисѣи,fariseji,фарисеи
ѵ҅покрити,üpokriti,ѵпокрити
ѣко,ako,ако
подобите,podobite,подобите
сѧ,sę,сѧ
гробомъ,grobomъ,гробомъ
повапьненомъ,povapьńenomъ,повапьн҄еномъ
ꙇже,jiže,иже
вьнѣѭдѫ,vъnějǫdu,вънѣѭдоу
оубо,ubo,оубо
сѫтъ,sǫtъ,сѫтъ
красьни,krasьni,красьни
вънѫтрьѫдѫ,vъnǫtrьjǫdu,вънѫтриѭдоу
же,že,же
плъни,pĺ̥ni,пльни
сѫтъ,sǫtъ,сѫтъ
костии,kostьjь,костии
мрътвꙑихъ,mŕ̥tvъjixъ,мрьтвъіихъ
ꙇ,i,и
вьсѣкоѩ,vьxakoję,вьсꙗкоѩ
нечистотꙑ,nečistoty,нечистотъі
тако,tako,тако
и,i,и
вꙑ,vy,въі
вьнѣѫ҄доу,vъnějǫdu,вънѣѭдоу
оубо,ubo,оубо
авлѣате,avĺǞjete,авлꙗѥте
сѧ,sę,сѧ
ч҃лвкомъ,čьlověkomъ,чьловѣкомъ
праведьни,pravьdьni,правьдьни
вънѫтрьѫдоу,vъnǫtrьjǫdu,вънѫтриѭдоу
же,že,же
есте,jeste,ѥсте
пльни,pĺ̥ni,пльни
лицемѣриѣ,likeměrьjǞ,лицемѣриꙗ
и,i,и
безакониѣ,bezakonьjǞ,безакониꙗ
Горе,goŕe,гор҄е
вамъ,vamъ,вамъ
кънижъници,kъńižьniki,кън҄ижьници
и,i,и
фарисѣи,fariseji,фарисеи
ꙇ,i,и
ѵ҅покрити,üpokriti,ѵпокрити
Ѣ҅ко,ako,ако
зиждете,ziђete,зиждете
гробꙑ,groby,гробъі
пророчьскꙑѩ҅,proročьskyję,пророчьскъіѩ
ꙇ,i,и
красите,krasite,красите
ракꙑ,orky,ракъі
праведьнꙑхъ,pravьdьnъjixъ,правьдьнъіихъ
ꙇ,i,и
г҃лете,golgoĺete,глагол҄ете
аште,aћe,аще
бимъ,bimъ,бимъ
бꙑли,byli,бъіли
вь,vъ,въ
дьни,dьni,дьни
отецъ,otьkь,отьць
нашихъ,našixъ,нашихъ
не,ne,не
бимь,bimъ,бимъ
оубо,ubo,оубо
обещьници,obьћьniki,обьщьници
имъ,jimъ,имъ
бꙑли,byli,бъіли
въ,vъ,въ
кръви,krъvi,кръви
пророкъ,prorokъ,пророкъ
тѣмъ,těmь,тѣмь
же,že,же
сами,sami,сами
съвѣдѣтельствоуете,sъvěděteĺьstvujete,съвѣдѣтел҄ьствоуѥте
себѣ,sebě,себѣ
ѣко,ako,ако
с҃нове,synove,съінове
есте,jeste,ѥсте
избивъшихъ,jьzbivъšьjixъ,избивъшиихъ
п҃ркꙑ,proroky,пророкъі
ꙇ,i,и
вꙑ,vy,въі
исплъните,jьspĺ̥nite,испльните
мѣрѫ,měrǫ,мѣрѫ
отецъ,otьkь,отьць
вашихъ,vašixъ,вашихъ
змиѩ,zmьję,змиѩ
ищѧдьѣ,jьščędьjǞ,ищѧдиꙗ
ехидънова,jex́idьnova,ѥхидьнова
како,kako,како
оубѣжите,uběžite,оубѣжите
отъ,otъ,отъ
сѫда,sǫda,сѫда
ꙉеонъскааго,ǵejonьskyjeję,ꙉеоньскъіѥѩ
Сего,sego,сего
ради,radi,ради
се,se,се
азъ,azъ,азъ
сълѭ҄,sъĺǫ,сълѭ
къ,kъ,къ
вамъ,vamъ,вамъ
п҃ркꙑ,proroky,пророкъі
и,i,и
прѣмѫдрꙑ,permǫdry,прѣмѫдръі
ꙇ,i,и
кънижъникꙑ,kъńižьniky,кън҄ижьникъі
ꙇ,i,и
отъ,otъ,отъ
нихъ,ńixъ,н҄ихъ
оубиете,ubьjete,оубиѥте
ꙇ,i,и
пропьнете,propьnete,пропьнете
ꙇ,i,и
отъ,otъ,отъ
нихъ,ńixъ,н҄ихъ
бьете,bьjete,биѥте
на,na,на
соньмиштихъ,sъnьmiščixъ,съньмищихъ
вашихъ,vašixъ,вашихъ
ꙇ,i,и
ижденете,jьžǯenete,ижденете
отъ,otъ,отъ
града,gorda,града
въ,vъ,въ
градъ,gordъ,градъ
да,da,да
придетъ,prijьdetъ,приидетъ
на,na,на
вꙑ,vy,въі
вьсѣка,vьxaka,вьсꙗка
кръвъ,krъvь,кръвь
праведъна,pravьdьna,правьдьна
проливаема,prolivajema,проливаѥма
на,na,на
землѭ҄,zemĺǫ,землѭ
отъ,otъ,отъ
кръве,krъve,кръве
авела,aveĺǞ,авелꙗ
праведънааго,pravьdьnajego,правьдьнаѥго
до,do,до
крьве,krъve,кръве
захариѩ,zaxariję,захариѩ
с҃на,syna,съіна
варахиина,varax́ijina,варахиина
егоже,jegože,ѥгоже
оубисте,ubiste,оубисте
междю,meђu,междоу
ц҃рквиѭ҄,kŕ̥kъvьjǫ,црькъвиѭ
и,i,и
олт҄аремь,olъtaŕemь,олътар҄емь
амин,aminь,аминь
г҃лѭ,golgoĺǫ,глаголѭ
вамъ,vamъ,вамъ
придѫтъ,prijьdǫtъ,приидѫтъ
вьсѣ,vьxa,вьсꙗ
си,si,си
на,na,на
родо,rodъ,родъ
сь,sь,сь
Ꙇ҃рме,ijerusalime,иѥроусалиме
избивꙑ,jьzbivъjь,избивъіи
п҃ркꙑ,proroky,пророкъі
ꙇ҅,i,и
камениемь,kamenьjemь,камениѥмь
