TOROT form,Autoreconstructed LCS,Autonormalised OCS
азъ,azъ,азъ
же,že,же
г҃лѭ,golgoĺǫ,глаголѭ
вамъ,vamъ,вамъ
не,ne,не
клѧти,klęti,клѧти
сѧ,sę,сѧ
отънѫдъ,otъnǫdь,отънѫдь
ни,ni,ни
н҃бмь,nebomь,небомь
ѣко,ako,ако
прѣстолъ,perstolъ,прѣстолъ
естъ,jestъ,ѥстъ
б҃жии,božьjь,божии
ни,ni,ни
землеѭ҄,zemĺejǫ,земл҄еѭ
ѣко,ako,ако
подъножие,podъnožьje,подъножиѥ
естъ,jestъ,ѥстъ
ногама,nogama,ногама
его,jego,ѥго
ни,ni,ни
и҃ерслмъмъ,ijerusalimomь,иѥроусалимомь
ѣко,ako,ако
гⷬ҇дъ,gordъ,градъ
естъ,jestъ,ѥстъ
великааго,velikajego,велицаѥго
ц҃срѣ,kěsaŕǞ,цѣсарꙗ
ни,ni,ни
главоѭ,golvojǫ,главоѭ
своеѭ,svojejǫ,своѥѭ
клъни,klьni,кльни
сѧ,sę,сѧ
ѣко,ako,ако
не,ne,не
можеши,možeši,можеши
власа,volsa,власа
единого,jedinogo,ѥдиного
бѣла,běla,бѣла
ли,li,ли
чръна,čŕ̥na,чрьна
сътворити,sъtvoriti,сътворити
бѫди,bǫdi,бѫди
же,že,же
слово,slovo,слово
ваше,vaše,ваше
еи,????,????
ей,????,????
ꙇ҅,i,и
ни,ni,ни
ни,ni,ни
лихое,lixoje,лихоѥ
бо,bo,бо
сеѭ,seju,сею
отъ,otъ,отъ
неприѣзни,neprijǞzni,неприꙗзни
естъ,jestъ,ѥстъ
Слꙑшасте,slyšǞste,слъішасте
ѣко,ako,ако
речено,rečeno,речено
бꙑⷭ҇,bystъ,бъістъ
око,oko,око
за,za,за
око,oko,око
и,i,и
зѫбъ,zǫbъ,зѫбъ
за,za,за
зѫбъ,zǫbъ,зѫбъ
азъ,azъ,азъ
же,že,же
г҃лѭ,golgoĺǫ,глаголѭ
вамъ,vamъ,вамъ
не,ne,не
противити,protiviti,противити
сѧ,sę,сѧ
зълоу,zъlujemu,зълоуѥмоу
Нъ,nъ,нъ
аще,aћe,аще
кто,kъto,къто
тѧ,tę,тѧ
оударитъ,udaritъ,оударитъ
въ,vъ,въ
деснѫѭ,desnǫjǫ,деснѫѭ
ланитѫ,olnitǫ,ланитѫ
обрати,obvorti,обрати
емоу,jemu,ѥмоу
и,i,и
дроугѫѭ҄,drugǫjǫ,дроугѫѭ
ꙇ,i,и
хотѧщоумоу,xotęћujemu,хотѧщоуѥмоу
сѫдъ,sǫdъ,сѫдъ
приѩти,prijęti,приѩти
съ,﻿sъ,﻿съ
тобоѭ,tobojǫ,тобоѭ
и,i,и
ризѫ,rizǫ,ризѫ
твоѭ,tvojǫ,твоѭ
възѧти,vъzęti,възѧти
отъпоусти,otъpusti,отъпоусти
емоу,jemu,ѥмоу
и,i,и
срачицѫ,sorčikǫ,срачицѫ
твоѭ,tvojǫ,твоѭ
и,i,и
аще,aћe,аще
къто,kъto,къто
поиметъ,pojьmetъ,поиметъ
тѧ,tę,тѧ
по,po,по
силѣ,silě,силѣ
попьрище,popьrišče,попьрище
едино,jedino,ѥдино
ꙇди,jьdi,иди
съ,﻿sъ,﻿съ
нимь,ńimь,н҄имь
дьвѣ,dъvě,дъвѣ
Просѧштоумоу,prosęћujemu,просѧщоуѥмоу
оу,u,оу
тебе,tebe,тебе
даи,daji,даи
ꙇ,i,и
хотѧштаго,xotęћǞjego,хотѧщаѥго
отъ,otъ,отъ
тебе,tebe,тебе
заѩти,zajęti,заѩти
не,ne,не
отъврати,otъvorti,отъврати
слꙑшасте,slyšǞste,слъішасте
ѣко,ako,ако
речено,rečeno,речено
естъ,jestъ,ѥстъ
възлюбиши,vъžĺubiši,въжлюбиши
искрьнѣго,jьskrьńǞjego,искрьнꙗѥго
своего,svojego,своѥго
ꙇ,i,и
вьзненавидиши,vъznenavidiši,възненавидиши
врага,vorga,врага
своего,svojego,своѥго
азъ,azъ,азъ
же,že,же
г҃лѭ,golgoĺǫ,глаголѭ
вамъ,vamъ,вамъ
любите,ĺubite,любите
врагꙑ,vorgy,врагъі
вашѧ,vašę,вашѧ
б҃лагслвите,bolgoslovite,благословите
клънѫштѧѩ,klьnǫћęję,кльнѫщѧѩ
вꙑ,vy,въі
добро,dobro,добро
творите,tvorite,творите
ненавидѧштиимъ,nenavidęћemъjimъ,ненавидѧщиимъ
васъ,vasъ,васъ
ꙇ,i,и
молите,modlite,молите
за,za,за
