naučiši,наоучиши,наоучиши,,,
to,то,то,,,
to,то,то,,,
sъtvoŕǫ,сътворѭ,сътворѫ,,,
reče,рече,рече,,,
jemu,ѥмоу,ѥмꙋ,,,
,,антонии,,,
rěxъ,рѣхъ,рѣхъ,,,
ti,ти,ти,,,
ako,ако,ꙗко,,,
starъ,старъ,старъ,,,
jesi,ѥси,ѥси,,,
i,и,и,,,
ne,не,не,,,
možeši,можеши,можеши,,,
,,чрьнецъ,,,
byti,бъіти,бꙑти,,,
jьdi,иди,иди,,,
aћe,аще,аште,,,
xoћeši,хощеши,хоштеши,,,
,,чрьнецъ,,,
byti,бъіти,бꙑти,,,
vъlězi,вълѣзи,вьлѣзи,,,
vъ,въ,вь,,,
,,обьштии,,,
,,манастꙑрь,,,
jьђeže,иждеже,иждеже,,,
vęћe,вѧще,вꙙште,,,
bratrьję,братриѩ,братиѧ,,,
jestъ,ѥстъ,ѥстъ,,,
jiže,иже,иже,,,
mogǫtъ,могѫтъ,могѫтъ,,,
tebě,тебѣ,тебѣ,,,
i,и,и,,,
bolěznьmъ,болѣзньмъ,болѣзнемъ,,,
tvojimъ,твоимъ,твоимъ,,,
poslužiti,послоужити,послоужити,,,
azъ,азъ,азъ,,,
bo,бо,бо,,,
jedinъ,ѥдинъ,ѥдинъ,,,
sěђǫ,сѣждѫ,сѣждѫ,,,
sьde,сьде,сьде,,,
,,пꙙтꙑи,,,
dьnь,дьнь,дьнь,,,
ne,не,не,,,
,,въкоушаѧ,,,
boršьno,брашьно,брашно,,,
i,и,и,,,
,,тоже,,,
,,поскѫдоу,,,
simi,сими,сими,,,
ubo,оубо,оубо,,,
golgoly,глаголъі,глаголꙑ,,,
,,отъганꙗше,,,
pavьla,павьла,паула,,,
i,и,и,,,
ako,ако,акⷪ,,,
ne,не,не,,,
rači,рачи,рачи,,,
poslušǞti,послоушати,послоушати,,,
jego,ѥго,ѥго,,,
zatvorivъ,затворивъ,затворивꙿ,,,
dvьri,двьри,двьри,,,
,,антонии,,,
togo,того,того,,,
radi,ради,ради,,,
ne,не,не,,,
vъnide,въниде,вьниде,,,
do,до,до,,,
trьjь,трии,трии,,,
dьnьjь,дьнии,дьнии,,,
ni,ни,ни,,,
,,заходоу,,,
sebě,себѣ,себѣ,,,
starьkь,старьць,старьцъ,,,
že,же,же,,,
perbyvaaše,прѣбъівааше,прѣбꙑвааше,,,
ne,не,не,,,
oxodę,оходѧ,отъходꙙ,,,
vъ,въ,въ,,,
četvŕ̥tъjь,четврьтъіи,четврьтъи,,,
dьnь,дьнь,дьнь,,,
