to|то
mojemь|моѥмь
vaŕǞjǫ|варꙗѭ
vy|въі
vъ|въ
galileji|галилеи
otъvěћǞvъ|отъвѣщавъ
že|же
petrъ|петръ
reče|рече
jemu|ѥмоу
aћe|аще
i|и
vьxi|вьси
sъblaznętъ|съблазнѧтъ
sę|сѧ
o|о
tebě|тебѣ
azъ|азъ
nikoliže|николиже
ne|не
sъblažńǫ|съблажнѭ
sę|сѧ
reče|рече
jemu|ѥмоу
jisusъ|исоусъ
aminь|аминь
golgoĺǫ|глаголѭ
tebě|тебѣ
ako|ако
vъ|въ
sьjǫ|сиѭ
noћь|нощь
perђe|прѣжде
daže|даже
kokotъ|кокотъ
ne|не
vъzgolsitъ|възгласитъ
tri|три
korty|кратъі
otъvŕ̥žeši|отъврьжеши
sę|сѧ
mene|мене
golgola|глагола
jemu|ѥмоу
petrъ|петръ
aћe|аще
mi|ми
sę|сѧ
kĺučitъ|ключитъ
﻿sъ|﻿съ
tobojǫ|тобоѭ
umerti|оумрѣти
ne|не
otъvŕ̥gǫ|отъврьгѫ
sę|сѧ
tebe|тебе
takoђe|такожде
i|и
vьxi|вьси
učeniki|оученици
rěšę|рѣшѧ
tъgъda|тъгъда
prijьde|прииде
jisusъ|исоусъ
vъ|въ
vьsь|вьсь
narikajemǫjǫ|нарицаѥмѫѭ
ǵetъsimani|ꙉетъсимани
i|и
golgola|глагола
učenikomъ|оученикомъ
sęděte|сѧдѣте
tu|тоу
dońьdeže|дон҄ьдеже
šьdъ|шьдъ
pomodĺǫ|помодлѭ
sę|сѧ
tamo|тамо
i|и
pojьmъ|поимъ
petra|петра
i|и
oba|оба
syna|съіна
zevedejova|зеведеова
načętъ|начѧтъ
skr̥běti|скръбѣти
i|и
tǫžiti|тѫжити
tъgъda|тъгъда
golgola|глагола
jimъ|имъ
jisusъ|исоусъ
priskr̥bьna|прискръбьна
jestъ|ѥстъ
dušǞ|доуша
mojǞ|моꙗ
do|до
sъmŕ̥ti|съмрьти
požiděte|пожидѣте
sьde|сьде
i|и
bъdite|бъдите
﻿sъ|﻿съ
mъnojǫ|мъноѭ
i|и
peršьdъ|прѣшьдъ
malo|мало
pade|паде
nikь|ниць
modlę|молѧ
sę|сѧ
i|и
golgoĺę|глаголѩ
otьče|отьче
mojь|мои
aћe|аще
vъzmožьno|възможьно
jestъ|ѥстъ
da|да
mimojьdetъ|мимоидетъ
otъ|отъ
mene|мене
čǞšǞ|чаша
si|си
obače|обаче
ne|не
ako|ако
azъ|азъ
xoћǫ|хощѫ
nъ|нъ
akože|акоже
ty|тъі
i|и
prijьde|прииде
kъ|къ
učenikomъ|оученикомъ
i|и
obrěte|обрѣте
ję|ѩ
sъpęћę|съпѧщѧ
i|и
golgola|глагола
petrovi|петрови
tako|тако
li|ли
ne|не
vъzmože|възможе
jedinogo|ѥдиного
čǞsa|часа
pobъděti|побъдѣти
﻿sъ|﻿съ
mъnojǫ|мъноѭ
bъdite|бъдите
i|и
modlite|молите
sę|сѧ
da|да
ne|не
vъnidete|вънидете
vъ|въ
napastь|напасть
duxъ|доухъ
bo|бо
bъdrъ|бъдръ
a|а
plъtь|плъть
nemoћьna|немощьна
paky|пакъі
vъtorikejǫ|въторицеѭ
šьdъ|шьдъ
pomodli|помоли
sę|сѧ
golgoĺę|глаголѩ
otьče|отьче
mojь|мои
aћe|аще
ne|не
vъzmožetъ|възможетъ
čǞšǞ|чаша
si|си
mimojьti|мимоити
otъ|отъ
mene|мене
aћe|аще
ne|не
pьjǫ|пиѭ
jeję|ѥѩ
bǫdi|бѫди
voĺǞ|волꙗ
tvojǞ|твоꙗ
i|и
prišьdъ|пришьдъ
paky|пакъі
obrěte|обрѣте
ję|ѩ
sъpęћę|съпѧщѧ
běste|бѣсте
bo|бо
oči|очи
jimъ|имъ
tęžьkě|тѧжьцѣ
i|и
ostavĺь|оставл҄ь
ję|ѩ
paky|пакъі
šьdъ|шьдъ
pomodli|помоли
sę|сѧ
tretьjikejǫ|третиицеѭ
toђe|тожде
slovo|слово
rekъ|рекъ
tъgъda|тъгъда
prijьde|прииде
kъ|къ
učenikomъ|оученикомъ
i|и
golgola|глагола
jimъ|имъ
sъpite|съпите
pročeje|прочеѥ
i|и
počivajete|почиваѥте
se|се
približi|приближи
sę|сѧ
godina|година
i|и
synъ|съінъ
čьlověčьskъjь|чьловѣчьскъіи
perdajetъ|прѣдаѥтъ
sę|сѧ
vъ|въ
rǫky|рѫкъі
grěšьnikomъ|грѣшьникомъ
vъstaněte|въстанѣте
jьděmъ|идѣмъ
se|се
približi|приближи
sę|сѧ
perdajęjь|прѣдаѩи
mę|мѧ
i|и
ješčě|ѥщѣ
golgoĺǫћu|глаголѭщоу
jemu|ѥмоу
se|се
ijuda|июда
jedinъ|ѥдинъ
otъ|отъ
oboju|обою
na|на
desęte|десѧте
prijьde|прииде
i|и
﻿sъ|﻿съ
ńimь|н҄имь
narodъ|народъ
mъnogъ|мъногъ
﻿sъ|﻿съ
orǫžьji|орѫжии
i|и
dŕ̥kolьmi|дрькольми
otъ|отъ
arъx́ijerejь|аръхиѥреи
i|и
starьkь|старьць
ĺudьskъjixъ|людьскъіихъ
perdajęjь|прѣдаѩи
že|же
jь|и
dastъ|дастъ
jimъ|имъ
znamenьje|знамениѥ
golgoĺę|глаголѩ
jegože|ѥгоже
aћe|аще
lobъžǫ|лобъжѫ
tъ|тъ
jestъ|ѥстъ
jьměte|имѣте
jь|и
i|и
abьje|абиѥ
pristǫpĺь|пристѫпл҄ь
kъ|къ
jisusovi|исоусови
reče|рече
jemu|ѥмоу
raduji|радоуи
sę|сѧ
ravvi|равви
i|и
oblobyza|облобъіза
jь|и
jisusъ|исоусъ
že|же
reče|рече
jemu|ѥмоу
druže|дроуже
na|на
ńeže|н҄еже
jesi|ѥси
prišьdlъ|пришьлъ
tъgъda|тъгъда
pristǫpĺьše|пристѫпл҄ьше
vъzložišę|възложишѧ
rǫkě|рѫцѣ
na|на
jisusa|исоуса
i|и
jęsę|ѩсѧ
jь|и
i|и
se|се
jedinъ|ѥдинъ
otъ|отъ
sǫћьjixъ|сѫщиихъ
﻿sъ|﻿съ
jisusomь|исоусомь
prostьrъ|простьръ
rǫkǫ|рѫкѫ
jьzvelče|извлѣче
nožь|ножь
svojь|свои
i|и
udaŕь|оудар҄ь
orba|раба
arъx́ijerejova|аръхиѥреова
urěza|оурѣза
jemu|ѥмоу
uxo|оухо
tъgъda|тъгъда
golgola|глагола
jemu|ѥмоу
jisusъ|исоусъ
vъzvorti|възврати
nožь|ножь
svojь|свои
vъ|въ
svoje|своѥ
město|мѣсто
vьxi|вьси
bo|бо
prijьmъšeji|приимъшеи
nožь|ножь
nožemь|ножемь
pogybnǫtъ|погъібнѫтъ
li|ли
mьnitъ|мьнитъ
ti|ти
sę|сѧ
ako|ако
ne|не
mogǫ|могѫ
nyně|нъінѣ
umodliti|оумолити
otьka|отьца
mojego|моѥго
i|и
pristavitъ|приставитъ
mъně|мънѣ
vęћe|вѧще
li|ли
dъva|дъва
na|на
desęte|десѧте
leǵeona|леꙉеона
anǵelъ|анꙉелъ
kako|како
že|же
ubo|оубо
sъbǫdǫtъ|събѫдѫтъ
sę|сѧ
kъńigy|кън҄игъі
ako|ако
tako|тако
podobaaše|подобааше
byti|бъіти
vъ|въ
tъ|тъ
čǞsъ|часъ
reče|рече
jisusъ|исоусъ
narodomъ|народомъ
ako|ако
na|на
orzbojьnika|разбоиница
li|ли
jьzidete|изидете
﻿sъ|﻿съ
orǫžьjemь|орѫжиѥмь
i|и
dŕ̥kolьmi|дрькольми
jęti|ѩти
mę|мѧ
po|по
vьxę|вьсѧ
dьni|дьни
sěděaxъ|сѣдѣахъ
pri|при
vasъ|васъ
vъ|въ
kŕ̥kъve|црькъве
i|и
ne|не
jęste|ѩсте
mene|мене
se|се
že|же
vьxe|вьсе
bystъ|бъістъ
da|да
sъbǫdǫtъ|събѫдѫтъ
sę|сѧ
kъńigy|кън҄игъі
proročьskyję|пророчьскъіѩ
tъgъda|тъгъда
učeniki|оученици
vьsьje|вьсиѥ
ostavĺьše|оставл҄ьше
jь|и
běžǞšę|бѣжашѧ
oni|они
že|же
jьmъše|имъше
jisusa|исоуса
věsę|вѣсѧ
kъ|къ
kajijǞfě|каиꙗфѣ
arъx́ijerejovi|аръхиѥреови
jьdeže|идеже
kъńižьniki|кън҄ижьници
i|и
starьki|старьци
sъbьrašę|събьрашѧ
sę|сѧ
petrъ|петръ
že|же
jьděaše|идѣаше
po|по
ńemь|н҄емь
jьzdaleče|издалече
do|до
dvora|двора
arъx́ijerejova|аръхиѥреова
i|и
vъšьdъ|въшьдъ
vъnǫtrь|вънѫтрь
sěděaše|сѣдѣаше
﻿sъ|﻿съ
slugami|слоугами
viděti|видѣти
konьčinǫ|коньчинѫ
arъx́ijereji|аръхиѥреи
že|же
i|и
starьki|старьци
i|и
sъnьmъ|съньмъ
vьxь|вьсь
jьskaaxǫ|искаахѫ
lъžǞ|лъжа
sъvěděteĺǞ|съвѣдѣтелꙗ
na|на
jisusa|исоуса
ako|ако
da|да
ubьjǫtъ|оубиѭтъ
jь|и
i|и
ne|не
obrětǫ|обрѣтѫ
mъnogomъ|мъногомъ
lъžemъ|лъжемъ
sъvěděteĺemъ|съвѣдѣтел҄емъ
pristǫpĺьšemъ|пристѫпл҄ьшемъ
poslědь|послѣдь
že|же
pristǫpĺьšǞ|пристѫпл҄ьша
dъva|дъва
lъžǞ|лъжа
sъvěděteĺǞ|съвѣдѣтелꙗ
rěste|рѣсте
sь|сь
reče|рече
mogǫ|могѫ
orzoriti|разорити
kŕ̥kъvь|црькъвь
božьjǫ|божиѭ
i|и
trьmi|трьми
dьnьmi|дьньми
sъzьdati|съзьдати
jǫ|ѭ
i|и
vъstavъ|въставъ
arъx́ijerejь|аръхиѥреи
reče|рече
jemu|ѥмоу
ničьsože|ничьсоже
li|ли
ne|не
otъvěћǞvaješi|отъвѣщаваѥши
čьto|чьто
sьji|сии
na|на
tę|тѧ
sъvěděteĺьstvujǫtъ|съвѣдѣтел҄ьствоуѭтъ
jisusъ|исоусъ
že|же
mĺ̥čǞaše|мльчааше
i|и
otъvěћǞvъ|отъвѣщавъ
arъx́ijerejь|аръхиѥреи
reče|рече
jemu|ѥмоу
zaklinajǫ|заклинаѭ
tę|тѧ
bogomь|богомь
živomьjimь|живъіимь
da|да
rečeši|речеши
namъ|намъ
aћe|аще
ty|тъі
jesi|ѥси
xristosъ|христосъ
synъ|съінъ
božьjь|божии
golgola|глагола
jimъ|имъ
jisusъ|исоусъ
ty|тъі
reče|рече
obače|обаче
golgoĺǫ|глаголѭ
vamъ|вамъ
otъselě|отъселѣ
uzьrite|оузьрите
syna|съіна
čьlověčьskajego|чьловѣчьскаѥго
sědęћǞ|сѣдѧща
o|о
desnǫjǫ|деснѫѭ
sily|силъі
i|и
grędǫћь|грѧдѫщь
na|на
obvolkěxъ|облацѣхъ
nebesьskěxъjixъ|небесьсцъіихъ
tъgъda|тъгъда
arъx́ijerejь|аръхиѥреи
orstŕ̥ga|растрьга
rizy|ризъі
svoję|своѩ
golgoĺę|глаголѩ
ako|ако
vlasvimьjǫ|власвимиѭ
reče|рече
čьto|чьто
ješčě|ѥщѣ
terbujemъ|трѣбоуѥмъ
sъvěděteĺь|съвѣдѣтел҄ь
se|се
nyně|нъінѣ
slyšǞste|слъішасте
vlasvimьjǫ|власвимиѭ
jego|ѥго
čьto|чьто
sę|сѧ
vamъ|вамъ
mьnitъ|мьнитъ
oni|они
že|же
otъvěћǞvъše|отъвѣщавъше
rěšę|рѣшѧ
povinьnъ|повиньнъ
jestъ|ѥстъ
sъmŕ̥ti|съмрьти
tъgъda|тъгъда
zapĺьvašę|запл҄ьвашѧ
like|лице
jego|ѥго
i|и
pakosti|пакости
jemu|ѥмоу
dějǞšę|дѣꙗшѧ
ovi|ови
že|же
za|за
olnitǫ|ланитѫ
udarišę|оударишѧ
golgoĺǫћe|глаголѭще
prorьki|прорьци
namъ|намъ
xristose|христосе
kъto|къто
jestъ|ѥстъ
udaŕьjь|оудар҄ии
tę|тѧ
petrъ|петръ
že|же
vъně|вънѣ
sěděaše|сѣдѣаше
na|на
dvorě|дворѣ
i|и
pristǫpi|пристѫпи
kъ|къ
ńemu|н҄емоу
jedina|ѥдина
orbyńi|рабъін҄и
golgoĺǫћi|глаголѭщи
i|и
ty|тъі
bě|бѣ
﻿sъ|﻿съ
jisusomь|исоусомь
galilejьskomьjimь|галилеискъіимь
onъ|онъ
že|же
otъvŕ̥že|отъврьже
sę|сѧ
perdъ|прѣдъ
vьxěmi|вьсѣми
golgoĺę|глаголѩ
ne|не
věmь|вѣмь
čьto|чьто
golgoĺeši|глагол҄еши
jьsšьdъšu|ишьдъшоу
že|же
jemu|ѥмоу
vъ|въ
vorta|врата
uzьrě|оузьрѣ
jь|и
drugajǞ|дроугаꙗ
i|и
golgola|глагола
jimъ|имъ
tu|тоу
i|и
sь|сь
bě|бѣ
čьlověkъ|чьловѣкъ
﻿sъ|﻿съ
jisusomь|исоусомь
nazarěninomь|назарѣниномь
i|и
paky|пакъі
otъvŕ̥že|отъврьже
sę|сѧ
﻿sъ|﻿съ
klętvojǫ|клѧтвоѭ
ako|ако
ne|не
znajǫ|знаѭ
čьlověka|чьловѣка
ne|не
po|по
mъnogu|мъногоу
že|же
pristǫpĺьše|пристѫпл҄ьше
stojęћeji|стоѩщеи
rěšę|рѣшѧ
petrovi|петрови
vъ|въ
jьstinǫ|истинѫ
i|и
ty|тъі
otъ|отъ
ńixъ|н҄ихъ
jesi|ѥси
ibo|ибо
i|и
besěda|бесѣда
tvojǞ|твоꙗ
avě|авѣ
tę|тѧ
tvoritъ|творитъ
tъgъda|тъгъда
načętъ|начѧтъ
rotiti|ротити
sę|сѧ
i|и
klęti|клѧти
sę|сѧ
ako|ако
ne|не
znajǫ|знаѭ
čьlověka|чьловѣка
i|и
abьje|абиѥ
kokotъ|кокотъ
vъzgolsi|възгласи
i|и
poměnǫ|помѣнѫ
petrъ|петръ
golgolъ|глаголъ
jisusovъ|исоусовъ
jьže|иже
reče|рече
jemu|ѥмоу
ako|ако
perђe|прѣжде
daže|даже
kokotъ|кокотъ
ne|не
vъzgolsitъ|възгласитъ
tri|три
korty|кратъі
otъvŕ̥žeši|отъврьжеши
sę|сѧ
mene|мене
i|и
jьsšьdъ|ишьдъ
vъnъ|вънъ
plaka|плака
sę|сѧ
gorьko|горько
utru|оутроу
že|же
byvъšu|бъівъшоу
sъvětъ|съвѣтъ
sъtvorišę|сътворишѧ
vьxi|вьси
arъx́ijereji|аръхиѥреи
i|и
starьki|старьци
ĺudьskiji|людьсции
na|на
jisusa|исоуса
ako|ако
ubiti|оубити
jь|и
i|и
sъvęzavъše|съвѧзавъше
jь|и
věsę|вѣсѧ
i|и
perdašę|прѣдашѧ
jь|и
ponъtьskujemu|понътьскоуѥмоу
pilatu|пилатоу
iǵemonu|иꙉемоноу
tъgъda|тъгъда
viděvъ|видѣвъ
ijuda|июда
perdavъjь|прѣдавъіи
jego|ѥго
ako|ако
osǫdišę|осѫдишѧ
jь|и
orskajǞvъ|раскаꙗвъ
sę|сѧ
vъzvorti|възврати
tri|три
desęti|десѧти
sьrebrьnikъ|сьребрьникъ
arъx́ijerejomъ|аръхиѥреомъ
i|и
starьkemъ|старьцемъ
golgoĺę|глаголѩ
sъgrěšixъ|съгрѣшихъ
perdavъ|прѣдавъ
krъvь|кръвь
nepovinьnǫ|неповиньнѫ
oni|они
že|же
rěšę|рѣшѧ
čьto|чьто
jestъ|ѥстъ
namъ|намъ
ty|тъі
uzьriši|оузьриши
i|и
povŕ̥gъ|поврьгъ
sьrebro|сьребро
vъ|въ
kŕ̥kъve|црькъве
otide|отиде
i|и
otъšьdъ|отъшьдъ
vъzvěsi|възвѣси
sę|сѧ
arъx́ijereji|аръхиѥреи
že|же
prijьmъše|приимъше
sьrebro|сьребро
rěšę|рѣшѧ
nedostojьno|недостоино
jestъ|ѥстъ
vъložiti|въложити
jego|ѥго
vъ|въ
karъvanǫ|каръванѫ
pońeže|пон҄еже
kěna|цѣна
krъve|кръве
jestъ|ѥстъ
sъvětъ|съвѣтъ
že|же
sъtvoŕьše|сътвор҄ьше
kupišę|коупишѧ
jimь|имь
selo|село
skǫdьlьnikovo|скѫдьльниково
vъ|въ
pogrěbanьje|погрѣбаниѥ
stornьnomъjimъ|страньнъіимъ
těmь|тѣмь
že|же
nareče|нарече
sę|сѧ
selo|село
to|то
selo|село
krъve|кръве
do|до
sego|сего
dьne|дьне
tъgъda|тъгъда
sъbystъ|събъістъ
sę|сѧ
rečenoje|реченоѥ
prorokomь|пророкомь
golgoĺǫћemь|глаголѭщемь
i|и
prijęsę|приѩсѧ
tri|три
desęti|десѧти
sьrebrьnikъ|сьребрьникъ
kěnǫ|цѣнѫ
kěńenajego|цѣн҄енаѥго
jegože|ѥгоже
kěnišę|цѣнишѧ
otъ|отъ
synъ|съінъ
jizrajiĺevъ|издраил҄евъ
i|и
dašę|дашѧ
ję|ѩ
na|на
selě|селѣ
skǫdьlьniči|скѫдьльничи
akože|акоже
sъkaza|съказа
mъně|мънѣ
gospodь|господь
jisusъ|исоусъ
že|же
sta|ста
perdъ|прѣдъ
iǵemonomь|иꙉемономь
i|и
vъsprosi|въспроси
jь|и
iǵemonъ|иꙉемонъ
golgoĺę|глаголѩ
ty|тъі
li|ли
jesi|ѥси
kěsaŕь|цѣсар҄ь
ijudejьskъ|июдеискъ
jisusъ|исоусъ
že|же
reče|рече
jemu|ѥмоу
ty|тъі
golgoĺeši|глагол҄еши
i|и
jegъda|ѥгъда
na|на
ńь|н҄ь
golgolaaxǫ|глаголаахѫ
arъx́ijereji|аръхиѥреи
i|и
starьki|старьци
ničьsože|ничьсоже
otъvěћǞvaaše|отъвѣщавааше
tъgъda|тъгъда
golgola|глагола
jemu|ѥмоу
pilatъ|пилатъ
ne|не
slyšiši|слъішиши
li|ли
koliko|колико
na|на
tę|тѧ
sъvěděteĺьstvujǫtъ|съвѣдѣтел҄ьствоуѭтъ
i|и
ne|не
otъvěћǞ|отъвѣща
jemu|ѥмоу
ni|ни
kъ|къ
jedinomu|ѥдиномоу
golgolu|глаголоу
ako|ако
diviti|дивити
sę|сѧ
iǵemonu|иꙉемоноу
gělo|ѕѣло
na|на
vьxakъ|вьсꙗкъ
že|же
dьnь|дьнь
velikъ|великъ
obyčǞjь|объічаи
bě|бѣ
iǵemonu|иꙉемоноу
otъpušћǞti|отъпоущати
narodu|народоу
sъvęzьńǞ|съвѧзьнꙗ
jegože|ѥгоже
xotěaxǫ|хотѣахѫ
jьměaše|имѣаше
že|же
tъgъda|тъгъда
sъvęzьńǞ|съвѧзьнꙗ
naročita|нарочита
narikajemajego|нарицаѥмаѥго
varaava|вараава
sъbьravъšemъ|събьравъшемъ
že|же
sę|сѧ
jimъ|имъ
reče|рече
jimъ|имъ
pilatъ|пилатъ
kogo|кого
xoћete|хощете
otъ|отъ
oboju|обою
otъpušћǫ|отъпоущѫ
vamъ|вамъ
varaavǫ|вараавѫ
li|ли
ili|или
jisusa|исоуса
narikajemajego|нарицаѥмаѥго
xristosa|христоса
věděaše|вѣдѣаше
bo|бо
ako|ако
zavisti|зависти
radi|ради
perdašę|прѣдашѧ
jь|и
sědęћu|сѣдѧщоу
že|же
jemu|ѥмоу
na|на
sǫdьjišči|сѫдиищи
posъla|посъла
kъ|къ
ńemu|н҄емоу
žena|жена
svojǞ|своꙗ
golgoĺǫћi|глаголѭщи
ničьsože|ничьсоже
tebě|тебѣ
i|и
pravьdьniku|правьдьницоу
tomu|томоу
mъnogo|мъного
bo|бо
postradaxъ|пострадахъ
dьnьsь|дьньсь
vъ|въ
sъně|сънѣ
jego|ѥго
radi|ради
arъx́ijereji|аръхиѥреи
že|же
i|и
starьki|старьци
naustišę|наоустишѧ
narody|народъі
da|да
jьsprosętъ|испросѧтъ
varaavǫ|вараавѫ
jisusa|исоуса
že|же
pogubętъ|погоубѧтъ
otъvěћǞvъ|отъвѣщавъ
že|же
iǵemonъ|иꙉемонъ
reče|рече
jimъ|имъ
kogo|кого
xoћete|хощете
otъ|отъ
oboju|обою
otъpušћǫ|отъпоущѫ
vamъ|вамъ
oni|они
že|же
rěšę|рѣшѧ
varaavǫ|вараавѫ
golgola|глагола
jimъ|имъ
pilatъ|пилатъ
čьto|чьто
že|же
sъtvoŕǫ|сътворѭ
jisusa|исоуса
narikajemajego|нарицаѥмаѥго
xristosa|христоса
golgolašę|глаголашѧ
jemu|ѥмоу
vьxi|вьси
da|да
propętъ|пропѧтъ
bǫdetъ|бѫдетъ
iǵemonъ|иꙉемонъ
reče|рече
jimъ|имъ
čьto|чьто
bo|бо
zъlo|зъло
sъtvori|сътвори
oni|они
že|же
jьzlixa|излисꙗ
vъpьjǞaxǫ|въпиꙗахѫ
golgoĺǫћe|глаголѭще
da|да
propętъ|пропѧтъ
bǫdetъ|бѫдетъ
viděvъ|видѣвъ
že|же
pilatъ|пилатъ
ako|ако
ničesože|ничесоже
ne|не
uspějetъ|оуспѣѥтъ
nъ|нъ
pače|паче
ml̥va|млъва
byvajetъ|бъіваѥтъ
prijьmъ|приимъ
vodǫ|водѫ
umy|оумъі
rǫkě|рѫцѣ
perdъ|прѣдъ
narodomь|народомь
golgoĺę|глаголѩ
nepovinьnъ|неповиньнъ
jesmь|ѥсмь
otъ|отъ
krъve|кръве
sego|сего
pravьdьnajego|правьдьнаѥго
vy|въі
uzьrite|оузьрите
i|и
otъvěћǞvъše|отъвѣщавъше
vьxi|вьси
ĺudьje|людиѥ
rěšę|рѣшѧ
krъvь|кръвь
jego|ѥго
na|на
nasъ|насъ
i|и
na|на
čęděxъ|чѧдѣхъ
našixъ|нашихъ
tъgъda|тъгъда
otъpusti|отъпоусти
jimъ|имъ
varaavǫ|вараавѫ
jisusa|исоуса
že|же
bivъ|бивъ
perdastъ|прѣдастъ
jimъ|имъ
da|да
jь|и
propьnǫtъ|пропьнѫтъ
tъgъda|тъгъда
vojьni|воини
iǵemonovi|иꙉемонови
per+jьmъše|прѣимъше
jisusa|исоуса
na|на
sǫdьjišči|сѫдиищи
sъbьrašę|събьрашѧ
na|на
ńь|н҄ь
vьxǫ|вьсѭ
spirǫ|спирѫ
i|и
sъvĺ̥kъše|съвлькъше
jь|и
xlamüdojǫ|хламѵдоѭ
čŕ̥vĺenojǫ|чрьвл҄еноѭ
oděšę|одѣшѧ
jь|и
i|и
sъpletъše|съплетъше
věnьkь|вѣньць
otъ|отъ
tŕ̥nьjǞ|трьниꙗ
vъzložišę|възложишѧ
na|на
golvǫ|главѫ
jego|ѥго
i|и
trъstь|тръсть
vъ|въ
desnikǫ|десницѫ
jego|ѥго
i|и
poklońьše|поклон҄ьше
sę|сѧ
na|на
kolěnu|колѣноу
perdъ|прѣдъ
ńimь|н҄имь
rǫgaaxǫ|рѫгаахѫ
sę|сѧ
jemu|ѥмоу
golgoĺǫћe|глаголѭще
raduji|радоуи
sę|сѧ
kěsaŕu|цѣсарю
ijudejьskъ|июдеискъ
i|и
plinǫvъše|плинѫвъше
na|на
ńь|н҄ь
prijęsę|приѩсѧ
trъstь|тръсть
i|и
bьjǞaxǫ|биꙗахѫ
jь|и
po|по
golvě|главѣ
i|и
jegъda|ѥгъда
porǫga|порѫга
sę|сѧ
jemu|ѥмоу
sъvelšę|съвлѣшѧ
﻿sъ|﻿съ
ńego|н҄его
xlamüdǫ|хламѵдѫ
i|и
obvelšę|облѣшѧ
jь|и
vъ|въ
rizy|ризъі
svoję|своѩ
i|и
věsę|вѣсѧ
jь|и
na|на
propętьje|пропѧтиѥ
jьsxodęћe|исходѧще
že|же
obrětǫ|обрѣтѫ
čьlověka|чьловѣка
ḱürinějьska|к҄ѵринѣиска
jьmenьmь|именьмь
simona|симона
semu|семоу
zaděšę|задѣшѧ
ponesti|понести
krьstъ|крьстъ
jego|ѥго
i|и
prišьdъše|пришьдъше
na|на
město|мѣсто
narikajemoje|нарицаѥмоѥ
corrupted morphology tag|црароуптед мрапhологъі таг
ježe|ѥже
jestъ|ѥстъ
narikajemoje|нарицаѥмоѥ
kranijevo|краниѥво
město|мѣсто
dašę|дашѧ
jemu|ѥмоу
okьtъ|оцьтъ
piti|пити
﻿sъ|﻿съ
zĺ̥čьjǫ|зльчиѭ
sъměšenъ|съмѣшенъ
i|и
vъkušь|въкоушь
ne|не
xotěaše|хотѣаше
piti|пити
propьnъše|пропьнъше
že|же
jь|и
orzděĺьše|раздѣл҄ьше
rizy|ризъі
jego|ѥго
metašę|меташѧ
žerbьję|жрѣбиѩ
i|и
sědъše|сѣдъше
steržǞaxǫ|стрѣжаахѫ
jь|и
tu|тоу
i|и
položišę|положишѧ
vŕ̥xu|врьхоу
golvy|главъі
jego|ѥго
viny|винъі
napisanǫ|написанѫ
sь|сь
jestъ|ѥстъ
kěsaŕь|цѣсар҄ь
ijudejьskъ|июдеискъ
tъgъda|тъгъда
propęšę|пропѧшѧ
﻿sъ|﻿съ
ńimь|н҄имь
dъva|дъва
orzbojьnika|разбоиница
jedinogo|ѥдиного
o|о
desnǫjǫ|деснѫѭ
i|и
jedinogo|ѥдиного
o|о
šujǫjǫ|шоуѭѭ
mimoxodęћeji|мимоходѧщеи
že|же
xuĺǞaxǫ|хоулꙗахѫ
jь|и
pokyvajǫћe|покъіваѭще
golvami|главами
svojimi|своими
i|и
golgoĺǫћe|глаголѭще
uva|оува
orzaŕǞjęjь|разарꙗѩи
kŕ̥kъvь|црькъвь
i|и
trьmi|трьми
dьnьmi|дьньми
sъzidaję|съзидаѩ
sъpasi|съпаси
sebe|себе
aћe|аще
synъ|съінъ
božьjь|божии
jesi|ѥси
sъlězi|сълѣзи
﻿sъ|﻿съ
krьsta|крьста
takoђe|такожде
že|же
i|и
arъx́ijereji|аръхиѥреи
rǫgajǫћe|рѫгаѭще
sę|сѧ
﻿sъ|﻿съ
kъńižьniky|кън҄ижьникъі
i|и
starьki|старьци
i|и
fariseji|фарисеи
golgolaaxǫ|глаголаахѫ
jьny|инъі
sъpase|съпасе
sebe|себе
li|ли
ne|не
možetъ|можетъ
sъpasti|съпасти
aћe|аще
kěsaŕь|цѣсар҄ь
jizrajiĺevъ|издраил҄евъ
jestъ|ѥстъ
da|да
sъlězetъ|сълѣзетъ
nyně|нъінѣ
﻿sъ|﻿съ
krьsta|крьста
i|и
věrǫ|вѣрѫ
jьmemъ|имемъ
jemu|ѥмоу
upъva|оупъва
na|на
boga|бога
da|да
jьzbavitъ|избавитъ
jь|и
nyně|нъінѣ
aћe|аще
xoћetъ|хощетъ
jemu|ѥмоу
reče|рече
bo|бо
ako|ако
božьjь|божии
synъ|съінъ
jesmь|ѥсмь
toђe|тожде
že|же
i|и
orzbojьnika|разбоиница
orspęta|распѧта
﻿sъ|﻿съ
ńimь|н҄имь
ponošǞaste|поношаасте
jemu|ѥмоу
otъ|отъ
šestyjeję|шестъіѥѩ
že|же
godiny|годинъі
tьma|тьма
bystъ|бъістъ
po|по
vьxejь|вьсеи
zemĺi|земл҄и
do|до
devętyjeję|девѧтъіѥѩ
godiny|годинъі
pri|при
devętějejь|девѧтѣѥи
že|же
godině|годинѣ
vъzъpi|възъпи
jisusъ|исоусъ
golsomь|гласомь
velьjemь|велиѥмь
golgoĺę|глаголѩ
|
|
|
|
ježe|ѥже
jestъ|ѥстъ
bože|боже
mojь|мои
bože|боже
mojь|мои
vъskǫjǫ|въскѫѭ
mę|мѧ
jesi|ѥси
ostavilъ|оставилъ
jedini|ѥдини
že|же
otъ|отъ
stojęћьjixъ|стоѩщиихъ
tu|тоу
slyšǞvъše|слъішавъше
golgolaaxǫ|глаголаахѫ
ako|ако
