to|то
﻿sъ|﻿съ
ńimь|н҄имь
dъvě|дъвѣ
prosęћujemu|просѧщоуѥмоу
u|оу
tebe|тебе
daji|даи
i|и
xotęћǞjego|хотѧщаѥго
otъ|отъ
tebe|тебе
zajęti|заѩти
ne|не
otъvorti|отъврати
slyšǞste|слъішасте
ako|ако
rečeno|речено
jestъ|ѥстъ
vъžĺubiši|въжлюбиши
jьskrьńǞjego|искрьнꙗѥго
svojego|своѥго
i|и
vъznenavidiši|възненавидиши
vorga|врага
svojego|своѥго
azъ|азъ
že|же
golgoĺǫ|глаголѭ
vamъ|вамъ
ĺubite|любите
vorgy|врагъі
vašę|вашѧ
bolgoslovite|благословите
klьnǫћęję|кльнѫщѧѩ
vy|въі
dobro|добро
tvorite|творите
nenavidęћemъjimъ|ненавидѧщиимъ
vasъ|васъ
i|и
modlite|молите
za|за
tvoręћęję|творѧщѧѩ
vamъ|вамъ
napasti|напасти
i|и
jьzgonęћęję|изгонѧщѧѩ
vy|въі
da|да
bǫdete|бѫдете
synove|съінове
otьka|отьца
vašego|вашего
jьže|иже
jestъ|ѥстъ
na|на
nebesьxъ|небесьхъ
ako|ако
sl̥nьke|слъньце
svoje|своѥ
sьjǞjetъ|сиꙗѥтъ
na|на
zъly|зълъі
i|и
bolgy|благъі
i|и
dъžђitъ|дъждитъ
na|на
pravьdьny|правьдьнъі
i|и
na|на
nepravьdьny|неправьдьнъі
aћe|аще
bo|бо
ĺubite|любите
ĺubęћęję|любѧщѧѩ
vy|въі
kǫjǫ|кѫѭ
mьzdǫ|мьздѫ
jьmate|имате
ne|не
i|и
mytaŕe|мъітар҄е
li|ли
toђe|тожде
tvorętъ|творѧтъ
i|и
aћe|аще
kělujete|цѣлоуѥте
drugy|дроугъі
vašę|вашѧ
tъkъmo|тъкъмо
čьto|чьто
lixo|лихо
tvorite|творите
ne|не
i|и
mytaŕe|мъітар҄е
li|ли
tako|тако
tvorętъ|творѧтъ
bǫděte|бѫдѣте
ubo|оубо
vy|въі
sъvŕ̥šeni|съврьшени
ako|ако
i|и
otьkь|отьць
vašь|вашь
nebesьskъjь|небесьскъіи
sъvŕ̥šenъ|съврьшенъ
jestъ|ѥстъ
vъnemĺěte|вънемл҄ѣте
milostyńę|милостъінѩ
vašeję|вашеѩ
ne|не
tvoriti|творити
perdъ|прѣдъ
čьlověky|чьловѣкъі
da|да
vidimi|видими
bǫdete|бѫдете
jimi|ими
aћe|аще
li|ли
že|же
ni|ни
mьzdy|мьздъі
ne|не
jьmate|имате
otъ|отъ
otьka|отьца
vašego|вашего
jьže|иже
jestъ|ѥстъ
na|на
nebesьxъ|небесьхъ
jegъda|ѥгъда
ubo|оубо
tvoriši|твориши
milostyńǫ|милостъінѭ
ne|не
vъstrǫbi|въстрѫби
perdъ|прѣдъ
sobojǫ|собоѭ
ako|ако
üpokriti|ѵпокрити
tvorętъ|творѧтъ
vъ|въ
sъnьmiščixъ|съньмищихъ
i|и
vъ|въ
stьgnaxъ|стьгнахъ
da|да
proslavętъ|прославѧтъ
sę|сѧ
otъ|отъ
čьlověkъ|чьловѣкъ
aminь|аминь
golgoĺǫ|глаголѭ
vamъ|вамъ
vъsprijьmǫtъ|въсприимѫтъ
mьzdǫ|мьздѫ
svojǫ|своѭ
tebě|тебѣ
že|же
tvoręћu|творѧщоу
milostyńǫ|милостъінѭ
da|да
ne|не
čujetъ|чоуѥтъ
šujika|шоуица
tvojǞ|твоꙗ
čьto|чьто
tvoritъ|творитъ
desnika|десница
tvojǞ|твоꙗ
da|да
bǫdetъ|бѫдетъ
milostyńi|милостъін҄и
tvojǞ|твоꙗ
vъ|въ
tajьně|таинѣ
i|и
otьkь|отьць
tvojь|твои
vidęjь|видѧи
vъ|въ
tajьně|таинѣ
vъzdastъ|въздастъ
tebě|тебѣ
avě|авѣ
i|и
jegъda|ѥгъда
modliši|молиши
sę|сѧ
ne|не
bǫdi|бѫди
ako|ако
i|и
likeměri|лицемѣри
ako|ако
ĺubętъ|любѧтъ
na|на
sъnьmiščixъ|съньмищихъ
i|и
vъ|въ
stьgnaxъ|стьгнахъ
i|и
na|на
orspǫtьjixъ|распѫтиихъ
stojęћe|стоѩще
modliti|молити
sę|сѧ
da|да
avĺǞjǫtъ|авлꙗѭтъ
sę|сѧ
čьlověkomъ|чьловѣкомъ
aminь|аминь
golgoĺǫ|глаголѭ
vamъ|вамъ
ako|ако
vъsprijemĺǫtъ|въсприѥмлѭтъ
mьzdǫ|мьздѫ
svojǫ|своѭ
ty|тъі
že|же
jegъda|ѥгъда
modliši|молиши
sę|сѧ
vъnidi|въниди
vъ|въ
klětь|клѣть
tvojǫ|твоѭ
i|и
zatvori|затвори
dvьri|двьри
tvoję|твоѩ
pomodli|помоли
sę|сѧ
otьku|отьцоу
tvojemu|твоѥмоу
vъ|въ
tajьně|таинѣ
i|и
otьkь|отьць
tvojь|твои
vidęjь|видѧи
vъ|въ
tajьně|таинѣ
vъzdastъ|въздастъ
tebě|тебѣ
avě|авѣ
modlęћe|молѧще
že|же
sę|сѧ
ne|не
lixo|лихо
golgoĺite|глагол҄ите
akože|акоже
i|и
języčьniki|ѩзъічьници
mьnętъ|мьнѧтъ
bo|бо
sę|сѧ
ako|ако
vъ|въ
mъnogě|мъноѕѣ
golgolanьji|глаголании
svojemь|своѥмь
uslyšǞni|оуслъішани
bǫdǫtъ|бѫдѫтъ
ne|не
podobite|подобите
sę|сѧ
ubo|оубо
jimъ|имъ
věstъ|вѣстъ
bo|бо
otьkь|отьць
vašь|вашь
jixъže|ихъже
terbujǫtъ|трѣбоуѭтъ
perђe|прѣжде
prošenьjǞ|прошениꙗ
vašego|вашего
tako|тако
ubo|оубо
modlite|молите
vy|въі
sę|сѧ
otьče|отьче
našь|нашь
jьže|иже
jesi|ѥси
na|на
nebesьxъ|небесьхъ
da|да
svętitъ|свѧтитъ
sę|сѧ
jьmę|имѧ
tvoje|твоѥ
da|да
prijьdetъ|приидетъ
kěsaŕьstvьje|цѣсар҄ьствиѥ
tvoje|твоѥ
da|да
bǫdetъ|бѫдетъ
voĺǞ|волꙗ
tvojǞ|твоꙗ
ako|ако
na|на
nebese|небесе
i|и
na|на
zemĺi|земл҄и
xlěbъ|хлѣбъ
našь|нашь
nastavъšǞjego|наставъшаѥго
dьne|дьне
daђь|даждь
namъ|намъ
dьnьsь|дьньсь
i|и
otъpusti|отъпоусти
namъ|намъ
dl̥gy|длъгъі
našę|нашѧ
ako|ако
i|и
my|мъі
otъpušћǞjemъ|отъпоущаѥмъ
dl̥žьnikomъ|длъжьникомъ
našimъ|нашимъ
i|и
ne|не
vъvedi|въведи
nasъ|насъ
vъ|въ
napastь|напасть
nъ|нъ
jьzbavi|избави
ny|нъі
otъ|отъ
neprijǞzni|неприꙗзни
ako|ако
tvoje|твоѥ
jestъ|ѥстъ
kěsaŕьstvьje|цѣсар҄ьствиѥ
i|и
sila|сила
i|и
slava|слава
vъ|въ
věky|вѣкъі
aminь|аминь
aћe|аще
ubo|оубо
otъpušћǞjǫtъ|отъпоущаѭтъ
čьlověkomъ|чьловѣкомъ
sъgrěšenьjǞ|съгрѣшениꙗ
jixъ|ихъ
otъpustitъ|отъпоуститъ
i|и
vamъ|вамъ
otьkь|отьць
vašь|вашь
nebesьskъjь|небесьскъіи
aћe|аще
li|ли
ne|не
otъpušћǞjǫtъ|отъпоущаѭтъ
čьlověkomъ|чьловѣкомъ
sъgrěšenьjь|съгрѣшении
jixъ|ихъ
ni|ни
otьkь|отьць
vašь|вашь
otъpustitъ|отъпоуститъ
sъgrěšenьjь|съгрѣшении
vašixъ|вашихъ
jegъda|ѥгъда
že|же
postite|постите
sę|сѧ
ne|не
bǫděte|бѫдѣте
ako|ако
i|и
üpokriti|ѵпокрити
prosmorђǞjǫtъ|просмраждаѭтъ
bo|бо
lika|лица
svojǞ|своꙗ
da|да
bǫ|бѫ
sę|сѧ
avili|авили
čьlověkomъ|чьловѣкомъ
postęћe|постѧще
aminь|аминь
golgoĺǫ|глаголѭ
vamъ|вамъ
ako|ако
vъsprijemĺǫtъ|въсприѥмлѭтъ
mьzdǫ|мьздѫ
svojǫ|своѭ
ty|тъі
že|же
postę|постѧ
sę|сѧ
pomaži|помажи
golvǫ|главѫ
svojǫ|своѭ
i|и
like|лице
tvoje|твоѥ
umъji|оумъіи
da|да
ne|не
aviši|авиши
sę|сѧ
čьlověkomъ|чьловѣкомъ
