povědaaše|повѣдааше
bolěznьxъ|болѣзньхъ
vьxakěxъ|вьсꙗцѣхъ
upravivъ|оуправивъ
do|до
konьka|коньца
|
bolgodatь|благодать
vъ|въ
jedinъ|ѥдинъ
ubo|оубо
otъ|отъ
dьnьjь|дьнии
gělo|ѕѣло
ĺutě|лютѣ
|
sę|сѧ
junošǞ|юноша
privedenъ|приведенъ
bystъ|бъістъ
kъ|къ
bolženujemu|блаженоуѥмоу
|
vъzьrěvъ|възьрѣвъ
že|же
velikъjь|великъіи
|
na|на
junošǫ|юношѫ
golgola|глагола
vodęћemъjimъ|водѧщиимъ
jь|и
něstъ|нѣстъ
se|се
moje|моѥ
dělo|дѣло
o|о
semь|семь
bo|бо
činu|чиноу
|
|
něsmь|нѣсмь
sę|сѧ
ješčě|ѥщѣ
sъpodobilъ|съподобилъ
bolgoděti|благодѣти
nъ|нъ
sьjь|сии
darъ|даръ
pavьla|павьла
jestъ|ѥстъ
|
šьdъ|шьдъ
že|же
velikъjь|великъіи
|
kъ|къ
|
pavьlu|павьлоу
vedy|ведъі
i|и
ty|тъі
i|и
golgola|глагола
jemu|ѥмоу
otьče|отьче
pavьle|павьле
jьžǯeni|иждени
běsъ|бѣсъ
sь|сь
otъ|отъ
čьlověka|чьловѣка
sego|сего
da|да
kělъ|цѣлъ
jьdetъ|идетъ
vъ|въ
svojь|свои
domъ|домъ
i|и
da|да
proslavitъ|прославитъ
boga|бога
golgola|глагола
jemu|ѥмоу
pavьlъ|павьлъ
a|а
ty|тъі
čьto|чьто
reče|рече
jemu|ѥмоу
|
něsmь|нѣсмь
porzdьnъ|праздьнъ
azъ|азъ
jьno|ино
dělo|дѣло
jьmamь|имамь
i|и
ostavivъ|оставивъ
tu|тоу
otroka|отрока
velikъjь|великъіи
|
i|и
vъzvorti|възврати
sę|сѧ
vъ|въ
svojǫ|своѭ
|
vъstavъ|въставъ
že|же
|
starьkь|старьць
i|и
pomodlivъ|помодливъ
sę|сѧ
i|и
prizъvavъ|призъвавъ
|
sę|сѧ
golgola|глагола
reče|рече
otьkь|отьць
|
jьzidi|изиди
jьz|из
čьlověka|чьловѣка
běsъ|бѣсъ
že|же
﻿sъ|﻿съ
xulojǫ|хоулоѭ
vъpьjǞaše|въпиꙗаше
golgoĺę|глаголѩ
ne|не
jьzidǫ|изидѫ
zъlъjь|зълъіи
starьče|старьче
lǫkavъjь|лѫкавъіи
vъzьmъ|възьмъ
že|же
|
svojǫ|своѭ
bьjǞaše|биꙗаше
jь|и
po|по
|
golgoĺę|глаголѩ
jьzidi|изиди
reče|рече
otьkь|отьць
|
běsъ|бѣсъ
že|же
xuly|хоулъі
|
na|на
|
i|и
na|на
pavьla|павьла
golgoĺę|глаголѩ
boĺьši|бол҄ьши
|
sьjǞ|сиꙗ
|
jǞže|ꙗже
nikoliže|николиже
svojimь|своимь
něsta|нѣста
|
kǫjǫ|кѫѭ
|
jьmata|имата
﻿sъ|﻿съ
mъnojǫ|мъноѭ
čьto|чьто
ny|нъі
mǫčite|мѫчите
golgola|глагола
pavьlъ|павьлъ
jьzlězeši|излѣзеши
li|ли
ili|или
jьdǫ|идѫ
kъ|къ
