povědaaše|повѣдааше
že|же
|
bolženajego|блаженаѥго
|
vъ|въ
tьmьnikǫ|тьмьницѫ
|
i|и
|
vъlězъšǞ|вълѣзъша
vъ|въ
tьmьnikǫ|тьмьницѫ
kъ|къ
bolženujemu|блаженоуѥмоу
|
golgolasta|глаголаста
jemu|ѥмоу
modli|модли
sę|сѧ
bogu|богоу
otьče|отьче
ako|ако
kěsaŕь|цѣсар҄ь
pobědi|побѣди
|
i|и
se|се
grędetъ|грѧдетъ
golgola|глагола
jima|има
|
sę|сѧ
maly|малъі
vědě|вѣдѣ
čędo|чѧдо
moje|моѥ
grędǫћǞjego|грѧдѫщаѥго
věrьnajego|вѣрьнаѥго
kěsaŕǞ|цѣсарꙗ
|
zъlodějь|зълодѣи
bo|бо
|
priję|приѩ
sǫdъ|сѫдъ
podobьnъ|подобьнъ
tebě|тебѣ
kupьno|коупьно
﻿sъ|﻿съ
|
|
bo|бо
|
jeju|ѥю
ješčě|ѥщѣ
vъ|въ
|
mojixъ|моихъ
jestъ|ѥстъ
tъgъda|тъгъда
čudivъšǞ|чоудивъша
sę|сѧ
i|и
poklonivъšǞ|поклонивъша
sę|сѧ
abьje|абиѥ
jьzidoste|изидосте
i|и
sъrětъšǞ|сърѣтъша
kěsaŕǞ|цѣсарꙗ
|
jemu|ѥмоу
vьxe|вьсе
ježe|ѥже
o|о
svętějemь|свѧтѣѥмь
|
i|и
o|о
|
jego|ѥго
ježe|ѥже
vъ|въ
like|лице
golgola|глагола
|
|
i|и
kako|како
sъby|събъі
sę|сѧ
jemu|ѥмоу
slyšǞvъ|слъішавъ
že|же
to|то
kěsaŕь|цѣсар҄ь
čudi|чоуди
sę|сѧ
mǫžu|мѫжоу
tomu|томоу
i|и
abьje|абиѥ
povelě|повелѣ
privesti|привести
jь|и
﻿sъ|﻿съ
vьxakojǫ|вьсꙗкоѭ
čьstьjǫ|чьстиѭ
vъ|въ
|
kěsaŕь|цѣсар҄ь
šьdъšǞ|шьдъша
že|же
slavьnajǞ|славьнаꙗ
ta|та
mǫžǞ|мѫжа
﻿sъ|﻿съ
|
vъ|въ
tьmьnikǫ|тьмьницѫ
pripadoste|припадосте
kъ|къ
nogama|ногама
|
i|и
modlista|модлиста
sę|сѧ
modliti|модлити
sę|сѧ
jemu|ѥмоу
za|за
ńǞ|нꙗ
kъ|къ
bogu|богоу
orzuměvъšǞ|разоумѣвъша
ako|ако
prorokъ|пророкъ
jestъ|ѥстъ
jimьže|имьже
sъbyšę|събъішѧ
sę|сѧ
jemu|ѥмоу
vьxa|вьсꙗ
|
i|и
jьzvedъšǞ|изведъша
jь|и
jьz|из
tьmьnikę|тьмьницѧ
privedoste|приведосте
jь|и
kъ|къ
kěsaŕu|цѣсарю
kěsaŕь|цѣсар҄ь
že|же
jьsšьdъ|ишьдъ
protivǫ|противѫ
jemu|ѥмоу
pokloni|поклони
sę|сѧ
jemu|ѥмоу
i|и
prosi|проси
modlitvy|модлитвъі
otъ|отъ
ńego|н҄его
svętъjь|свѧтъіи
že|же
pomodli|помодли
sę|сѧ
i|и
kělova|цѣлова
jь|и
i|и
|
jemu|ѥмоу
vьxe|вьсе
o|о
zъločьstьnějemь|зълочьстьнѣѥмь
|
onъ|онъ
že|же
slyšǞvъ|слъішавъ
i|и
sъžǞlivъ|съжаливъ
si|си
o|о
napasti|напасти
svętъjixъ|свѧтъіихъ
kŕ̥kъvъ|црькъвъ
abьje|абиѥ
|
zapověda|заповѣда
i|и
kъńigy|кън҄игъі
napьsavъ|напьсавъ
posъla|посъла
na|на
naročita|нарочита
města|мѣста
zapovědajǫћę|заповѣдаѭщѧ
sike|сице
kěsaŕь|цѣсар҄ь
|
|
|
kъ|къ
vьxěmъ|вьсѣмъ
|
|
vědomo|вѣдомо
da|да
bǫdetъ|бѫдетъ
vamъ|вамъ
ako|ако
otъ|отъ
|
dьne|дьне
aћe|аще
da|да
sę|сѧ
obręћetъ|обрѧщетъ
kъto|къто
otъ|отъ
vasъ|васъ
vъnǫtrь|вънѫтрь
gorda|града
sъbiraję|събираѩ
vъ|въ
kŕ̥kъvi|црькъви
|
to|то
sъmŕ̥tьnǫjǫ|съмрьтьнѫѭ
|
prijьmetъ|прииметъ
i|и
jęže|ѩже
svętyję|свѧтъіѩ
kŕ̥kъvi|црькъви
﻿sъ|﻿съ
|
jeste|ѥсте
per+jęli|пер+ѩли
to|то
i|и
ty|тъі
ostavivъše|оставивъше
vъně|вънѣ
gorda|града
perbyvajite|прѣбъіваите
vъzvěsti|възвѣсти
že|же
i|и
kъ|къ
starějьšinu|старѣишиноу
jimъ|имъ
jьže|иже
bě|бѣ
vъ|въ
to|то
vermę|врѣмѧ
starějьšina|старѣишина
|
jьmenьmь|именьмь
|
sike|сице
golgola|глагола
věruji|вѣроуи
vъ|въ
|
|
zapovědi|заповѣди
i|и
|
sę|сѧ
﻿sъ|﻿съ
|
|
že|же
|
kěsaŕǞ|цѣсарꙗ
povelěnьjǞ|повелѣниꙗ
i|и
|
i|и
|
vъzda|възда
jemu|ѥмоу
|
kěsaŕь|цѣсар҄ь
golgoĺę|глаголѩ
mira|мира
i|и
|
běgaješi|бѣгаѥши
da|да
běgati|бѣгати
ti|ти
otъ|отъ
svętъjixъ|свѧтъіихъ
kŕ̥kъvъ|црькъвъ
veĺǫ|велѭ
slyšǞvъ|слъішавъ
že|же
to|то
|
prizъvavъ|призъвавъ
vъ|въ
kŕ̥kъve|црькъве
vьxę|вьсѧ
|
golgola|глагола
kъ|къ
ńimъ|н҄имъ
bratrьjǞ|братриꙗ
kěsaŕь|цѣсар҄ь
|
jestъ|ѥстъ
i|и
svojejь|своѥи
věrě|вѣрѣ
kŕ̥kъvъ|црькъвъ
prositъ|проситъ
|
vъzvěstivъ|възвѣстивъ
namъ|намъ
jęže|ѩже
reče|рече
|
i|и
mętežemь|мѧтежемь
kŕ̥kъvi|црькъви
vъzęste|възѧсте
to|то
ty|тъі
|
otъdadite|отъдадите
da|да
věste|вѣсте
že|же
ako|ако
otъ|отъ
|
dьne|дьне
povelěno|повелѣно
ny|нъі
jestъ|ѥстъ
vъně|вънѣ
gorda|града
sъbirati|събирати
sę|сѧ
to|то
rekъ|рекъ
jьzide|изиде
vъnъ|вънъ
gorda|града
﻿sъ|﻿съ
ĺudьmi|людьми
svojimi|своими
i|и
tu|тоу
|
tvoŕǞaše|творꙗаше
|
tako|тако
bo|бо
že|же
|
do|до
40|40
lětъ|лѣтъ
|
kŕ̥kъvi|црькъви
dŕ̥žǞšę|дрьжашѧ
|
že|же
|
kěsaŕemь|цѣсар҄емь
ne|не
|
jьz|из
kŕ̥kъvъ|црькъвъ
nъ|нъ
i|и
jьz|из
gorda|града
jьzgъnani|изгънани
byšę|бъішѧ
i|и
per+jęšę|пер+ѩшѧ
kŕ̥kъvi|црькъви
|
ne|не
|
že|же
kěsaŕь|цѣсар҄ь
|
|
sъtvori|сътвори
o|о
|
utvŕ̥ditъ|оутврьдитъ
|
věrǫ|вѣрѫ
i|и
postaviti|поставити
vъ|въ
|
gordě|градѣ
|
dati|дати
|
svętamъjimъ|свѧтъіимъ
kŕ̥kъvamъ|црькъвамъ
vьxěmъ|вьсѣмъ
ĺudьmъ|людьмъ
povelě|повелѣ
že|же
kěsaŕь|цѣсар҄ь
|
prijьti|приити
na|на
|
i|и
starějьšinamъ|старѣишинамъ
|
sъbьrašę|събьрашѧ
že|же
sę|сѧ
|
věry|вѣръі
otъ|отъ
|
|
otъ|отъ
ijerusalima|иѥроусалима
že|же
|
i|и
|
otъ|отъ
|
běaše|бѣаше
že|же
tu|тоу
|
|
i|и
|
otъ|отъ
|
i|и
jьni|ини
﻿sъ|﻿съ
ńimi|н҄ими
mъnogi|мъноѕи
běaše|бѣаше
že|же
vьxěxъ|вьсѣхъ
corrupted morphology tag|црароуптед мрапhологъі таг
|
otъ|отъ
|
že|же
i|и
|
storny|странъі
|
|
|
i|и
|
|
i|и
|
|
i|и
pročiji|прочии
vьxěxъ|вьсѣхъ
bě|бѣ
30|30
corrupted morphology tag|црароуптед мрапhологъі таг
otъ|отъ
ńixъ|н҄ихъ
že|же
|
otъ|отъ
|
i|и
otъ|отъ
|
gordovъ|градовъ
běaxǫ|бѣахѫ
sъbьrašę|събьрашѧ
že|же
sę|сѧ
měsęka|мѣсѧка
|
|
že|же
i|и
kěsaŕь|цѣсар҄ь
i|и
svętъjь|свѧтъіи
otьkь|отьць
našь|нашь
|
|
i|и
|
sę|сѧ
dějǞšę|дѣꙗшѧ
|
ję|ѩ
xotęћe|хотѧще
kъ|къ
pravějejь|правѣѥи
i|и
|
věrě|вѣрѣ
oni|они
že|же
malo|мало
radivъše|радивъше
o|о
tomь|томь
i|и
|
ta|та
ni|ни
vъ|въ
kǫjǫ|кѫѭ
že|же
|
rěšę|рѣшѧ
volimъ|волимъ
|
věrǫ|вѣрѫ
neže|неже
kъ|къ
|
priložiti|приложити
sę|сѧ
i|и
tako|тако
jimъ|имъ
jьzgolgolavъšemъ|изглаголавъшемъ
jьzgъnašę|изгънашѧ
ję|ѩ
jьz|из
|
kŕ̥kъvьnajego|црькъвьнаѥго
ješčě|ѥщѣ
že|же
jьz|из
samogo|самого
togo|того
gorda|града
otъvŕ̥gъšemъ|отъврьгъшемъ
sę|сѧ
pravyjeję|правъіѥѩ
věry|вѣръі
utvŕ̥divъše|оутврьдивъше
že|же
|
svętǫjǫ|свѧтѫѭ
pravǫjǫ|правѫѭ
věrǫ|вѣрѫ
kupьno|коупьно
i|и
ti|ти
|
|
věry|вѣръі
kěsaŕь|цѣсар҄ь
že|же
o|о
|
|
|
gorda|града
kъ|къ
|
golgola|глагола
da|да
postavętъ|поставѧтъ
i|и
narekošę|нарекошѧ
|
někogo|нѣкого
mǫžǞ|мѫжа
|
i|и
|
krotъka|кротъка
obrazomь|образомь
otъ|отъ
|
roda|рода
sǫћǞ|сѫща
i|и
dŕ̥žęћu|дрьжѧщоу
tъgъda|тъгъда
|
|
privedenъ|приведенъ
že|же
bystъ|бъістъ
ĺudьmi|людьми
na|на
|
i|и
postavĺenъ|поставл҄енъ
bystъ|бъістъ
svętyjimi|свѧтъіими
otьki|отьци
corrupted morphology tag|црароуптед мрапhологъі таг
|
sǫћu|сѫщоу
tu|тоу
i|и
|
kěsaŕu|цѣсарю
|
i|и
čьstьnujemu|чьстьноуѥмоу
otьku|отьцоу
našemu|нашемоу
|
tъgъda|тъгъда
ubo|оубо
|
|
da|да
i|и
|
gorda|града
|
toђe|тожде
|
da|да
jьmatъ|иматъ
i|и
tǫђe|тѫжде
čьstь|чьсть
jǫže|ѭже
i|и
rimьska|римьска
gorda|града
|
zańe|зан҄е
narečenъ|нареченъ
bystъ|бъістъ
novъjь|новъіи
|
simъ|симъ
vьxěmъ|вьсѣмъ
sike|сице
byvъšemъ|бъівъшемъ
vъskorě|въскорѣ
i|и
|
|
konьkь|коньць
priję|приѩ
na|на
slavǫ|славѫ
gospoda|господа
našego|нашего
corrupted morphology tag|црароуптед мрапhологъі таг
xristosa|христоса
tъgъda|тъгъда
bolženъjь|блаженъіи
|
raduję|радоуѩ
sę|сѧ
o|о
|
kŕ̥kъvьnějemь|црькъвьнѣѥмь
i|и
pravyjeję|правъіѥѩ
věry|вѣръі
i|и
tъ|тъ
proslavi|прослави
boga|бога
o|о
vьxěxъ|вьсѣхъ
čudesьxъ|чоудесьхъ
jęže|ѩже
sъtvori|сътвори
myslęћu|мъіслѧщоу
že|же
jemu|ѥмоу
abьje|абиѥ
jьti|ити
vъ|въ
pustyńǫ|поустъінѭ
|
božьjemь|божиѥмь
avĺenьjemь|авл҄ениѥмь
prijьde|прииде
sěmo|сѣмо
na|на
dělo|дѣло
ježe|ѥже
i|и
sъkonьčǞ|съконьча
uvěděvъšǞ|оувѣдѣвъша
že|же
|
|
slavьnajǞ|славьнаꙗ
mǫžǞ|мѫжа
|
i|и
|
pristǫpĺьšǞ|пристѫпл҄ьша
kъ|къ
|
modlista|модлиста
sę|сѧ
da|да
jeju|ѥю
ne|не
ostavitъ|оставитъ
onъ|онъ
že|же
ako|ако
otьkь|отьць
duxovьnъ|доуховьнъ
|
jǞ|ꙗ
golgoĺę|глаголѩ
gospodu|господоу
|
konьčǞti|коньчати
dělo|дѣло
na|на
ńeže|н҄еже
tъ|тъ
ny|нъі
jestъ|ѥстъ
posъlalъ|посълалъ
podobajetъ|подобаѥтъ
vъzvortivъšu|възвративъшоу
sę|сѧ
mъně|мънѣ
dŕ̥žǞti|дрьжати
sę|сѧ
po|по
svoje|своѥ
dělo|дѣло
|
věrьnajǞ|вѣрьнаꙗ
že|же
ta|та
mǫžǞ|мѫжа
modlista|модлиста
sę|сѧ
jemu|ѥмоу
﻿sъ|﻿съ
slьzami|сльзами
prijęti|приѩти
|
jeju|ѥю
orzuměvъ|разоумѣвъ
že|же
bolženъjь|блаженъіи
duxovьnǫjǫ|доуховьнѫѭ
jeju|ѥю
ĺubъve|любъве
jǫže|ѭже
|
kъ|къ
ńemu|н҄емоу
reče|рече
kъ|къ
ńima|н҄има
mъně|мънѣ
ubo|оубо
|
jestъ|ѥстъ
vъzvortiti|възвратити
sę|сѧ
|
jesmь|ѥсмь
prišьdlъ|пришьдлъ
nъ|нъ
|
|
orba|раба
xristosova|христосова
ĺubъve|любъве
jьmata|имата
pokojiti|покоити
mojǫ|моѭ
|
to|то
ježe|ѥже
va|ва
rekǫ|рекѫ
|
otьkь|отьць
to|то
poslušǞjita|послоушаита
jьže|иже
vaju|ваю
varivъ|варивъ
sъtvoritъ|сътворитъ
mi|ми
|
sěsti|сѣсти
mi|ми
vъ|въ
ńejь|н҄еи
to|то
tu|тоу
bǫdetъ|бѫдетъ
mi|ми
žitьje|житиѥ
|
i|и
do|до
jьsxoda|исхода
dušę|доушѧ
mojeję|моѥѩ
poslušǞasta|послоушааста
že|же
mǫžǞ|мѫжа
ta|та
slovesъ|словесъ
|
jego|ѥго
i|и
běasta|бѣаста
|
sę|сѧ
oba|оба
kъto|къто
jeju|ѥю
varivъ|варивъ
sъziђetъ|съзиждетъ
jemu|ѥмоу
klětь|клѣть
|
že|же
jьměaše|имѣаше
selo|село
vъně|вънѣ
gorda|града
ne|не
daleče|далече
gorda|града
takoђe|такожде
že|же
i|и
|
jьměaše|имѣаше
i|и
tъ|тъ
u|оу
|
i|и
načęsta|начѧста
zьdati|зьдати
oba|оба
vъ|въ
jьmę|имѧ
bolženajego|блаженаѥго
|
|
že|же
mъnogo|мъного
|
vъsprijьmъ|въсприимъ
|
pravьdojǫ|правьдоѭ
ako|ако
mǫžь|мѫжь
tъ|тъ
|
|
jestъ|ѥстъ
|
i|и
ne|не
terbujetъ|трѣбоуѥтъ
nyně|нъінѣ
krasьnъ|красьнъ
|
sъtvori|сътвори
jemu|ѥмоу
klětь|клѣть
|
i|и
|
sъvŕ̥šivъ|съврьшивъ
jǫ|ѭ
prijьde|прииде
kъ|къ
bolženujemu|блаженоуѥмоу
i|и
golgola|глагола
jemu|ѥмоу
se|се
sъtvorixъ|сътворихъ
klětь|клѣть
akože|акоже
jesi|ѥси
povelělъ|повелѣлъ
vъšьdъ|въшьдъ
živi|живи
vъ|въ
ńejь|н҄еи
vъšьdъ|въшьдъ
že|же
svętъjь|свѧтъіи
otьkь|отьць
našь|нашь
vъ|въ
klětь|клѣть
i|и
viděvъ|видѣвъ
jǫ|ѭ
|
|
jemu|ѥмоу
bystъ|бъістъ
i|и
sěde|сѣде
vъ|въ
ńejь|н҄еи
﻿sъ|﻿съ
mъnogomь|мъногомь
|
|
že|же
běaše|бѣаше
|
mъnogo|мъного
město|мѣсто
mъnogamъ|мъногамъ
|
i|и
velikamъ|велицамъ
uvěděvъ|оувѣдѣвъ
že|же
ako|ако
varilъ|варилъ
jestъ|ѥстъ
|
pečǞlьnъ|печальнъ
bystъ|бъістъ
gělo|ѕѣло
i|и
vъšьdъ|въшьдъ
kъ|къ
|
vъ|въ
klětь|клѣть
poklańǞaše|покланꙗаше
sę|сѧ
jemu|ѥмоу
modlę|модлѧ
jь|и
da|да
by|бъі
i|и
to|то
město|мѣсто
sъzьdanoje|съзьданоѥ
o|о
jьmeni|имени
jego|ѥго
per+jęlъ|пер+ѩлъ
|
že|же
mǫžь|мѫжь
|
otьkь|отьць
|
|
jь|и
golgoĺę|глаголѩ
ni|ни
čędo|чѧдо
ne|не
tako|тако
tęžьko|тѧжько
si|си
tvori|твори
gospodьńǞ|господьнꙗ
jestъ|ѥстъ
zapovědь|заповѣдь
ježe|ѥже
golgoĺetъ|глагол҄етъ
bǫdi|бѫди
vamъ|вамъ
????|????
????|????
i|и
ni|ни
ni|ни
a|а
ježe|ѥже
lixo|лихо
togo|того
to|то
otъ|отъ
|
jestъ|ѥстъ
na|на
ńemьže|н҄емьже
ubo|оубо
městě|мѣстѣ
gospodь|господь
sъpodobilъ|съподобилъ
mę|мѧ
jestъ|ѥстъ
sěsti|сѣсти
to|то
na|на
tomь|томь
|
mi|ми
jestъ|ѥстъ
sěděti|сѣдѣти
mĺ̥čęћe|мльчѧще
|
i|и
do|до
konьka|коньца
|
mojeję|моѥѩ
i|и
pomodlivъ|помодливъ
sę|сѧ
za|за
ńǞ|нꙗ
otъpusti|отъпоусти
|
i|и
běaše|бѣаше
bolženъjь|блаженъіи
|
živy|живъі
|
žitьje|житиѥ
|
že|же
|
ona|она
slavьnajǞ|славьнаꙗ
mǫžǞ|мѫжа
ne|не
jьděaste|идѣасте
perђe|прѣжде
vъ|въ
|
kъ|къ
kěsaŕu|цѣсарю
aћe|аще
ne|не
rano|рано
vъ|въ
|
šьdъšǞ|шьдъша
kъ|къ
|
poklańǞsta|покланꙗста
sę|сѧ
jemu|ѥмоу
i|и
tako|тако
bolgoslovĺenьje|благословл҄ениѥ
vъzьmъšǞ|възьмъша
|
radujǫћǞ|радоуѭща
sę|сѧ
mъnogomъ|мъногомъ
že|же
jьněmъ|инѣмъ
povědajǫћǞ|повѣдаѭща
o|о
|
na|на
|
duxovьnǫjǫ|доуховьнѫѭ
|
i|и
prixoђǞaxǫ|прихождаахѫ
|
kъ|къ
ńemu|н҄емоу
po|по
vьxę|вьсѧ
dьni|дьни
|
i|и
utvŕ̥ђǞjemi|оутврьждаѥми
o|о
věrě|вѣрѣ
gospodьńi|господьн҄и
|
slovesy|словесъі
jego|ѥго
mъnogi|мъноѕи
že|же
modĺǞaxǫ|модлꙗахѫ
jь|и
prijьti|приити
jemu|ѥмоу
vъ|въ
domy|домъі
jixъ|ихъ
da|да
pomodlitъ|помодлитъ
sę|сѧ
bogu|богоу
za|за
ńę|нѩ
onъ|онъ
že|же
vidę|видѧ
věrǫ|вѣрѫ
jixъ|ихъ
i|и
|
|
|
aћe|аще
li|ли
da|да
|
sę|сѧ
|
u|оу
kogo|кого
|
jemu|ѥмоу
to|то
jьsxoђǞaše|исхождааше
noћьjǫ|нощиѭ
i|и
vortomъ|вратомъ
|
zatvoŕenomъ|затвор҄еномъ
sǫћemъ|сѫщемъ
stojǞaše|стоꙗаше
i|и
modlitvǫ|модлитвѫ
tvoŕǞaše|творꙗаше
kъ|къ
bogu|богоу
i|и
|
vorta|врата
i|и
sama|сама
sę|сѧ
otvŕ̥zaaxǫ|отврьзаахѫ
i|и
tako|тако
xoђǞaše|хождааше
vъ|въ
klětь|клѣть
svojǫ|своѭ
i|и
věrьnъjь|вѣрьнъіи
že|же
kěsaŕь|цѣсар҄ь
|
prixoђǞaše|прихождааше
kъ|къ
ńemu|н҄емоу
i|и
modĺǞaše|модлꙗаше
jь|и
da|да
pominajetъ|поминаѥтъ
jь|и
vъ|въ
svętaxъjixъ|свѧтъіихъ
jego|ѥго
modlitvaxъ|модлитвахъ
i|и
gospodь|господь
rekyjь|рекъіи
|
jesta|ѥста
dъva|дъва
ili|или
trьje|триѥ
sъbьrani|събьрани
vъ|въ
moje|моѥ
jьmę|имѧ
to|то
tu|тоу
jesmь|ѥсмь
|
jixъ|ихъ
tъ|тъ
na|на
slavǫ|славѫ
svętajego|свѧтаѥго
svojego|своѥго
jьmene|имене
jьzvoli|изволи
umъnožiti|оумъножити
sę|сѧ
|
stadu|стадоу
|
svojego|своѥго
akože|акоже
bo|бо
|
|
|
|
mъnogy|мъногъі
na|на
|
|
tako|тако
nebesьskoje|небесьскоѥ
žitьje|житиѥ
|
otьka|отьца
našego|нашего
|
vьxǫdu|вьсѭдоу
že|же
i|и
vьxěmъ|вьсѣмъ
propovědajemo|проповѣдаѥмо
na|на
|
se|се
žitьje|житиѥ
mъnogy|мъногъі
privede|приведе
ne|не
bo|бо
běaše|бѣаше
ješčě|ѥщѣ
tu|тоу
|
|
tъgъda|тъгъда
viděvъ|видѣвъ
|
božьjejǫ|божиѥѭ
bolgodětьjǫ|благодѣтиѭ
|
sę|сѧ
bratrьjǫ|братриѭ
mъnogǫ|мъногѫ
jьmy|имъі
ĺubъve|любъве
kъ|къ
orbu|рабоу
božьju|божию
otъdastъ|отъдастъ
jemu|ѥмоу
vьxe|вьсе
to|то
selo|село
da|да
bǫdetъ|бѫдетъ
volstьjǫ|властиѭ
jemu|ѥмоу
na|на
|
běaše|бѣаше
že|же
bolženъjь|блаженъіи
ako|ако
světidlo|свѣтидло
vъ|въ
tьmьně|тьмьнѣ
městě|мѣстѣ
svьtę|свьтѧ
sę|сѧ
aћe|аще
že|же
sę|сѧ
|
kъgъda|къгъда
jьdǫћu|идѫщоу
jemu|ѥмоу
vъ|въ
gordy|градъі
﻿sъ|﻿съ
vъzъvavъšemьjimь|възъвавъшиимь
jego|ѥго
vъ|въ
domy|домъі
svoję|своѩ
bolgoslovĺenьjǞ|благословл҄ениꙗ
radi|ради
|
aћe|аще
prošǞaše|прошааше
kъto|къто
otъ|отъ
nišћьjixъ|нищиихъ
něčьso|нѣчьсо
dati|дати
sebě|себѣ
to|то
aћe|аще
sę|сѧ
|
ne|не
jьměti|имѣти
jemu|ѥмоу
ničьsože|ничьсоже
dati|дати
jemu|ѥмоу
to|то
|
sъvelkъ|съвлѣкъ
﻿sъ|﻿съ
sebe|себе
daděaše|дадѣаше
nišћujemu|нищоуѥмоу
tako|тако
že|же
tvoŕǞaše|творꙗаше
vьxa|вьсꙗ
lěta|лѣта
žitьjǞ|житиꙗ
svojego|своѥго
gospodu|господоу
orbotaję|работаѩ
vъ|въ
modlitvaxъ|модлитвахъ
perbyvaję|прѣбъіваѩ
|
tvorę|творѧ
|
|
pamętь|памѧть
svętъjixъ|свѧтъіихъ
tvorę|творѧ
|
|
|
|
|
vъ|въ
|
učę|оучѧ
prixodęћęję|приходѧщѧѩ
kъ|къ
pravějejь|правѣѥи
věrě|вѣрѣ
zapovědaję|заповѣдаѩ
i|и
sъvěděteĺьstvuję|съвѣдѣтел҄ьствоуѩ
o|о
vьxěxъ|вьсѣхъ
jьspovědati|исповѣдати
i|и
slaviti|славити
|
i|и
|
trojikǫ|троицѫ
otьka|отьца
i|и
syna|съіна
i|и
svętajego|свѧтаѥго
duxa|доуха
ako|ако
těmь|тѣмь
|
|
sъpasenьje|съпасениѥ
čьlověčьsko|чьловѣчьско
|
sę|сѧ
i|и
jьno|ино
že|же
mъnogo|мъного
poučǞję|пооучаѩ
ne|не
persta|прѣста
ni|ни
|
otъ|отъ
dobra|добра
|
že|же
sę|сѧ
ubo|оубо
vъ|въ
dobrě|добрѣ
starosti|старости
dojьde|доиде
konьka|коньца
žitьju|житию
i|и
sъzъvavъ|съзъвавъ
vьxe|вьсе
ježe|ѥже
o|о
xristosě|христосѣ
duxovьnoje|доуховьноѥ
jego|ѥго
stado|стадо
|
ję|ѩ
slovesy|словесъі
mъnogy|мъногъі
|
i|и
|
perbyvati|прѣбъівати
na|на
kameni|камени
věry|вѣръі
gospodьńę|господьнѩ
perdastъ|прѣдастъ
|
bogu|богоу
bystъ|бъістъ
že|же
plačь|плачь
vъ|въ
bratrьji|братрии
jego|ѥго
radi|ради
uslyšǞ|оуслъіша
že|же
i|и
|
kěsaŕь|цѣсар҄ь
|
o|о
ńemь|н҄емь
ako|ако
juže|юже
usъpe|оусъпе
i|и
tǫžǞaše|тѫжааше
gělo|ѕѣло
posъla|посъла
že|же
|
da|да
vъloživъše|въложивъше
vъ|въ
|
čьstьnoje|чьстьноѥ
tělo|тѣло
|
|
vъ|въ
velikǫjǫ|велицѫѭ
kŕ̥kъve|црькъве
jǞže|ꙗже
tъgъda|тъгъда
|
narikaaše|нарицааше
sę|сѧ
i|и
otъtǫdu|отътѫдоу
jь|и
paky|пакъі
nesǫtъ|несѫтъ
na|на
pogrebenьje|погребениѥ
i|и
tomu|томоу
byvъšu|бъівъшоу
|
tvorišę|творишѧ
vъ|въ
|
kŕ̥kъvi|црькъви
i|и
tako|тако
na|на
|
vьxь|вьсь
gordъ|градъ
kupьno|коупьно
﻿sъ|﻿съ
|
i|и
﻿sъ|﻿съ
vьxěmь|вьсѣмь
|
﻿sъ|﻿съ
xvalami|хвалами
i|и
|
duxovьnamijimi|доуховьнъіими
nesošę|несошѧ
jь|и
|
|
i|и
do|до
pogrebenьjǞ|погребениꙗ
|
že|же
jedinъ|ѥдинъ
otъ|отъ
slavьnъjixъ|славьнъіихъ
kěsaŕь|цѣсар҄ь
mǫžь|мѫжь
protivǫ|противѫ
|
otьka|отьца
|
na|на
|
sъzьda|съзьда
kŕ̥kъve|црькъве
svętajego|свѧтаѥго
|
|
vъ|въ
vermę|врѣмѧ
že|же
|
|
|
postavi|постави
|
na|на
pǫti|пѫти
perdъ|прѣдъ
|
mъnožьstvo|мъножьство
mǫžь|мѫжь
mъnogo|мъного
da|да
vъsxytivъše|въсхъітивъше
|
|
svętajego|свѧтаѥго
otьka|отьца
našego|нашего
|
vъ|въ
perђe|прѣжде
rečenǫjǫ|реченѫѭ
kŕ̥kъve|црькъве
bolgoslovĺenьjǞ|благословл҄ениꙗ
radi|ради
i|и
položiti|положити
jь|и
tu|тоу
akože|акоже
i|и
bystъ|бъістъ
tako|тако
ubo|оубо
jьzvoli|изволи
položiti|положити
sę|сѧ
vъ|въ
kŕ̥kъvi|црькъви
svętajego|свѧтаѥго
|
|
o|о
desnǫjǫ|деснѫѭ
svętyjeję|свѧтъіѥѩ
trapezy|трапезъі
vъnǫtrь|вънѫтрь
vъ|въ
olъtaŕi|олътар҄и
učeniki|оученици
že|же
jego|ѥго
|
si|си
vъzvortišę|възвратишѧ
sę|сѧ
vъ|въ
|
nedaleče|недалече
sǫћu|сѫщоу
otъ|отъ
perђe|прѣжде
rečenyjeję|реченъіѥѩ
kŕ̥kъve|црькъве
sъkonьčǞ|съконьча
že|же
sę|сѧ
svętъjь|свѧтъіи
otьkь|отьць
našь|нашь
i|и
|
|
měsęka|мѣсѧка
|
|
corrupted morphology tag|црароуптед мрапhологъі таг
kěsaŕьstvujǫћu|цѣсар҄ьствоуѭщоу
|
kěsaŕu|цѣсарю
|
na|на
slavǫ|славѫ
gospodu|господоу
našemu|нашемоу
corrupted morphology tag|црароуптед мрапhологъі таг
xristosu|христосоу
jemuže|ѥмоуже
slava|слава
i|и
dŕ̥žǞva|дрьжава
vъ|въ
věky|вѣкъі
věkomъ|вѣкомъ
aminь|аминь
měsęka|мѣсѧка
|
|
mǫčenьje|мѫчениѥ
svętujeju|свѧтоуѥю
|
i|и
|
mъnogu|мъногоу
byvъšu|бъівъшоу
|
i|и
mętežu|мѧтежоу
ĺubimajǞ|любимаꙗ
bratrьje|братриѥ
i|и
|
pertęћu|прѣтѧщоу
kěsaŕu|цѣсарю
na|на
božьję|божиѩ
orby|рабъі
ĺuto|люто
že|же
zъlo|зъло
dělajǫћemъ|дѣлаѭщемъ
po|по
vьxa|вьсꙗ
města|мѣста
kъnęgemъ|кънѧѕемъ
i|и
novy|новъі
i|и
