176,не бꙑти,V-,небъіті
177,тоу,Df,тоу
178,такъ,Pd,такъ
179,безоумиѥ,Nb,безоуміе
180,обаче,Df,обаче
181,наоучити,V-,наоучіті
182,рѧдъ,Nb,рѧдъ
183,бꙑвати,V-,бъіваті
184,иногдоѭ,Df,іногдоѭ
185,сѵрьскъ,A-,сурьскъ
186,адамъ,Ne,адамъ
187,до,R-,до
188,потопъ,Nb,потопъ
189,доньдеже,G-,доньдеже
190,раздѣлити,V-,раздѣліті
191,при,R-,прі
192,стлъпотворѥниѥ,Nb,стлъпотвореніе
193,размѣсити,V-,размѣсіті
194,нравъ,Nb,нравъ
195,обꙑчаи,Nb,объічаі
196,оуставъ,Nb,оуставъ
197,законъ,Nb,законъ
198,хꙑтрость,Nb,хъітрость
199,егѵпьтѣнинъ,Nb,егупьтѣнінъ
200,землѥмѣрениѥ,Nb,землемѣреніе
201,перси,Nb,персі
202,халдеи,Nb,халдеі
203,асѵреи,Nb,асуреі
204,ѕвѣздочьтениѥ,Nb,звѣздочьтеніе
205,влъшьвениѥ,Nb,влъшьвеніе
206,врачеваниѥ,Nb,врачеваніе
207,чарованиѥ,Nb,чарованіе
208,жидъ,Nb,жідъ
209,небо,Nb,небо
210,землꙗ,Nb,землѣ
211,чловѣкъ,Nb,чловѣкъ
212,елинъ,Nb,елінъ
213,граматикиꙗ,Nb,граматікіѣ
214,риторикиꙗ,Nb,ріторікіѣ
215,философиꙗ,Nb,філософіѣ
216,прѣжде,R-,прѣжде
217,свои,Pt,своі
218,финичьскъ,A-,фінічьскъ
219,панамидь,Ne,панамідь
220,послѣжде,Df,послѣжде
221,прити,V-,пріті
222,вита,Nb,віта
223,шесть на десѧте,Ma,шестьнадесѧте
224,тъкъмо,Df,тъкъмо
225,обрѣсти,V-,обрѣсті
226,кадьмъ,Ne,кадьмъ
227,милисии,Ne,мілісіі
228,девѧть на десѧте,Ma,девѧтьнадесѧте
229,симонидъ,Ne,сімонідъ
230,дъва,Ma,дъва
231,епихарии,Ne,епіхаріі
232,съказатель,Nb,съказатель
233,събьрати,V-,събьраті
234,дионисъ,Ne,діонісъ
235,граматикъ,Nb,граматікъ
236,чисменитъ,A-,чісменітъ
237,ѥдъва,Df,едъва
238,минѫти,V-,мінѫті
239,божии,A-,божіі
240,повелѣниѥ,Nb,повелѣніе
241,седмь десѧтъ,Ma,седмьдесѧтъ
242,прѣложити,V-,прѣложіті
243,ѥдинъ,Ma,едінъ
244,седмь,Ma,седмь
245,оустроити,V-,оустроіті
246,прѣложениѥ,Nb,прѣложеніе
247,чьстьнъ,A-,чьстьнъ
248,аще,G-,аште
249,ли,Df,лі
