lemma,lemma_id,pos,lemma_has_jer,contains_whitespace,tokens,jer_tokens
море,120295,Nb,false,false,морѧ|морю|море|моремъ|мори|моремь|морꙗ|морь|мор|мъре|морѣ|морем|моря|мѡрѧ|мѡрю|мѡри,мъре
и,120297,Pp,false,false,его|них|имъ|и|емоу|нимъ|я|е|ихъ|него|ему|их|нихъ|неи|нею|нимъ:|ими|нему|нь|нѧ|има|ними|нѧ-|і|нея|ню|еѣ|ея|ее|ю|еи|имь|немь|немъ|него.|нима|емѹ|ею|нѣмь|ними.|ѥму|ѥго|нимь|им|не|ни|е же|нем|нее|ним|ѥю|ѥи|нїмь|ѣ|ней|нѣю|нѣму|нѣго|нѣмъ|ѥгѡ|ιмъ|ꙇмъ|негѡ|ꙇ|ꙇхъ|ꙇх|ѥмѹ|нѣ|iмъ|ѥ|імъ|нимо|и҃|емо|имо|емꙋ|ѫ|ного|егъ|нїхъ|немѹ|ѧ|еѧ|нево|ево|ей|ем|нїми|ι|им же|нѣмѹ|нѣмꙋ|ꙗ|ѥ]го|ѥꙗ|нимї|еꙗ|ѥмоу|іхъ|них҃|ним҃и|ег҃|ним҃|нем҃|ѥе|неꙗ|м|их҃|єго|дним|єму|неѣ|ѥмь|нꙗ|ньмь|ѥмȣ|нѥи|нѥмѹ|нѥго|нѥꙗ|емȣ|нѥмь|нми|нѥ|немȣ|нѥмо|нѥю|єг|немʼ|нихʼ|ємꙋ|ихʼ|немꙋ|нег|мꙋ|ег|нѣи|егѡ|нѣво|ним꙽|нім|евѡ|нем же|а|неѧ|немоу|еа,нимъ:|ньмь
тыи,120299,Pd,false,false,тому|то|тѣхъ|ти|тѣм|того|ты|тѣмь|тѣмъ|тѣми|та|тои|тѣх|ту|тъ|томъ|тоя|ѿ|томь|том|тое|тою|тыя|той|Того|тые|тѣ|тую|ть|тѡмь|тогѡ|тѡм|тѡи|томѹ|техъ|тихъ|томо|тию|тꙑ|т]омь|тоѧ|тїи|тѹ|тем|темъ|тово|те|теми|тꙑи|тг҃о|тог҃|тѣмьже|тоꙗ|Тог҃ же|тог҃о|тоѥ|тех҃|тоѣ|тмь|томȣ|тѣма|тыꙗ|тѣ҃м|тымъ|ткомоу|томꙋ|таѧ|тѡг|тѣмʼ|темь|тꙑмъ|тꙑм|тѣи|тꙑхъ|томоу|Тая|тая|тьхъ|Ти|тѹю|тѣе|теи|тоє|тыхъ|тыми|тымь|тог|тъй|Тъй|То|Тіи|Тѣми|тыи|Тому|тѡмъ|тꙋ|таво|таму|тех|Тоя|тѡгѡ|тѡго|тоу|Тѣм|Тѣмъ|тіи|тѣмⸯ,тѣмьже|тьхъ|тъй|Тъй
съсѣдати,120304,V-,true,false,съсѣдѧть|ссѣдавше|съседавъше,съсѣдѧть|съседавъше
метати,120307,V-,false,false,метавше|мчемъ|мечемъ|метала|метати|метахуть|метаху|метахꙋ|мьтати|мечють|меча,мьтати
братръ,120309,Nb,false,false,братъ|братью|братомъ|братьи|братьею|брату|брат҃мь|брат҃мъ|братмь,братью|братьи|братьею
свои,120310,Pt,false,false,своеи|своими|своимъ|своихъ|своего|своемь|асвоимъ|свои|свое|своя|своея|своимь|свою|своему|своѣ|своемъ|своею|своима|своѥго|своѥму|своем|своим|своѥю|своѥи|своѥ|своѥя|своѥмь|своѥмъ|своих|своей|свой|свѡи|своѥгѡ|своꙗ|своѥꙗ|своѥгъ|свъѧ|свомъ|своег|своеѧ|своемѹ|своѧ|свосемѹ|свої|своимї|своево|своее|своеѣ|своѥмѹ|своѥмоу|своеі|своеꙗ|своіхъ|своем҃|своі|своѥѣ|своеіѧ|соѥго|своеѥ|своєи|своих҃|своєму|своєго|своєю|своемȣ|своа|своемоу|своеих|своеа|своемꙋ|своегѡ|сваево|сваю|свѡего,свъѧ
столъ,120312,Nb,false,false,столѣ|столъ|стола|столпы|столпом|столомъ|Столъ|столе|столѹ|столом|стл҃|стол|стол҃|стълпѣ|столꙋ|столу|столы,стълпѣ
мѣсто,120314,Nb,false,false,мѣстѣ|мѣстѣхъ|мѣсто|мѣста|мѣстомъ|мѣстомь|мѣс|мѣсте|место|мѣстѣх|месте|мѣстъ|мс҃т|мѣс҃|мѣсту|мѣстех|мѣстѣ[хъ|мѣстѹ|мѣстꙋ|мѣстом|мьсто|мѣстехъ|мѣстахъ|места,мьсто
градъ,120315,Nb,false,false,градъ|града|гради|грады|градѣ|градомъ|радъ|град|градѣхъ|граду|градо|градом|градомь|гра|грда|грѣдѣ|граде|градех|градѹ|град҃|грд҃ъ|градъмь|градʼ|градовъ|градов|градꙋ|градове|граи|градѡмъ|градецъ,градъмь
богъ,120317,Nb,false,false,б҃ъ|б҃у|б҃а|бу|б҃е|б҃ы|б҃мъ|б҃зи|бъ|б҃га|бгъ|б҃гу|б҃омь|б҃мь|бв҃и|бм҃ь|бо҃мь|бз҃ѣ|бз҃и|б҃овъ|бгм҃ь|бг҃ви|бу҃|б҃о|ба҃|бг҃мь|бъ҃|Бъ҃|Богом|Богъ|«Богь|Богь|Богу|Бога|бого|б҃|бг҃ѹ|бг҃ъ|бг҃а|боѕѣ|бозѣ|бг҃омъ|богѹ|бѕ҃ѣ|бѕѣ|бог|богови|бг҃҃а|бг҃ом|б҃гъ|б҃ви|б҃ъмъ|бгъ҃|ба|б҃гомъ|б҃зѣ|бм҃ъ|богъ|богу|боже|бога|бъгъмь|б҃ѹ|бь҃|богмь|бѹ҃|бѹ|б҃ь|бъ҃мь|б҃гꙋ|б҃ꙋ|б҃оу|бж҃е|бгу|бе|бг҃у|бг҃ь|бози|бг҃ови|бго҃мъ|бг҃ꙋ|б꙽зѣ|б҃гѹ|б҃гом|бозе|Боже|Бг҃а|Бга҃|Боу҃|Бг҃ꙋ|Бго҃у|Бгѡ҃мъ|Бг҃ѡмъ|Бг҃ъ|Бг҃оу|Бж҃е|Ба҃|Боѕѣ,бъ҃|Бъ҃|б҃ъмъ|бгъ҃|бъгъмь|бь҃|бъ҃мь
видѣти,120318,V-,false,false,видѣти|видите|видѣ|видѣхъ|видѧщи|видѣвъ|видѣвше|видиши|видѧща|видѣв|вижь|видѣвши|видѧше|видѣвша|видѣвъше|видѣхомъ|видѣша|видѧть|видивъ|видѧ|видѣлъ|вида|видѧщим|видим|видѣвь|видить|видѣста|видуче|видимъ|видѣх|видѧще|видев|видѣли|видꙗть|видьло|виделе|види|видомаѧ|видит|видели|виделъ|видехомъ|видети|видеше|видѣ въ|видѧхуть|видѧщимъ|Видѣвъ|вижю|видѣвъша|видꙗ|видꙗще|вїдѣли|видꙗше|видѣвъши|видѣвы|видѣхомы|видꙗщи|вїдѣвъше|видѣтъ|видимоѥ|видима|видѧста|видѧаше|видѧхѹть|вѣдити|видѣвʼ|видѣл|видѣсте|видѣхом|вижду|вижу|видимое|видя|видитъ|видятъ|видишь|видѣть|виждь|видиш|видят|видѣв꙽ше|видѣв꙽ши|видѣв꙽шим|видѧщих|видѧт|видѣла|видѣвшїи|видѣте|вижꙋ|вижоу|видита,видѣвъше|видьло|видѣвъша|видѣвъши|вїдѣвъше
родъ,120319,Nb,false,false,родъ|роды|родомъ|родѣ|рода|рада|роду|род|родомь|роди|родом|родѹ|родмь|Родъ|родъмь|родоу|родовъ|рѡд|родꙋ|рѡд꙽|родѡм|рѡда,родъмь
съмѣсити,120321,V-,true,false,съмѣси|смѣшено|смѣси,съмѣси
останъкъ,120324,Nb,true,false,ѡстанокъ|ѡстанки|останкѹ|останъке|останъкъ|останокъ,останъке|останъкъ
слово,120332,Nb,false,false,словѣни.|словеса|слово|словомъ|слова|словесе|словесы|словесъ|словомь|словесѣхъ|словес|словеси|словом|солова|словѹ|слову|словъмь|слов|словесꙑ|слове|словꙋ|словѡ|словесем|словѡм|Словоу|слѡво|словѣ|слѡвꙋ|слѡвеса|слѡвесъ|слѡвесы|словъ|слѡв|словоу|слѡва|слѡвъ|слѡвес|слѡвеси|словесемъ|слѡвѡ|слѡвамъ|Слово,словъмь
рѣчь,120344,Nb,false,false,рѣчи|рѣчь|рѣч|рѣчьми|речи|речми|речеи|речех|речью|речь|рѣчью|рѣчѣхъ|рѣчей|рѣчїи,рѣчьми|речью|рѣчью
идти,120349,V-,false,false,идеть|ити|иде|идучи|идущю|идоша|идаша|идуче|Иде|идемъ|идуть|идуще|идѣте|идеши|иду|идущи|идета|--Иде|иди|ишедъ|шедше|идуща|шедъ|ида|идѧху|шедшю|идущемъ|идоста|идѧше|идут|шедъшю|идущь|идете|шелъ|идѧста|Идоша|идущимъ|идет|идохъ|идохом|идох|шли|идущема|шед,шедъшю
приити,120350,V-,false,false,пришедше|прити|пришедшю|приде|придоша|пришедъша|придоста|придѣта|пришедъше|пришедъ|пришедъшема|Приде|пришедъшемъ|пришедшимъ|придуть|придут|прииметь|придеть|придохомъ|придосте|приду|пришедъшимъ|придите|Придоша|пришедша|пришелъ|прішелъ|придохъ|прешедъше|прише|пришедъшю|придохо|прідеть|пріде|прїде|пришедшема|пришла|Пришедъ|пришли|прїшедшю|приди|придемъ|придущемь|пришед|придѧху|придох|пришедшими|прідоша|придѣте|придохом|придеши|пришедшее|придѣ|пришьла|придьши|прїидетъ|прїидѹт|прїити|придет|прїидѹтъ|пришьдъ|пришьдъше|пришьдъшмъ|придете|пришьлъ|пришло|прид|Пришелъ|пришедшаго|пришедшим|пришедши|пришдъшима|приидуть|Приидоша|приити|приидоша|прииде|приидѹть|пришь|прииди|пришьдъши|пришедъши|приидохъ|приидѹщии|пришьдъша|приидеть|пришьдъшю|пришьдъшемъ|приидѧше|пришьдъшеѥ|приидохомъ|пришьдъшема|прїдохъ|пришьли|пришедʼша|прїидохъ|прїиде|прїидꙋть|прїидеть|прїидѣте|прїидоша|пришедʼ|пришедʼшаго|прїидем|придѣть|придоуть|пришлї|пришел|приидох꙽|приидох|Прїидоша|прїидосте|прїидѹ|прїидох|прїйде|прїиду|прїидоста|пришедыи|прїидохом|пришед꙽ше|пришол|прїидеши,пришедъша|пришедъше|пришедъшема|пришедъшемъ|пришедъшимъ|прешедъше|пришедъшю|пришьла|придьши|пришьдъ|пришьдъше|пришьдъшмъ|пришьлъ|пришдъшима|пришьдъши|пришедъши|пришьдъша|пришьдъшю|пришьдъшемъ|пришьдъшеѥ|пришьдъшема|пришьли
доити,120354,V-,false,false,доити|дощедшю|дошед|дошелъ|дшшее|дошедъ|дошедшю|доидохом|дошедше|дошедъшедъше|доидоста|дошьдъше|дошьдъ|доидеть|доидоша|дошедъше|дошли|доиде|доида|дошьдъшю|дошел|доидох|дошла,дошедъшедъше|дошьдъше|дошьдъ|дошедъше|дошьдъшю
петровъ,120356,A-,false,false,петровъ|петръво|петрово|петровым|петров,петръво
въсхотѣти,120359,V-,true,false,въсхотѣ|всхотѣша|всхотѣ|въсхотѣша|въсхотѧть|всхощеть|всхотѧть|въсхочеть|въсхотѣхомъ|въсхотѣти|въсʼхотѣ|въсхощеши|въсхочетѣ|въсхочете|въсхъчеть|оусхочеть|восхощет|восхотѣлъ|восхотѣ|восхотѣв꙽ше|въсхотѧще|въсхощеть,въсхотѣ|въсхотѣша|въсхотѧть|въсхочеть|въсхотѣхомъ|въсхотѣти|въсʼхотѣ|въсхощеши|въсхочетѣ|въсхочете|въсхъчеть|въсхотѧще|въсхощеть
проити,120361,V-,false,false,проиде|проити|проидеть|проидоша|проидох|проидохом|проидохомъ|прошьдъ|прошло|проидет|прошелъ|прошли|проидетъ|прошел,прошьдъ
стати,120363,V-,false,false,стала|ста|стати|сташа|станемъ|станеть|стат|стаяху|станѧше|ставъ|станете|стахом|станутъ|сталъ|ставшима|стаста|стануть|стал|стало|станет|ставшема|ставшимъ|ставше|ставшю|став|ставъше|ставъшю|станꙗше|стани|стань|станешь|ставъши|стану|cтало|стали|станут|станетъ|станем|станеш|станꙋ|стать|станешъ|станите,ставъше|ставъшю|ставъши
въстати,120365,V-,true,false,въставъ|въста|въстати|въстани|всташа|вьставъ|вставъ|въсташа|вставше|Въсташа|встаста|всталъ|встати|вставить|встанѣте|встанеть|вста|воста|востаху|восташа|воставъ|въставшемь|встанущю|въставъши|въстанꙗше|въставъша|въстаеть|въставшꙋ|въстала|Въстала|въсталъ|воставше|востани|востати|встат|востала|возставше|встать|встанет|возстав|встала|возставъ|встали|въстаноут,въставъ|въста|въстати|въстани|вьставъ|въсташа|Въсташа|въставшемь|въставъши|въстанꙗше|въставъша|въстаеть|въставшꙋ|въстала|Въстала|въсталъ|въстаноут
вънити,120369,V-,true,false,внити|внидеть|въшедъ|внидоша|вънидоша|вниди|внидоста|внидохом|внидем|вънидьте|внидемъ|внидохомъ|воити|вшедше|вниде|въшедшю|вшедъ|въниде|вънидоста|вънид|въшьдъ|въиде|внидѧшеть|Вниде|внида|вшедшим|вънидеть|въниди|въшьдъши|вънити|въшьдъше|въшьдъшема|вшедʼшимъ|внидеши|вошьли|внидох|вшол|вошли|вошел|воиду|вошелъ|вошед|вшед|въшед|внидѹт|воитит|вашѡлъ|внидет|внидоут,въшедъ|вънидоша|вънидьте|въшедшю|въниде|вънидоста|вънид|въшьдъ|въиде|вънидеть|въниди|въшьдъши|вънити|въшьдъше|въшьдъшема|вошьли|въшед
поставити,120371,V-,false,false,постави|поставѧху|поставилъ|поставлю|поставиша|поставити|поставленъ|Постави|поставили|поставлени|поставя|поставить|поставѧтъ|поставлена|поставѧ|поставлено|поставїша|постависта|поставѧть|поставища|Поставиша|поставлен|Поставьленъ|поставивъ|поставль|поставил|поставихомъ|поставит|поставленым,Поставьленъ
себе,120377,Pk,false,false,сѧ|собѣ|себѣ|сѧ.|собе|себе|собою|сбѣ|с|собя|ся|стѧ|ца|сиѧ|себя|са|си|сь|с]ѧ|СЕБѢ|сї|собѧ|сѣбе|себѧ|Себѣ|ебѧ|сѣбѧ|сѣбѣ|ц|сїѧ|с҃|собоюю|с[ѧ|соб[ою|сꙗ|cꙗ|събою|събѣ|шь|се|ця|с꙽ѧ|съ,събою|събѣ
азъ,120380,Pp,false,false,ми|азъ|мнѣ|я|мѧ|мене|Азъ|мною|язъ|мниа|мѧ-|мьнѣ|мене.|ме|имѧ|Язъ|яз|Яз|мънѣ|мнъю|мъ]нѣ|м[ъною|мъною|мне|моне|мьнь|аз|менѧ|мꙗ|азʼ|аз꙽|аȥъ|мя|меня|менꙗ|меия|мыѣ|Аз|Мнѣ,мьнѣ|мънѣ|мнъю|мъ]нѣ|м[ъною|мъною|мьнь
дьнь,120391,Nb,true,false,дн҃и|д҃ни|д҃не|дне|днемъ|дн҃ь|дн҃хъ|днии|д҃нь|дни|д҃нии|д҃нье|дн҃е|дн҃е-|д҃нехъ|дн҃ии|дн҃ии-|дн҃|дн҃ьми|дн҃емь|дни҃|дн҃и:|дн҃евъ|дн҃ь·:-|день|дн҃еи|дн҃їи|дн҃емъ|дн҃ьѥ|дн҃ехъ|дн҃і|дн҃иі|днь|дн҃ъ|дн҃ьмъ|дн҃иѥ|дьнь|д҃ньхъ|дн҃ию|дьни|дн҃ьхъ|дьньхъ|дьне|дн҃ью|дьнии|д҃немʼ|д҃нїи|д|д҃н҃и|д҃неи|днеи|дн҃ем|дн҃я|днях|днех|дном|дн҃ие|днем|дневи|д҃нїе|дн҃їе|дн҃ех|дн҃іи|дн҃еви|дн҃ех꙽|д҃нех|д҃нем|де|дня,д҃нье|дн҃ьми|дн҃ь·:-|дн҃ьѥ|дн҃ьмъ|дьнь|д҃ньхъ|дьни|дн҃ьхъ|дьньхъ|дьне|дн҃ью|дьнии
имя,120393,Nb,false,false,имены|имѧнемъ|имѧ|именемъ|имѧна|имѧнемь|имѧни|именемь|имена|именем|имени|имѣнемъ|имя|имене|ιм|имѧны|именьмь|іменемь|имꙗ|имьньмь|имни|ꙇменех|ꙇмена|ꙇмени|ꙇмя|ꙇменем|именами|имянъ,именьмь|имьньмь
сестра,120394,Nb,false,false,сестра|сестрамъ|сестру|сестръ|сестрою|сестры|сестрѣ|сестори|сестрѹ|сьтрѹ|сетрѹ|сетра|сестрꙑ|сѣстрѣ,сьтрѹ
третии,120395,A-,false,false,третьеи|третьее,третьеи|третьее
звѣрь,120396,Nb,false,false,звѣрь|звѣрии|звѣри|звѣремъ|звѣрье|звѣремь|зверемъ|звѣрие|звѣриѥ|ѕвѣрїе|звѣрѧ|звѣреи|звѣрми|звереи|звѣря|з꙽вѣрїе|ѕвѣрїи|звѣрїе|ѕвѣрь|звѣреви|ѕвѣрем|ѕвѣрѧ|звѣрем,звѣрье
тъгда,120398,Df,true,false,тогда|тъгда|Тъгда|т[ъ]гда|тъгъда|Тогда,тъгда|Тъгда|т[ъ]гда|тъгъда
