събьрати|V-|60182|sъbьrati|51_abl|1|sъbьr|e_sl
занеже|G-|68944|zańeže||0|zanježe|e_sl
имя|Nb|58990|jьmę|nt_N|2|jьm|e_sl
чьто|Px|60110|čьto|čьto|2||e_sl
стояти|V-|58945|stojǢti|31|1|stoj|e_sl
чьто|Pi|58943|čьto|čьto|2||e_sl
мъногыи|A-|58961|mъnogъ|adj_hard|2|mъnog|e_sl
розити|V-|69511|orzjьti|jьti|1|orz|e_sl
кыи|Px|69448|kъjь|kъjь|2|k|e_sl
дължьныи|A-|67454|dl̥žьnъ|adj_hard|2|dl̥žьn|e_sl
око|Nb|58813|oko|oko|2|ok|e_sl
понести|V-|67054|ponesti|11|1|pones|e_sl
остати|V-|59350|ostati|stati|1|o|e_sl
роботати|V-|66467|orbotati|54|1|orbota|e_sl
огнь|Nb|60190|ogńь|masc_jo|2|ogń|e_sl
горѣти|V-|68696|gorěti|31|1|gor|e_sl
жити|V-|67386|žiti|11|1|živ|e_sl
земля|Nb|64341|zemĺǢ|fem_ja|2|zemj|e_sl
убити|V-|59540|ubiti|17|1|ub|e_sl
прокляти|V-|59284|proklęti|12|1|proklьn|e_sl
наинъ|Ne|68003|najinъ|masc_o|2|najin|e_sl
кърмити|V-|140390|kr̥miti|40|1|kr̥m|e_sl
пристанище|Nb|122911|pristanišče|nt_jo|2|pristanišč|e_sl
языкъ|Nb|59128|językъ|masc_o|2|język|e_sl
ити|V-|58936|jьti|jьti|1||e_sl
дьнь|Nb|58915|dьnь|den|2||e_sl
то|Df|72910|to||0|to|e_sl
пьсати|V-|60196|pьsati|52_abl|1|pьs|e_sl
сълньце|Nb|60228|sl̥nьke|nt_o_PV3|2|sl̥nьk|e_sl
съжещи|V-|68365|sъžeћi|11|1|sъžeg|ch_sl
конь|Nb|79308|końь|masc_jo|2|konj|e_sl
родити|V-|122661|roditi|40|1|rod|e_sl
страна|Nb|59047|storna|fem_a|2|storn|ch_sl
ходити|V-|58986|xoditi|40|1|xod|e_sl
нагыи|A-|66158|nagъ|adj_hard|2|nag|e_sl
покрыти|V-|68405|pokryti|18|1|pokr|e_sl
волосъ|Nb|58876|volsъ|masc_o|2|vols|e_sl
вьсякыи|A-|65732|vьxakъ|pron_hard|2|vьxak|e_sl
годъ|Nb|67600|godъ|masc_o|2|god|e_sl
мужь|Nb|65437|mǫžь|masc_ju|2|mǫž|e_sl
жена|Nb|58801|žena|fem_a|2|žen|e_sl
дивити|V-|59138|diviti|40|1|div|e_sl
бѣлыи|A-|65097|bělъ|adj_hard|2|běl|e_sl
другыи|A-|58955|drugъ|adj_hard|2|drug|e_sl
плече|Nb|67763|pleћe|nt_jo|2|pletj|e_sl
слуга|Nb|58772|sluga|masc_a|2|slug|e_sl
мечь|Nb|68454|mečь|masc_jo|2|meč|e_sl
рука|Nb|58831|rǫka|fem_a|2|rǫk|e_sl
ножь|Nb|66153|nožь|masc_jo|2|nož|e_sl
стрѣла|Nb|84203|strěla|fem_a|2|strěl|e_sl
седмь|Ma|60050|sedmь|fem_i|2|sedm|e_sl
лѣто|Nb|60331|lěto|nt_o|2|lět|e_sl
сухо|Nb|83949|suxo|nt_o|2|sux|e_sl
осмь|Ma|67701|osmь|fem_i|2|osm|e_sl
дьржати|V-|64163|dŕ̥žǢti|31|1|dŕ̥ž|e_sl
тьма|Nb|81628|tьma|fem_a|2|tьm|e_sl
сѣдѣти|V-|59435|sěděti|31|1|sěd|e_sl
побити|V-|67358|pobiti|17|1|pob|e_sl
побивати|V-|68093|pobivati|54|1|pobiva|e_sl
же|Df|58808|že||0|že|e_sl
добрыи|A-|64420|dobrъ|adj_hard|2|dobr|e_sl
корабль|Nb|59207|korabĺь|masc_jo|2|korabj|e_sl
жеребьць|Nb|58938|žerbьkь|masc_o_PV3|2|žerbьk|e_sl
богъ|Nb|60009|bogъ|masc_o|2|bog|e_sl
съто|Ma|66263|sъto|nt_o|2|sъt|e_sl
зима|Nb|64682|zima|fem_a|2|zim|e_sl
вода|Nb|58907|voda|fem_a|2|vod|e_sl
орати|V-|68873|orati|52|1|or|e_sl
сѣяти|V-|66149|sějǢti|53|1|sěj|e_sl
пьшеница|Nb|66782|pьšenika|fem_a_PV3|2|pьšenik|e_sl
вино|Nb|67466|vino|nt_o|2|vin|e_sl
чинити|V-|67584|činiti|40|1|čin|e_sl
варити|V-|140030|variti|40|1|var|e_sl
даяти|V-|65846|dajǢti|53|1|daj|e_sl
волъ|Nb|68724|volъ|masc_u|2|vol|e_sl
дѣлати|V-|67354|dělati|54|1|děla|e_sl
градъ|Nb|150574|gradъ|masc_o|2|grad|e_sl
каменьныи|A-|66256|kamenьnъ|adj_hard|2|kamenьn|e_sl
сътворити|V-|58795|sъtvoriti|40|1|sъtvor|e_sl
стьлати|V-|132282|stьlati|52_abl|1|stьl|e_sl
съпати|V-|64847|sъpati|sleep|1||e_sl
любити|V-|64015|ĺubiti|40|1|ljub|e_sl
тъгда|Df|64413|tъgъda||0|tъgъda|e_sl
сорочица|Nb|66279|sorčika|fem_a_PV3|2|sorčik|e_sl
глава|Nb|59515|golva|fem_a|2|golv|ch_sl
мълвити|V-|65826|ml̥viti|40|1|ml̥v|e_sl
золотыи|A-|78635|zoltъ|adj_hard|2|zolt|e_sl
вѣра|Nb|59226|věra|fem_a|2|věr|e_sl
учинити|V-|67999|učiniti|40|1|učin|e_sl
усъпение|Nb|69400|usъpenьje|nt_jo|2|usъpenьj|e_sl
чьстьныи|A-|67995|čьstьnъ|adj_hard|2|čьstьn|e_sl
праздьникъ|Nb|64858|porzdьnikъ|masc_o|2|porzdьnik|ch_sl
повелѣти|V-|64815|povelěti|31|1|povel|e_sl
погыбнути|V-|66872|pogybnǫti|21|1|pogyb|e_sl
нечьстивыи|A-|79671|nečьstivъ|adj_hard|2|nečьstiv|e_sl
поставити|V-|65354|postaviti|40|1|postav|e_sl
таковыи|A-|64221|takovъ|adj_hard|2|takov|e_sl
чудо|Nb|64737|čudo|nt_S|2|čud|e_sl
къто|Px|60102|kъto|kъto|2||e_sl
хотѣти|V-|64035|xotěti|will|1||e_sl
оставити|V-|58950|ostaviti|40|1|ostav|e_sl
пьсъ|Nb|64425|pьsъ|masc_o|2|pьs|e_sl
разбоиникъ|Nb|59131|orzbojьnikъ|masc_o|2|orzbojьnik|ch_sl
розбивати|V-|65189|orzbivati|54|1|orzbiva|e_sl
ни|C-|59213|ni||0|ni|e_sl
молити|V-|59248|modliti|40|1|modl|e_sl
знати|V-|67506|znati|54|1|zna|e_sl
