lemma,lemma_id,pos,lemma_has_jer,tokens,jer_tokens
туркменьскыи,162717,A-,true,тѹкър꙽мескыѧ,
чеготаньскыи,162718,A-,true,чеготаньскыѧ,
вьсюда,162720,Df,true,всюда,
съястьныи,162723,A-,true,съꙗстное|соꙗстнои,
татьнъ,162726,Nb,true,татнѹ,
шьшень,162729,Nb,true,шьшени,шьшени
стьлати,162733,V-,true,стелють|стелютъ|стлавшу,
илересънь,162735,F-,true,илересънь,
въздѣвати,162743,V-,true,въздевають,въздевають
пъртъкы,162744,Nb,true,порт꙽кы,
махметъдени,162752,F-,true,махмѣт дени|махмет дени,
съмиловати,162754,V-,true,смилова|смилуі,
отъпросити,162757,V-,true,ѿпросил|ѿпрося,
залъгати,162758,V-,true,залгали,
пьрьць,162759,Nb,true,перець|перцꙋ,
ачьче,162760,F-,true,аче|ачьче,
ковъ,162765,Nb,false,ковъвъ|кововъ|ковѣ,ковъвъ
вьсе,162767,Df,true,все,
гондустаньць,162770,Nb,true,гѹндѹстанци|гондѹстанци,
булатьныи,162775,A-,true,бѹлатныи|бѹлатных|булатнꙑя|булатнꙑа,
съѣждати,162782,V-,true,съѣждает|съеждает|съѣж꙽дают,съѣждает|съеждает|съѣж꙽дают
съвозити,162783,V-,true,свозѧть,
обезияна,162790,Nb,false,ѡбезьꙗны|ѡбезьꙗнъ|ѡбезъꙗнъ,ѡбезьꙗнъ|ѡбезъꙗнъ
обезияньскыи,162791,A-,true,ѡбезьꙗньскыи,
людьныи,162799,A-,true,людна,
пышьныи,162800,A-,true,пышны,
трубьникъ,162802,Nb,true,трꙋбниковъ|трѹбниковъ|трѹбникъвъ,трѹбникъвъ
нагарьникъ,162803,Nb,true,на гарниковъ,
свирѣльникъ,162804,Nb,true,свирѣлниковъ,
плясьць,162808,Nb,true,плѧсцевъ,
дьлина,162820,Nb,true,длина,
бесерменьскы,162833,Df,true,бесерменьскыи,
бутхана,162835,Nb,false,бѹтхана|бѹдѹтханы|бѹтьханы|бѹтханы|бѹханѣ|бѹтѹханы,бѹтьханы
четвьртыи,162840,Nb,true,четвертые,
съѣзжати,162845,V-,true,съѣж꙽щает|съежщает,съѣж꙽щает|съежщает
подъняти,162851,V-,true,поднѧлъ|подняти|поднял|поднявъ|поднят|поднели,
цѣсарьградьскыи,162853,A-,true,цр҃ѧградскы,
гузьно,162854,Nb,true,гѫзно|гѹзне|гꙋзне|гѹзнѣ|гузнѣ,
гърньць,162864,Nb,true,горньцꙋ|горнець,
яства,162865,Nb,false,ꙗствꙋ|ꙗстъвы,ꙗстъвы
русьскы,162867,Df,true,рьскы|рѹскы,
пьрстьнь,162880,Nb,true,перстьни,
колокольць,162884,Nb,true,колоколцевъ,
подъковати,162885,V-,true,подкованы,
единошьды,162888,Df,true,единожды,
какъпа,162889,F-,true,какъ па,
чекътѹръ,162890,F-,true,чекътѹръ,
атырьсень,162898,F-,true,атырьсень,
амьчукъ,162912,F-,true,амьчюкъ,
олъсакласынъ,162920,F-,true,ѡлъсакласынъ,
акъберъ,162923,F-,true,акъберъ,
рагымелъло,162924,F-,true,рагымелъло|рагымел꙽ло,
танъгрысень,162927,F-,true,танъгрысень,
худосеньсень,162928,F-,true,хѹдосеньсень,
кетьмышьтыръ,162929,F-,true,кетьмышьтыръ,
сеньсень,162940,F-,true,сеньсень,
пьстрядь,162956,Nb,true,пестреди,
зеньзебиль,162968,Nb,true,зеньзебиль,
гвоздьникы,162971,Nb,true,гвозникы|гвоздникы,
письяръ,162975,F-,true,письꙗръ,
чьрвьць,162977,Nb,true,червьци|чрьвци,
шабаитьскыи,162984,A-,true,шабаитьское|шабатьскои,
тенька,162986,Nb,true,тенкѣ|тенекъ|денек|тенка|тенькы,
чиньскыи,162993,A-,true,чиньское,
мачиньскыи,162994,A-,true,мачиньское,
сахарьныи,162996,A-,true,сахорнѹю|сахарное,
пѣнечьче,163006,F-,true,пѣнечь че,
меликъхановъ,163012,A-,true,меликханова,
дьрати,163016,V-,true,дерѹт|дерущи|дерутъ|драл|драт,
окърмити,163018,V-,true,ѡкормленых|ѡкормили,
пупъкъ,163021,Nb,true,пѹпькы,
киларьменъ,163027,F-,true,киларьменъ,
киларьсизъ,163029,F-,true,киларьсизъ,
иньчаи,163033,F-,true,иньчаи,
возырь,163045,Nb,false,възыревъ|возырем|възыри|возыремъ|возыры|возырѧ|возыри|възыремъ|возыревъ|възырем,възыревъ
прапорьць,163046,Nb,true,проборца,
аксамитьныи,163055,A-,true,ѡксамитенъ,
пѣвьць,163059,Nb,true,пѣвци|пѣвцов,
душьныи,163070,A-,true,дѹшьно,
гурзыньскыи,163077,A-,true,гѹрзыньскои,
съѣстьныи,163078,A-,true,съѣстное,
подольскыи,163079,A-,true,подольскаа|Подолскому,
будонья,163085,F-,true,бѹдоньѧ,
бегълѧри,163091,F-,true,бегълѧри,
больсынъ,163095,F-,true,больсынъ,
данъгры,163099,F-,true,данъгры,
въшеретьныи,163115,A-,true,вшеретных,
возыреня,163122,Nb,false,възыренеи,възыренеи
подъмывати,163123,V-,true,подмывати,
бинедарьскыи,163125,A-,true,бинедарьскаг,
възмыслити,163137,V-,true,възмыслилъ|възмыслих꙽,възмыслих꙽
женьгѣль,163144,Nb,true,женьгѣль,
отътудова,163152,Df,true,ѿкѹдыва|ѿтѹдова|ѡттудава,
алмазьникъ,163154,Nb,true,алмазъниковъ,алмазъниковъ
корабльныи,163163,A-,true,корабленемъ,
въскличати,163165,V-,true,въскличаша,въскличаша
конъкаръ,163167,F-,true,конъкаръ,
болумышьти,163172,F-,true,бол꙽мышьти,
ильля,163219,F-,true,ильлѧ,
альмелику,163234,F-,true,альмеликꙋ,
альмумину,163237,F-,true,альмѹминѹ,
альмугамину,163238,F-,true,альмѹгаминꙋ,
альазизу,163239,F-,true,альазизꙋ,
альчебару,163240,F-,true,альчебарꙋ,
альмутаканъбиру,163241,F-,true,альмѹтаканъ бирѹ,
альхалику,163242,F-,true,альхаликѹ,
альбариюу,163243,F-,true,альбарїюꙋ,
альмусавирю,163244,F-,true,альмꙋсавирю,
алькафару,163245,F-,true,алькаѳарꙋ,
алькахару,163246,F-,true,алькахарꙋ,
альвахаду,163247,F-,true,альвахадꙋ,
альрязаку,163248,F-,true,альрѧзакꙋ,
альфатагу,163249,F-,true,альфатагѹ,
альалиму,163250,F-,true,альал҃їмѹ,
алькабизу,163251,F-,true,алькаб҃їзꙋ,
альбасуту,163252,F-,true,альбасꙋтꙋ,
альхафизу,163253,F-,true,альхафизꙋ,
