A-бързыи
Nbвихъръ
A-грьчьскыи
A-запасьныи
V-зьрѣти
V-изъяти
V-изимати
A-мясьныи
V-объяти
V-подъимати
Nbполъдьнь
V-прозьрѣти
Nbпсалътырь
V-съметати
Nbставьць
Maсъто
Nbсудьно
Nbцвѣтъкъ
Nbчьрвь
