прокляти|V-|59284|proklęti|12|1|proklьn
наинъ|Ne|68003|najinъ|masc_o|2|najin
кърмити|V-|140390|kr̥miti|40|1|kr̥m
пристанище|Nb|122911|pristanišče|nt_jo|2|pristanišč
языкъ|Nb|59128|językъ|masc_o|2|język
ити|V-|58936|jьti|jьti|1|
дьнь|Nb|58915|dьnь|den|2|
то|Df|72910|to||0|to
пьсати|V-|60196|pьsati|52_abl|1|pьs
сълньце|Nb|60228|sl̥nьke|nt_o_PV3|2|sl̥nьk
съжещи|V-|68365|sъžeћi|11|1|sъžeg
конь|Nb|79308|końь|masc_jo|2|konj
родити|V-|122661|roditi|40|1|rod
страна|Nb|59047|storna|fem_a|2|storn
ходити|V-|58986|xoditi|40|1|xod
нагыи|A-|66158|nagъ|adj_hard|2|nag
покрыти|V-|68405|pokryti|18|1|pokr
волосъ|Nb|58876|volsъ|masc_o|2|vols
вьсякыи|A-|65732|vьxakъ|pron_hard|2|vьxak
годъ|Nb|67600|godъ|masc_o|2|god
мужь|Nb|65437|mǫžь|masc_ju|2|mǫž
жена|Nb|58801|žena|fem_a|2|žen
дивити|V-|59138|diviti|40|1|div
бѣлыи|A-|65097|bělъ|adj_hard|2|běl
другыи|A-|58955|drugъ|adj_hard|2|drug
плече|Nb|67763|pleћe|nt_jo|2|pletj
слуга|Nb|58772|sluga|masc_a|2|slug
мечь|Nb|68454|mečь|masc_jo|2|meč
рука|Nb|58831|rǫka|fem_a|2|rǫk
ножь|Nb|66153|nožь|masc_jo|2|nož
стрѣла|Nb|84203|strěla|fem_a|2|strěl
седмь|Ma|60050|sedmь|fem_i|2|sedm
лѣто|Nb|60331|lěto|nt_o|2|lět
сухо|Nb|83949|suxo|nt_o|2|sux
осмь|Ma|67701|osmь|fem_i|2|osm
дьржати|V-|64163|dŕ̥žǢti|31|1|dŕ̥ž
тьма|Nb|81628|tьma|fem_a|2|tьm
сѣдѣти|V-|59435|sěděti|31|1|sěd
побити|V-|67358|pobiti|17|1|pob
побивати|V-|68093|pobivati|54|1|pobiva
же|Df|58808|že||0|že
добрыи|A-|64420|dobrъ|adj_hard|2|dobr
корабль|Nb|59207|korabĺь|masc_jo|2|korabj
жеребьць|Nb|58938|žerbьkь|masc_o_PV3|2|žerbьk
богъ|Nb|60009|bogъ|masc_o|2|bog
