jьz|из 
sedъlami|седлами sedъlamъ|седлам sedъlovъ|седлов sedъly|седлы sedъlomъ|седлом sedъlъ|седол sedъloma|седлома sedъlě|седле sedъlěxъ|седлех sedъlu|седлу sedъlaxъ|седлах sedъlъmь|седломь sedъla|седла sedъlo|седло 
čṝmьnovъ|чермьнов čṝmьnamъ|чермьнам čṝmьno|чермьно čṝmьnoju|чермьною čṝmьnu|чермьну čṝmьněxъ|чермьнех čṝmьnomъ|чермьном čṝmьny|чермьны čṝmьnami|чермьнами čṝmьnoma|чермьнома čṝmьne|чермьне čṝmьnama|чермьнама čṝmьnъmь|чермьномь čṝmьni|чермьни čṝmьně|чермьне čṝmьnu|чермьну čṝmьna|чермьна čṝmьnaxъ|чермьнах čṝmьnъ|чермен 
načinanьjami|начинаньями načinanьjaxъ|начинаньях načinanьjamъ|начинаньям načinanьjixъ|начинаньих načinanьjemъ|начинаньем načinanьjě|начинанье načinanьjь|начинаней načinanьjema|начинаньема načinanьji|начинаньи načinanьjemь|начинаньемь načinanьju|начинанью načinanьja|начинанья načinanьje|начинанье 
jьzgъnanьjami|изгнаньями jьzgъnanьjaxъ|изгнаньях jьzgъnanьjamъ|изгнаньям jьzgъnanьjemъ|изгнаньем jьzgъnanьjь|изгнаней jьzgъnanьjixъ|изгнаньих jьzgъnanьjema|изгнаньема jьzgъnanьjemь|изгнаньемь jьzgъnanьji|изгнаньи jьzgъnanьjě|изгнанье jьzgъnanьju|изгнанью jьzgъnanьja|изгнанья jьzgъnanьje|изгнанье 
pomoštьnikъ|помощник pomoštьniko|помощнико pomoštьnikoju|помощникою pomoštьnicami|помощницами pomoštьnicaxъ|помощницах pomoštьnicamъ|помощницам pomoštьnicь|помощниц pomoštьnicě|помощнице pomoštьniky|помощникы pomoštьnicama|помощницама pomoštьnica|помощница pomoštьnicu|помощницу pomoštьnici|помощници pomoštьnice|помощнице pomoštьnicě|помощнице pomoštьniceju|помощницею pomoštьnicu|помощницу pomoštьnica|помощница 
gṛtanьmi|гортаньми gṛtanьxъ|гортанех gṛtanьmъ|гортанем gṛtanьjь|гортаней gṛtanьje|гортанье gṛtanьma|гортаньма gṛtanьju|гортанью gṛtanьmь|гортанемь 
vojevodьstvami|воеводьствами vojevodьstvaxъ|воеводьствах vojevodьstvamъ|воеводьствам vojevodьstvovъ|воеводьствов vojevodьstvy|воеводьствы vojevodьstvomъ|воеводьством vojevodьstvъ|воеводеств vojevodьstvoma|воеводьствома vojevodьstvěxъ|воеводьствех vojevodьstvъmь|воеводьствомь vojevodьstvě|воеводьстве vojevodьstvu|воеводьству vojevodьstva|воеводьства vojevodьstvo|воеводьство 
ostrъmь|остромь 
poslědъkami|последками poslědъkaxъ|последках poslědъkamъ|последкам poslědъkovi|последкови poslědъkomъ|последком poslědъkoma|последкома poslědъcěxъ|последцех poslědъci|последци poslědъče|последче poslědъky|последкы poslědъkъmь|последкомь poslědъkovъ|последков poslědъcě|последце poslědъku|последку poslědъka|последка poslědъkъ|последок 
jьsxodovъ|исходов jьsxodaxъ|исходах jьsxodovi|исходови jьsxodi|исходи jьsxodami|исходами jьsxoděxъ|исходех jьsxody|исходы jьsxodoma|исходома jьsxode|исходе jьsxodamъ|исходам jьsxodъmь|исходомь jьsxodě|исходе jьsxodu|исходу jьsxodomъ|исходом jьsxoda|исхода jьsxodъ|исход 
molьbьnovъ|молебьнов molьbьnama|молебьнама molьbьno|молебьно molьbьnoju|молебьною molьbьnu|молебьну molьbьněxъ|молебьнех molьbьnomъ|молебьном molьbьny|молебьны molьbьni|молебьни molьbьnoma|молебьнома molьbьne|молебьне molьbьnъmь|молебьномь molьbьně|молебьне molьbьnaxъ|молебьнах molьbьnamъ|молебьнам molьbьnu|молебьну molьbьna|молебьна molьbьnami|молебьнами molьbьnъ|мольбен 
graždanьmъ|гражданем graždanьxъ|гражданех 
bezdъnami|безднами bezdъnaxъ|безднах bezdъnamъ|безднам bezdъnъ|бездон bezdъno|бездно bezdъnoju|бездною bezdъně|бездне bezdъnu|бездну bezdъny|бездны bezdъnu|бездну bezdъnama|безднама bezdъna|бездна 
lodъkaxъ|лодках lodъkamъ|лодкам lodъkъ|лодок lodъkama|лодкама lodъku|лодку lodъko|лодко lodъkoju|лодкою lodъcě|лодце lodъky|лодкы lodъku|лодку lodъkami|лодками lodъka|лодка 
vodьnovъ|водьнов vodьnami|водьнами vodьnaxъ|водьнах vodьnamъ|водьнам vodьnama|водьнама vodьno|водьно vodьnoju|водьною vodьnu|водьну vodьnomъ|водьном vodьny|водьны vodьni|водьни vodьnoma|водьнома vodьne|водьне vodьnъmь|водьномь vodьně|водьне vodьněxъ|водьнех vodьnu|водьну vodьna|водьна vodьnъ|воден 
snъxaxъ|снхах snъxъ|снох snъxama|снхама snъxu|снху snъxo|снхо snъxami|снхами snъxamъ|снхам snъxoju|снхою snъśě|снсье snъxu|снху snъxy|снхы snъxa|снха 
četvṝtьmi|четвертьми četvṝtьxъ|четвертех četvṝtьmъ|четвертем četvṝtьjь|четвертей četvṝtьma|четвертьма četvṝtьju|четвертью četvṝtьju|четвертью 
nadobьnami|надобьнами nadobьnaxъ|надобьнах nadobьnamъ|надобьнам nadobьnama|надобьнама nadobьnoju|надобьною nadobьnovъ|надобьнов nadobьno|надобьно nadobьnu|надобьну nadobьnomъ|надобьном nadobьny|надобьны nadobьnoma|надобьнома nadobьněxъ|надобьнех nadobьne|надобьне nadobьnъmь|надобьномь nadobьně|надобьне nadobьnu|надобьну nadobьni|надобьни nadobьna|надобьна nadobьnъ|надобен 
vьsě|вьсе vьsa|вьса vьsami|вьсами vьsaxъ|вьсах vьsamъ|вьсам vьsьxъ|вьсех vьs~u|вьс~у vьsьmъ|вьсем vьsьmi|весьми vьsьjь|вьсей vьsьma|весьма vьsьju|весью vьsьju|весью vьsi|вьси vьsь|весь 
morozъmь|морозомь 
sytъmь|сытомь 
sujetьnovъ|суетьнов sujetьnaxъ|суетьнах sujetьnamъ|суетьнам sujetьnama|суетьнама sujetьnoju|суетьною sujetьno|суетьно sujetьnu|суетьну sujetьněxъ|суетьнех sujetьnomъ|суетьном sujetьnami|суетьнами sujetьnoma|суетьнома sujetьny|суетьны sujetьni|суетьни sujetьne|суетьне sujetьnъmь|суетьномь sujetьně|суетьне sujetьnu|суетьну sujetьna|суетьна sujetьnъ|суетен 
dosaženьjaxъ|досаженьях dosaženьjami|досаженьями dosaženьjamъ|досаженьям dosaženьjemъ|досаженьем dosaženьjь|досаженей dosaženьjema|досаженьема dosaženьjixъ|досаженьих dosaženьjemь|досаженьемь dosaženьji|досаженьи dosaženьjě|досаженье dosaženьju|досаженью dosaženьja|досаженья dosaženьje|досаженье 
gṛlъmь|горломь 
vъzduxamъ|вздухам vъzduxovъ|вздухов vъzduxovi|вздухови vъzduxomъ|вздухом vъzduśěxъ|вздусьех vъzduxy|вздухы vъzduśi|вздусьи vъzduxoma|вздухома vъzduxami|вздухами vъzduxaxъ|вздухах vъzduše|вздуше vъzduxъmь|вздухомь vъzduśě|вздусье vъzduxu|вздуху vъzduxa|вздуха vъzduxъ|вздух 
ubьjikъ|убьик ubьjiko|убьико ubьjikoju|убьикою ubьjicě|убьице ubьjiky|убьикы ubьjicami|убьицами ubьjicaxъ|убьицах ubьjicь|убьиц ubьjicama|убьицама ubьjica|убьица ubьjicu|убьицу ubьjice|убьице ubьjiceju|убьицею ubьjici|убьици ubьjicu|убьицу ubьjicamъ|убьицам ubьjicě|убьице ubьjica|убьица 
nesъmyslьnovъ|несмысльнов nesъmyslьnami|несмысльнами nesъmyslьnaxъ|несмысльнах nesъmyslьnamъ|несмысльнам nesъmyslьnama|несмысльнама nesъmyslьno|несмысльно nesъmyslьnoju|несмысльною nesъmyslьnu|несмысльну nesъmyslьnoma|несмысльнома nesъmyslьne|несмысльне nesъmyslьnomъ|несмысльном nesъmyslьni|несмысльни nesъmyslьnъmь|несмысльномь nesъmyslьny|несмысльны nesъmyslьně|несмысльне nesъmyslьněxъ|несмысльнех nesъmyslьnu|несмысльну nesъmyslьna|несмысльна nesъmyslьnъ|несмыслен 
němъmь|немомь 
sväštenьjaxъ|священьях sväštenьjamъ|священьям sväštenьjixъ|священьих sväštenьjemъ|священьем sväštenьjь|священей sväštenьjema|священьема sväštenьjě|священье sväštenьji|священьи sväštenьju|священью sväštenьja|священья sväštenьjami|священьями sväštenьjemь|священьемь sväštenьje|священье 
lъžьnami|ложнами lъžьnamъ|ложнам lъžьnoju|ложною lъžьněxъ|ложнех lъžьnama|ложнама lъžьny|ложны lъžьnovъ|ложнов lъžьnoma|ложнома lъžьnaxъ|ложнах lъžьne|ложне lъžьnъmь|ложномь lъžьno|ложно lъžьnomъ|ложном lъžьni|ложни lъžьnu|ложну lъžьnu|ложну lъžьna|ложна lъžьně|ложне lъžьnъ|лжен 
rьvьniteĺemъ|ревьнителем rьvьnitelъ|ревьнител rьvьnitely|ревьнителы rьvьniteĺě|ревьнителье rьvьniteĺe|ревьнителе rьvьniteĺemь|ревьнителемь rьvьniteĺi|ревьнительи rьvьniteĺixъ|ревьнительих rьvьniteĺu|ревьнителю rьvьniteĺa|ревьнителя rьvьniteĺema|ревьнителема rьvьniteĺь|ревьнитель 
sъtьskovъ|сотьсков sъtьskamъ|сотьскам sъtьskama|сотьскама sъtьsko|сотьско sъtьskoju|сотьскою sъtьsku|сотьску sъtьscěxъ|сотьсцех sъtьskomъ|сотьском sъtьsky|сотьскы sъtьsci|сотьсци sъtьšče|сотьще sъtьskъmь|сотьскомь sъtьskami|сотьсками sъtьscě|сотьсце sъtьsku|сотьску sъtьskoma|сотьскома sъtьska|сотьска sъtьskaxъ|сотьсках sъtьskъ|стеск 
pisьmeně|письмене pisьmenьxъ|письменех pisьmeny|письмены pisьmenьmъ|письменем pisьmenъ|письмен pisьmena|письмена pisьmenьma|письменьма pisьmenu|письмену pisьmenьmь|письменемь pisьmeni|письмени pisьmene|письмене pisьmä|письмя 
vьśemilostivovъ|вьсьемилостивов vьśemilostivami|вьсьемилостивами vьśemilostivaxъ|вьсьемилостивах vьśemilostivamъ|вьсьемилостивам vьśemilostivama|вьсьемилостивама vьśemilostivu|вьсьемилостиву vьśemilostivěxъ|вьсьемилостивех vьśemilostivomъ|вьсьемилостивом vьśemilostivy|вьсьемилостивы vьśemilostivo|вьсьемилостиво vьśemilostivi|вьсьемилостиви vьśemilostivoju|вьсьемилостивою vьśemilostive|вьсьемилостиве vьśemilostivъmь|вьсьемилостивомь vьśemilostivě|вьсьемилостиве vьśemilostivu|вьсьемилостиву vьśemilostiva|вьсьемилостива vьśemilostivoma|вьсьемилостивома vьśemilostivъ|вьсьемилостив 
samodṝžьcěxъ|самодержцех samodṝžьkomъ|самодержком samodṝžьky|самодержкы samodṝžьkoma|самодержкома samodṝžьcě|самодержце samodṝžьkъ|самодержек samodṝžьcemъ|самодержцем samodṝžьkomь|самодержкомь samodṝžьcě|самодержце samodṝžьcema|самодержцема samodṝžьče|самодержче samodṝžьcemь|самодержцемь samodṝžьcixъ|самодержцих samodṝžьci|самодержци samodṝžьku|самодержку samodṝžьka|самодержка samodṝžьcь|самодержец 
prěčudьnaxъ|пречудьнах prěčudьnami|пречудьнами prěčudьnamъ|пречудьнам prěčudьnama|пречудьнама prěčudьno|пречудьно prěčudьnoju|пречудьною prěčudьnu|пречудьну prěčudьněxъ|пречудьнех prěčudьnomъ|пречудьном prěčudьny|пречудьны prěčudьni|пречудьни prěčudьne|пречудьне prěčudьnъmь|пречудьномь prěčudьně|пречудьне prěčudьnovъ|пречудьнов prěčudьnu|пречудьну prěčudьna|пречудьна prěčudьnoma|пречудьнома prěčudьnъ|пречуден 
obъnovĺenьjami|обновленьями obъnovĺenьjaxъ|обновленьях obъnovĺenьjamъ|обновленьям obъnovĺenьjě|обновленье obъnovĺenьjixъ|обновленьих obъnovĺenьjemъ|обновленьем obъnovĺenьjema|обновленьема obъnovĺenьji|обновленьи obъnovĺenьjemь|обновленьемь obъnovĺenьju|обновленью obъnovĺenьjь|обновленей obъnovĺenьja|обновленья obъnovĺenьje|обновленье 
stěnobitьnovъ|стенобитьнов stěnobitьnami|стенобитьнами stěnobitьnaxъ|стенобитьнах stěnobitьnamъ|стенобитьнам stěnobitьno|стенобитьно stěnobitьnoju|стенобитьною stěnobitьněxъ|стенобитьнех stěnobitьnomъ|стенобитьном stěnobitьnu|стенобитьну stěnobitьne|стенобитьне stěnobitьny|стенобитьны stěnobitьně|стенобитьне stěnobitьnu|стенобитьну stěnobitьni|стенобитьни stěnobitьna|стенобитьна stěnobitьnama|стенобитьнама stěnobitьnoma|стенобитьнома stěnobitьnъmь|стенобитьномь stěnobitьnъ|стенобитен 
stanъmь|станомь 
blagorodьnovъ|благородьнов blagorodьnami|благородьнами blagorodьnaxъ|благородьнах blagorodьnama|благородьнама blagorodьno|благородьно blagorodьnu|благородьну blagorodьnomъ|благородьном blagorodьněxъ|благородьнех blagorodьny|благородьны blagorodьnamъ|благородьнам blagorodьnoma|благородьнома blagorodьnъmь|благородьномь blagorodьni|благородьни blagorodьně|благородьне blagorodьnu|благородьну blagorodьnoju|благородьною blagorodьne|благородьне blagorodьna|благородьна blagorodьnъ|благороден 
jьskusьnovъ|искусьнов jьskusьnaxъ|искусьнах jьskusьnami|искусьнами jьskusьnamъ|искусьнам jьskusьnama|искусьнама jьskusьnu|искусьну jьskusьněxъ|искусьнех jьskusьnomъ|искусьном jьskusьny|искусьны jьskusьnoju|искусьною jьskusьnoma|искусьнома jьskusьni|искусьни jьskusьne|искусьне jьskusьno|искусьно jьskusьnъmь|искусьномь jьskusьně|искусьне jьskusьnu|искусьну jьskusьna|искусьна jьskusьnъ|искусен 
žiteĺьstvaxъ|жительствах žiteĺьstvamъ|жительствам žiteĺьstvěxъ|жительствех žiteĺьstvomъ|жительством žiteĺьstvъ|жителеств žiteĺьstvoma|жительствома žiteĺьstvami|жительствами žiteĺьstvъmь|жительствомь žiteĺьstvy|жительствы žiteĺьstvě|жительстве žiteĺьstvu|жительству žiteĺьstvovъ|жительствов žiteĺьstva|жительства žiteĺьstvo|жительство 
neliceměrьnaxъ|нелицемерьнах neliceměrьnamъ|нелицемерьнам neliceměrьnovъ|нелицемерьнов neliceměrьnoju|нелицемерьною neliceměrьněxъ|нелицемерьнех neliceměrьnomъ|нелицемерьном neliceměrьnami|нелицемерьнами neliceměrьni|нелицемерьни neliceměrьny|нелицемерьны neliceměrьnoma|нелицемерьнома neliceměrьne|нелицемерьне neliceměrьnъmь|нелицемерьномь neliceměrьně|нелицемерьне neliceměrьnu|нелицемерьну neliceměrьnama|нелицемерьнама neliceměrьno|нелицемерьно neliceměrьnu|нелицемерьну neliceměrьna|нелицемерьна neliceměrьnъ|нелицемерен 
bьrakamъ|бьракам bьrakovъ|бьраков bьrakovi|бьракови bьrakami|бьраками bьraky|бьракы bьrakoma|бьракома bьrakaxъ|бьраках bьrače|бьраче bьrakomъ|бьраком bьrakъmь|бьракомь bьracě|бьраце bьraku|бьраку bьracěxъ|бьрацех bьraci|бьраци bьraka|бьрака bьrakъ|бьрак 
pustošьnovъ|пустошнов pustošьnami|пустошнами pustošьnaxъ|пустошнах pustošьnamъ|пустошнам pustošьno|пустошно pustošьnoju|пустошною pustošьnama|пустошнама pustošьněxъ|пустошнех pustošьny|пустошны pustošьni|пустошни pustošьnoma|пустошнома pustošьne|пустошне pustošьnъmь|пустошномь pustošьnu|пустошну pustošьně|пустошне pustošьnu|пустошну pustošьna|пустошна pustošьnomъ|пустошном pustošьnъ|пустошен 
blagouxanьjami|благоуханьями blagouxanьjaxъ|благоуханьях blagouxanьjamъ|благоуханьям blagouxanьjě|благоуханье blagouxanьjixъ|благоуханьих blagouxanьjemъ|благоуханьем blagouxanьjь|благоуханей blagouxanьjema|благоуханьема blagouxanьjemь|благоуханьемь blagouxanьji|благоуханьи blagouxanьju|благоуханью blagouxanьja|благоуханья blagouxanьje|благоуханье 
žьzlaxъ|жзлах žьzlamъ|жзлам žьzlovi|жзлови žьzlěxъ|жзлех žьzlovъ|жзлов žьzly|жзлы žьzli|жзли žьzle|жзле žьzlami|жзлами žьzloma|жзлома žьzlъmь|жзломь žьzlě|жзле žьzlomъ|жзлом žьzlu|жзлу žьzla|жзла žьzlъ|жезл 
poslušьlivami|послушливами poslušьlivaxъ|послушливах poslušьlivamъ|послушливам poslušьlivo|послушливо poslušьlivoju|послушливою poslušьlivovъ|послушливов poslušьlivu|послушливу poslušьlivěxъ|послушливех poslušьlivy|послушливы poslušьlivama|послушливама poslušьlivi|послушливи poslušьlivoma|послушливома poslušьlivomъ|послушливом poslušьlivъmь|послушливомь poslušьlivě|послушливе poslušьlivu|послушливу poslušьlive|послушливе poslušьliva|послушлива poslušьlivъ|послушлив 
vražьdamъ|враждам vražьdami|враждами vražьdъ|вражед vražьdama|враждама vražьdu|вражду vražьdo|враждо vražьdě|вражде vražьdy|вражды vražьdaxъ|враждах vražьdu|вражду vražьdoju|враждою vražьda|вражда 
pokorьnami|покорьнами pokorьnaxъ|покорьнах pokorьnamъ|покорьнам pokorьnoju|покорьною pokorьnu|покорьну pokorьněxъ|покорьнех pokorьnomъ|покорьном pokorьny|покорьны pokorьni|покорьни pokorьno|покорьно pokorьnъmь|покорьномь pokorьnama|покорьнама pokorьně|покорьне pokorьne|покорьне pokorьnu|покорьну pokorьna|покорьна pokorьnovъ|покорьнов pokorьnoma|покорьнома pokorьnъ|покорен 
domovьnaxъ|домовьнах domovьnamъ|домовьнам domovьnama|домовьнама domovьno|домовьно domovьnoju|домовьною domovьnu|домовьну domovьnomъ|домовьном domovьněxъ|домовьнех domovьny|домовьны domovьnovъ|домовьнов domovьni|домовьни domovьne|домовьне domovьnъmь|домовьномь domovьnami|домовьнами domovьně|домовьне domovьnu|домовьну domovьna|домовьна domovьnoma|домовьнома domovьnъ|домовен 
ugodьjami|угодьями ugodьjamъ|угодьям ugodьjь|угодей ugodьjema|угодьема ugodьjemь|угодьемь ugodьjemъ|угодьем ugodьji|угодьи ugodьjaxъ|угодьях ugodьju|угодью ugodьjě|угодье ugodьja|угодья ugodьjixъ|угодьих ugodьje|угодье 
dъnaxъ|днах dъnamъ|днам dъny|дны dъnomъ|дном dъnъ|дон dъnoma|днома dъnami|днами dъnovъ|днов dъněxъ|днех dъnъmь|дномь dъně|дне dъnu|дну dъna|дна dъno|дно 
povaŕenъmь|повареномь 
kupьčinami|купьчинами kupьčinaxъ|купьчинах kupьčinъ|купьчин kupьčinama|купьчинама kupьčinu|купьчину kupьčino|купьчино kupьčinoju|купьчиною kupьčinamъ|купьчинам kupьčině|купьчине kupьčiny|купьчины kupьčinu|купьчину kupьčina|купьчина 
tṛgovъmь|торговомь 
utъkami|утками utъkaxъ|утках utъkama|уткама utъku|утку utъkъ|уток utъko|утко utъkamъ|уткам utъkoju|уткою utъcě|утце utъky|уткы utъku|утку utъka|утка 
zamoŕьjami|заморьями zamoŕьjaxъ|заморьях zamoŕьjamъ|заморьям zamoŕьjě|заморье zamoŕьjixъ|заморьих zamoŕьjь|заморей zamoŕьjema|заморьема zamoŕьjemь|заморьемь zamoŕьji|заморьи zamoŕьju|заморью zamoŕьja|заморья zamoŕьjemъ|заморьем zamoŕьje|заморье 
golubьmi|голубьми golubьxъ|голубех golubьmъ|голубем golubьjь|голубей golubьje|голубье golubьma|голубьма golubьju|голубью golubьmь|голубемь 
vorobьjamъ|воробьям vorobьjaxъ|воробьях vorobьjьjъ|воробьей vorobьjě|воробье vorobьjixъ|воробьих vorobьjemъ|воробьем vorobьjě|воробье vorobьjema|воробьема vorobьjemь|воробьемь vorobьji|воробьи vorobьju|воробью vorobьja|воробья vorobьjami|воробьями vorobьjь|воробей 
pečeněžьskovъ|печенежсков pečeněžьskami|печенежсками pečeněžьskaxъ|печенежсках pečeněžьskamъ|печенежскам pečeněžьskama|печенежскама pečeněžьsko|печенежско pečeněžьskoju|печенежскою pečeněžьsku|печенежску pečeněžьscěxъ|печенежсцех pečeněžьsky|печенежскы pečeněžьsci|печенежсци pečeněžьskoma|печенежскома pečeněžьšče|печенежще pečeněžьskъmь|печенежскомь pečeněžьscě|печенежсце pečeněžьskomъ|печенежском pečeněžьsku|печенежску pečeněžьska|печенежска pečeněžьskъ|печенежеск 
goŕьšami|горьшами goŕьšaxъ|горьшах goŕьšama|горьшама goŕьša|горьша goŕьšeju|горьшею goŕьšu|горьшу goŕьšemъ|горьшем goŕьšь|гореш goŕьšě|горьше goŕьšamъ|горьшам goŕьše|горьше goŕьšema|горьшема goŕьšemь|горьшемь goŕьši|горьши goŕьšixъ|горьших goŕьšu|горьшу goŕьša|горьша 
zavětъmь|заветомь 
simonъmь|симономь 
okъnьky|оконькы okъnьcěxъ|оконьцех okъnьkomъ|оконьком okъnьkъ|окнек okъnьcě|оконьце okъnьcixъ|оконьцих okъnьkomь|оконькомь okъnьcemъ|оконьцем okъnьcь|окнец okъnьcema|оконьцема okъnьkoma|оконькома okъnьcemь|оконьцемь okъnьcu|оконьцу okъnьko|оконько okъnьci|оконьци okъnьca|оконьца okъnьce|оконьце 
samovidьkomъ|самовидьком samovidьky|самовидькы samovidьkoma|самовидькома samovidьkomь|самовидькомь samovidьkъ|самовидек samovidьcixъ|самовидьцих samovidьcemъ|самовидьцем samovidьcema|самовидьцема samovidьče|самовидьче samovidьcě|самовидьце samovidьcemь|самовидьцемь samovidьci|самовидьци samovidьcu|самовидьцу samovidьcěxъ|самовидьцех samovidьcě|самовидьце samovidьca|самовидьца samovidьcь|самовидец 
čьsože|чсоже čimьže|чимьже čemьže|чемьже čьtože|чтоже 
javĺenьjami|явленьями javĺenьjaxъ|явленьях javĺenьjamъ|явленьям javĺenьjě|явленье javĺenьjixъ|явленьих javĺenьjemъ|явленьем javĺenьjь|явленей javĺenьjema|явленьема javĺenьjemь|явленьемь javĺenьji|явленьи javĺenьja|явленья javĺenьju|явленью javĺenьje|явленье 
postavĺenьjami|поставленьями postavĺenьjamъ|поставленьям postavĺenьjaxъ|поставленьях postavĺenьjě|поставленье postavĺenьjemъ|поставленьем postavĺenьjixъ|поставленьих postavĺenьjь|поставленей postavĺenьjemь|поставленьемь postavĺenьjema|поставленьема postavĺenьji|поставленьи postavĺenьju|поставленью postavĺenьja|поставленья postavĺenьje|поставленье 
kotьlьnikami|котельниками kotьlьnikaxъ|котельниках kotьlьnikamъ|котельникам kotьlьnikovъ|котельников kotьlьnicěxъ|котельницех kotьlьnikomъ|котельником kotьlьniky|котельникы kotьlьnici|котельници kotьlьnikoma|котельникома kotьlьniče|котельниче kotьlьnikovi|котельникови kotьlьnikъmь|котельникомь kotьlьnicě|котельнице kotьlьniku|котельнику kotьlьnika|котельника kotьlьnikъ|котельник 
bogonosьnami|богоносьнами bogonosьnaxъ|богоносьнах bogonosьnamъ|богоносьнам bogonosьnama|богоносьнама bogonosьno|богоносьно bogonosьnoju|богоносьною bogonosьnovъ|богоносьнов bogonosьnu|богоносьну bogonosьnomъ|богоносьном bogonosьny|богоносьны bogonosьněxъ|богоносьнех bogonosьni|богоносьни bogonosьnoma|богоносьнома bogonosьne|богоносьне bogonosьnъmь|богоносьномь bogonosьně|богоносьне bogonosьnu|богоносьну bogonosьna|богоносьна bogonosьnъ|богоносен 
vъspominanьjami|вспоминаньями vъspominanьjě|вспоминанье vъspominanьjixъ|вспоминаньих vъspominanьjemъ|вспоминаньем vъspominanьjaxъ|вспоминаньях vъspominanьjamъ|вспоминаньям vъspominanьjь|вспоминаней vъspominanьjema|вспоминаньема vъspominanьjemь|вспоминаньемь vъspominanьji|вспоминаньи vъspominanьju|вспоминанью vъspominanьja|вспоминанья vъspominanьje|вспоминанье 
ikonomъmь|икономомь 
blädьmi|блядьми blädьmъ|блядем blädьjь|блядей blädьxъ|блядех blädьma|блядьма blädьju|блядью blädьju|блядью 
širinъkami|ширинками širinъkaxъ|ширинках širinъkamъ|ширинкам širinъkъ|ширинок širinъkama|ширинкама širinъku|ширинку širinъko|ширинко širinъcě|ширинце širinъkoju|ширинкою širinъky|ширинкы širinъku|ширинку širinъka|ширинка 
skoromьnaxъ|скоромьнах skoromьnovъ|скоромьнов skoromьnami|скоромьнами skoromьnamъ|скоромьнам skoromьnama|скоромьнама skoromьno|скоромьно skoromьnoju|скоромьною skoromьnu|скоромьну skoromьněxъ|скоромьнех skoromьnomъ|скоромьном skoromьny|скоромьны skoromьnoma|скоромьнома skoromьne|скоромьне skoromьni|скоромьни skoromьnъmь|скоромьномь skoromьně|скоромьне skoromьnu|скоромьну skoromьna|скоромьна skoromьnъ|скоромен 
pъčьkami|почками pъčьkaxъ|почках pъčьkamъ|почкам pъčьkъ|пчек pъčьku|почку pъčьko|почко pъčьkama|почкама pъčьkoju|почкою pъčьcě|почце pъčьky|почкы pъčьku|почку pъčьka|почка 
počьkami|почками počьkaxъ|почках počьkama|почкама počьku|почку počьkoju|почкою počьkъ|почек počьko|почко počьcě|почце počьkamъ|почкам počьky|почкы počьku|почку počьka|почка 
šapъkami|шапками šapъkaxъ|шапках šapъkъ|шапок šapъkama|шапкама šapъku|шапку šapъkoju|шапкою šapъkamъ|шапкам šapъcě|шапце šapъky|шапкы šapъku|шапку šapъko|шапко šapъka|шапка 
obilьnovъ|обильнов obilьnami|обильнами obilьnaxъ|обильнах obilьnama|обильнама obilьno|обильно obilьnoju|обильною obilьnu|обильну obilьněxъ|обильнех obilьnomъ|обильном obilьny|обильны obilьni|обильни obilьnoma|обильнома obilьnamъ|обильнам obilьne|обильне obilьnъmь|обильномь obilьně|обильне obilьnu|обильну obilьna|обильна obilьnъ|обилен 
suštьstvami|сущствами suštьstvamъ|сущствам suštьstvovъ|сущствов suštьstvěxъ|сущствех suštьstvaxъ|сущствах suštьstvomъ|сущством suštьstvъ|существ suštьstvoma|сущствома suštьstvъmь|сущствомь suštьstvě|сущстве suštьstvu|сущству suštьstva|сущства suštьstvy|сущствы suštьstvo|сущство 
mṝzъkovъ|мерзков mṝzъkaxъ|мерзках mṝzъkami|мерзками mṝzъkama|мерзкама mṝzъko|мерзко mṝzъkoju|мерзкою mṝzъkamъ|мерзкам mṝzъku|мерзку mṝzъkomъ|мерзком mṝzъky|мерзкы mṝzъci|мерзци mṝzъkъmь|мерзкомь mṝzъcěxъ|мерзцех mṝzъcě|мерзце mṝzъkoma|мерзкома mṝzъku|мерзку mṝzъka|мерзка mṝzъče|мерзче mṝzъkъ|мерзок 
blagostьmi|благостьми blagostьxъ|благостех blagostьmъ|благостем blagostьjь|благостей blagostьma|благостьма blagostьju|благостью blagostьju|благостью 
prostranьnovъ|пространьнов prostranьnami|пространьнами prostranьnamъ|пространьнам prostranьno|пространьно prostranьnu|пространьну prostranьněxъ|пространьнех prostranьnomъ|пространьном prostranьny|пространьны prostranьnama|пространьнама prostranьni|пространьни prostranьnoju|пространьною prostranьnoma|пространьнома prostranьne|пространьне prostranьnaxъ|пространьнах prostranьnъmь|пространьномь prostranьně|пространьне prostranьnu|пространьну prostranьna|пространьна prostranьnъ|пространен 
vьrača|вьрача vьračьxъ|вьрачех vьračema|вьрачема vьračьmъ|вьрачем vьračevъ|вьрачев vьračьmi|вьрачми vьračě|вьраче vьračeve|вьрачеве vьračixъ|вьрачих vьračьma|вьрачма vьračevu|вьрачеву vьrači|вьрачи vьračьmь|вьрачемь vьračevi|вьрачеви vьraču|вьрачу vьračь|вьрач 
sudьbami|судьбами sudьbaxъ|судьбах sudьbamъ|судьбам sudьbъ|судеб sudьbama|судьбама sudьbu|судьбу sudьbo|судьбо sudьboju|судьбою sudьbě|судьбе sudьby|судьбы sudьbu|судьбу sudьba|судьба 
