jьz|из 
cṝkъvami|церквами cṝkъvaxъ|церквах cṝkъvamъ|церквам cṝkъvьju|церковью cṝkъvьxъ|церквех cṝkъvьmъ|церквем cṝkъvъ|церков cṝkъvьma|церковьма cṝkъvьju|церковью cṝkъvu|церкву cṝkъvi|церкви cṝkъvьmi|церковьми cṝkъve|церкве cṝkъvь|церковь 
synъxъ|сынох synъmъ|сыном synъma|сынма synъmi|сынми synъmь|сыномь 
gradъmь|градомь 
bratrъmь|братромь 
gospodьmi|господьми gospodьxъ|господех gospodьma|господьма gospodьju|господью gospodьmъ|господем gospodьmь|господемь gospodьjь|господей gospodьje|господье 
jьně|ине jьnoju|иною jьnojь|иной jьnojě|иное jьnu|ину jьněmi|инеми jьněmъ|инем jьni|ини jьněma|инема jьnoju|иною jьny|ины jьněmь|инемь jьno|ино jьnomь|иномь jьnomu|иному jьněxъ|инех jьnogo|иного jьna|ина jьnъ|ин 
bratrьjami|братрьями bratrьjь|братрей bratrьjama|братрьяма bratrьju|братрью bratrьje|братрье bratrьjaxъ|братрьях bratrьjeju|братрьею bratrьji|братрьи bratrьjě|братрье bratrьjě|братрье bratrьjamъ|братрьям bratrьju|братрью bratrьja|братрья 
božьjami|божьями božьjě|божье božьjaxъ|божьях božьjamъ|божьям božьjama|божьяма božьje|божье božьjeju|божьею božьju|божью božьjixъ|божьих božьjemъ|божьем božьjě|божье božьjema|божьема božьjemь|божьемь božьji|божьи božьju|божью božьja|божья božьjь|божей 
mužьxъ|мужех mužьmъ|мужем mužьma|мужма mužьmь|мужемь mužьmi|мужми 
městъmь|местомь 
dъvo|дво dъvoju|двою dъvojь|двой dъvě|две dъvojě|двое dъvěmi|двеми dъvěmъ|двем dъvěxъ|двех dъvy|двы dъvi|дви dъvěma|двема dъvoju|двою dъva|два dъvomь|двомь dъvu|дву dъvogo|двого dъvěmь|двемь dъvomu|двому dъvъ|дов 
novъgorodami|новгородами novъgorodovъ|новгородов novъgoroděxъ|новгородех novъgorodomъ|новгородом novъgorody|новгороды novъgorodi|новгороди novъgorodovi|новгородови novъgorodoma|новгородома novъgorode|новгороде novъgorodъmь|новгородомь novъgorodu|новгороду novъgorodaxъ|новгородах novъgorodamъ|новгородам novъgoroda|новгорода novъgorodě|новгороде novъgorodъ|новгород 
čelověkamъ|человекам čelověcěxъ|человецех čelověkovъ|человеков čelověkomъ|человеком čelověkaxъ|человеках čelověci|человеци čelověkami|человеками čelověkovi|человекови čelověkoma|человекома čelověky|человекы čelověkъmь|человекомь čelověcě|человеце čelověče|человече čelověka|человека čelověku|человеку čelověkъ|человек 
kyjevъmь|кыевомь 
gorodъmь|городомь 
trьmi|трьми trьmъ|трем trьje|трье trьma|трьма trьxъ|трех trьju|трью trьjь|трей trьmь|тремь trьju|трью 
novъgorodьcěxъ|новгородьцех novъgorodьkomь|новгородькомь novъgorodьky|новгородькы novъgorodьcě|новгородьце novъgorodьkъ|новгородек novъgorodьcixъ|новгородьцих novъgorodьcemъ|новгородьцем novъgorodьcema|новгородьцема novъgorodьče|новгородьче novъgorodьkomъ|новгородьком novъgorodьcemь|новгородьцемь novъgorodьci|новгородьци novъgorodьcu|новгородьцу novъgorodьkoma|новгородькома novъgorodьca|новгородьца novъgorodьcě|новгородьце novъgorodьcь|новгородец 
mьstislavami|мьстиславами mьstislavovi|мьстиславови mьstislavamъ|мьстиславам mьstislavěxъ|мьстиславех mьstislavomъ|мьстиславом mьstislavaxъ|мьстиславах mьstislavy|мьстиславы mьstislavi|мьстислави mьstislavovъ|мьстиславов mьstislavoma|мьстиславома mьstislave|мьстиславе mьstislavъmь|мьстиславомь mьstislavě|мьстиславе mьstislavu|мьстиславу mьstislava|мьстислава mьstislavъ|мьстислав 
rusьskovъ|русьсков rusьskamъ|русьскам rusьskama|русьскама rusьsko|русьско rusьscěxъ|русьсцех rusьsky|русьскы rusьsci|русьсци rusьskami|русьсками rusьskoju|русьскою rusьskoma|русьскома rusьšče|русьще rusьskomъ|русьском rusьskъmь|русьскомь rusьsku|русьску rusьscě|русьсце rusьsku|русьску rusьska|русьска rusьskaxъ|русьсках rusьskъ|русеск 
dobrъmь|добромь 
jьzäslavami|изяславами jьzäslavaxъ|изяславах jьzäslavamъ|изяславам jьzäslavovъ|изяславов jьzäslavovi|изяславови jьzäslavěxъ|изяславех jьzäslavomъ|изяславом jьzäslavy|изяславы jьzäslavoma|изяславома jьzäslave|изяславе jьzäslavi|изяслави jьzäslavъmь|изяславомь jьzäslavě|изяславе jьzäslavu|изяславу jьzäslava|изяслава jьzäslavъ|изяслав 
čьso|чсо čьto|что 
blaženъmь|блаженомь 
kъto|кто 
vrěmenьmъ|временем vrěmenьma|временьма vrěmenьxъ|временех vrěmenьmь|временемь 
mirъmь|миромь 
vьśevolodaxъ|вьсьеволодах vьśevolodamъ|вьсьеволодам vьśevolodovъ|вьсьеволодов vьśevolodovi|вьсьеволодови vьśevoloděxъ|вьсьеволодех vьśevolodomъ|вьсьеволодом vьśevolody|вьсьеволоды vьśevolodi|вьсьеволоди vьśevolodoma|вьсьеволодома vьśevolode|вьсьеволоде vьśevolodъmь|вьсьеволодомь vьśevolodě|вьсьеволоде vьśevolodu|вьсьеволоду vьśevolodami|вьсьеволодами vьśevoloda|вьсьеволода vьśevolodъ|вьсьеволод 
jaroslavъmь|ярославомь 
slovesьxъ|словесех slovesьmъ|словесем slovesьma|словесьма slovesьmь|словесемь 
dělesьxъ|делесех dělesьmь|делесемь dělesьmъ|делесем dělesьma|делесьма 
manastyŕьjъ|манастырей 
jьmeny|имены jьmenьxъ|именех jьmeně|имене jьmenъ|имен jьmena|имена jьmenьma|именьма jьmenu|имену jьmenьmь|именемь jьmeni|имени jьmenьmъ|именем jьmene|имене jьmä|имя 
čьso|чсо čьto|что 
malъmь|маломь 
svätopḷkъmь|святополкомь 
svätoslavъmь|святославомь 
dětätьma|детятьма dětätьmь|детятемь dětätьxъ|детятех dětätьmъ|детятем 
drugъmь|другомь 
dvorъmь|дворомь 
materьju|матерью materьmi|матерьми materьma|матерьма materьxъ|матерех materьju|матерью materьmъ|матерем 
davydъxъ|давыдох davydъma|давыдма davydъmi|давыдми 
rusьmi|русьми rusьxъ|русех rusьmъ|русем rusьjь|русей rusьma|русьма rusьju|русью rusьju|русью 
gosudaŕьjъ|государей 
takovъmь|таковомь 
igumenъmь|игуменомь 
grěxъmь|грехомь 
domъxъ|домох domъmi|домми domъma|домма domъmь|домомь domъmъ|домом 
sṝdьkomъ|сердьком sṝdьkъ|сердек sṝdьkoma|сердькома sṝdьkomь|сердькомь sṝdьcixъ|сердьцих sṝdьcěxъ|сердьцех sṝdьcemъ|сердьцем sṝdьko|сердько sṝdьcь|сердец sṝdьky|сердькы sṝdьcě|сердьце sṝdьcemь|сердьцемь sṝdьci|сердьци sṝdьcu|сердьцу sṝdьca|сердьца sṝdьcema|сердьцема sṝdьce|сердьце 
feodosьjamъ|феодосьям feodosьjьjъ|феодосьей feodosьjixъ|феодосьих feodosьjemъ|феодосьем feodosьjě|феодосье feodosьjami|феодосьями feodosьjema|феодосьема feodosьjemь|феодосьемь feodosьji|феодосьи feodosьjě|феодосье feodosьju|феодосью feodosьjaxъ|феодосьях feodosьja|феодосья feodosьjь|феодосей 
końьjъ|коней 
četyrьmi|четырьми četyrьxъ|четырех četyrьmъ|четырем 
pätьmi|пятьми pätьmъ|пятем pätьjь|пятей pätьxъ|пятех pätьma|пятьма pätьju|пятью pätьju|пятью 
xristosъmь|христосомь 
žitьjamъ|житьям žitьjixъ|житьих žitьjь|житей žitьjema|житьема žitьjemъ|житьем žitьjemь|житьемь žitьji|житьи žitьjaxъ|житьях žitьju|житью žitьjě|житье žitьja|житья žitьjami|житьями žitьje|житье 
jazykъmь|языкомь 
grivьnami|гривьнами grivьnaxъ|гривьнах grivьnamъ|гривьнам grivьnъ|гривен grivьnama|гривьнама grivьnu|гривьну grivьno|гривьно grivьně|гривьне grivьny|гривьны grivьnoju|гривьною grivьnu|гривьну grivьna|гривьна 
noštьmi|нощми noštьxъ|нощех noštьjь|нощей noštьma|нощма noštьju|нощю noštьju|нощю noštьmъ|нощем 
tělesьxъ|телесех tělesьmъ|телесем tělesьmь|телесемь tělesьma|телесьма 
jepiskopъmь|епископомь 
duxъmь|духомь 
jaropḷkъmь|ярополкомь 
světъmь|светомь 
