пакꙑ|58860|Df|paky|||||||again, once more; also, as well as; then, after|||||||||||0|||M||KB|S|Ps|
проповѣдати|58868|V-|propovědati|||||||||||||||||54|1|||M|Eu||S||
крьщениѥ|58869|Nb|krьšћenьje||||12||||krьstjenьje|essja 13 p.76 says this was borrowed from the OHG '(или гот.?)' word for Christ (e.g. Otfrid 'Krist'). ||||||||nt_jo|2|||M|||S||
покаꙗниѥ|58870|Nb|pokajǢnьje|||||||||||||||||nt_jo|2|||M|Eu||S||
отъпоущениѥ|58871|Nb|otъpušћenьje|||||||remission, forgiveness|otъpustjenьje|||||||||nt_jo|2|||M|||S||
грѣхъ|58872|Nb|grěxъ|||||||||||||||||masc_o|2|||M|Eu|KB|S|Ps|
крьстити|58873|V-|krьstiti||||12|||||essja 13 p.76 says this was borrowed from the OHG '(или гот.?)' word for Christ (e.g. Otfrid 'Krist'). ||||||||40|1|||M|||S||
иоанъ|58874|Ne|ijoanъ||||25||W|||||Ἰωάννης||||||masc_o|2|||M|||S||
поустꙑни|58875|Nb|pustyńi||||||||pustynji|||||||||fem_ji|2|||M|||S|Ps|
власъ|58876|Nb|volsъ|||||||||||||||||masc_o|2|||M|||S|Ps|
облѣщи|58877|V-|obvelћi|||||||to dress, clothe in|obvelkti|||||||obvĺ̥k|obvelk|15|1|||M|||S|Ps|
вельбѫждь|58878|A-|velьbǫђь|||velьblǫђь|12|||camel's|velьbǫdjь|||Goth. ulbandus < Gk. ἐλέφαντος||||||adj_soft|2|||M|||||
поꙗсъ|58879|Nb|pojǢsъ|||||||||||||||||masc_o|2|||M|||S|Ps|
оусниꙗнъ|58880|A-|usnьjǢnъ|||||||leather|||1|||||||adj_hard|2|||M|||||
о|58881|R-|o|||||||||||||1|||||0|||M||KB|S|Ps|
чрѣсла|58882|Nb|čerslo|||||||waist, loins||||||||||nt_o|2|||M|||||
ꙗдь|58883|Nb|jǢdь|||||||food||||||||||fem_i|2|||M|||S|Ps|
акридь|58884|Nb|akridь||||2|||locust||||ἀκρίδας||||||fem_i|2|||M|||||
дивии|58886|A-|divьjь|||||||||Unlike other adjectives in *-ьj- such as *božьj-, this one seems to behave like a normal soft adjective and takes long and short form endings onto the end of its stem, which is *divьj-, for example Psalterium Sinaiticum masc. Nsg. long-form  дивьеї < *divьj-ьjь||||||||adj_soft|2|||M|||S|Ps|
грѧсти|58887|V-|gręsti|||||||||||||||gręd|gręd|11|1|||M|||S|Ps|
крѣпъ|58888|A-|krěpъ|||||||||||||||||adj_hard|2|||M|||S||
слѣдъ|58889|Nb|slědъ|||||||||||||||||masc_o|2|||M|||S||
не бꙑти|58890|V-|nebyti|||||||||||||||||nebyti|1|||M|Eu||S|Ps|
достоинъ|58891|A-|dostojьnъ|||||||||||||||||adj_hard|2|||M|Eu|KB|S||
поклонити|58892|V-|pokloniti|||||||||||||||||40|1|||M|||S|Ps|
раздрѣшити|58893|V-|orzrěšiti|||||||dissolve, undo, untie||||||||||40|1|||M|||S|Ps|
ремень|58894|Nb|remy|||||||||||||||||masc_N|2|||M|||||
чрѣвии|58895|Nb|červьjь|||||||shoe, sandal||||||||||masc_jo|2|||M|||||
витъфагии|58896|Ne|vitъfaǵьji||||25||W|||||Βηθφαγὴ||||||fem_ji|2|||M|||||
къ|58898|R-|kъ|||||||||||||1|||||0|||M|Eu|KB|S|Ps|
гора|58899|Nb|gora|||||||||||||||||fem_a|2|||M|||S|Ps|
елеоньскъ|58900|A-|jeleonьskъ||||2||W|of Olives||||Ἐλαιῶν||||||adj_hard|2|||M|||||
и|58901|Df|i||||||||||||||||||0|||M|Eu|KB|S|Ps|
приближити|58903|V-|približiti|||||||||||||||||40|1|||M|||S|Ps|
иѥроусалимъ|58904|Ne|ijerusalimъ||||25||W|||||Ἱερουσᾱλήμ||||||masc_o|2|||M|||S|Ps|
витаниꙗ|58905|Ne|vitanijǢ||||25||W|||||Βηθανίᾳ||||||fem_ja|2|||M|||S||
вода|58907|Nb|voda|||||||||||||||||fem_a|2|||M|Eu||S|Ps|
тъ|58908|Pd|tъ|||||||||||||||||pron_hard|2|||M||KB|S|Ps|
доухъ|58909|Nb|duxъ|||||||||||||||||masc_o|2|||M|Eu||S|Ps|
свѧтъ|58910|A-|svętъ|||||||||||||||||adj_hard|2|||M|Eu|KB|S|Ps|
оубо|58911|Df|ubo||||||||||||||||||0|||M||KB|S|Ps|
назаретъ|58912|Ne|nazaretъ||||25||W|||||Ναζαρέθ||||||masc_o|2|||M|||||
галилеискъ|58913|A-|galilejьskъ|||galilějьskъ|25||W|||||Γαλιλαίας||||||adj_hard|2|||M|||||
иоръданъ|58914|Ne|ijorъdanъ||||25||W|||||Ἰορδάνης||||||masc_o|2|||M|||S||
дьнь|58915|Nb|dьnь|||||||||||||||||den|2|||M||KB|S|Ps|
прити|58916|V-|prijьti|||||||||||||||||jьti|1|||M|Eu||S|Ps|
исоусъ|58917|Ne|jisusъ|||||||||||||||||masc_o_u|2|||M|Eu|KB|S||
видѣти|58918|V-|viděti|||||||||||||||||viděti|1|||M|Eu||S|Ps|
разводити|58919|V-|orzvoditi|||||||||||||||||40|1|||M|||||
небо|58920|Nb|nebo|||||||||||||||||nt_S|2|||M|||S|Ps|
съходити|58921|V-|sъxoditi|||||||||||||||||40|1|||M|||S|Ps|
ꙗко|58922|Dq|ako||||||||||||||||||0|||M|||S|Ps|
голѫбь|58924|Nb|golǫbь|||||||dove, pigeon||||||||||masc_i|2|||M|||S|Ps|
въсходити|58925|V-|vъsxoditi|||||||||||||||||40|1|||M|||S|Ps|
гласъ|58926|Nb|golsъ|||||||||||||||||masc_o|2|||M|Eu||S|Ps|
