id,lemma,pos,normalised,count,Mst,MstCol,NovMarg,OstrCol,RusPrav,Usp,Varl,bitflag
739,набоиныи,A-,набоіньіі,1,,,,,rusprav,,,16
740,челнъ,Nb,челнъ,1,,,,,rusprav,,,16
741,стругъ,Nb,стругъ,1,,,,,rusprav,,,16
742,перевѣсъ,Nb,перевѣсъ,3,,,,,rusprav,,,16
743,ястребъ,Nb,ꙗстребъ,1,,,,,rusprav,,,16
744,соколъ,Nb,соколъ,1,,,,,rusprav,,,16
745,голубь,Nb,голубь,1,,,,,rusprav,,,16
746,куря,Nb,курꙗ,1,,,,,rusprav,,,16
747,уты,Nb,утьі,1,,,,,rusprav,,,16
748,гусь,Nb,гусь,1,,,,,rusprav,,,16
749,лебедь,Nb,лебедь,1,,,,,rusprav,,,16
750,жеравь,Nb,жеравь,1,,,,,rusprav,,,16
751,сѣно,Nb,сѣно,1,,,,,rusprav,,,16
752,дръва,Nb,дръва,7,,,,,rusprav,usp-sbor,,48
753,возъ,Nb,возъ,11,,,,,rusprav,usp-sbor,,48
754,зажещи,V-,зажещі,2,,,,,rusprav,,,16
755,грабежь,Nb,грабежь,1,,,,,rusprav,,,16
756,домъ,Nb,домъ,42,,,,,rusprav,usp-sbor,,48
757,исплатити,V-,ісплатіті,1,,,,,rusprav,,,16
758,поточити,V-,поточіті,2,,,,,rusprav,usp-sbor,,48
759,пакость,Nb,пакость,10,,,,,rusprav,usp-sbor,,48
760,порѣзати,V-,порѣзаті,2,,,,,rusprav,usp-sbor,,48
761,вылазити,V-,вьілазіті,1,,,,,rusprav,,,16
762,яти,V-,ꙗті,18,,,,,rusprav,usp-sbor,,48
763,рѣчь,Nb,рѣчь,3,,,,,rusprav,,,16
764,емати,V-,ематі,1,,,,,rusprav,,,16
765,обинити,V-,обініті,2,,,,,rusprav,,,16
766,холопии,A-,холопіі,1,,,,,rusprav,,,16
767,желѣзьныи,A-,желѣзьньіі,3,,,,,rusprav,,,16
768,дѣтьскыи,A-,дѣтьскьіі,2,,,,,rusprav,,,16
769,запа,Nb,запа,1,,,,,rusprav,,,16
770,прохожение,Nb,прохоженіе,1,,,,,rusprav,,,16
771,нощьныи,A-,нощьньіі,7,,,,,rusprav,usp-sbor,,48
772,образъ,Nb,образъ,12,,,,,rusprav,usp-sbor,,48
773,ожещи,V-,ожещі,1,,,,,rusprav,,,16
774,яко,Dq,ꙗко,53,,,,,rusprav,usp-sbor,,48
775,умрѣти,V-,умрѣті,19,,,,,rusprav,usp-sbor,,48
776,задьница,Nb,задьніца,11,,,,,rusprav,,,16
777,дъщи,Nb,дъщі,1,,,,,rusprav,,,16
778,дома,Df,дома,2,,,,,rusprav,usp-sbor,,48
779,дружиньнии,A-,дружіньніі,1,,,,,rusprav,,,16
780,бояринъ,Nb,боꙗрінъ,1,,,,,rusprav,,,16
781,дъчи,Nb,дъчі,2,,,,,rusprav,,,16
782,умирати,V-,уміраті,2,,,,,rusprav,usp-sbor,,48
783,раздѣлити,V-,раздѣліті,2,,,,,rusprav,usp-sbor,,48
784,стояти,V-,стоꙗті,15,,,,,rusprav,usp-sbor,,48
785,рядъ,Nb,рꙗдъ,10,,,,,rusprav,usp-sbor,,48
786,сѣсти,V-,сѣсті,27,,,,,rusprav,usp-sbor,,48
787,мужьнии,A-,мужьніі,1,,,,,rusprav,,,16
788,мати,Nb,маті,39,,,,,rusprav,usp-sbor,,48
789,обаче,Df,обаче,22,,,,,rusprav,usp-sbor,,48
790,сестра,Nb,сестра,1,,,,,rusprav,,,16
791,закладати,V-,закладаті,2,,,,,rusprav,,,16
792,городьникъ,Nb,городьнікъ,1,,,,,rusprav,,,16
793,городьня,Nb,городьнꙗ,3,,,,,rusprav,,,16
794,коньчати,V-,коньчаті,3,,,,,rusprav,usp-sbor,,48
795,волога,Nb,волога,1,,,,,rusprav,,,16
796,рыба,Nb,рьіба,3,,,,,rusprav,usp-sbor,,48
797,лукъно,Nb,лукъно,3,,,,,rusprav,,,16
798,донелѣ,G-,донелѣ,1,,,,,rusprav,,,16
799,сърубити,V-,сърубіті,1,,,,,rusprav,,,16
800,одиною,Df,одіною,1,,,,,rusprav,,,16
801,мостьникъ,Nb,мостьнікъ,3,,,,,rusprav,,,16
802,помостити,V-,помостіті,1,,,,,rusprav,,,16
803,мостъ,Nb,мостъ,2,,,,,rusprav,,,16
804,локъть,Nb,локъть,1,,,,,rusprav,,,16
805,починити,V-,почініті,2,,,,,rusprav,,,16
806,ветъхыи,A-,ветъхьіі,4,,,,,rusprav,usp-sbor,,48
807,ясти,V-,ꙗсті,7,,,,,rusprav,usp-sbor,,48
808,робии,A-,робіі,1,,,,,rusprav,,,16
809,доже,Df,доже,1,,,,,rusprav,,,16
810,печаловати,V-,печаловаті,4,,,,,rusprav,usp-sbor,,48
811,близъкыи,A-,блізъкьіі,1,,,,,rusprav,,,16
812,добытъкъ,Nb,добьітъкъ,2,,,,,rusprav,,,16
813,възмощи,V-,възмощі,11,,,,,rusprav,usp-sbor,,48
814,сърѣзити,V-,сърѣзіті,1,,,,,rusprav,,,16
815,пригостити,V-,прігостіті,1,,,,,rusprav,,,16
816,истыи,A-,істьіі,4,,,,,rusprav,usp-sbor,,48
817,прикупъ,Nb,прікупъ,1,,,,,rusprav,,,16
818,кърмити,V-,кърміті,5,,,,,rusprav,usp-sbor,,48
819,плодъ,Nb,плодъ,3,,,,,rusprav,usp-sbor,,48
820,поимати,V-,поіматі,3,,,,,rusprav,usp-sbor,,48
821,ростеряти,V-,ростерꙗті,2,,,,,rusprav,,,16
822,отьчимъ,Nb,отьчімъ,1,,,,,rusprav,,,16
823,отьнь,A-,отьнь,4,,,,,rusprav,usp-sbor,,48
824,върещи,V-,върещі,2,,,,,rusprav,,,16
825,сѣдѣти,V-,сѣдѣті,20,,,,,rusprav,usp-sbor,,48
826,ни,Df,ні,46,,,,,rusprav,usp-sbor,,48
827,вьсяко,Df,вьсꙗко,2,,,,,rusprav,,,16
828,матерьнии,A-,матерьніі,2,,,,,rusprav,usp-sbor,,48
829,роздѣлити,V-,роздѣліті,1,,,,,rusprav,,,16
830,потеряти,V-,потерꙗті,1,,,,,rusprav,,,16
831,иноочимъ,Nb,іноочімъ,1,,,,,rusprav,,,16
832,възворотити,V-,възворотіті,2,,,,,rusprav,usp-sbor,,48
833,чьто,G-,чьто,1,,,,,rusprav,,,16
834,истеряти,V-,істерꙗті,1,,,,,rusprav,,,16
835,иночимль,A-,іночімль,1,,,,,rusprav,,,16
836,другыи,Mo,другьіі,8,,,,,rusprav,usp-sbor,varlaam,112
837,лихыи,A-,ліхьіі,2,,,,,rusprav,usp-sbor,,48
838,судьбьныи,A-,судьбьньіі,2,,,,,rusprav,,,16
839,ростязати,V-,ростꙗзаті,1,,,,,rusprav,,,16
840,дѣлити,V-,дѣліті,1,,,,,rusprav,,,16
841,ротьныи,A-,ротьньіі,2,,,,,rusprav,,,16
842,холопьство,Nb,холопьство,4,,,,,rusprav,,,16
843,трои,Ma,троі,2,,,,,rusprav,usp-sbor,,48
844,поставити,V-,поставіті,15,,,,,rusprav,usp-sbor,,48
845,въторыи,Mo,въторьіі,3,,,,,rusprav,usp-sbor,,48
846,тиуньство,Nb,тіуньство,1,,,,,rusprav,,,16
847,привязати,V-,прівꙗзаті,2,,,,,rusprav,usp-sbor,,48
848,ключь,Nb,ключь,2,,,,,rusprav,usp-sbor,,48
849,дача,Nb,дача,1,,,,,rusprav,,,16
850,роботити,V-,роботіті,1,,,,,rusprav,,,16
851,придатъкъ,Nb,прідатъкъ,1,,,,,rusprav,,,16
852,доходити,V-,доходіті,1,,,,,rusprav,,,16
853,ворочати,V-,ворочаті,1,,,,,rusprav,,,16
854,отъходити,V-,отъходіті,19,,,,,rusprav,usp-sbor,,48
855,указати,V-,указаті,6,,,,,rusprav,usp-sbor,,48
856,путь,Nb,путь,25,,,,,rusprav,usp-sbor,,48
857,переяти,V-,переꙗті,2,,,,,rusprav,,,16
858,вѣсть,Nb,вѣсть,4,,,,,rusprav,usp-sbor,,48
859,ублюсти,V-,ублюсті,1,,,,,rusprav,,,16
860,пятыи,Mo,пꙗтьіі,1,,,,,rusprav,,,16
861,переемьныи,A-,переемьньіі,1,,,,,rusprav,,,16
862,шестыи,Mo,шестьіі,1,,,,,rusprav,,,16
863,переемъ,Nb,переемъ,3,,,,,rusprav,,,16
864,досочити,V-,досочіті,1,,,,,rusprav,,,16
865,посадьникъ,Nb,посадьнікъ,1,,,,,rusprav,,,16
866,повѣдати,V-,повѣдаті,12,,,,,rusprav,usp-sbor,,48
867,увязати,V-,увꙗзаті,2,,,,,rusprav,usp-sbor,,48
868,вязебьныи,A-,вꙗзебьньіі,1,,,,,rusprav,,,16
869,упустити,V-,упустіті,1,,,,,rusprav,,,16
870,гонити,V-,гоніті,3,,,,,rusprav,usp-sbor,,48
871,никътоже,Px,нікътоже,28,,,,,rusprav,usp-sbor,,48
872,усърѣсти,V-,усърѣсті,1,,,,,rusprav,,,16
873,повѣсть,Nb,повѣсть,3,,,,,rusprav,usp-sbor,,48
874,дѣяти#2,V-,дѣꙗті#2,1,,,,,rusprav,,,16
875,въдати,V-,въдаті,10,,,,,rusprav,usp-sbor,varlaam,112
876,али,C-,алі,1,,,,,rusprav,,,16
877,лишити,V-,лішіті,3,,,,,rusprav,,,16
878,пустити,V-,пустіті,5,,,,,rusprav,usp-sbor,,48
879,одълъжати,V-,одълъжаті,1,,,,,rusprav,,,16
880,крити,V-,кріті,1,,,,,rusprav,,,16
881,лишати,V-,лішаті,3,,,,,rusprav,usp-sbor,,48
882,сусѣдьнии,A-,сусѣдьніі,1,,,,,rusprav,,,16
883,съказание,Nb,съказаніе,3,,,,,,usp-sbor,,32
884,страсть,Nb,страсть,6,,,,,,usp-sbor,,32
885,похвала,Nb,похвала,1,,,,,,usp-sbor,,32
886,мученикъ,Nb,мученікъ,9,,,,,,usp-sbor,,32
887,борисъ,Ne,борісъ,23,,,,,,usp-sbor,,32
888,гълѣбъ,Ne,гълѣбъ,10,,,,,,usp-sbor,,32
889,родъ,Nb,родъ,7,,,,,,usp-sbor,,32
890,правыи,A-,правьіі,3,,,,,,usp-sbor,,32
891,пророкъ,Nb,пророкъ,3,,,,,,usp-sbor,,32
892,сице,Df,сіце,40,,,,,,usp-sbor,,32
893,убо,Df,убо,39,,,,,,usp-sbor,,32
894,прѣже,Df,прѣже,14,,,,,,usp-sbor,,32
895,самодьржьць,Nb,самодьржьць,1,,,,,,usp-sbor,,32
896,святославль,A-,свꙗтославль,1,,,,,,usp-sbor,,32
897,игоревъ,A-,ігоревъ,1,,,,,,usp-sbor,,32
898,просвѣтити,V-,просвѣтіті,4,,,,,,usp-sbor,,32
899,прочии,A-,прочіі,9,,,,,,usp-sbor,,32
900,добродѣтель,Nb,добродѣтель,1,,,,,,usp-sbor,,32
901,инъдѣ,Df,інъдѣ,2,,,,,,usp-sbor,,32
902,съказати,V-,съказаті,7,,,,,,usp-sbor,,32
903,не быти,V-,небьіті,21,,,,,,usp-sbor,,32
904,врѣмя,Nb,врѣмꙗ,22,,,,,,usp-sbor,,32
905,имѣти,V-,імѣті,87,,,,,,usp-sbor,,32
906,разьныи,A-,разьньіі,1,,,,,,usp-sbor,,32
907,старыи,A-,старьіі,11,,,,,,usp-sbor,,32
908,вышеславъ,Ne,вьішеславъ,1,,,,,,usp-sbor,,32
909,зълыи,A-,зъльіі,31,,,,,,usp-sbor,varlaam,96
910,изобрѣсти,V-,ізобрѣсті,1,,,,,,usp-sbor,,32
911,чьрница,Nb,чьрніца,1,,,,,,usp-sbor,,32
912,грькыни,Nb,грькьіні,1,,,,,,usp-sbor,,32
913,яропълкъ,Ne,ꙗропълкъ,2,,,,,,usp-sbor,,32
914,ростричи,V-,рострічі,1,,,,,,usp-sbor,,32
915,красота,Nb,красота,4,,,,,,usp-sbor,,32
916,зачати,V-,зачаті,1,,,,,,usp-sbor,,32
917,оканьныи,A-,оканьньіі,12,,,,,,usp-sbor,,32
918,поганыи,A-,поганьіі,1,,,,,,usp-sbor,,32
919,еще,Df,еще,25,,,,,,usp-sbor,,32
920,непраздьныи,A-,непраздьньіі,1,,,,,,usp-sbor,,32
921,родити,V-,родіті,3,,,,,,usp-sbor,,32
922,любити,V-,любіті,13,,,,,,usp-sbor,,32
923,акы,G-,акьі,1,,,,,,usp-sbor,,32
924,рогънѣдь,Ne,рогънѣдь,1,,,,,,usp-sbor,,32
925,българыни,Nb,българьіні,1,,,,,,usp-sbor,,32
926,посажати,V-,посажаті,1,,,,,,usp-sbor,,32
927,розьныи,A-,розьньіі,1,,,,,,usp-sbor,,32
928,съповѣдати,V-,съповѣдаті,28,,,,,,usp-sbor,,32
929,посадити,V-,посадіті,1,,,,,,usp-sbor,,32
930,пиньскъ,Ne,піньскъ,1,,,,,,usp-sbor,,32
931,ростовъ,Ne,ростовъ,3,,,,,,usp-sbor,,32
932,муромъ,Ne,муромъ,1,,,,,,usp-sbor,,32
933,да,G-,да,76,,,,,,usp-sbor,,32
934,мъногописание,Nb,мъногопісаніе,1,,,,,,usp-sbor,,32
935,забыть,Nb,забьіть,1,,,,,,usp-sbor,,32
936,вълѣзти,V-,вълѣзті,8,,,,,,usp-sbor,,32
937,минути,V-,мінуті,4,,,,,,usp-sbor,,32
938,въпасти,V-,въпасті,5,,,,,,usp-sbor,,32
939,недугъ,Nb,недугъ,3,,,,,,usp-sbor,,32
940,крѣпъкыи,A-,крѣпъкьіі,5,,,,,,usp-sbor,,32
941,печенѣгъ,Nb,печенѣгъ,3,,,,,,usp-sbor,,32
942,онуду,Df,онуду,1,,,,,,usp-sbor,,32
943,русь,Ne,русь,1,,,,,,usp-sbor,,32
944,изити,V-,ізіті,20,,,,,,usp-sbor,,32
945,мъного,Df,мъного,13,,,,,,usp-sbor,,32
946,печалити,V-,печаліті,1,,,,,,usp-sbor,,32
947,призъвати,V-,прізъваті,17,,,,,,usp-sbor,,32
948,романъ,Ne,романъ,1,,,,,,usp-sbor,,32
949,блаженыи,A-,блаженьіі,228,,,,,,usp-sbor,,32
950,скоропослушьливыи,A-,скоропослушьлівьіі,1,,,,,,usp-sbor,,32
951,прѣдати,V-,прѣдаті,17,,,,,,usp-sbor,,32
952,вои,Nb,воі,7,,,,,,usp-sbor,,32
953,посълати,V-,посълаті,27,,,,,,usp-sbor,,32
954,безбожьныи,A-,безбожьньіі,1,,,,,,usp-sbor,,32
955,въстати,V-,въстаті,21,,,,,,usp-sbor,,32
956,готовыи,A-,готовьіі,3,,,,,,usp-sbor,,32
957,твои,Ps,твоі,68,,,,,,usp-sbor,,32
958,сътворити,V-,сътворіті,84,,,,,,usp-sbor,,32
959,елико,Pr,еліко,8,,,,,,usp-sbor,,32
960,сьрдьце,Nb,сьрдьце,44,,,,,,usp-sbor,,32
961,таковыи,A-,таковьіі,41,,,,,,usp-sbor,,32
962,притъчьникъ,Nb,прітъчьнікъ,1,,,,,,usp-sbor,,32
963,послушьливыи,A-,послушьлівьіі,2,,,,,,usp-sbor,,32
964,отъити,V-,отъіті,39,,,,,,usp-sbor,,32
965,супостатъ,Nb,супостатъ,2,,,,,,usp-sbor,,32
966,въспять,Df,въспꙗть,12,,,,,,usp-sbor,,32
967,вѣстьникъ,Nb,вѣстьнікъ,1,,,,,,usp-sbor,,32
968,отьчии,A-,отьчіі,1,,,,,,usp-sbor,,32
969,прѣставити,V-,прѣставіті,2,,,,,,usp-sbor,,32
970,василии,Ne,васіліі,6,,,,,,usp-sbor,,32
971,потаити,V-,потаіті,2,,,,,,usp-sbor,,32
972,ночь,Nb,ночь,3,,,,,,usp-sbor,,32
973,проимати,V-,проіматі,1,,,,,,usp-sbor,,32
974,помостъ,Nb,помостъ,1,,,,,,usp-sbor,,32
975,ковьръ,Nb,ковьръ,1,,,,,,usp-sbor,,32
976,съвѣсити,V-,съвѣсіті,1,,,,,,usp-sbor,,32
977,ужь,A-,ужь,1,,,,,,usp-sbor,,32
978,везти,V-,везті,1,,,,,,usp-sbor,,32
979,сани,Nb,сані,1,,,,,,usp-sbor,,32
980,цьркы,Nb,цьркьі,55,,,,,,usp-sbor,,32
981,услышати,V-,усльішаті,19,,,,,,usp-sbor,,32
982,тѣло,Nb,тѣло,49,,,,,,usp-sbor,,32
983,утьрпывати,V-,утьрпьіваті,1,,,,,,usp-sbor,,32
984,сльза,Nb,сльза,26,,,,,,usp-sbor,,32
985,испълнити,V-,іспълніті,9,,,,,,usp-sbor,,32
986,разливати,V-,разліваті,4,,,,,,usp-sbor,,32
987,сицевыи,A-,сіцевьіі,10,,,,,,usp-sbor,,32
988,вѣщати,V-,вѣщаті,2,,,,,,usp-sbor,,32
989,увы,I-,увьі,11,,,,,,usp-sbor,,32
990,сияние,Nb,сіꙗніе,1,,,,,,usp-sbor,,32
991,заря,Nb,зарꙗ,1,,,,,,usp-sbor,,32
992,бъздра,Nb,бъздра,1,,,,,,usp-sbor,,32
993,уность,Nb,уность,7,,,,,,usp-sbor,,32
994,наказание,Nb,наказаніе,4,,,,,,usp-sbor,,32
995,недоразумѣние,Nb,недоразумѣніе,1,,,,,,usp-sbor,,32
996,прибѣгнути,V-,прібѣгнуті,3,,,,,,usp-sbor,,32
997,възьрѣти,V-,възьрѣті,7,,,,,,usp-sbor,,32
998,къдѣ,Du,къдѣ,7,,,,,,usp-sbor,,32
999,насытити,V-,насьітіті,5,,,,,,usp-sbor,,32
1000,благыи,A-,благьіі,30,,,,,,usp-sbor,,32
1001,учение,Nb,ученіе,3,,,,,,usp-sbor,,32
1002,назание,Nb,назаніе,1,,,,,,usp-sbor,,32
1003,разумъ,Nb,разумъ,5,,,,,,usp-sbor,,32
1004,да#2,Df,да#2,26,,,,,,usp-sbor,,32
1005,поне,Df,поне,7,,,,,,usp-sbor,,32
1006,чьстьныи,A-,чьстьньіі,13,,,,,,usp-sbor,,32
1007,съпрятати,V-,съпрꙗтаті,1,,,,,,usp-sbor,,32
1008,гробъ,Nb,гробъ,3,,,,,,usp-sbor,,32
1009,понести,V-,понесті,2,,,,,,usp-sbor,,32
1010,мужьство,Nb,мужьство,1,,,,,,usp-sbor,,32
1011,цѣловати,V-,цѣловаті,8,,,,,,usp-sbor,,32
1012,добролѣпьныи,A-,добролѣпьньіі,1,,,,,,usp-sbor,,32
1013,сѣдина,Nb,сѣдіна,1,,,,,,usp-sbor,,32
1014,о,I-,о,16,,,,,,usp-sbor,,32
1015,блаженикъ,Nb,блаженікъ,1,,,,,,usp-sbor,,32
1016,помянути,V-,помꙗнуті,2,,,,,,usp-sbor,,32
1017,покои,Nb,покоі,6,,,,,,usp-sbor,,32
1018,горѣти,V-,горѣті,6,,,,,,usp-sbor,,32
1019,съмыслъ,Nb,съмьіслъ,5,,,,,,usp-sbor,,32
1020,съмущати,V-,съмущаті,2,,,,,,usp-sbor,,32
1021,вѣдѣти,V-,вѣдѣті,35,,,,,,usp-sbor,,32
1022,обратити,V-,обратіті,5,,,,,,usp-sbor,,32
1023,горькыи,A-,горькьіі,8,,,,,,usp-sbor,,32
1024,простерети,V-,простереті,1,,,,,,usp-sbor,,32
1025,ли,Du,лі,13,,,,,,usp-sbor,,32
1026,мьнѣти,V-,мьнѣті,18,,,,,,usp-sbor,,32
1027,суетие,Nb,суетіе,2,,,,,,usp-sbor,,32
1028,мирьскыи,A-,мірьскьіі,4,,,,,,usp-sbor,,32
1029,поучати,V-,поучаті,3,,,,,,usp-sbor,,32
1030,биение,Nb,біеніе,1,,,,,,usp-sbor,,32
1031,помышляти,V-,помьішлꙗті,12,,,,,,usp-sbor,,32
1032,пролити,V-,проліті,3,,,,,,usp-sbor,,32
1033,потъщати,V-,потъщаті,4,,,,,,usp-sbor,,32
1034,противити,V-,протівіті,4,,,,,,usp-sbor,,32
1035,гърдыи,A-,гърдьіі,1,,,,,,usp-sbor,,32
1036,съмѣреныи,A-,съмѣреньіі,11,,,,,,usp-sbor,,32
1037,благодать,Nb,благодать,18,,,,,,usp-sbor,,32
1038,ненавидѣти,V-,ненавідѣті,5,,,,,,usp-sbor,,32
1039,лъжь,Nb,лъжь,1,,,,,,usp-sbor,,32
1040,боязнь,Nb,боꙗзнь,3,,,,,,usp-sbor,,32
1041,съвьршеныи,A-,съвьршеньіі,6,,,,,,usp-sbor,,32
1042,вънъ,Df,вънъ,8,,,,,,usp-sbor,,32
1043,изметати,V-,ізметаті,1,,,,,,usp-sbor,,32
1044,страхъ,Nb,страхъ,13,,,,,,usp-sbor,,32
1045,чьто,Pi,чьто,25,,,,,,usp-sbor,,32
1046,умъ,Nb,умъ,16,,,,,,usp-sbor,,32
1047,узьрѣти,V-,узьрѣті,8,,,,,,usp-sbor,,32
1048,си,Df,сі,2,,,,,,usp-sbor,,32
1049,братьць,Nb,братьць,1,,,,,,usp-sbor,,32
1050,венияминъ,Ne,веніꙗмінъ,1,,,,,,usp-sbor,,32
1051,полагати,V-,полагаті,1,,,,,,usp-sbor,,32
1052,прѣвратити,V-,прѣвратіті,1,,,,,,usp-sbor,,32
1053,прогънати,V-,прогънаті,4,,,,,,usp-sbor,,32
1054,прѣже,R-,прѣже,9,,,,,,usp-sbor,,32
1055,ради,R-,раді,63,,,,,,usp-sbor,,32
1056,мимоходити,V-,мімоходіті,2,,,,,,usp-sbor,,32
1057,паучина,Nb,паучіна,1,,,,,,usp-sbor,,32
1058,камо,Du,камо,3,,,,,,usp-sbor,,32
1059,ошьствие,Nb,ошьствіе,1,,,,,,usp-sbor,,32
1060,отъсюду,Df,отъсюду,2,,,,,,usp-sbor,,32
1061,кыи,Pi,кьіі,5,,,,,,usp-sbor,,32
1062,отъвѣтъ,Nb,отъвѣтъ,1,,,,,,usp-sbor,,32
1063,мъножьство,Nb,мъножьство,20,,,,,,usp-sbor,,32
1064,приобрѣсти,V-,пріобрѣсті,2,,,,,,usp-sbor,,32
1065,житие,Nb,жітіе,39,,,,,,usp-sbor,,32
1066,багъряница,Nb,багърꙗніца,2,,,,,,usp-sbor,,32
1067,брячина,Nb,брꙗчіна,1,,,,,,usp-sbor,,32
1068,вино,Nb,віно,9,,,,,,usp-sbor,,32
1069,брашьно,Nb,брашьно,18,,,,,,usp-sbor,,32
1070,быстрыи,A-,бьістрьіі,1,,,,,,usp-sbor,,32
1071,красьныи,A-,красьньіі,3,,,,,,usp-sbor,,32
1072,имѣние,Nb,імѣніе,15,,,,,,usp-sbor,,32
1073,бесчисльныи,A-,бесчісльньіі,3,,,,,,usp-sbor,,32
1074,гърдѣние,Nb,гърдѣніе,1,,,,,,usp-sbor,,32
1075,боляринъ,Nb,болꙗрінъ,22,,,,,,usp-sbor,,32
1076,акы,Dq,акьі,2,,,,,,usp-sbor,,32
1077,николиже,Df,ніколіже,9,,,,,,usp-sbor,,32
1078,исчезнути,V-,ісчезнуті,1,,,,,,usp-sbor,,32
1079,помощь,Nb,помощь,8,,,,,,usp-sbor,,32
1080,кътоже,Px,кътоже,2,,,,,,usp-sbor,,32
1081,соломонъ,Ne,соломонъ,2,,,,,,usp-sbor,,32
1082,проити,V-,проіті,3,,,,,,usp-sbor,,32
1083,расъмотрити,V-,расъмотріті,1,,,,,,usp-sbor,,32
1084,суета,Nb,суета,2,,,,,,usp-sbor,,32
1085,тъкъмо#1,Df,тъкъмо#1,20,,,,,,usp-sbor,,32
1086,правовѣрие,Nb,правовѣріе,1,,,,,,usp-sbor,,32
1087,нелицемѣрьныи,A-,неліцемѣрьньіі,1,,,,,,usp-sbor,,32
1088,доброта,Nb,доброта,2,,,,,,usp-sbor,,32
1089,удьржати,V-,удьржаті,1,,,,,,usp-sbor,,32
1090,зьрѣти,V-,зьрѣті,9,,,,,,usp-sbor,,32
1091,плакати,V-,плакаті,19,,,,,,usp-sbor,,32
1092,доброродьныи,A-,доброродьньіі,1,,,,,,usp-sbor,,32
1093,възрастъ,Nb,възрастъ,2,,,,,,usp-sbor,,32
1094,къжьдо,Px,къжьдо,12,,,,,,usp-sbor,,32
1095,стонати,V-,стонаті,2,,,,,,usp-sbor,,32
1096,горесть,Nb,горесть,1,,,,,,usp-sbor,,32
1097,сьрдьчьныи,A-,сьрдьчьньіі,3,,,,,,usp-sbor,,32
1098,въсплакати,V-,въсплакаті,1,,,,,,usp-sbor,,32
1099,пагубьныи,A-,пагубьньіі,2,,,,,,usp-sbor,,32
1100,приводити,V-,пріводіті,4,,,,,,usp-sbor,,32
1101,възоръ,Nb,възоръ,2,,,,,,usp-sbor,,32
1102,съкрушение,Nb,съкрушеніе,2,,,,,,usp-sbor,,32
1103,правьдивыи,A-,правьдівьіі,1,,,,,,usp-sbor,,32
1104,щедрыи,A-,щедрьіі,1,,,,,,usp-sbor,,32
1105,тихыи,A-,тіхьіі,3,,,,,,usp-sbor,,32
1106,кротъкыи,A-,кротъкьіі,4,,,,,,usp-sbor,,32
1107,миловати,V-,міловаті,1,,,,,,usp-sbor,,32
1108,набъдѣти,V-,набъдѣті,1,,,,,,usp-sbor,,32
1109,богоблаженыи,A-,богоблаженьіі,1,,,,,,usp-sbor,,32
1110,зълурадыи,A-,зълурадьіі,1,,,,,,usp-sbor,,32
1111,человѣкъ,Nb,человѣкъ,18,,,,,,usp-sbor,varlaam,96
1112,понудити,V-,понудіті,2,,,,,,usp-sbor,,32
1113,владыка,Nb,владьіка,24,,,,,,usp-sbor,,32
1114,таче,Df,таче,73,,,,,,usp-sbor,,32
1115,забыти,V-,забьіті,3,,,,,,usp-sbor,,32
1116,скърбь,Nb,скърбь,14,,,,,,usp-sbor,,32
1117,съмьртьныи,A-,съмьртьньіі,1,,,,,,usp-sbor,,32
1118,тѣшити,V-,тѣшіті,1,,,,,,usp-sbor,,32
1119,вѣчьныи#1,A-,вѣчьньіі#1,4,,,,,,usp-sbor,,32
1120,съхранити,V-,съхраніті,3,,,,,,usp-sbor,,32
1121,радостьныи,A-,радостьньіі,2,,,,,,usp-sbor,,32
1122,прѣзьрѣти,V-,прѣзьрѣті,7,,,,,,usp-sbor,,32
1123,прѣмилостивыи,A-,прѣмілостівьіі,3,,,,,,usp-sbor,,32
1124,упъвати,V-,упъваті,10,,,,,,usp-sbor,,32
1125,кыянинъ,Nb,кьіꙗнінъ,1,,,,,,usp-sbor,,32
1126,даръ,Nb,даръ,1,,,,,,usp-sbor,,32
1127,отъпустити,V-,отъпустіті,14,,,,,,usp-sbor,,32
1128,придати,V-,прідаті,1,,,,,,usp-sbor,,32
1129,льстьныи,A-,льстьньіі,2,,,,,,usp-sbor,,32
1130,истина,Nb,істіна,23,,,,,,usp-sbor,,32
1131,вышегородъ,Ne,вьішегородъ,5,,,,,,usp-sbor,,32
1132,отаи,Df,отаі,4,,,,,,usp-sbor,,32
1133,путьша,Ne,путьша,3,,,,,,usp-sbor,,32
1134,вышегородьскыи,A-,вьішегородьскьіі,1,,,,,,usp-sbor,,32
1135,повѣдѣти,V-,повѣдѣті,6,,,,,,usp-sbor,,32
1136,приязньство,Nb,пріꙗзньство,1,,,,,,usp-sbor,,32
1137,глава,Nb,глава,7,,,,,,usp-sbor,,32
1138,искони,Df,ісконі,1,,,,,,usp-sbor,,32
1139,надежа,Nb,надежа,7,,,,,,usp-sbor,,32
1140,подвижьныи,A-,подвіжьньіі,3,,,,,,usp-sbor,,32
1141,бывати,V-,бьіваті,10,,,,,,usp-sbor,,32
1142,каинъ#1,Ne,каінъ#1,6,,,,,,usp-sbor,,32
1143,братоубииство,Nb,братоубііство,1,,,,,,usp-sbor,,32
1144,уловити,V-,уловіті,1,,,,,,usp-sbor,,32
1145,мысль,Nb,мьісль,6,,,,,,usp-sbor,,32
1146,избити,V-,ізбіті,3,,,,,,usp-sbor,,32
1147,наслѣдьникъ,Nb,наслѣдьнікъ,1,,,,,,usp-sbor,,32
