id,lemma,pos,normalised,count,Mst,MstCol,NovMarg,OstrCol,RusPrav,Usp,Varl,bitflag
80,обѣдъ,Nb,обѣдъ,10,mst,,,,,usp-sbor,,33
81,коли,Dq,колі,1,mst,,,,,,,1
82,обѣдати,V-,обѣдаті,1,mst,,,,,,,1
83,запъртити,V-,запъртіті,1,mst,,,,,,,1
84,или,C-,ілі,102,mst,,,,rusprav,usp-sbor,varlaam,113
85,сии,Pd,сіі,346,mst,mstislav-col,nov-marg,ostromir-col,rusprav,usp-sbor,varlaam,127
86,да#1,Df,да#1,48,mst,,,,,usp-sbor,,33
87,судити,V-,судіті,6,mst,,,,rusprav,usp-sbor,,49
88,дьнь,Nb,дьнь,120,mst,,,,rusprav,usp-sbor,,49
89,пришьствие,Nb,прішьствіе,1,mst,,,,,,,1
90,господь,Nb,господь,105,,mstislav-col,nov-marg,ostromir-col,rusprav,usp-sbor,,62
91,отьць,Nb,отьць,195,,mstislav-col,nov-marg,ostromir-col,rusprav,usp-sbor,,62
92,нашь,Ps,нашь,127,,mstislav-col,,,,usp-sbor,,34
93,авраамовъ,A-,авраамовъ,1,,mstislav-col,,,,,,2
94,исаковъ,A-,ісаковъ,1,,mstislav-col,,,,,,2
95,ияковль,A-,іꙗковль,1,,mstislav-col,,,,,,2
96,сѣмя,Nb,сѣмꙗ,3,,mstislav-col,,,,usp-sbor,,34
97,правьдьныи,A-,правьдьньіі,11,,mstislav-col,,,,usp-sbor,,34
98,съподобити,V-,съподобіті,22,,mstislav-col,,ostromir-col,,usp-sbor,,42
99,грѣшьныи,A-,грѣшьньіі,13,,mstislav-col,nov-marg,,,usp-sbor,,38
100,рабъ,Nb,рабъ,22,,mstislav-col,nov-marg,ostromir-col,,usp-sbor,,46
101,алекса,Ne,алекса,2,,mstislav-col,,,,,,2
102,написати,V-,напісаті,9,,mstislav-col,nov-marg,ostromir-col,,usp-sbor,,46
103,евангелие,Nb,евангеліе,18,,mstislav-col,,ostromir-col,,usp-sbor,,42
104,благовѣрьныи,A-,благовѣрьньіі,5,,mstislav-col,,,,usp-sbor,,34
105,христолюбивыи,A-,хрістолюбівьіі,6,,mstislav-col,,,,usp-sbor,,34
106,чьстити,V-,чьстіті,2,,mstislav-col,,,,usp-sbor,,34
107,феодоръ,Ne,феодоръ,6,,mstislav-col,,,,usp-sbor,,34
108,мирьскы,Df,мірьскьі,4,,mstislav-col,nov-marg,ostromir-col,,,,14
109,вънукъ,Nb,вънукъ,2,,mstislav-col,,,,usp-sbor,,34
110,вьсеволожь,A-,вьсеволожь,1,,mstislav-col,,,,,,2
111,новъгородьскыи,A-,новъгородьскьіі,1,,mstislav-col,,,,,,2
112,иже,Pr,іже,225,,mstislav-col,,ostromir-col,rusprav,usp-sbor,varlaam,122
113,съвьршити,V-,съвьршіті,5,,mstislav-col,,,,usp-sbor,,34
114,благословение,Nb,благословеніе,13,,mstislav-col,,ostromir-col,,usp-sbor,,42
115,прѣсвятыи,A-,прѣсвꙗтьіі,5,,mstislav-col,,,,usp-sbor,,34
116,чистыи,A-,чістьіі,17,,mstislav-col,,,,usp-sbor,,34
117,владычица,Nb,владьічіца,4,,mstislav-col,,,,usp-sbor,,34
118,даяти,V-,даꙗті,15,,mstislav-col,,ostromir-col,rusprav,usp-sbor,,58
119,милость,Nb,мілость,12,,mstislav-col,,,rusprav,usp-sbor,,50
120,наслѣдие,Nb,наслѣдіе,1,,mstislav-col,,,,,,2
121,цѣсарьство,Nb,цѣсарьство,4,,mstislav-col,,,,usp-sbor,,34
122,небесьныи,A-,небесьньіі,22,,mstislav-col,,ostromir-col,,usp-sbor,,42
123,дълголѣтьныи,A-,дълголѣтьньіі,1,,mstislav-col,,,,,,2
124,вьсь,Px,вьсь,294,,mstislav-col,,ostromir-col,rusprav,usp-sbor,varlaam,122
125,аминъ,I-,амінъ,13,,mstislav-col,nov-marg,ostromir-col,,usp-sbor,,46
126,почитати,V-,почітаті,6,,mstislav-col,,ostromir-col,,usp-sbor,,42
127,аще,G-,аще,79,,mstislav-col,,,rusprav,usp-sbor,varlaam,114
128,къдѣ,Df,къдѣ,9,,mstislav-col,,,rusprav,usp-sbor,,50
129,кривыи,A-,крівьіі,1,,mstislav-col,,,,,,2
130,налѣзти,V-,налѣзті,4,,mstislav-col,,,rusprav,,,18
131,исправити,V-,ісправіті,3,,mstislav-col,,ostromir-col,,usp-sbor,,42
132,чисти,V-,чісті,1,,mstislav-col,,,,,,2
133,не,Df,не,426,,mstislav-col,,ostromir-col,rusprav,usp-sbor,,58
134,кляти,V-,клꙗті,4,,mstislav-col,,ostromir-col,,usp-sbor,,42
135,бо,Df,бо,183,,mstislav-col,nov-marg,ostromir-col,,usp-sbor,,46
136,лазоревъ,A-,лазоревъ,1,,mstislav-col,,,,,,2
137,прозвитеръ,Nb,прозвітеръ,11,,mstislav-col,,,,usp-sbor,,34
138,съпасти#1,V-,съпасті#1,19,,mstislav-col,,,,usp-sbor,,34
139,мъногыи,A-,мъногьіі,105,,mstislav-col,nov-marg,ostromir-col,rusprav,usp-sbor,,62
140,лѣто,Nb,лѣто,23,,mstislav-col,nov-marg,ostromir-col,rusprav,usp-sbor,,62
141,жадѣнъ,Ne,жадѣнъ,1,,mstislav-col,,,,,,2
142,пьсати,V-,пьсаті,12,,mstislav-col,,ostromir-col,,usp-sbor,,42
143,божии,A-,божіі,60,,mstislav-col,nov-marg,ostromir-col,,usp-sbor,,46
144,недостоиныи,A-,недостоіньіі,7,,mstislav-col,nov-marg,,,usp-sbor,,38
145,худыи,A-,худьіі,11,,mstislav-col,,,,usp-sbor,,34
146,съписати,V-,съпісаті,6,,mstislav-col,,,,usp-sbor,,34
147,память,Nb,памꙗть,10,,mstislav-col,,ostromir-col,,usp-sbor,,42
148,дѣля,R-,дѣлꙗ,5,,mstislav-col,,,rusprav,usp-sbor,,50
149,цѣсарь,Nb,цѣсарь,8,,mstislav-col,,ostromir-col,,usp-sbor,,42
150,людие,Nb,людіе,20,,mstislav-col,,,rusprav,usp-sbor,,50
151,о,R-,о,228,,mstislav-col,,,rusprav,usp-sbor,,50
152,съконьчание,Nb,съконьчаніе,1,,mstislav-col,,,,,,2
153,казати,V-,казаті,4,,mstislav-col,,,,usp-sbor,,34
154,наславъ,Ne,наславъ,3,,mstislav-col,,,,,,2
155,возити,V-,возіті,2,,mstislav-col,,,,usp-sbor,,34
156,цѣсарьгородъ,Ne,цѣсарьгородъ,2,,mstislav-col,,,,,,2
157,учинити,V-,учініті,1,,mstislav-col,,,,,,2
158,химипетъ,Nb,хіміпетъ,1,,mstislav-col,,,,,,2
159,воля,Nb,волꙗ,16,,mstislav-col,,,rusprav,usp-sbor,,50
160,възвратити,V-,възвратіті,29,,mstislav-col,,,,usp-sbor,,34
161,из,R-,із,33,,mstislav-col,,,rusprav,usp-sbor,,50
162,съправити,V-,съправіті,1,,mstislav-col,,,,,,2
163,злато,Nb,злато,4,,mstislav-col,,,,usp-sbor,,34
164,драгыи,A-,драгьіі,5,,mstislav-col,,,,usp-sbor,,34
165,камы,Nb,камьі,1,,mstislav-col,,,,,,2
166,приити,V-,прііті,92,,mstislav-col,,,rusprav,usp-sbor,,50
167,кыевъ,Ne,кьіевъ,7,,mstislav-col,,ostromir-col,,usp-sbor,,42
168,съконьчати,V-,съконьчаті,10,,mstislav-col,,,,usp-sbor,,34
169,дѣло,Nb,дѣло,39,,mstislav-col,,,rusprav,usp-sbor,,50
170,мѣсяць,Nb,мѣсꙗць,7,,mstislav-col,,ostromir-col,,usp-sbor,,42
171,авъгустъ,Nb,авъгустъ,2,,mstislav-col,,,,usp-sbor,,34
172,дъвадесяти,Ma,дъвадесꙗті,8,,mstislav-col,,ostromir-col,rusprav,usp-sbor,,58
173,цѣна,Nb,цѣна,3,,mstislav-col,,,,usp-sbor,,34
174,единъ,Ma,едінъ,103,,mstislav-col,,ostromir-col,,usp-sbor,varlaam,106
175,вѣдати,V-,вѣдаті,11,,mstislav-col,,,rusprav,,,18
176,трудъ,Nb,трудъ,13,,mstislav-col,,,,usp-sbor,,34
177,подъяти,V-,подъꙗті,2,,mstislav-col,,,,usp-sbor,,34
178,печаль,Nb,печаль,24,,mstislav-col,,,,usp-sbor,,34
179,нъ,C-,нъ,176,,mstislav-col,,ostromir-col,rusprav,usp-sbor,,58
180,утѣшити,V-,утѣшіті,3,,mstislav-col,,,,usp-sbor,,34
181,добрыи,A-,добрьіі,16,,mstislav-col,,,rusprav,usp-sbor,,50
182,молитва,Nb,молітва,69,,mstislav-col,,,,usp-sbor,,34
183,тако,Df,тако,201,,mstislav-col,,ostromir-col,rusprav,usp-sbor,,58
184,угодие,Nb,угодіе,1,,mstislav-col,,,,,,2
185,творити,V-,творіті,65,,mstislav-col,,,rusprav,usp-sbor,,50
186,слышати,V-,сльішаті,68,,mstislav-col,,,rusprav,usp-sbor,,50
187,цѣсарьствие,Nb,цѣсарьствіе,11,,mstislav-col,,,,usp-sbor,,34
188,прѣбывати,V-,прѣбьіваті,21,,mstislav-col,,,,usp-sbor,,34
189,радость,Nb,радость,17,,mstislav-col,,,,usp-sbor,,34
190,веселие,Nb,веселіе,2,,mstislav-col,,,,usp-sbor,,34
191,любы,Nb,любьі,30,,mstislav-col,,,,usp-sbor,,34
192,хрьстиянинъ,Nb,хрьстіꙗнінъ,1,,mstislav-col,,,,,,2
193,правити,V-,правіті,3,,mstislav-col,,ostromir-col,,,,10
194,орудие,Nb,орудіе,6,,mstislav-col,,,rusprav,usp-sbor,,50
195,правьда,Nb,правьда,8,,mstislav-col,,,rusprav,usp-sbor,,50
196,обрѣсти,V-,обрѣсті,31,,mstislav-col,,,,usp-sbor,,34
197,чьсть,Nb,чьсть,5,,mstislav-col,,,,usp-sbor,,34
198,отъ,R-,отъ,337,,mstislav-col,,,rusprav,usp-sbor,varlaam,114
199,вѣровати,V-,вѣроваті,2,,mstislav-col,,,,usp-sbor,,34
200,троица,Nb,троіца,1,,mstislav-col,,,,,,2
