wiki_form|generated_match|lcs_match|match_desinence_idx|match_code
бде́ние||||nt_jo|0
бде́ния||||nt_jo|0
бде́ний||||nt_jo|0
бде́нию||||nt_jo|0
бде́ниям||||nt_jo|0
бде́нием||||nt_jo|0
бде́ниями||||nt_jo|0
бде́нии||||nt_jo|0
бде́ниях||||nt_jo|0
бжу́|бжу|bъђǫ|1|31|1
бди́м|бдим|bъdimъ|7|31|1
бди́шь||||31|0
бди́те|бдите|bъdite|6|31|1
бди́т|бдит|bъditQ|3|31|1
бдя́т|бдят|bъdętQ|9|31|1
бде́л|бдел|bъdělъ|40|31|1
бде́ли|бдели|bъděli|148|31|1
бде́ла|бдела|bъděla|146|31|1
бде́ло|бдело|bъdělo|147|31|1
бди́|бди|bъdi|29|31|1
бдя́щий||||31|0
бде́вший||||31|0
бдя́|бдя|bъdę|36|31|1
бде́в|бдев|bъděvъ|39|31|1
бде́вши|бдевши|bъděvъši|149|31|1
бе́дный||||adj_hard|0
бе́дное|бедное|bědьnoje|43|adj_hard|1
бе́дная|бедная|bědьnajǢ|22|adj_hard|1
бе́дные|бедные|bědьnyję̌|15|adj_hard|1
бе́дного|бедного|bědьnogo|3|adj_hard|1
бе́дной|бедной|bědьnъjь|1|adj_hard|1
бе́дных|бедных|bědьnyxъ|17|adj_hard|1
бе́дному|бедному|bědьnomu|4|adj_hard|1
бе́дным|бедным|bědьnymь|6|adj_hard|1
бе́дную|бедную|bědьnǫjǫ|23|adj_hard|1
бе́дною|бедною|bědьnojǫ|27|adj_hard|1
бе́дными|бедными|bědьnymi|20|adj_hard|1
бе́дном|бедном|bědьnomь|5|adj_hard|1
бе́ден|беден|bědьnъ|7|adj_hard|1
бе́дно|бедно|bědьno|49|adj_hard|1
бедна́|бедна|bědьna|8|adj_hard|1
бе́дны́|бедны|bědьny|21|adj_hard|1
безбо́жный||||adj_hard|0
безбо́жное|безбожное|bezbožьnoje|43|adj_hard|1
безбо́жная|безбожная|bezbožьnajǢ|22|adj_hard|1
безбо́жные|безбожные|bezbožьnyję̌|15|adj_hard|1
безбо́жного|безбожного|bezbožьnogo|3|adj_hard|1
безбо́жной|безбожной|bezbožьnъjь|1|adj_hard|1
безбо́жных|безбожных|bezbožьnyxъ|17|adj_hard|1
безбо́жному|безбожному|bezbožьnomu|4|adj_hard|1
безбо́жным|безбожным|bezbožьnymь|6|adj_hard|1
безбо́жную|безбожную|bezbožьnǫjǫ|23|adj_hard|1
безбо́жною|безбожною|bezbožьnojǫ|27|adj_hard|1
безбо́жными|безбожными|bezbožьnymi|20|adj_hard|1
безбо́жном|безбожном|bezbožьnomь|5|adj_hard|1
безбо́жен|безбожен|bezbožьnъ|7|adj_hard|1
безбо́жно|безбожно|bezbožьno|49|adj_hard|1
безбо́жна|безбожна|bezbožьna|8|adj_hard|1
безбо́жны|безбожны|bezbožьny|21|adj_hard|1
безве́рный||||adj_hard|0
безве́рное|безверное|bezvěrьnoje|43|adj_hard|1
безве́рная|безверная|bezvěrьnajǢ|22|adj_hard|1
безве́рные|безверные|bezvěrьnyję̌|15|adj_hard|1
безве́рного|безверного|bezvěrьnogo|3|adj_hard|1
безве́рной|безверной|bezvěrьnъjь|1|adj_hard|1
безве́рных|безверных|bezvěrьnyxъ|17|adj_hard|1
безве́рному|безверному|bezvěrьnomu|4|adj_hard|1
безве́рным|безверным|bezvěrьnymь|6|adj_hard|1
безве́рную|безверную|bezvěrьnǫjǫ|23|adj_hard|1
безве́рною|безверною|bezvěrьnojǫ|27|adj_hard|1
безве́рными|безверными|bezvěrьnymi|20|adj_hard|1
безве́рном|безверном|bezvěrьnomь|5|adj_hard|1
безве́рен|безверен|bezvěrьnъ|7|adj_hard|1
безве́рно|безверно|bezvěrьno|49|adj_hard|1
безве́рна|безверна|bezvěrьna|8|adj_hard|1
безве́рны|безверны|bezvěrьny|21|adj_hard|1
безгре́шный||||adj_hard|0
безгре́шное|безгрешное|bezgrěšьnoje|43|adj_hard|1
безгре́шная|безгрешная|bezgrěšьnajǢ|22|adj_hard|1
безгре́шные|безгрешные|bezgrěšьnyję̌|15|adj_hard|1
безгре́шного|безгрешного|bezgrěšьnogo|3|adj_hard|1
безгре́шной|безгрешной|bezgrěšьnъjь|1|adj_hard|1
безгре́шных|безгрешных|bezgrěšьnyxъ|17|adj_hard|1
безгре́шному|безгрешному|bezgrěšьnomu|4|adj_hard|1
безгре́шным|безгрешным|bezgrěšьnymь|6|adj_hard|1
безгре́шную|безгрешную|bezgrěšьnǫjǫ|23|adj_hard|1
безгре́шною|безгрешною|bezgrěšьnojǫ|27|adj_hard|1
безгре́шными|безгрешными|bezgrěšьnymi|20|adj_hard|1
безгре́шном|безгрешном|bezgrěšьnomь|5|adj_hard|1
безгре́шен|безгрешен|bezgrěšьnъ|7|adj_hard|1
безгре́шно|безгрешно|bezgrěšьno|49|adj_hard|1
безгре́шна|безгрешна|bezgrěšьna|8|adj_hard|1
безгре́шны|безгрешны|bezgrěšьny|21|adj_hard|1
бездельный||||0
беззако́нник||||masc_o|0
беззако́нники||||masc_o|0
беззако́нника||||masc_o|0
беззако́нников||||masc_o|0
беззако́ннику||||masc_o|0
беззако́нникам||||masc_o|0
беззако́нником||||masc_o|0
беззако́нниками||||masc_o|0
беззако́ннике||||masc_o|0
беззако́нниках||||masc_o|0
беззако́ние||||nt_jo|0
беззако́ния||||nt_jo|0
беззако́ний||||nt_jo|0
беззако́нию||||nt_jo|0
беззако́ниям||||nt_jo|0
беззако́нием||||nt_jo|0
беззако́ниями||||nt_jo|0
беззако́нии||||nt_jo|0
беззако́ниях||||nt_jo|0
беззако́нный||||adj_hard|0
беззако́нное||||adj_hard|0
беззако́нная||||adj_hard|0
беззако́нные||||adj_hard|0
беззако́нного||||adj_hard|0
беззако́нной||||adj_hard|0
беззако́нных||||adj_hard|0
беззако́нному||||adj_hard|0
беззако́нным||||adj_hard|0
беззако́нную||||adj_hard|0
беззако́нною||||adj_hard|0
беззако́нными||||adj_hard|0
беззако́нном||||adj_hard|0
бе́здна|бездна|bezdъna|22|fem_a|1
бе́здны|бездны|bezdъny|24|fem_a|1
бездн||||fem_a|0
бе́здне|бездне|bezdъně|25|fem_a|1
бе́зднам|безднам|bezdъnamъ|39|fem_a|1
бе́здну|бездну|bezdъnǫ|23|fem_a|1
бе́здной||||fem_a|0
бе́здною|бездною|bezdъnojǫ|27|fem_a|1
бе́зднами|безднами|bezdъnami|41|fem_a|1
бе́зднах|безднах|bezdъnaxъ|40|fem_a|1
безнача́льный||||adj_hard|0
безнача́льное|безначальное|beznačęlьnoje|43|adj_hard|1
безнача́льная|безначальная|beznačęlьnajǢ|22|adj_hard|1
безнача́льные|безначальные|beznačęlьnyję̌|15|adj_hard|1
безнача́льного|безначального|beznačęlьnogo|3|adj_hard|1
безнача́льной|безначальной|beznačęlьnъjь|1|adj_hard|1
безнача́льных|безначальных|beznačęlьnyxъ|17|adj_hard|1
безнача́льному|безначальному|beznačęlьnomu|4|adj_hard|1
безнача́льным|безначальным|beznačęlьnymь|6|adj_hard|1
безнача́льную|безначальную|beznačęlьnǫjǫ|23|adj_hard|1
безнача́льною|безначальною|beznačęlьnojǫ|27|adj_hard|1
безнача́льными|безначальными|beznačęlьnymi|20|adj_hard|1
безнача́льном|безначальном|beznačęlьnomь|5|adj_hard|1
безнача́лен|безначален|beznačęlьnъ|7|adj_hard|1
безнача́льно|безначально|beznačęlьno|49|adj_hard|1
безнача́льна|безначальна|beznačęlьna|8|adj_hard|1
безнача́льны|безначальны|beznačęlьny|21|adj_hard|1
безу́мие||||nt_jo|0
безу́мия||||nt_jo|0
безу́мий||||nt_jo|0
безу́мию||||nt_jo|0
безу́миям||||nt_jo|0
безу́мием||||nt_jo|0
безу́миями||||nt_jo|0
безу́мии||||nt_jo|0
безу́миях||||nt_jo|0
безу́мный||||adj_hard|0
безу́мное||||adj_hard|0
безу́мная||||adj_hard|0
безу́мные||||adj_hard|0
безу́много||||adj_hard|0
безу́мной||||adj_hard|0
безу́мных||||adj_hard|0
безу́мному||||adj_hard|0
безу́мным||||adj_hard|0
безу́мную||||adj_hard|0
безу́мною||||adj_hard|0
безу́мными||||adj_hard|0
безу́мном||||adj_hard|0
безу́мен|безумен|bezumьnъ|7|adj_hard|1
безу́мно||||adj_hard|0
безу́мна||||adj_hard|0
безу́мны||||adj_hard|0
бе́лка|белка|bělъka|22|fem_a|1
бе́лки|белки|bělъky|24|fem_a|1
бе́лок|белок|bělъkъ|38|fem_a|1
бе́лке|белке|bělъkě|25|fem_a|1
бе́лкам|белкам|bělъkamъ|39|fem_a|1
бе́лку|белку|bělъkǫ|23|fem_a|1
бе́лкой||||fem_a|0
бе́лкою|белкою|bělъkojǫ|27|fem_a|1
бе́лками|белками|bělъkami|41|fem_a|1
бе́лках|белках|bělъkaxъ|40|fem_a|1
бе́лка|белка|bělъka|22|fem_a|1
бе́лки|белки|bělъky|24|fem_a|1
бе́лок|белок|bělъkъ|38|fem_a|1
бе́лке|белке|bělъkě|25|fem_a|1
бе́лкам|белкам|bělъkamъ|39|fem_a|1
бе́лку|белку|bělъkǫ|23|fem_a|1
бе́лкой||||fem_a|0
бе́лкою|белкою|bělъkojǫ|27|fem_a|1
бе́лками|белками|bělъkami|41|fem_a|1
бе́лках|белках|bělъkaxъ|40|fem_a|1
бережно|бережно|beržьno|0|non_infl|1
бе́режный||||adj_hard|0
бе́режное|бережное|beržьnoje|43|adj_hard|1
бе́режная|бережная|beržьnajǢ|22|adj_hard|1
бе́режные|бережные|beržьnyję̌|15|adj_hard|1
бе́режного|бережного|beržьnogo|3|adj_hard|1
бе́режной|бережной|beržьnъjь|1|adj_hard|1
бе́режных|бережных|beržьnyxъ|17|adj_hard|1
бе́режному|бережному|beržьnomu|4|adj_hard|1
бе́режным|бережным|beržьnymь|6|adj_hard|1
бе́режную|бережную|beržьnǫjǫ|23|adj_hard|1
бе́режною|бережною|beržьnojǫ|27|adj_hard|1
бе́режными|бережными|beržьnymi|20|adj_hard|1
бе́режном|бережном|beržьnomь|5|adj_hard|1
бе́режен|бережен|beržьnъ|7|adj_hard|1
бе́режно|бережно|beržьno|49|adj_hard|1
бе́режна|бережна|beržьna|8|adj_hard|1
бе́режны|бережны|beržьny|21|adj_hard|1
бесконе́чный||||adj_hard|0
бесконе́чное|бесконечное|beskonьčьnoje|43|adj_hard|1
бесконе́чная|бесконечная|beskonьčьnajǢ|22|adj_hard|1
бесконе́чные|бесконечные|beskonьčьnyję̌|15|adj_hard|1
бесконе́чного|бесконечного|beskonьčьnogo|3|adj_hard|1
бесконе́чной|бесконечной|beskonьčьnъjь|1|adj_hard|1
бесконе́чных|бесконечных|beskonьčьnyxъ|17|adj_hard|1
бесконе́чному|бесконечному|beskonьčьnomu|4|adj_hard|1
бесконе́чным|бесконечным|beskonьčьnymь|6|adj_hard|1
бесконе́чную|бесконечную|beskonьčьnǫjǫ|23|adj_hard|1
бесконе́чною|бесконечною|beskonьčьnojǫ|27|adj_hard|1
бесконе́чными|бесконечными|beskonьčьnymi|20|adj_hard|1
бесконе́чном|бесконечном|beskonьčьnomь|5|adj_hard|1
бесконе́чен||||adj_hard|0
бесконе́чно|бесконечно|beskonьčьno|49|adj_hard|1
бесконе́чна|бесконечна|beskonьčьna|8|adj_hard|1
бесконе́чны|бесконечны|beskonьčьny|21|adj_hard|1
бесо́вский||||adj_hard|0
бесо́вское|бесовское|běsovьskoje|43|adj_hard|1
бесо́вская|бесовская|běsovьskajǢ|22|adj_hard|1
бесо́вские|бесовские|běsovьskyję̌|15|adj_hard|1
бесо́вского|бесовского|běsovьskogo|3|adj_hard|1
бесо́вской|бесовской|běsovьskъjь|1|adj_hard|1
бесо́вских|бесовских|běsovьskyxъ|17|adj_hard|1
бесо́вскому|бесовскому|běsovьskomu|4|adj_hard|1
бесо́вским|бесовским|běsovьskymь|6|adj_hard|1
бесо́вскую|бесовскую|běsovьskǫjǫ|23|adj_hard|1
бесо́вскою|бесовскою|běsovьskojǫ|27|adj_hard|1
бесо́вскими|бесовскими|běsovьskymi|20|adj_hard|1
бесо́вском|бесовском|běsovьskomь|5|adj_hard|1
бесо́вский||||adj_hard|0
бесо́вское|бесовское|běsovьskoje|43|adj_hard|1
бесо́вская|бесовская|běsovьskajǢ|22|adj_hard|1
бесо́вские|бесовские|běsovьskyję̌|15|adj_hard|1
бесо́вского|бесовского|běsovьskogo|3|adj_hard|1
