роді,V-,1198,родити#1
ӣа̄кова,Ne,412,иꙗковъ
ӣа̄ковъ,Ne,412,иꙗковъ
же,Df,20,же
роді,V-,1198,родити#1
ӣо̄сіфа,Ne,1392,иосифъ
мѫжа,Nb,70,мѫжь
мариӣна,A-,2165,мариинъ
ӣӡ,R-,486,из
неѧ̄же,Pr,96,иже
роді,V-,1198,родити#1
сѧ,Pk,21,себе
ӣс҃ъ,Ne,343,исоусъ
наріцае̄мъи,V-,68,нарицати
х҃ъ,Ne,305,христ(ос)ъ
Вьсѣхъ,Px,54,вьсь
же,Df,20,же
родовъ,Nb,57,родъ
ѡт҃,R-,80,отъ
а̄враа̄ма,Ne,963,авраамъ
до,R-,187,до
д҃да,Nb,0,
Родовъ,Nb,57,родъ
г҃і҃,Nb,342,господь
те,Pp,304,тꙑ
Ӣ,C-,13,и
ѡт҃,R-,80,отъ
д҃да,Nb,0,
до,R-,187,до
прѣселениѣ̄,Nb,3824,прѣселѥниѥ
вавілон᾽скаа̄го,A-,0,
Родовъ,Nb,57,родъ
г҃і҃,Nb,342,господь
те,Pp,304,тꙑ
Ӣ,C-,13,и
ѡт҃,R-,80,отъ
прѣселениѣ̄,Nb,3824,прѣселѥниѥ
вавилон̄с̄каа̄го,A-,0,
до,R-,187,до
х҃а,Ne,305,христ(ос)ъ
Родовъ,Nb,57,родъ
г҃і҃,Nb,342,господь
те,Pp,304,тꙑ
И҃схво,A-,0,
же,Df,20,же
р҃одство,Nb,0,
сіце,Df,127,сице
бъіс҃,V-,18,бꙑти
о̄брѫченѣ,V-,2430,обрѫчити
бъивьші,V-,18,бꙑти
матері,Nb,1170,мати
е̄го,Pp,64,и
маріӣ,Ne,663,мариꙗ
Ӣо̄сіфові,Ne,1392,иосифъ
прѣжде,Df,5,прѣжде
даже,G-,1923,даже
не,Df,8,не
сьнѧсте,V-,2376,сънѧти
сѧ,Pk,21,себе
О̄брѣте,V-,225,обрѣсти
сѧ,Pk,21,себе
ӣмѫщі,V-,9,имѣти
въ,R-,111,въ
чрѣвѣ,Nb,1291,чрѣво
ѡт҃,R-,80,отъ
д҃ха,Nb,443,доухъ
с҃та,V-,1274,стати
Ӣо̄сіфь,Ne,1392,иосифъ
же,Df,20,же
мѫжь,Nb,70,мѫжь
е̄ѧ̄,Pp,64,и
правьденъ,A-,71,правьдьнъ
съі,V-,18,бꙑти
ӣ,C-,13,и
не,Df,8,не
хотѧ,V-,301,хотѣти
о̄блічіті,V-,1567,обличити
е̄ѧ̄,Pp,64,и
Въсх̄отѣ,V-,578,въсхотѣти
таӣ,Df,3136,таи
поустіті,V-,704,поустити
᾽ѭ,Pp,64,и
Се,Pd,47,сь
же,Df,20,же
е̄моу,Pp,64,и
о̄умъішльшоу,V-,795,оумꙑти
се,I-,419,се
а̄н҃ђлъ,Nb,159,ангелъ
г҃нь,A-,1674,господьнь
вь,R-,111,въ
сьнѣ,Nb,1976,сънъ
ѣ̄ви,V-,358,авити
сѧ,Pk,21,себе
е̄моу,Pp,64,и
г҃лѧ,V-,102,глаголати
Ӣо̄сіфе,Ne,1392,иосифъ
с҃не,Nb,341,сꙑнъ#1
д҃двъ,A-,0,
не,Df,8,не
о̄убоӣ,V-,1156,оубоꙗти
сѧ,Pk,21,себе
пріѧ̄ті,V-,165,приѩти
женъі,Nb,693,жена
твое̄ѧ̄,Ps,307,твои
м̄ар̄іѧ̄,Ne,663,мариꙗ
сѫштее̄,V-,18,бꙑти
бо,Df,94,бо
вь,R-,111,въ
неӣ,Pp,64,и
Ѡт҃,R-,80,отъ
д҃ха,Nb,443,доухъ
с҃та,V-,1274,стати
е̄стъ,V-,18,бꙑти
Родіт,V-,0,
же,Df,20,же
с҃на,Nb,341,сꙑнъ#1
Ӣ,C-,13,и
наречеші,V-,311,нарещи
ӣмѧ,Nb,442,имѧ
е̄моу,Pp,64,и
ӣс҃ъ,Ne,343,исоусъ
тъ,Pd,105,тъ
бо,Df,94,бо
с҃псетъ,V-,509,съпасти#1
люді,Nb,564,людиѥ
своѧ̄,Pt,217,свои
о̄ть,R-,80,отъ
грѣхъ,Nb,406,грѣхъ
ӣхъ,Pp,64,и
Се,Pd,47,сь
же,Df,20,же
вьсе,Px,54,вьсь
бъіс҃,V-,18,бꙑти
да,G-,366,да
събѫдет,V-,0,
сѧ,Pk,21,себе
реченое̄,V-,106,рещи
о̄тъ,R-,80,отъ
г҃а,Nb,342,господь
исаӣе̄м,Nb,0,
п҃рркмъ,Nb,0,
г҃лщемъ,V-,102,глаголати
Се,I-,419,се
дѣва,Nb,666,дѣва
въ,R-,111,въ
