Ӣо̄зіѣ̄|Nb|-s---ng--i|іозіѣ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
ӣо̄а̄тама|Nb|-d---fd--i|іоатама|0|FIXME
ӣо̄а̄тамь|Pd|-s---mn--i|іоатамь|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
а̄хаза|Nb|-s---fn--i|ахаза|0|FIXME
А̄хазь|V-|2spma----i|ахазь|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
ӣе̄зекіѭ̄|Nb|-s---fa--i|іезекіѭ|0|FIXME
ӣе̄зекіѣ̄|Ne|-s---mn--i|іезекіѣ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
манасиѭ̄|Ne|-s---ma--i|манасіѭ|7370|манасиꙗ
манасіӣ|Ne|-s---mn--i|манасіі|3801|манасии
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
а̄мо̄с̄а|Nb|-s---mg--i|амоса|0|FIXME
А̄мось|Ne|-s---mn--i|амось|6728|амосъ
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
ӣо̄сіѭ̄|Nb|-s---fa--i|іосіѭ|0|FIXME
Ӣо̄сіа̄|Ne|-s---fn--i|іосіа|1392|иосифъ
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
ӣо̄хоніѭ̄|Ne|-s---fa--i|іохоніѭ|0|FIXME
и|C-|---------n|і|13|и
братиѭ̄|Nb|-s---fa--i|братіѭ|290|братриꙗ
е̄го|Pp|3s---mg--i|его|64|и
Въ|R-|---------n|въ|111|въ
прѣселеніӣ|Nb|-s---nl--i|прѣселеніі|3824|прѣселѥниѥ
вавілонстѣа̄мь|A-|-s---mlpwi|вавілонстѣамь|4268|вавѵлоньскъ
По|R-|---------n|по|77|по
прѣселениӣ|Nb|-s---nl--i|прѣселеніі|3824|прѣселѥниѥ
же|Df|---------n|же|20|же
вавілоньстѣ|A-|-s---mlpsi|вавілоньстѣ|4268|вавѵлоньскъ
Ӣо̄хониѣ̄|Nb|-p---nn--i|іохоніѣ|0|FIXME
роди|V-|3saia----i|роді|1198|родити#1
салатилѣ|Nb|-s---nl--i|салатілѣ|0|FIXME
салатіль|V-|-sspamn-si|салатіль|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
зоров̄авелѣ|Ne|-s---mg--i|зоровавелѣ|0|FIXME
Зоров̄авель|Ne|-s---mn--i|зоровавель|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
А̄віѹ̄да|Ne|-s---mn--i|авіоуда|0|FIXME
А̄віѹ̄дъ|Nb|-s---ma--i|авіоудъ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
е̄лиа̄кіма|Ne|-s---mg--i|еліакіма|0|FIXME
е̄лиа̄кимь|Ne|-s---mn--i|еліакімь|0|FIXME
