заповѣстъ|V-|3spia----i|заповѣстъ|1530|заповѣдѣти
о̄|R-|---------n|о|1|о
тебѣ|Pp|2s---ml--i|тебѣ|304|тꙑ
ӣ|C-|---------n|і|13|и
на|R-|---------n|на|117|на
рѫкахъ|Nb|-p---fl--i|рѫкахъ|414|рѫка
възьмѫтъ|V-|3ppia----i|възьмѫтъ|606|възѧти
тѧ|Pp|2s---ma--i|тѧ|304|тꙑ
да|G-|---------n|да|366|да
не|Df|---------n|не|8|не
прѣтъкнеши|V-|2spia----i|прѣтъкнеші|2597|прѣтъкнѫти
о̄|R-|---------n|о|1|о
камень|Nb|-s---ma--i|камень|870|камꙑ
ногъи|Nb|-s---fg--i|ногъі|716|нога
твое̄ѩ̄|Ps|2s---fg--i|твоеѧ|307|твои
Рече|V-|3saia----i|рече|106|рещи
е̄мѹ|Pp|3s---md--i|емоу|64|и
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ
пакъи|Df|---------n|пакъі|616|пакꙑ
писано|V-|-suppnn-si|пісано|32|пьсати
е̄стъ|V-|3spia----i|естъ|18|бꙑти
не|Df|---------n|не|8|не
ӣскѹсиши|V-|2spia----i|іскоусіші|2244|искоусити
г҃а|Nb|-s---mg--i|га|342|господь
б҃а|Nb|-s---mg--i|ба|34|богъ
свое̄го|Pt|3s---mg--i|своего|217|свои
Пакъі|Df|---------n|пакъі|616|пакꙑ
поѩ̄тъі|V-|-suppmn-wi|поѧтъі|734|поѩти
діѣ̄волъ|Nb|-s---mn--i|діѣволъ|1365|диꙗволъ
на|R-|---------n|на|117|на
горѫ|Nb|-s---fa--i|горѫ|930|гора
въисокѫ|A-|-s---fapsi|въісокѫ|1525|вꙑсокъ
ѕѣло|Df|---------n|зѣло|37|ѕѣло
ӣ|C-|---------n|і|13|и
показа|V-|3saia----i|показа|942|показати
е̄мѹ|Pp|3s---md--i|емоу|64|и
всѣ̄|Px|-p---na--i|всѣ|54|вьсь
ц҃рствіѣ̄|Nb|-s---ng--i|црствіѣ|782|цѣсарьствиѥ
въсего|Px|-s---og--i|въсего|54|вьсь
мира|Nb|-s---mg--i|міра|284|миръ#2
ӣ|C-|---------n|і|13|и
славѫ|Nb|-s---fa--i|славѫ|291|слава
ӣхъ|Pp|3p---mg--i|іхъ|64|и
ӣ|C-|---------n|і|13|и
рече|V-|3saia----i|рече|106|рещи
е̄мѹ|Pp|3s---md--i|емоу|64|и
въса|Px|-p---na--i|въса|54|вьсь
сіӣ|Pd|-p---na--i|сіі|47|сь
тебѣ|Pp|2s---md--i|тебѣ|304|тꙑ
да̄мъ|V-|1spia----i|дамъ|116|дати
а̄ште|G-|---------n|аште|248|аще
падъ|V-|-supamn-si|падъ|457|пасти#1
поклониши|V-|2spia----i|поклоніші|1434|поклонити
ми|Pp|1s---md--i|мі|440|азъ
сѧ|Pk|3s---qa--i|сѧ|21|себе
Тогда̄|Df|---------n|тогда|673|тъгда
рече|V-|3saia----i|рече|106|рещи
е̄мѹ|Pp|3s---md--i|емоу|64|и
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ
о̄тіди|V-|2spma----i|отіді|433|отити
сотоно|Nb|-s---mv--i|сотоно|434|сотона
Писано|V-|-suppnn-si|пісано|32|пьсати
бо|Df|---------n|бо|94|бо
е̄стъ|V-|3spia----i|естъ|18|бꙑти
г҃ю|Nb|-s---md--i|гю|342|господь
б҃ѹ|Nb|-s---md--i|боу|34|богъ
свое̄мѹ|Pt|3s---od--i|своемоу|217|свои
поклониши|V-|2spia----i|поклоніші|1434|поклонити
сѧ|Pk|3s---qa--i|сѧ|21|себе
ӣ|C-|---------n|і|13|и
томѹ|Pd|-s---md--i|томоу|105|тъ
е̄диномѹ|Ma|-s---md--i|едіномоу|243|ѥдинъ
послѹжиші|V-|2spia----i|послоужіші|1652|послоужити
тогда|Df|---------n|тогда|673|тъгда
ӣ|C-|---------n|і|13|и
о̄стави|V-|3saia----i|оставі|669|оставити
діѣ̄волъ|Nb|-s---mn--i|діѣволъ|1365|диꙗволъ
ӣ|C-|---------n|і|13|и
се|I-|---------n|се|419|се
прист̄ѫпішѧ|V-|3paia----i|прістѫпішѧ|933|пристѫпити
а҃̄нꙉли|Nb|-p---mn--i|англі|159|ангелъ
б҃жіӣ|A-|-p---mnpsi|бжіі|239|божии
и|C-|---------n|і|13|и
слѹжаа̄хѫ|V-|3piia----i|слоужаахѫ|976|слоужити
е̄мѹ|Pp|3s---md--i|емоу|64|и
слъішавъ|V-|-supamn-si|слъішавъ|689|слꙑшати
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
ӣо̄а̄нъ|Ne|-s---mn--i|іоанъ|1180|иоанъ
прѣданъ|V-|-suppmn-si|прѣданъ|679|прѣдати
бъіс|V-|3saia----i|бъіс|18|бꙑти
о̄тіде|V-|3saia----i|отіде|433|отити
въ|R-|---------n|въ|111|въ
галилеѭ̄|Ne|-s---fa--i|галілеѭ|1542|галилеꙗ
о̄ставль|V-|-supamn-si|оставль|669|оставити
назаретъ|Ne|-s---ma--i|назаретъ|1676|назаретъ
ӣ|C-|---------n|і|13|и
пришедъ|V-|-supamn-si|прішедъ|221|прити
въсели|V-|3saia----i|въселі|568|въселити
сѧ|Pk|3s---qa--i|сѧ|21|себе
въ|R-|---------n|въ|111|въ
каперн̄аѹ̄мъ|Ne|-s---ma--i|капернаоумъ|947|каперънаоумъ
въ|R-|---------n|въ|111|въ
поморие̄|Nb|-s---na--i|поморіе|1306|помориѥ
въ|R-|---------n|въ|111|въ
прѣдѣлѣхъ|Nb|-p---nl--i|прѣдѣлѣхъ|1028|прѣдѣлъ
завьлоніихъ|A-|-p---nlpwi|завьлонііхъ|0|FIXME
ӣ|C-|---------n|і|13|и
невт̄алімлихъ|V-|1saia----i|невталімліхъ|0|FIXME
Да|G-|---------n|да|366|да
събѫдетъ|V-|3spia----i|събѫдетъ|980|събꙑти
сѧ|Pk|3s---qa--i|сѧ|21|себе
реченое̄|V-|-suppnn-wi|реченое|106|рещи
ӣсаӣе҅̄мъ|Ne|-s---mi--i|ісаіемъ|981|исаиꙗ
п҃рркмъ|Nb|-s---mi--i|прркмъ|0|FIXME
г҃лщемъ|V-|-sppami-si|глштемъ|102|глаголати
з̄емлѣ̄|Nb|-s---fv--i|землѣ|210|землꙗ
завлона|Ne|-s---mg--i|завлона|0|FIXME
ӣ|C-|---------n|і|13|и
зем̄лѣ̄|Nb|-s---fn--i|землѣ|210|землꙗ
невт̄алімѣ|Ne|-s---ml--i|невталімѣ|0|FIXME
пѫтъ|Nb|-s---ma--i|пѫтъ|678|пѫть
морѣ|Nb|-s---ng--i|морѣ|1000|морѥ
о̄б|R-|---------n|об|1|о
онъ|Pd|-s---ma--i|онъ|83|онъ
полъ|Nb|-s---ma--i|полъ|986|полъ#1
ӣо̄рда̄н̄а|Ne|-s---mg--i|іордана|4197|иорданъ
галілеа̄|Ne|-s---mg--i|галілеа|1542|галилеꙗ
ѩ҃̄̄зкъ|Nb|-s---mn--i|ѧзкъ|44|ѩзꙑкъ
людіе̄|Nb|-p---mn--i|людіе|564|людиѥ
сѣдѧщии|V-|-pppamn-wi|сѣдѧштіі|1041|сѣдѣти
въ|R-|---------n|въ|111|въ
тьмѣ|Nb|-s---fl--i|тьмѣ|810|тьма#1
відѣшѧ|V-|3paia----i|відѣшѧ|479|видѣти
свѣт|Nb|-p---ng--i|свѣт|809|свѣтъ#1
веліӣ|A-|-p---qgpsi|веліі|924|велии
ӣ|C-|---------n|і|13|и
сѣдѧдѧщиӣ|V-|-pppamn-wi|сѣдѧдѧштіі|1041|сѣдѣти
въ|R-|---------n|въ|111|въ
странѣ|Nb|-s---fl--i|странѣ|1009|страна
свѣт|V-|-supamn-si|свѣт|4967|свѣтити
въсіѣ̄|V-|3saia----i|въсіѣ|1312|въсиꙗти
ӣмъ|Pp|3p---md--i|імъ|64|и
ѡт|R-|---------n|от|80|отъ
толѣ|Nb|-s---ml--i|толѣ|0|FIXME
начѧтъ|V-|3saia----i|начѧтъ|82|начѧти
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ
проповѣдати|V-|--pna----i|проповѣдаті|386|проповѣдати
ӣ|C-|---------n|і|13|и
г҃лати|V-|--pna----i|глаті|102|глаголати
Покаӣте|V-|2ppma----i|покаіте|495|покаꙗти
сѧ|Pk|3p---qa--i|сѧ|21|себе
пріближи|V-|3saia----i|прібліжі|1119|приближити
бо|Df|---------n|бо|94|бо
сѧ|Pk|3s---qa--i|сѧ|21|себе
ц҃рство|Nb|-s---nn--i|црство|622|цѣсарьство
н҃бсное̄|A-|-s---nnpwi|нбсное|399|небесьнъ
ходѧ|V-|-sppamn-si|ходѧ|1036|ходити
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ
при|R-|---------n|прі|191|при
морі|Nb|-s---nl--i|морі|1000|морѥ
галілеи҅стѣа̄мь|A-|-s---mlpwi|галілеістѣамь|1475|галилеискъ
відѣ|V-|3saia----i|відѣ|479|видѣти
дъва|Ma|-d---ma--i|дъва|230|дъва
брата|Nb|-s---mg--i|брата|273|братръ
сімона|Ne|-s---mg--i|сімона|1104|симонъ
наріцаемаа̄го|V-|-spppmg-wi|наріцаемааго|68|нарицати
петра|Ne|-s---mg--i|петра|438|петръ
Ӣ|C-|---------n|і|13|и
анд̄реа̄|Ne|-s---mn--i|андреа|1105|аньдреꙗ
брата|Nb|-s---mg--i|брата|273|братръ
е̄го|Pp|3s---mg--i|его|64|и
въмѣтаѭ̄ща|V-|-dppama-si|въмѣтаѭшта|902|въмѣтати
мрѣжѧ|Nb|-p---fa--i|мрѣжѧ|2065|мрѣжа
въ|R-|---------n|въ|111|въ
море|Nb|-s---na--i|море|1000|морѥ
бѣсте|V-|3diia----i|бѣсте|18|бꙑти
бо|Df|---------n|бо|94|бо
ловц̄а|Nb|-d---mn--i|ловца|2067|ловьць
Ӣ|C-|---------n|і|13|и
рече|V-|3saia----i|рече|106|рещи
ӣма|Pp|3d---md--i|іма|64|и
грѧдѣта|V-|2dpma----i|грѧдѣта|958|грѧсти
по|R-|---------n|по|77|по
мьнѣ|Pp|1s---ql--i|мьнѣ|440|азъ
Ӣ|C-|---------n|і|13|и
сътворѭ|V-|1spia----i|сътворѭ|73|сътворити
въі|Pp|2p---qa--i|въі|266|вꙑ
ловца|Df|---------n|ловца|0|FIXME
ч҃комъ|Nb|-p---md--i|чкомъ|211|чловѣкъ
О̄на|Pd|-d---mn--i|она|83|онъ
же|Df|---------n|же|20|же
абие̄|Df|---------n|абіе|938|абиѥ
о̄ставлъша|V-|-dupamn-si|оставлъша|669|оставити
мрѣжѧ|Nb|-p---fa--i|мрѣжѧ|2065|мрѣжа
по|R-|---------n|по|77|по
немъ|Pp|3s---ml--i|немъ|64|и
ӣдете|V-|3daia----i|ідете|671|ити
ӣ|C-|---------n|і|13|и
прѣшедъ|V-|-supamn-si|прѣшедъ|1027|прѣити
о̄тъ|R-|---------n|отъ|80|отъ
тѫдѣ|Df|---------n|тѫдѣ|1082|тѫдоу
ѹ̄зьрѣ|V-|3saia----i|оузьрѣ|857|оузьрѣти
ӣна|Px|-d---ma--i|іна|259|инъ
дъва|Ma|-d---ma--i|дъва|230|дъва
братр̄а|Nb|-d---ma--i|братра|273|братръ
ӣа̄кова|Ne|-s---mg--i|іакова|412|иꙗковъ
с҃на|Nb|-d---ma--i|сна|341|сꙑнъ#1
зеведео̄ва|A-|-d---mapsi|зеведеова|1640|зеведеовъ
ӣ|C-|---------n|і|13|и
ӣо̄а̄на|Ne|-s---mg--i|іоана|1180|иоанъ
бра(та|Nb|-s---mg--i|брата|273|братръ
его|Pp|3s---mg--i|его|64|и
въ|R-|---------n|въ|111|въ
кораби|Nb|-s---ml--i|корабі|998|корабль
съ|R-|---------n|съ|92|съ
зеведео̄мъ|Nb|-p---md--i|зеведеомъ|0|FIXME
о҃цмъ|Nb|-s---mi--i|оцмъ|306|отьць
е̄ю̄|Pp|3d---mg--i|ею|64|и
завѧзаѭ̄ща|V-|-dppama-si|завѧзаѭшта|2069|завѧзати
мрѣжѧ|Nb|-p---fa--i|мрѣжѧ|2065|мрѣжа
своѩ|Pt|3p---fa--i|своѧ|217|свои
ӣ|C-|---------n|і|13|и
възьва|V-|3saia----i|възьва|2070|възъвати
ѣ̄|Pp|3d---ma--i|ѣ|64|и
о̄на|Pd|-d---mn--i|она|83|онъ
а̄біе̄|Df|---------n|абіе|938|абиѥ
о̄ставлъша|V-|-dupamn-si|оставлъша|669|оставити
корабь|Nb|-s---ma--i|корабь|998|корабль
ӣ|C-|---------n|і|13|и
о҃̄ца|Nb|-s---mg--i|оца|34|богъ
свое̄го|Pt|3s---mg--i|своего|217|свои
по|R-|---------n|по|77|по
немь|Pp|3s---ml--i|немь|64|и
и҅дете|V-|3daia----i|ідете|671|ити
и|C-|---------n|і|13|и
прохождаа̄ше|V-|3siia----i|прохождааше|1090|проходити
въсѭ|Px|-s---fa--i|въсѭ|54|вьсь
галілеѭ̄|Ne|-s---fa--i|галілеѭ|1542|галилеꙗ
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ
ѹ̄чѧ|V-|-sppamn-si|оучѧ|103|оучити
на|R-|---------n|на|117|на
сьнъмишиӣх|A-|-p---fgpwi|сьнъмішііх|0|FIXME
ӣ|C-|---------n|і|13|и
проповѣдаѩ̄|V-|-sppamn-si|проповѣдаѧ|386|проповѣдати
е҃̄вꙉлие̄|Nb|-s---na--i|евгліе|170|евангелиѥ
ц҃рствию̄|Nb|-s---nd--i|црствію|782|цѣсарьствиѥ
ӣ|C-|---------n|і|13|и
ӣцѣлѣѩ|V-|-sppamn-si|іцѣлѣѧ|955|ицѣлѣти
въсѣкъ|A-|-s---mapsi|въсѣкъ|362|вьсꙗкъ
недѫгь|Nb|-s---ma--i|недѫгь|982|недѫгъ
ӣ|C-|---------n|і|13|и
вс̄ѣкѫ|A-|-s---fapsi|всѣкѫ|362|вьсꙗкъ
ѩ̄ѕѫ|Nb|-s---fa--i|ѧзѫ|1093|ѩѕа
въ|R-|---------n|въ|111|въ
людехъ|Nb|-p---ml--i|людехъ|564|людиѥ
въ|R-|---------n|въ|111|въ
слѣдъ|Nb|-s---ma--i|слѣдъ|931|слѣдъ
и҃̄са|Ne|-s---mg--i|іса|343|исоусъ
ӣдѫ|V-|3paia----i|ідѫ|671|ити
народі|Nb|-p---mn--i|народі|627|народъ
мно̄ѕи|A-|-p---mnpsi|мнозі|49|мъногъ
ѡ҅̄т|R-|---------n|от|80|отъ
галілеѩ̄|Ne|-s---fg--i|галілеѧ|1542|галилеꙗ
ӣ|C-|---------n|і|13|и
декаполѣ|Ne|-s---mg--i|декаполѣ|2146|декаполь
и|C-|---------n|і|13|и
от|R-|---------n|от|80|отъ
и҃̄е̄рлма|Ne|-s---mg--i|іерлма|717|иѥроусалимъ
ӣ|C-|---------n|і|13|и
ӣю̄деѩ̄|Ne|-s---fg--i|іюдеѧ|1840|июдеꙗ
съ|R-|---------n|съ|92|съ
о̄ного|Pd|-s---mg--i|оного|83|онъ
полѹ|Nb|-s---mg--i|полоу|1593|полъ#2
ӣе̄рда̄на|Ne|-s---mg--i|іердана|0|FIXME
в̄|Ma|---------n|в|145|триѥ
слѣд|Nb|-s---ma--i|слѣд|931|слѣдъ
и҃̄са|Ne|-s---mg--i|іса|343|исоусъ
ӣдѫ|V-|1spia----i|ідѫ|671|ити
в҃|R-|---------n|в|111|въ
слѣд|Nb|-s---ma--i|слѣд|931|слѣдъ
и҃̄са|Ne|-s---mg--i|іса|343|исоусъ
ӣдѫ|V-|1spia----i|ідѫ|671|ити
в|R-|---------n|в|111|въ
слѣдъ|Nb|-s---ma--i|слѣдъ|931|слѣдъ
и҃̄са|Ne|-s---mg--i|іса|343|исоусъ
ӣдѫ|V-|1spia----i|ідѫ|671|ити
народ|Nb|-s---ma--i|народ|627|народъ
ӣ|C-|---------n|і|13|и
ѹ̄зьрѣвъ|V-|-supamn-si|оузьрѣвъ|857|оузьрѣти
же|Df|---------n|же|20|же
народъи|Nb|-p---ma--i|народъі|627|народъ
възиде|V-|3saia----i|възіде|1316|възити
на|R-|---------n|на|117|на
горѫ|Nb|-s---fa--i|горѫ|930|гора
ӣ|C-|---------n|і|13|и
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
сѣде|V-|3saia----i|сѣде|1305|сѣсти
прістѫпішѧ|V-|3paia----i|прістѫпішѧ|933|пристѫпити
кь|R-|---------n|кь|59|къ
немѹ|Pp|3s---md--i|немоу|64|и
ѹ҅ченици|Nb|-p---mn--i|оученіці|359|оученикъ
е̄го|Pp|3s---mg--i|его|64|и
И|C-|---------n|і|13|и
о̄твръзь|V-|2spma----i|отвръзь|866|отврѣсти
ѹ̄ста|Nb|-p---na--i|оуста|119|оуста
своѣ̄|Pt|3p---na--i|своѣ|217|свои
ѹ̄чаа̄ше|V-|3siia----i|оучааше|103|оучити
ѩ̄|Pp|3p---ma--i|ѧ|64|и
г҃лѧ|V-|-sppamn-si|глѧ|102|глаголати
Блажени|A-|-p---mnpsi|блажені|526|блаженъ
нищи|A-|-p---mnpsi|нішті|1189|нищь
д҃хмъ|Nb|-s---mi--i|дхмъ|443|доухъ
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
тѣх|Pd|-p---mg--i|тѣх|105|тъ
е̄стъ|V-|3spia----i|естъ|18|бꙑти
ц҃рство|Nb|-s---nn--i|црство|622|цѣсарьство
н҃бсъное̄|A-|-s---nnpwi|нбсъное|399|небесьнъ
Блажени|A-|-p---mnpsi|блажені|526|блаженъ
плачѧштии|V-|-pppamn-wi|плачѧштіі|1051|плакати#1
сѧ|Pk|3s---qa--i|сѧ|21|себе
ѣ̄ко|Df|---------n|ѣко|771|ꙗко#1
ти|Pd|-p---mn--i|ті|105|тъ
ѹ̄тѣшѧтъ|V-|3ppia----i|оутѣшѧтъ|3169|оутѣшити
сѧ|Pk|3s---qa--i|сѧ|21|себе
Блажені|A-|-p---mnpsi|блажені|526|блаженъ
кротциӣ|A-|-p---mnpwi|кротціі|1239|кротъкъ
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
ті|Pd|-p---mn--i|ті|105|тъ
наслѣдѧт|V-|3ppia----i|наслѣдѧт|1622|наслѣдити
землѭ̄|Nb|-s---fa--i|землѭ|210|землꙗ
Блажени|A-|-p---mnpsi|блажені|526|блаженъ
а̄лчѫщіӣ|V-|-pppamn-wi|алчѫштіі|1892|алъкати
ӣ|C-|---------n|і|13|и
жѧждѫщіи|V-|-pppamn-wi|жѧждѫштіі|587|жѧдати
правъдъі|Nb|-s---fg--i|правъдъі|569|правьда
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
ти|Pd|-p---mn--i|ті|105|тъ
насъітѧтъ|V-|3ppia----i|насъітѧтъ|621|насꙑтити
сѧ|Pk|3s---qa--i|сѧ|21|себе
Блажени|A-|-p---mnpsi|блажені|526|блаженъ
милостівіӣ|A-|-p---mnpwi|мілостівіі|333|милостивъ
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
ті|Pd|-p---mn--i|ті|105|тъ
поміловани|V-|-puppmn-si|поміловані|62|помиловати
бѫдѫтъ|V-|3pfia----i|бѫдѫтъ|18|бꙑти
Блажені|A-|-p---mnpsi|блажені|526|блаженъ
чісти|A-|-p---mnpsi|чісті|665|чистъ
с҃рдцмъ|Nb|-s---ni--i|срдцмъ|446|срьдьце
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
ті|Pd|-p---mn--i|ті|105|тъ
б҃а|Nb|-s---mg--i|ба|34|богъ
ѹ̄зьрѧтъ|V-|3ppia----i|оузьрѧтъ|857|оузьрѣти
Блажени|A-|-p---mnpsi|блажені|526|блаженъ
сьмирѣѭ̄щеӣ|V-|-pppamn-wi|сьмірѣѭштеі|8806|съмирꙗти
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
ти|Pd|-p---mn--i|ті|105|тъ
с҃нве|Nb|-p---mn--i|снве|341|сꙑнъ#1
б҃жіи|A-|-s---mnpsi|бжіі|239|божии
нарекѫт|V-|3ppia----i|нарекѫт|311|нарещи
с̄ѧ|Pk|3s---qa--i|сѧ|21|себе
Блажени|A-|-p---mnpsi|блажені|526|блаженъ
ӣзгь̄наніӣ|V-|-puppmn-si|ізгьнаніі|315|изгънати
правд̄ъи|Nb|-s---fg--i|правдъі|569|правьда
раді|R-|---------n|раді|560|ради
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
тѣ(хъ|Pd|-p---mg--i|тѣхъ|105|тъ
ест|V-|3spia----i|ест|18|бꙑти
ц҃рство|Nb|-s---nn--i|црство|622|цѣсарьство
н҃бсное̄|A-|-s---nnpwi|нбсное|399|небесьнъ
Блажені|A-|-p---mnpsi|блажені|526|блаженъ
е̄сте|V-|2ppia----i|есте|18|бꙑти
е̄гда|Dq|---------n|егда|300|ѥгда
поносѧтъ|V-|3ppia----i|поносѧтъ|1215|поносити
вамъ|Pp|2p---pd--i|вамъ|266|вꙑ
ч҃лці|Nb|-p---mn--i|члці|211|чловѣкъ
ӣ|C-|---------n|і|13|и
ӣжденѫтъ|V-|3ppia----i|іжденѫтъ|315|изгънати
въі|Pp|2p---pa--i|въі|266|вꙑ
ӣ|C-|---------n|і|13|и
рекѫтъ|V-|3ppia----i|рекѫтъ|106|рещи
въсь|Px|-s---ma--i|въсь|54|вьсь
зьль|A-|-s---mapsi|зьль|522|зълъ
г҃лъ|Nb|-s---ma--i|глъ|468|глаголъ
на|R-|---------n|на|117|на
въі|Pp|2p---pa--i|въі|266|вꙑ
лъжѧште|V-|-pppamn-si|лъжѧште|2286|лъгати
мене|Pp|1s---mg--i|мене|440|азъ
раді|R-|---------n|раді|560|ради
Радѹӣте|V-|2ppma----i|радоуіте|1566|радовати
сѧ|Pk|3s---qa--i|сѧ|21|себе
ӣ|C-|---------n|і|13|и
веселите|V-|2ppia----i|веселіте|529|веселити
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
мьзда|Nb|-s---fn--i|мьзда|750|мьзда
ваша|Ps|2s---fn--i|ваша|723|вашь
мно̄га|A-|-s---fnpsi|многа|49|мъногъ
е̄стъ|V-|3spia----i|естъ|18|бꙑти
на|R-|---------n|на|117|на
н҃бсехъ|Nb|-p---nl--i|нбсехъ|209|небо
въи|Pp|2p---mn--i|въі|266|вꙑ
е̄сте|V-|2ppia----i|есте|18|бꙑти
свѣтъ|Nb|-s---mn--i|свѣтъ|809|свѣтъ#1
въсемѹ|Px|-s---md--i|въсемоу|54|вьсь
мірѹ|Nb|-s---md--i|міроу|284|миръ#2
Не|Df|---------n|не|8|не
можетъ|V-|3spia----i|можетъ|31|мощи
градъ|Nb|-s---mn--i|градъ|718|градъ
ѹ̄кръіті|V-|--pna----i|оукръіті|2967|оукрꙑти
сѧ|Pk|3s---qa--i|сѧ|21|себе
връхѹ|R-|---------n|връхоу|1667|врьхоу
горъі|Nb|-s---fg--i|горъі|930|гора
стоѩ̄|V-|-sppamn-si|стоѧ|774|стоꙗти
въи|Pp|2p---qn--i|въі|266|вꙑ
е̄сте|V-|2ppia----i|есте|18|бꙑти
свѣт|Nb|-p---ng--i|свѣт|809|свѣтъ#1
въі|Pp|2p---qn--i|въі|266|вꙑ
е̄сте|V-|2ppia----i|есте|18|бꙑти
свѣт|Nb|-p---ng--i|свѣт|809|свѣтъ#1
въи|Pp|2p---qn--i|въі|266|вꙑ
е̄сте|V-|2ppia----i|есте|18|бꙑти
свѣт|Nb|-p---ng--i|свѣт|809|свѣтъ#1
въи|R-|---------n|въі|111|въ
е̄свѣт|Nb|-p---ng--i|есвѣт|0|FIXME
Ни|C-|---------n|ні|157|ни
въжагаѭ̄тъ|V-|3ppia----i|въжагаѭтъ|5285|въжагати
свѣтільніка|Nb|-s---mg--i|свѣтільніка|805|свѣтильникъ
ӣ|C-|---------n|і|13|и
поставлѣѭ̄тъ|V-|3ppia----i|поставлѣѭтъ|3435|поставлꙗти
подъ|R-|---------n|подъ|377|подъ
спѫдомъ|Nb|-s---mi--i|спѫдомъ|2120|спѫдъ
нъ|C-|---------n|нъ|11|нъ
на|R-|---------n|на|117|на
свѣщьніцѣ|Nb|-s---ml--i|свѣштьніцѣ|2121|свѣщьникъ
ӣ|C-|---------n|і|13|и
свѣтітъ|V-|3spia----i|свѣтітъ|4967|свѣтити
вьсѣмъ|Px|-p---md--i|вьсѣмъ|54|вьсь
ꙇ̄же|Pr|-p---mn--i|іже|96|иже
въ|R-|---------n|въ|111|въ
храминѣ|Nb|-s---fl--i|храмінѣ|912|храмина
сѫтъ|V-|3ppia----i|сѫтъ|18|бꙑти
Тако|Df|---------n|тако|48|тако
да|G-|---------n|да|366|да
просвѣтітъ|V-|3spia----i|просвѣтітъ|580|просвѣтити
сѧ|Pk|3s---qa--i|сѧ|21|себе
свѣтъ|Nb|-s---mn--i|свѣтъ|809|свѣтъ#1
вашъ|Ps|2s---mn--i|вашъ|723|вашь
прѣдъ|R-|---------n|прѣдъ|493|прѣдъ
ч҃лкъі|Nb|-p---ma--i|члкъі|211|чловѣкъ
да|G-|---------n|да|366|да
ѹ̄зьрѧтъ|V-|3ppia----i|оузьрѧтъ|857|оузьрѣти
ваша|Ps|2p---na--i|ваша|723|вашь
добраѣ|A-|-p---napwi|добраѣ|371|добръ
дѣла|Nb|-p---na--i|дѣла|470|дѣло
ӣ|C-|---------n|і|13|и
прославѧтъ|V-|3ppia----i|прославѧтъ|392|прославити
о҃̄ца|Nb|-s---mg--i|оца|34|богъ
вашего|Ps|2s---mg--i|вашего|723|вашь
ꙇже|Pr|-s---mn--i|іже|96|иже
е̄стъ|V-|3spia----i|естъ|18|бꙑти
на|R-|---------n|на|117|на
н҃бсехъ|Nb|-p---nl--i|нбсехъ|209|небо
Не̄|Df|---------n|не|8|не
мьните|V-|2ppma----i|мьніте|166|мьнѣти
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
придъ|V-|1saia----i|прідъ|221|прити
разоритъ|V-|---u--a--i|разорітъ|1444|разорити
закона|Nb|-s---mg--i|закона|197|законъ
ли|Du|---------n|лі|752|ли
п҃рркъ|Nb|-p---mg--i|прркъ|0|FIXME
Не|Df|---------n|не|8|не
придъ|V-|1saia----i|прідъ|221|прити
разорітъ|V-|---u--a--i|разорітъ|1444|разорити
нъ|C-|---------n|нъ|11|нъ
ӣсплънитъ|V-|---u--a--i|ісплънітъ|1383|испльнити
А̄м̄інъ|I-|---------n|амінъ|298|аминъ
г҃лѭ|V-|1spia----i|глѭ|102|глаголати
вамъ|Pp|2p---qd--i|вамъ|266|вꙑ
доӣдеже|G-|---------n|доідеже|3002|доидеже
прѣидетъ|V-|3spia----i|прѣідетъ|1027|прѣити
н҃бо|Nb|-s---nn--i|нбо|209|небо
ӣ|C-|---------n|і|13|и
землѣ|Nb|-s---fn--i|землѣ|210|землꙗ
Пісм̄ѧ|Nb|-s---nn--i|пісмѧ|2|писмѧ
е̄діно|Ma|-s---nn--i|едіно|243|ѥдинъ
лі|C-|---------n|лі|469|ли
едіна|Ma|-s---fn--i|едіна|243|ѥдинъ
чръта|Nb|-s---fn--i|чръта|12|чрьта
не|Df|---------n|не|8|не
прѣӣдетъ|V-|3spia----i|прѣідетъ|1027|прѣити
ѡ̈тъ|R-|---------n|отъ|80|отъ
закона|Nb|-s---mg--i|закона|197|законъ
доӣдеже|G-|---------n|доідеже|3002|доидеже
вьсѣ|Px|-p---nn--i|вьсѣ|54|вьсь
бѫдѫтъ|V-|3pfia----i|бѫдѫтъ|18|бꙑти
Ꙇ̄же|Pr|-s---mn--i|іже|96|иже
бо|Df|---------n|бо|94|бо
