і|Pp3s---ma--i|ӣ
по|R----------n|по
вьсеі|Px-s---fd--i|вьсеӣ
земі|Nb-s---fd--i|земи
тоі|Pd-s---fd--i|тоӣ
тѣма|Pd-d---md--i|Тѣма
же|Df---------n|же
ісходѧштема|V--dppamd-si|ӣсходѧщема
се|I----------n|се
прівѣсѧ|V-3paia----i|прівѣсѧ
члка|Nb-s---mg--i|ч҃лка
нѣма|A--d---fdpsi|нѣма
і|C----------n|ӣ
бѣсьна|Nb-s---mg--i|бѣсьна
і|C----------n|Ӣ
ізгьнаноу|V--suppmd-si|ӣзгьнанѹ
бѣсоу|Nb-s---md--i|бѣсѹ
прогла|V-3saia----i|п҃рогла
нѣмъіі|A--s---mnpwi|нѣмъіӣ
і|C----------n|И
дівішѧ|V-3paia----i|дивішѧ
сѧ|Pk3s---qa--i|сѧ
народі|Nb-p---mn--i|народи
глште|V--pppamn-si|г҃лще
ніколіже|Df---------n|Николіже
тако|Df---------n|тако
ѣві|V-3saia----i|ѣви
сѧ|Pk3s---qa--i|сѧ
въ|R----------n|въ
ілі|Ne-s---ml--i|и҃҅лі
і|C----------n|И
фарісеі|Nb-p---mn--i|фарисеӣ
глаахѫ|V-3piia----i|г҃лаа̄хѫ
о|R----------n|о
кьнѧзі|Nb-s---ml--i|кьнѧѕі
бѣсовъстѣ|V-3saia----i|бѣсовъстѣ
ізгонітъ|V-3spia----i|и҅згонитъ
бѣсъі|Nb-p---ma--i|бѣсъі
і|C----------n|И
прохождааше|V-3siia----i|прохождаа̄ше
ісъ|Ne-s---mn--i|и҃̄съ
градъі|Nb-p---ma--i|градъі
въсѧ|Px-p---ma--i|въсѧ
і|C----------n|ӣ
въсі|Px-p---mn--i|въсі
оучѧ|V--sppamn-si|ѹ̄чѧ
на|R----------n|на
сьньміштіііхъ|Nb-p---nl--i|сьньмищиӣӣхъ
іхъ|Pp3p---mg--i|и҅хъ
і|C----------n|Ӣ
проповѣдаѧ|V--sppamn-si|пр̄оповѣдаѩ̄
евгліе|Nb-s---na--i|е҃̄вꙉлие̄
црствіѣ|Nb-s---ng--i|ц҃рствіѣ̄
і|C----------n|и
цѣлѧ|V--sppamn-si|цѣлѧ
въсѣкь|V--supamn-si|въсѣкь
недѫгъ|Nb-s---ma--i|недѫгъ
і|C----------n|Ӣ
всѣкѫ|A--s---fapsi|вс̄ѣкѫ
ѧзѫ|Nb-s---fa--i|ѩ̄ѕѫ
въ|R----------n|въ
людехъ|Nb-p---ml--i|людехъ
прізъвавъ|V--supamn-si|Прізъвавъ
ісъ|Ne-s---mn--i|и҃̄съ
оба|Ma-d---ma--i|о̄ба
на|R----------n|на
десѧте|Ma-s---pl--i|десѧте
оученіка|Nb-d---ma--i|ѹ̄ченіка
своѣ|Pt3d---ma--i|своѣ̄
дастъ|V-3saia----i|Дастъ
імъ|Pp3p---md--i|ӣмъ
власть|Nb-s---fa--i|власть
на|R----------n|на
дсѣхъ|Nb-p---ml--i|д҃сѣхъ
нечістъііхъ|A--p---mlpwi|нечі҅стъіӣхъ
да|G----------n|да
ізгонѧтъ|V-3ppia----i|ӣзгонѧтъ
ѧ|Pp3p---ma--i|ѩ̄
і|C----------n|ӣ
іцѣлѧтъ|V-3ppia----i|ӣцѣлѧтъ
въсѣкь|V--supamn-si|въсѣкь
недѫгь|Nb-s---mn--i|недѫгь
і|C----------n|ӣ
въсѣкѫ|V-1spia----i|въсѣкѫ
ѧзѫ|Nb-s---fa--i|ѩѕѫ
въ|R----------n|въ
людехъ|Nb-p---ml--i|людехъ
сіѣ|Pd-p---ma--i|Сіѣ̄
оба|Ma-d---ma--i|о̄ба
на|R----------n|на
десѧте|Ma-s---pl--i|десѧте
посьла|A--s---ngpsi|посьла
ісъ|Ne-s---mn--i|и҃̄съ
заповѣдавъ|V--supamn-si|заповѣдавъ
імъ|Pp3p---md--i|ӣмъ
глѧ|V--sppamn-si|г҃лѧ
на|R----------n|На
пѫть|Nb-s---ma--i|пѫть
ѧзкъ|Nb-p---mg--i|ѩ҃̄зкъ
не|Df---------n|не
ідѣте|V-2ppma----i|ӣдѣте
і|C----------n|ӣ
въ|R----------n|въ
градъ|Nb-s---ma--i|градъ
самарѣнъ|Nb-p---mg--i|самарѣнъ
не|Df---------n|не
вънідѣте|V-2ppma----i|вънидѣте
ідѣте|V-2ppma----i|Йдѣте
же|Df---------n|же
паче|Df-------c-i|паче
кь|R----------n|кь
овцамъ|Nb-p---fd--i|о̄вц҅амъ
погъібъшіімъ|V--pupafd-wi|погъибъшіӣмъ
домоу|Nb-s---mg--i|домѹ
ізлва|A--s---ogpsi|и҃̄злва
ходѧште|V--pppamn-si|Ходѧште
же|Df---------n|же
проповѣдаіте|V-2ppma----i|проповѣдаӣте
глште|V--pppamn-si|г҃лште
ѣко|G----------n|Ѣ̄ко
прібліжі|V-3saia----i|прібліжі
сѧ|Pk3s---qa--i|сѧ
црство|Nb-s---nn--i|ц҃рство
нбсное|A--s---nnpwi|н҃бсное̄
болѧштѧѧ|V--pppama-wi|болѧщѧѩ̄
цѣліте|V-2ppma----i|цѣлите
мрътвъіѧ|A--p---mapwi|мрътвъіѩ̄
въскрѣшаіте|V-2ppma----i|въс̄крѣшаӣте
прокаженъіѧ|A--p---mapwi|Прокаженъіѩ̄
очіштаіте|V-2ppma----i|о̄чіштаӣте
бѣсъі|Nb-p---ma--i|Бѣсъі
ізгоніте|V-2ppma----i|ӣзгоніте
тоуне|Df---------n|Тѹне
пріѧсте|V-2paia----i|пріѩ̄сте
тоуне|Df---------n|Тѹне
же|Df---------n|же
дадіте|V-2ppma----i|дадіте
се|I----------n|Се
азъ|Pp1s---qn--i|а̄зъ
сьлѭ|V-1spia----i|сьлѭ
въі|Pp2p---qa--i|въи
ѣко|Df---------n|ѣ̄ко
овцѧ|Nb-p---fn--i|о̄вц̄ѧ
по|R----------n|по
срѣдѣ|Nb-s---fd--i|срѣдѣ
влъкъ|Nb-p---mg--i|влъкъ
бѫдѣте|V-2ppma----i|бѫдѣте
же|Df---------n|же
мѫдрі|A--p---mnpsi|мѫдрі
ѣко|Df---------n|ѣ̄ко
зміѧ|Nb-p---fn--i|зм҅иѩ̆
і|C----------n|ӣ
цѣлі|A--p---mnpsi|цѣлі
ѣко|Df---------n|ѣ̄ко
голѫбіе|Nb-p---mn--i|голѫбіе̄
слоушаѧі|V--sppamn-wi|слѹшаѩ̄ӣ
вънемлѣте|V-2ppma----i|Вънемлѣте
же|Df---------n|же
отъ|R----------n|о̄тъ
чкъ|Nb-p---mg--i|ч҃къ
прѣдадѧтъ|V-3ppia----i|прѣдадѧтъ
бо|Df---------n|бо
въі|Pp2p---qa--i|въи
на|R----------n|на
сьнмъі|Nb-s---fg--i|сьнм҅ъи
і|C----------n|ӣ
на|R----------n|на
съньміштііхъ|Nb-p---nl--i|съньмищиӣхъ
вашіхъ|Ps2p---nl--i|вашихъ
оутепѫтъ|V-3ppia----i|ѹ̄тепѫтъ
въі|Pp2p---pa--i|въи
і|C----------n|ӣ
прѣдъ|R----------n|прѣдъ
влдкъі|Nb-p---ma--i|в҃лдкъи
і|C----------n|ӣ
црѧ|Nb-p---ma--i|ц҃рѧ
ведомі|V--ppppmn-si|ведоми
бѫдете|V-2pfia----i|бѫдете
мене|Pp1s---qg--i|мене
раді|R----------n|ради
въ|R----------n|въ
съвѣдѣніе|Nb-s---na--i|съвѣдѣние̄
імъ|Pp3p---md--i|ӣмъ
і|C----------n|ӣ
ѧзкомъ|Nb-p---md--i|ѩ҃̄зкомъ
ѣкоже|G----------n|ѣкоже
ведомі|V--ppppmn-si|ведоми
бѫдете|V-2pfia----i|бѫдете
не|Df---------n|Не
пьцѣте|V-2ppma----i|пьцѣте
сѧ|Pk3s---qa--i|сѧ
како|Du---------n|ка̄к̄о
лі|C----------n|ли
чьто|Pi-s---na--i|чьто
імате|V-2ppia----i|ӣмате
глаті|V---pna----i|г҃латі
дастъ|V-3saia----i|дастъ
бо|Df---------n|бо
сѧ|Pk3s---qa--i|сѧ
вамъ|Pp2p---qd--i|вамъ
въ|R----------n|въ
ть|Pd-s---ma--i|ть
часъ|Nb-s---ma--i|часъ
что|Pi-s---na--i|чт̄о
глете|V-2ppia----i|г҃лете
не|Df---------n|Не
въі|Pp2p---qn--i|въи
бо|Df---------n|бо
есте|V-2ppia----i|е̄сте
глште|V--pppamn-si|г҃лще
нъ|C----------n|нъ
дхъ|Nb-s---ma--i|д҃хъ
оца|Nb-s---mg--i|о҃̄ца
моего|Ps1s---mg--i|мое̄го
глѧі|V--sppamn-wi|г҃лѧӣ
въ|R----------n|въ
васъ|Pp2p---pl--i|васъ
прѣдастъ|V-3spia----i|Прѣдастъ
же|Df---------n|же
братъ|Nb-s---mn--i|братъ
брата|Nb-s---mg--i|брата
на|R----------n|на
сьмръть|Nb-s---ma--i|сьмръть
і|C----------n|ӣ
оць|Nb-s---mn--i|о҃̄ць
чѧдо|Nb-s---na--i|чѧдо
і|C----------n|ӣ
въстанѫтъ|V-3ppia----i|въстанѫтъ
чѧда|Nb-p---nn--i|чѧда
на|R----------n|на
родітелѧ|Nb-p---ma--i|родітелѧ
і|C----------n|ӣ
оубіѭтъ|V-3ppia----i|ѹбиѭ̄тъ
ѧ|Pp3p---ma--i|ѩ̄
і|C----------n|Ӣ
бѫдете|V-2pfia----i|бѫдете
ненавідімі|V--ppppmn-si|ненавидіми
всѣмі|Px-p---mi--i|вс̄ѣми
імене|Nb-s---ng--i|ӣмене
моего|Ps1s---ng--i|мое̄го
раді|R----------n|ради
прѣтръпѣвъі|V--supamn-wi|прѣтръпѣвъи
же|Df---------n|же
до|R----------n|до
конца|Nb-s---mg--i|конц̄а
спсенъ|V--suppmn-si|с҃псенъ
бѫдетъ|V-3sfia----i|бѫдетъ
нѣстъ|V-3spia----i|нѣстъ
оученікъ|Nb-s---mn--i|ѹ̄ченикъ
надъ|R----------n|надъ
оучітелемъ|Nb-s---mi--i|ѹчітелемъ
ні|C----------n|ні
рабъ|Nb-s---mn--i|рабъ
надъ|R----------n|надъ
гдномъ|Nb-s---mi--i|г҃дномъ
своімъ|Pt3s---oi--i|своӣмъ
довьлет|V-3spia----i|Довьлет
оученікоу|Nb-s---md--i|ѹ̄ченікѹ
да|G----------n|да
бѫдетъ|V-3sfia----i|бѫдетъ
ѣко|Df---------n|ѣ̄ко
оучітель|Nb-s---mn--i|ѹ̄чітель
его|Pp3s---mg--i|е̄го
і|C----------n|ӣ
рабоу|Nb-s---md--i|ра̄бѹ
ѣкоже|G----------n|ѣ̄коже
гнъ|Nb-s---mn--i|г҃нъ
его|Pp3s---mg--i|е̄го
аште|G----------n|А̄ще
бо|Df---------n|бо
гдна|A--s---mgpsi|г҃дна
домоу|Nb-s---mg--i|домѹ
вельзѣво|Nb-s---nn--i|вельзѣво
нарекошѧ|V-3paia----i|нарекошѧ
кольмі|Du---------n|кольмі
паче|Df-------c-i|паче
домашьнѧѧ|A--p---mapwi|домашьнѩѩ̄
его|Pp3s---mg--i|е̄го
не|Df---------n|не
оубоіте|V-2ppma----i|ѹбоӣте
сѧ|Pk3s---qa--i|сѧ
оубо|Df---------n|ѹ̄бо
іхъ|Pp3p---mg--i|ӣхъ
нічтоже|Px-s---nn--i|нічтоже
бо|Df---------n|бо
естъ|V-3spia----i|естъ
покръвено|V--suppnn-si|покръвено
еже|Pr-s---nn--i|е̄же
не|Df---------n|не
отъкръвено|V--suppnn-si|о̄тъкръвено
бѫдетъ|V-3sfia----i|бѫдетъ
ні|C----------n|ни
таіно|A--s---nnpsi|таӣно
еже|Pr-s---nn--i|е̄же
не|Df---------n|не
оувѣдѣно|V--suppnn-si|ѹ̄вѣдѣно
бѫ|V-3sfia----i|бѫ
еже|Pr-s---na--i|Е̄же
глѭ|V-1spia----i|г҃лѭ
вамъ|Pp2p---qd--i|вамъ
въ|R----------n|въ
тьмѣ|Nb-s---fl--i|тьмѣ
ръцѣте|V-2ppma----i|ръцѣте
въ|R----------n|въ
свѣтѣ|Nb-s---ml--i|свѣтѣ
і|C----------n|Ӣ
еже|Pr-s---na--i|е̄же
въ|R----------n|въ
оухо|Nb-s---na--i|ѹ̄хо
слъішасте|V-2paia----i|слъішасте
проповѣдіте|V-2ppma----i|проповѣдіте
на|R----------n|на
кровѣхъ|Nb-p---ml--i|кровѣхъ
і|C----------n|Ӣ
не|Df---------n|не
оубоіте|V-2ppma----i|ѹбоӣте
сѧ|Pk3s---qa--i|сѧ
отъ|R----------n|о̄тъ
біваѭштііхъ|V--pppamg-wi|биваѭ̄щіӣхъ
тѣло|Nb-s---na--i|тѣло
а|C----------n|А̄
дшѧ|Nb-s---fg--i|д҃шѧ
не|Df---------n|не
могѫштііхъ|V--pppamg-wi|могѫштіӣхъ
оубіті|V---pna----i|ѹ̄биті
оубоіте|V-2ppma----i|ѹ̄боӣте
сѧ|Pk3s---qa--i|сѧ
паче|Df-------c-i|п̄аче
могѫштааго|V--sppamg-wi|могѫштаа̄го
дшѫ|Nb-s---fa--i|д҃шѫ
і|C----------n|ӣ
тѣло|Nb-s---na--i|тѣло
погоубіті|V---pna----i|погѹбиті
въ|R----------n|въ
геонѣ|Nb-s---fl--i|ꙉео̄нѣ
не|Df---------n|Не
дьвѣ|Ma-d---rn--i|дьвѣ
лі|Du---------n|лі
птіці|Nb-d---fn--i|пт̄іц̄и
на|R----------n|на
асуріі|Nb-p---mg--i|а̄сѵріӣ
вѣнімѣ|V--dpppqn-si|вѣнімѣ
есте|V-3dpia----i|е̄сте
і|C----------n|ӣ
ні|Df---------n|ни
едіна|Ma-s---fn--i|е̄дина
падетъ|V-3spia----i|падетъ
на|R----------n|на
земі|Nb-s---fl--i|земи
безь|R----------n|безь
оца|Nb-s---mg--i|о҃̄ца
вашего|Ps2s---mg--i|вашего
ваші|Ps2p---mn--i|Ваши
же|Df---------n|же
і|C----------n|ӣ
власі|Nb-p---mn--i|власі
главъі|Nb-s---fg--i|главъі
ічьтені|V--puppmn-si|ӣчьтені
сѫтъ|V-3ppia----i|сѫтъ
не|Df---------n|Не
оубоіте|V-2ppma----i|ѹ̄боӣте
сѧ|Pk3s---qa--i|сѧ
оубо|Df---------n|ѹ̄бо
мнозѣхь|A--p---fgpwi|мн̄оѕѣхь
птіць|Nb-p---fg--i|пт̄іць
соулѣіші|A--p---mncsi|сѹлѣӣши
есте|V-2ppia----i|е̄сте
въі|Pp2p---mn--i|въі
вьсѣкь|V--supamn-si|Вьсѣкь
оубо|Df---------n|ѹ̄бо
іже|Pr-s---mn--i|ꙇ̄же
ісповѣстъ|V-3spia----i|ӣсп̄овѣстъ
мѧ|Pp1s---qa--i|мѧ
прѣдъ|R----------n|прѣдъ
члкъі|Nb-p---mi--i|ч҃лкъи
ісповѣмъ|V-1spia----i|ӣсповѣмъ
і|Pp3s---ma--i|ӣ
і|C----------n|ӣ
азъ|Pp1s---qn--i|а̄зъ
прѣдъ|R----------n|прѣдъ
оцмъ|Nb-s---mi--i|о҃҅цмъ
моімъ|Ps1s---oi--i|моӣмъ
іже|Pr-s---mn--i|ꙇ̄же
естъ|V-3spia----i|е̄стъ
на|R----------n|на
нбсехъ|Nb-p---nl--i|н҃бсехъ
вьсѣкъ|A--s---mnpsi|Вьсѣкъ
іже|Pr-s---mn--i|ꙇ҅же
ісповѣстъ|V-3spia----i|ӣсповѣстъ
мѧ|Pp1s---qa--i|мѧ
прѣдъ|R----------n|прѣдъ
члкъі|Nb-p---ma--i|ч҃лкъі
ісповѣмъі|V-1ppia----i|ӣсповѣмъі
і|C----------n|и
азъ|Pp1s---qn--i|а̄зъ
прѣдъ|R----------n|прѣдъ
оцмъ|Nb-s---mi--i|о҃̄цмъ
моімъ|Ps1s---oi--i|моӣмъ
іже|Pr-s---mn--i|ꙇ̄же
естъ|V-3spia----i|естъ
на|R----------n|на
нбсхъ|Nb-p---nl--i|н҃бсхъ
а|C----------n|А̄
іже|Pr-s---mn--i|ꙇ̄же
отъвръжетъ|V-3spia----i|о̄тъвр̄ъжетъ
сѧ|Pk3s---qa--i|сѧ
мене|Pp1s---mg--i|мене
прѣдъ|R----------n|прѣдъ
члкъі|Nb-p---mi--i|ч҃лкъи
отъвръгѫ|V-1spia----i|о̄тъвръгѫ
сѧ|Pk3s---qa--i|сѧ
его|Pp3s---mg--i|е̄го
і|C----------n|ӣ
азь|Pp1s---mn--i|а̄зь
прѣдъ|R----------n|прѣдъ
оцмъ|Nb-s---mi--i|о҃̄цмъ
моімъ|Ps1s---oi--i|моӣмъ
іже|Pr-s---mn--i|ꙇ̄же
естъ|V-3spia----i|е̄стъ
на|R----------n|на
нбсхъ|Nb-p---nl--i|н҃бсхъ
іже|Pr-s---mn--i|ꙇ҅же
любітъ|V-3spia----i|любитъ
оца|Nb-s---mg--i|о҃̄ца
лі|C----------n|лі
мтрь|Nb-s---fa--i|м҃трь
паче|Df-------c-i|паче
мене|Pp1s---qg--i|мене
нѣстъ|V-3spia----i|нѣстъ
мене|Pp1s---qg--i|мене
достоінъ|A--s---mnpsi|достоӣнъ
любѧі|V--sppamn-wi|любѧӣ
оца|Nb-s---mg--i|о҃̄ца
лі|Du---------n|лі
мтръ|A--s---mnpsi|м҃тръ
паче|Df-------c-i|паче
мене|Pp1s---qg--i|мене
нѣстъ|V-3spia----i|нѣстъ
мънѣ|Pp1s---qd--i|мънѣ
достоінъ|A--s---mnpsi|достоӣнъ
іже|Pr-s---mn--i|ꙇ҅же
любітъ|V-3spia----i|любитъ
сна|Nb-s---mg--i|с҃на
лі|C----------n|ли
дьштерь|Nb-s---fa--i|дьщерь
паче|Df-------c-i|паче
мне|Pp1s---mg--i|мне
нѣстъ|V-3spia----i|н҃ѣстъ
мене|Pp1s---mg--i|м҃ене
достоінъ|A--s---mnpsi|достоӣнъ
любѧі|V--sppamn-wi|любѧӣ
оца|Nb-s---mg--i|о҃̄ца
лі|Du---------n|лі
і|C----------n|ѝ
іже|Pr-s---mn--i|ꙇ̄же
не|Df---------n|не
прііметъ|V-3spia----i|пріӣметъ
крста|Nb-s---mg--i|к҃рста
своего|Pt3s---og--i|свое̄го
і|C----------n|ӣ
въ|R----------n|въ
слѣдь|Nb-s---ma--i|слѣдь
мене|Pp1s---qg--i|мене
грѧдетъ|V-3spia----i|грѧдетъ
нѣстъ|V-3spia----i|нѣстъ
мене|Pp1s---qg--i|мене
достоінъ|A--s---mnpsi|достоӣнъ
і|C----------n|ӣ
іже|Pr-s---mn--i|ꙇ̄же
не|Df---------n|не
прііметъ|V-3spia----i|пріӣметъ
крста|Nb-s---mg--i|к҃рста
своего|Pt3s---og--i|свое̄го
і|C----------n|ӣ
въ|R----------n|въ
слѣдъ|Nb-s---ma--i|слѣдъ
ме|Pp1s---ma--i|ме
ідетъ|V-3spia----i|ӣдетъ
нѣстъ|V-3spia----i|нѣстъ
мене|Pp1s---qg--i|мене
достоінъ|A--s---mnpsi|достоӣнъ
і|C----------n|ӣ
іже|Pr-s---mn--i|ꙇ̄же
не|Df---------n|не
прііметъ|V-3spia----i|пріӣметъ
крста|Nb-s---mg--i|к҃рста
своего|Pt3s---og--i|свое̄го
і|C----------n|ӣ
въ|R----------n|въ
слѣдъ|Nb-s---ma--i|слѣдъ
ме|Pp1s---ma--i|ме
ідетъ|V-3spia----i|ӣдетъ
нѣстъ|V-3spia----i|нѣстъ
мене|Pp1s---qg--i|мене
достоінъ|A--s---mnpsi|достоӣнъ
обрѣтъі|V--supamn-wi|о̄брѣтъі
дшѫ|Nb-s---fa--i|д҃шѫ
своѭ|Pt3s---fa--i|своѭ̄
погоубітъ|V-3spia----i|погѹбітъ
ѭ|Pp3s---fa--i|ѭ
а|C----------n|А̄
іже|Pr-s---mn--i|ꙇ̄же
погоубітъ|V-3spia----i|погѹбітъ
дшѫ|Nb-s---fa--i|д҃шѫ
своѭ|Pt3s---fa--i|своѭ̄
мене|Pp1s---qg--i|мене
раді|R----------n|раді
обрѧштетъ|V-3spia----i|о̄брѧщетъ
ѭ|Pp3s---fa--i|ѭ̄
обрѣтъі|V--supamn-wi|о̄брѣтъі
дшѫ|Nb-s---fa--i|д҃шѫ
своѭ|Pt3s---fa--i|своѭ̄
погоубітъ|V-3spia----i|погѹбітъ
ѭ|Pp3s---fa--i|ѭ̄
іже|Pr-s---mn--i|ꙇ̄же
погоубітъ|V-3spia----i|погѹбітъ
дшѫ|Nb-s---fa--i|д҃шѫ
своѭ|Pt3s---fa--i|своѭ̄
мене|Pp1s---qg--i|мене
раді|R----------n|раді
обрѧштетъ|V-3spia----i|о̄брѧщетъ
ѭ|Pp3s---fa--i|ѭ̄
обрѣтъі|V--supamn-wi|о̄брѣтъі
дшѫ|Nb-s---fa--i|д҃шѫ
своѭ|Pt3s---fa--i|своѭ̄
погоубітъ|V-3spia----i|погѹбітъ
ѭ|Pp3s---fa--i|ѭ̄
іже|Pr-s---mn--i|ꙇ̄же
погоубітъ|V-3spia----i|погѹбитъ
дшѫ|Nb-s---fa--i|д҃шѫ
своѭ|Pt3s---fa--i|своѭ̄
мене|Pp1s---qg--i|мене
раді|R----------n|раді
обрѧштетъ|V-3spia----i|о̄брѧщетъ
ѭ|Pp3s---fa--i|ѭ̄
іже|Pr-s---mn--i|ꙇже
въі|Pp2p---qa--i|въи
пріемлетъ|V-3spia----i|прие̄млетъ
мѧ|Pp1s---qa--i|мѧ
пріемлет|V-3spia----i|прие̄млет
а|C----------n|а̄
іже|Pd-s---mn--i|ꙇже
мѧ|Pp1s---ma--i|мѧ
пріемлет|V-3spia----i|прие̄мл̄ет
пріемлет|V-3spia----i|прие̄млет
пославшаго|V--supamg-wi|пославшаго
мѧ|Pp1s---ma--i|мѧ
пріемлѧі|V--sppamn-wi|Пріе̄млѧӣ
пррка|Nb-s---mg--i|пррка
въ|R----------n|въ
імѧ|Nb-s---na--i|ӣмѧ
пррче|A--s---napsi|п҃ррче
мъздѫ|Nb-s---fa--i|мъздѫ
пррчѫ|A--s---fapsi|п҃ррчѭ
прііметъ|V-3spia----i|приӣметъ
і|C----------n|Ӣ
пріемлѧі|V--sppamn-wi|пріемлѧӣ
праведъніка|Nb-s---mg--i|праведъника
въ|R----------n|въ
імѧ|Nb-s---na--i|ӣмѧ
праведъніче|A--s---napsi|праведъніче
мьздѫ|Nb-s---fa--i|мьздѫ
праведънічѫ|A--s---fapsi|праведъничѫ
прііметъ|V-3spia----i|пріӣметъ
і|C----------n|Ӣ
іже|Pr-s---mn--i|ꙇ̄же
коліждо|Df---------n|коліждо
напоітъ|V-3spia----i|напоӣтъ
едіного|Ma-s---mg--i|е̄діного
от|R----------n|от
малъіхъ|A--p---mgpwi|малъӣхъ
сіх|Pd-p---nl--i|сих
чашѫ|Nb-s---fa--i|чашѫ
стоуденъі|A--s---fgpsi|стѹденъи
водъі|Nb-s---fg--i|водъі
тъкмо|Df---------n|тъкм҅о
въ|R----------n|въ
імѧ|Nb-s---na--i|ӣмѧ
оученіка|Nb-s---mg--i|ѹ̄ченика
амін|I----------n|А҅мин
глѭ|V-1spia----i|г҃лѭ
вамъ|Pp2p---qd--i|вамъ
не|Df---------n|не
погоубітъ|V-3spia----i|погѹбітъ
мьздъі|Nb-s---fg--i|мьздъі
своеѧ|Pt3s---fg--i|свое̄ѩ̄
і|C----------n|И
бъіс|V-3saia----i|бъіс
егда|Dq---------n|е҅гда
съвръші|V-3saia----i|съвръші
ісъ|Ne-s---mn--i|и҃̄съ
заповѣдаѧ|V--sppamn-si|заповѣдаѩ
обѣма|Ma-d---qd--i|обѣма
на|R----------n|на
іте|V-2ppma----i|ꙇ҃т҃е
оученікома|Nb-d---mi--i|ѹченикома
прѣіде|V-3saia----i|прѣӣде
от|R----------n|от
тѫдоу|Df---------n|тѫдѹ
оучітъ|V----u--a--i|ѹ̆читъ
і|C----------n|ӣ
проповѣдатъ|V----u--a--i|проповѣдатъ
въ|R----------n|въ
градѣхъ|Nb-p---ml--i|градѣхъ
іх|Pp3p---mg--i|ӣх
слъішавъ|V--supamn-si|слъишавъ
іоанъ|Ne-s---mn--i|ӣо̄анъ
въ|R----------n|въ
ѫзілішті|Nb-s---nl--i|ѫзилішти
дѣла|Nb-p---na--i|дѣла
хва|A--p---napsi|х҃ва
посълавъ|V--supamn-si|посълавъ
оученікъі|Nb-p---mi--i|ѹ̄ченикъи
своімі|Pt3p---qi--i|своӣми
рече|V-3saia----i|Рече
емоу|Pp3s---md--i|е̄мѹ
тъі|Pp2s---qn--i|тъі
лі|Du---------n|ли
есі|V-2spia----i|е̄си
грѧдъі|V--sppamn-wi|грѧдъи
ілі|C----------n|ӣлі
іного|Px-s---mg--i|ӣного
чаемъ|V-1ppia----i|чае̄мъ
отъвѣштавъ|V--supamn-si|Ѡ҅̄тъвѣщавъ
ісъ|Ne-s---mn--i|и҃̄съ
рече|V-3saia----i|рече
імъ|Pp3p---md--i|ӣмъ
шедъше|V--pupamn-si|Шедъше
възвѣстіте|V-2ppma----i|възвѣстите
іоаноу|Ne-s---md--i|ӣо̄а̄нѹ
ѣже|Pr-p---na--i|ѣ̄же
слъішіте|V-2ppia----i|слъишите
і|C----------n|ӣ
відіте|V-2ppia----i|відіте
слѣпіі|A--p---mnpwi|Слѣпіӣ
прозіраѭ|V-1spia----i|прозираѭ̄
хроміі|A--p---mnpwi|хромиі̄
ходѧтъ|V-3ppia----i|ходѧтъ
глоусі|Nb-p---mn--i|глѹси
слъішѧтъ|V-3ppia----i|слъишѧтъ
прокажені|A--p---mnpsi|прокажени
очіштаѭтъ|V-3ppia----i|о̄чищаѭ̄тъ
сѧ|Pk3s---qa--i|сѧ
мрътвіі|A--p---mnpwi|мрътвиі̄
въстаѭтъ|V-3ppia----i|въстаѭ̄тъ
і|C----------n|ӣ
ніштіі|A--p---mnpwi|нищиі̄
благовѣстьствоуѭтъ|V-3ppia----i|благовѣстьствѹѭ̄тъ
і|C----------n|Ӣ
блаженъ|A--s---mnpsi|блаженъ
естъ|V-3spia----i|е̄стъ
іже|Pr-s---mn--i|ꙇ̄же
не|Df---------n|не
съблазнітъ|V-3spia----i|съблазнитъ
сѧ|Pk3s---qa--i|сѧ
о|R----------n|о̄
мьнѣ|Pp1s---ql--i|мьнѣ
тѣмь|Pd-p---md--i|Тѣмь
же|Df---------n|же
ісходѧштемъ|V--pppamd-si|ӣсходѧщемъ
начѧтъ|V-3saia----i|Начѧтъ
ісъ|Ne-s---mn--i|и҃̄съ
глаті|V---pna----i|г҃лати
о|R----------n|о̄
іоанѣ|Ne-s---ml--i|ӣо̄а̄нѣ
народом|Nb-s---mi--i|народом
чесо|Pi-s---ng--i|чесо
ізідосте|V-2paia----i|ӣзидосте
въ|R----------n|въ
поустъінѭ|Nb-s---fa--i|пѹстъинѭ
відѣтъ|V----u--a--i|видѣтъ
трьсті|Nb-s---fg--i|трьсти
лі|Du---------n|ли
вѣтромъ|Nb-s---mi--i|вѣтромъ
колѣблмъі|V--spppfg-si|колѣб(л).мъи
нъ|C----------n|Нъ
чесо|Pi-s---ng--i|чесо
ізідосте|V-2paia----i|ӣзидосте
відѣтъ|V----u--a--i|видѣтъ
члка|Nb-s---mg--i|ч҃лка
лі|Du---------n|ли
въ|R----------n|въ
мѧкькъі|A--p---fapsi|мѧкькъи
різьі|Nb-p---fa--i|ризьі
облъчена|V--suppmg-si|о̄блъчена
се|I----------n|се
іже|Pr-p---mn--i|ꙇ̄же
мѧкькаѣ|A--p---napwi|мѧкькаѣ
носѧтъ|V-3ppia----i|носѧтъ
въ|R----------n|въ
домохъ|Nb-p---ml--i|домохъ
црііхъ|A--p---mlpwi|ц҃риӣхъ
сѫтъ|V-3ppia----i|сѫтъ
нъ|C----------n|Нъ
чесо|Pi-s---ng--i|чесо
ізідосте|V-2paia----i|ӣзидосте
