Кьнігъі|| 
р҃одства|| 
и҃ѹ҃хва|| · 
стрѣжаа̄хѫ|| 
ӣ|| 
тоу|| · 
ӣ|| 
въӡложішѧ|| 
връхоу|| 
главъи|| 
е̄го|| · 
винѫ|| 
е̄го|| 
напісанѫ|| · 
сь|| 
е̄стъ|| 
᾽҃исъ|| 
ц҃ръ|| 
ӣю̄деӣскь̄|| · 
тогд̄а|| 
распѧсѧ|| 
сь|| 
німь|| 
дъва|| 
раӡбоӣника|| · 
е̄діного|| 
о̄|| 
деснѫѭ̀|| · 
ӣ|| 
е̄діного|| 
о̄|| 
шю᾽ѭ|| · 
мімо|| 
ходѧштіӣ|| 
же|| · 
хоулѣа̄хѫ|| 
ӣ|| 
покъіваѭще|| 
главамі|| 
своӣмі|| 
ӣ|| 
г҃лште|| · 
о̄ува̄|| · 
раӡарѣѧ̄ӣ|| 
ц҃рковь|| 
ӣ|| 
трьмі|| 
деньми|| 
сьӡідаѧ̄|| 
ѭ̄|| · 
с҃пси|| 
сѧ|| 
а̄ще|| 
с҃нъ|| 
е̄сі|| 
б҃жіі̄|| · 
сълѣӡи|| 
съ|| 
к҃рста|| · 
такожде|| 
ӣ|| 
а̄рх̄ие̄реӣ|| 
рѫгаѭ̄ще|| 
сѧ|| 
сь|| 
кьнижьникъі|| 
ӣ|| 
ст̄арці̄|| 
ӣ|| 
фарісеӣ|| 
г҃лахѫ|| · 
ӣнъі|| 
с҃псе|| 
а̄|| 
себе|| 
лі|| 
не|| 
можетъ|| 
с҃псті|| · 
а̄ште|| 
ц҃рь|| 
ӣӡ҃лвъ|| 
е̄стъ|| · 
да̄|| 
сълѣӡетъ|| 
нъінѣ|| 
съ|| 
к҃рста|| · 
ӣ|| 
вѣрѫ|| 
ӣмемь|| 
е̄моу|| · 
о̄упьва|| 
на|| 
б҃а|| · 
да|| 
ӣӡбавітъ|| 
і|| 
нн̄ѣ|| · 
а̄ште|| 
хоштетъ|| 
е̄моу|| · 
рече|| 
бо|| 
ѣ̄ко|| 
с҃нъ|| 
б҃жіі|| 
есм̄ъ|| · 
῾Ѡ̄тъ|| 
шестъиѧ̄|| 
же|| 
годінъі|| · 
тъма|| 
бъистъ|| 
по|| 
всеӣ|| 
ӡемі|| 
до|| 
девѧтъіѧ|| 
годінъі|| · 
Прі|| 
девѧтѣӣ|| 
же|| 
годінѣ|| · 
Вьӡьпі|| 
ӣс҃ъ|| 
глас҃мъ|| 
веліе̄мь|| 
г҃лѧ|| · 
Е̄ллі̄|| 
е̄᾽ллі̄|| · 
лема|| 
ӡавахт̄аніӣ|| · 
е̄же|| 
е̄стъ|| · 
Б҃е|| 
мо᾽и|| 
б҃же|| 
моӣ|| · 
въскѫѭ̄|| 
мѧ|| 
е̄сі|| 
о̄ставілъ|| · 
Е̄теріи|| 
же|| 
о̄тъ|| 
стоѧ̄щиӣхъ|| 
тоу|| · 
слъишавьше|| 
г҃лаа̄хѫ|| · 
Ѣ̄ко|| 
ӣлиѭ̄|| 
глашае̄тъ|| · 
Ӣ|| 
а̄бие̄|| 
текь|| 
е̄динъ|| 
ъѡтъ|| 
ніхъ|| · 
пріе̄мъ|| 
гѫбѫ|| · 
ӣсплънь|| 
же|| 
о̄цьта|| · 
ӣ|| 
въӡнеӡь|| 
на|| 
трьсть|| · 
напаѣ̄ше|| 
ӣ|| · 
а̄|| 
прочіӣ|| 
г҃лаа̄хѫ|| · 
о̄стані|| 
да|| 
видімъ|| 
а̄ще|| 
придетъ|| 
ӣлиѣ̄|| 
сьпастъ|| 
е̄го|| · 
ӣнъ|| 
же|| 
пріе̄мъ|| 
копие̄|| · 
прободе|| 
е̄моу|| 
ребра|| · 
ӣ|| 
ӣӡиде|| 
вода|| 
ӣ|| 
кръвъ|| · 
Ӣс҃ъ|| 
же|| 
въӡьпивъ|| 
гласомъ|| 
велие̄мъ|| 
ӣ̄споусти|| 
д҃хъ|| · 
Ӣ|| 
се|| 
катапетаӡма|| 
ц҃рковьнаа̄|| 
раӡдъра|| 
сѧ|| 
съ|| 
въишьнѣа̄го|| 
краѣ̄|| · 
до|| 
нижьнѣа̄го|| 
на|| 
дв̄ое̄|| · 
ӣ|| 
ӡемл҃ѣ̄|| 
потрѧсе|| 
сѧ|| · 
ӣ|| 
каменіе̄|| 
распадаа̄ше|| 
сѧ|| · 
ӣ|| 
гробі|| 
о̄тврѣсѧ|| 
сѧ|| · 
ӣ|| 
мно̄гаа̄|| 
тѣлеса|| 
почівъшіӣхъ|| 
с҃҃тъихъ|| 
въсташѧ|| · 
ӣ|| 
ӣшедъше|| 
иӡ|| 
гробь|| 
{по|| 
въ}|| 
по|| 
въскръсени|| 
е̄го|| · 
вънідѫ|| 
въ|| 
стъі|| 
градъ|| · 
ӣ|| 
ѣ̄вішѧ|| 
сѧ|| 
мно̄гомъ|| · 
Сьтьникь|| 
же|| 
ӣ|| 
і̄же|| 
бѣа̄хѫ|| 
сь|| 
нимь|| · 
стр̄ѣгѫще|| 
᾽҃иса|| · 
відѣвъше|| 
трѫсь|| 
ӣ|| 
бъивъшаа̄|| · 
о̄убоѣ̄шѧ|| 
сѧ|| 
ѕѣло|| 
г҃лѭште|| · 
Въистинѫ|| 
с҃нъ|| 
б҃жіі|| 
бѣ|| 
сь|| ·· 
Бѣахѫ|| 
же|| 
тоу|| 
женъі|| 
мн̄огъи|| · 
ӣӡ|| 
далече|| 
ӡьрѧщѧ|| 
ѧ̄же|| 
ӣдѫ|| 
по|| 
ӣс҃ѣ|| · 
о̄тъ|| 
галілеѧ̄|| · 
слоужѧщѧ|| 
е̄моу|| · 
Въ|| 
нихъ|| 
же|| 
бѣ|| 
маріа̄|| 
магдалъіни|| · 
ӣ|| 
маріѣ̄|| 
ӣѣковлѣ|| · 
ӣо̄сіӣ|| · 
м҃ті|| 
с҃ноу|| 
ӡеведео̄воу|| · 
Поӡдѣ|| 
ѣе|| 
бъивъшоу|| · 
пріде|| 
ч҃лкъ|| 
богатъ|| · 
ѡ̄̄тъ|| 
а̄рімаѳеѧ|| 
ӣменемъ|| 
ӣо̄сіфъ|| · 
і̄же|| 
ӣ|| 
тъ|| 
о̄учі|| 
сѧ|| 
о̄у|| 
ӣс҃а|| · 
сь|| 
прістѫпль|| 
кь|| 
пілатоу|| · 
просі|| 
тѣла|| 
ӣс҃ва|| 
тогда|| 
пілат|| 
повелѣ|| 
въдаті|| 
тѣло|| 
ӣ[҃с]во|| · 
ӣ|| 
пріе̄мъ|| 
тѣло|| 
ӣо̄сіф̄ъ|| · 
о̄бітъ|| 
е̄|| 
плащѣніцеѭ̄|| 
чістоѭ̄|| · 
ӣ|| 
положі|| 
е̄|| 
въ|| 
новѣмъ|| 
свое̄мъ|| 
гробѣ|| · 
і̄же|| 
ӣсѣче|| 
въ|| 
камени|| · 
ӣ|| 
въӡваль|| 
камень|| 
веліӣ|| 
на|| 
дв̄ьрі|| 
гроба|| · 
ӣ|| 
о̄тіде|| · 
бѣ|| 
же|| 
тоу|| 
маріѣ̄|| 
магдалъіни|| · 
ӣ|| 
дроугаѣ|| 
мариѣ̄|| 
сѣдѧшті|| 
прѣмо|| 
гробоу|| ·· · - 
Въ|| 
о̄утрѣі̄же|| 
е̄стъ|| 
по҃|| 
параске᾽вђіӣ|| · 
Събърашѧ|| 
сѧ|| 
а̄рхіе̄реӣ|| 
къ|| 
пілатоу|| · 
г҃лще|| · 
Г҃и|| 
помѧнѫхом|| · 
ѣ̄ко|| 
льстець|| 
о̄нъ|| 
рече|| · 
е̄ще|| 
живъ|| 
съі|| · 
по|| 
трехъ|| 
дънехъ|| 
въстанѫ|| · 
Повелі|| 
о̄убо|| 
о̄утвръдіті|| 
гробъ|| 
до|| 
третіѣ̄а̄го|| 
дьне|| · 
Е̄да|| 
како|| 
прішедъше|| 
о̄учениці|| 
е̄го|| · 
о̄украдѫтъ|| 
і|| · 
ӣ|| 
рекѫтъ|| 
людемъ|| · 
въста|| 
о̄тъ|| 
мрътвъіӣх|| · 
ӣ|| 
бѫдетъ|| 
послѣдьнѣа̄|| 
лесть|| · 
горші̄|| 
пръвъіѧ̄|| · 
Рече|| 
же|| 
ӣмъ|| 
пилатъ|| · 
ӣмате|| 
коустодіѭ̄|| · 
ӣдѣте|| 
о̄утвръдите|| 
ѣ̄коже|| 
вѣсте|| · 
О̄ни|| 
же|| 
шедъше|| 
о̄утвръдішѧ|| 
гробъ|| · 
Ӡапечѣтьлѣвъше|| 
камень|| · 
съ|| 
коустодие̄᾽ѭ|| ·· · - 
Въ|| 
вечеръ|| 
сѫботънъі|| · 
Світаѭ̄шті|| 
въ|| 
пръвѫѭ̄|| 
сѫботъ|| · 
Пріде|| 
маріѣ|| 
магдалъіні|| 
ӣ|| 
дроугаѣ|| 
маріѣ̄|| · 
відѣтъ|| 
гроба|| · 
Ӣ|| 
се|| 
трѫсъ|| 
бъістъ|| 
велеӣ|| · 
А҃н̄ђлъ|| 
бо|| 
г҃нъ|| 
сьшедъ|| 
съ|| 
н҃бсе|| · 
пристѫпль|| 
ѡ̄̄тъвали|| 
камень|| 
ѡ̄̄тъ|| 
дв̄ьріӣ|| 
гроба|| · 
ӣ|| 
сѣдѣа̄ше|| 
на|| 
немь|| · 
бѣ|| 
же|| 
ӡракь|| 
его|| 
ѣко|| 
мл҃ъ̄ніӣ|| · 
Ӣ|| 
о̄дѣа̄ние̄|| 
е̄го|| 
бѣло|| 
ѣ̄ко|| 
снѣгь|| · 
Ѡт̄̄ъ|| 
страха|| 
же|| 
е̄го|| 
т҃р҃ѧ҃сьсѫ|| 
сѧ|| 
стрѣгѫщіӣ|| · 
ӣ|| 
бъішѧ|| 
а̄къи|| 
мрътві|| · 
Ѡт̄̄вѣштавъ|| 
же|| 
а̄н҃ђлъ|| 
рече|| 
женама|| · 
не|| 
боӣта|| 
сѧ|| 
въі|| · 
вѣдѣ|| 
бо|| 
ѣ̄ко|| 
ӣс҃а|| 
распѧтаа̄го|| 
ӣштета|| · 
Нѣстъ|| 
сьде|| · 
въста|| 
бо|| 
ѣ̄коже|| 
рече|| · 
прідѣта|| 
ӣ|| 
відіта|| 
мѣсто|| · 
ӣдеже|| 
лежа|| 
г҃ь|| · 
ӣ|| 
скоро|| 
шедъші|| · 
рьцѣта|| 
о̄ученикомъ|| 
е̄го|| · 
ѣ̄ко|| 
въста|| 
ѡ̄̄тъ|| 
мрътвъиӣхъ|| · 
ӣ|| 
се|| 
варѣе̄тъ|| 
въи|| 
въ|| 
галілеӣ|| · 
тоу|| 
ӣ|| 
о̄уӡьріте|| · 
се|| 
рѣхъ|| 
вама|| · 
Ӣ|| 
ӣшедъші|| 
ѧ̄дро|| 
о̄тъ|| 
гроба|| · 
съ|| 
страхомъ|| 
ӣ|| 
радостіѭ̄|| 
велие̄ѭ̄|| 
тѣсте|| · 
въӡвѣститъ|| 
о̄ученікомъ|| 
е̄го|| · 
Ӣ|| 
се|| 
ӣс҃ъ|| 
сьрѣте|| 
ѣ̄|| 
г҃лѧ|| 
Радоуӣта|| 
сѧ|| · 
О̄н[ѣ]|| 
же|| 
прістѫпьши|| 
ѧ̄сте|| 
сѧ|| 
ӡа|| 
ноѕѣ|| 
е̄го|| · 
ӣ|| 
поклонисте|| 
сѧ|| 
е̄моу|| · 
Тогда|| 
г҃ла|| 
ӣма|| 
ӣс҃ъ|| · 
не|| 
боӣта|| 
сѧ|| · 
Ӣдѣта|| 
ӣ|| 
въӡвѣстита|| 
братіӣ|| 
мое̄ӣ|| · 
да|| 
ӣдѫт|| 
въ|| 
галилеѭ̄|| · 
ӣ|| 
тоу|| 
мѧ|| 
видѧ{дѧ}тъ|| · 
ӣдѫщема|| 
же|| 
ӣма|| · 
Се|| 
е̄тері|| 
от҃|| 
коустодиѧ̄|| 
пришедъше|| 
въ|| 
градъ|| · 
Вьӡвѣстишѧ|| 
а̄рхі᾽ерео̄мъ|| 
въсѣ|| 
бъівъшаа̄|| · 
ӣ|| 
събьрашѧ|| 
сѧ|| · 
старц̄і|| · 
сьвѣтъ|| 
же|| 
сътворьше|| · 
съребро|| 
много|| 
дашѧ|| 
воӣномъ|| 
г҃лще|| · 
Рьцѣте|| 
ѣ̄ко|| 
о̄ученици|| 
е̄го|| 
нощиѭ̄|| 
прішедъше|| · 
о̄украдошѧ|| 
ӣ|| 
намъ|| 
сьпѧштемъ|| · 
ӣ|| 
а̄ще|| 
се|| 
о̄услъишано|| 
бѫдетъ|| 
о̄у|| 
ӣђемона|| · 
мъі|| 
о̄утолімъ|| 
и|| · 
ӣ|| 
въі|| 
бес|| 
печал᾽нъи|| 
сътворим|| ̅ 
о̄ні|| 
же|| 
прие̄мъше|| 
сребро|| · 
сътворішѧ|| 
ѣ̄коже|| 
нао̄учені|| 
бъішѧ|| · 
Ӣ|| 
промьче|| 
сѧ|| 
слово|| 
се|| 
въ|| 
ӣю̄деӣхъ|| · 
ӣ|| 
до|| 
сего|| 
дьне|| ·· 
῾Е̄дінъі|| 
же|| 
на|| 
десѧте|| 
о̄ученікъ|| · 
Ӣдѫ|| 
въ|| 
галілеѭ̄|| · 
въ|| 
горѫ|| · 
ѣ̄може|| 
повелѣ|| 
ӣмъ|| 
ӣс҃ъ|| · 
ӣ|| 
відѣ{відѣ}въше|| 
и|| · 
поклонішѧ|| 
сѧ|| 
е̄моу|| · 
о̄ві|| 
же|| 
оу̑сѫмнѣшѧ|| 
сѧ|| · 
῾И|| 
пристѫплъ|| 
ӣс҃ъ|| · 
рече|| 
ӣмъ|| 
г҃лѧ|| · 
Дана|| 
ми|| 
е̄ст|| 
вьсѣка|| 
власть|| 
на|| 
н҃бси|| 
ӣ|| 
на|| 
ӡемі|| · 
шедъше|| 
о̄убо|| 
нао̄учіте|| 
въсѧ|| 
ѧ̄ӡ҃къи|| · 
к҃рстѧште|| 
ѧ̄|| · 
въ|| 
ӣмѧ|| 
о̄ц҃а|| 
ӣ|| 
с҃на|| 
ӣ|| 
с҃҃тааа̄го|| 
д҃ха|| · 
о̄учѧще|| 
ѧ̄|| 
блюсті|| · 
вьсѣ|| 
е̄лико|| 
ӡаповѣдахъ|| 
вам·|| 
и|| 
се|| 
а̄ӡь|| 
сь|| 
вами|| 
е̄смь|| 
въ|| 
сѧ|| 
дьні·|| 
до|| 
съконьчаниѣ̄|| 
вака|| 
А̄мин|| ·· · - 
Ӡачѧло|| 
е̄в҃ђліѣ̄|| 
ӣс҃хва|| 
с҃на|| 
б҃жіѣ|| · 
ѣ̄коже|| 
᾽естъ|| 
пісано|| · 
въ|| 
п҃ррцѣхъ|| · 
Се|| 
а̄̄ӡъ|| 
посълѭ|| 
а̄н҃ђлъ|| 
мо᾽и|| 
прѣдъ|| 
ліцемъ|| 
твоӣмъ|| 
ӣ|| 
оуготовітъ|| 
пѫть|| 
твоӣ|| · 
Глас҃|| 
въпіѭ̄щаа̄го|| 
въ|| 
поустъині|| · 
о̄уготоваӣте|| 
пѫть|| 
г҃нъ|| · 
Правъи|| 
творите|| 
стьѕѧ|| 
е̄го|| · 
Бъис҃|| 
ӣо̄᾽анъ|| 
к҃рстѧ|| 
въ|| 
поустъині|| · 
проповѣдаѧ̄|| 
к҃рщ{т}ение̄|| 
въ|| 
о̄ставлени{ни}е̄|| 
грѣховъ|| 
ӣсхождаа̄ше|| 
же|| 
кь|| 
немоу|| · 
вс̄ѣ|| 
ӣю̄деӣска|| 
страна|| 
ӣе̄рсмл҃ѣне|| · 
ӣ|| 
к҃рщаа̄хѫ|| 
сѧ|| 
вс̄и|| 
от҃|| 
него|| · 
въ|| 
е̄рда᾽нстѣӣ|| 
рѣцѣ|| · 
ӣсповѣдаѭ̄ще|| 
грѣхъі|| 
своѧ̄|| · 
бѣ|| 
же|| 
ӣо̄а̄нъ|| · 
власъи|| 
вельбѫжд̄и|| · 
ӣ|| 
поѣ̄съ|| 
о̄усниѣ̄нъ|| 
ӣмъи|| · 
о̄|| 
чрѣслѣхъ|| 
своӣхъ|| · 
ӣ|| 
ѣ̄дъи|| 
а̄криді|| 
ӣ|| 
медъ|| 
дівіӣ|| · 
ӣ|| 
проповѣдаа̄ше|| 
г҃лѧ|| · 
Грѧдетъ|| 
крѣплеӣ|| 
мене|| 
Ем̄̄оуже|| 
нѣсмъ|| 
достоӣнъ|| · 
поклон|| 
с̄ѧ|| 
раӡдрѣшити|| 
ремене|| 
сапогоу|| 
е̄го|| · 
а̄ӡь|| 
о̄убо|| 
к҃рсііхъ|| 
въ|| 
водоѭ̄|| · 
а̄|| 
тъ|| 
к҃рститъ|| 
въи|| 
д҃хмъ|| 
с҃тъиӣмъ|| ·· · - 
ӣӡиде|| 
ӣс҃ъ|| 
въ|| 
поусто|| 
мѣсто|| · 
῾И|| 
тоу|| 
м҃л҃твѫ|| 
дѣа̄ше|| · 
῾И|| 
гьнашѧ|| 
ӣ|| · 
симонъ|| 
ӣ|| 
і̄же|| 
сь|| 
нимь|| 
бѣа̄хѫ|| · 
Ӣ|| 
обрѣтъше|| 
ӣ|| 
г҃лашѧ|| 
е̄моу|| · 
Ѣ̄ко|| 
въси|| 
ӣскѫтъ|| 
тебе|| · 
и҃|| 
г҃л҃а҃|| 
ӣм҃҃̅|| · 
идѣмъ|| 
въ|| 
ближьнѧѧ̄|| 
въси|| 
ѝ|| 
градъи|| · 
да|| 
ӣ|| 
тоу|| 
проповѣдѣ|| · 
на|| 
се|| 
бо|| 
прид|| · 
Ӣ|| 
бѣ|| 
проповѣдаѧ̄|| 
на|| 
сьньмищиӣхъ|| 
᾽ихъ|| · 
Вь|| 
въсеӣ|| 
галилеӣ|| · 
᾽и|| 
бѣсъі|| 
᾽иӡгонѧ|| · 
ӣ|| 
пріде|| 
кь|| 
немоу|| 
прокаженъ|| · 
молѧ|| 
ӣ|| 
ӣ|| 
на|| 
колѣноу|| 
падаѧ̄|| · 
ӣ|| 
г҃лѧ|| 
е̄моу|| · 
ѣ̄ко|| 
а̄ще|| 
хощеши|| 
г҃и|| · 
можеши|| 
мѧ|| 
ӣчіститі|| · 
Ӣс҃ъ|| 
же|| 
м҃л҃срдовавъ|| · 
Простеръ|| 
рѫкѫ|| 
коснѫ|| 
ӣ|| · 
Ӣ|| 
г҃ла|| 
е̄моу|| 
хощѫ|| 
ӣчісти|| 
сѧ|| · 
ӣ|| 
рекьшоу|| 
᾽емоу|| · 
а̄бие|| 
о̄тіде|| 
прокаӡа|| 
о̄тъ|| 
него|| · 
ӣ|| 
чистъ|| 
бъис҃|| · 
ӣ|| 
ӡапрѣштъ|| 
е̄моу|| 
а̄бие̄|| 
ӣ|| 
ӣӡгьна|| 
ӣ|| · 
Ӣ|| 
г҃ла|| 
᾽емоу|| 
блюді|| 
сѧ|| · 
никомоуже|| 
ничесоже|| 
не|| 
рьци|| · 
нъ|| 
шедъ|| 
покажи|| 
сѧ|| 
ӣѐрео̄ві|| · 
᾽и|| 
принеси|| 
ӡа|| 
᾽очіщение̄|| 
твое̄|| · 
Ѣ̄коже|| 
повелѣ|| 
мосіӣ|| · 
Въ|| 
сьвѣдѣтельство|| 
ӣмъ|| ·· · - 
въниде|| 
ӣс҃ъ|| 
въ|| 
каперн̄ао̄умъ|| · 
ӣ|| 
слоухъ|| 
бъис҃|| 
ѣ̄ко|| 
въ|| 
домоу|| 
е̄стъ|| 
а̄бие̄|| · 
събьрашѧ|| 
сѧ|| 
мн̄оѕі|| · 
᾽ѣко|| 
кь|| 
томоу|| 
не|| 
въмѣщаті|| 
сѧ|| 
ни|| 
прі|| 
дв̄ьрехъ|| · 
Ӣ|| 
г҃лаа̄ше|| 
ӣмъ|| 
слово|| · 
Ӣ|| 
придѫ|| 
кь|| 
немоу|| 
носѧще|| 
о̄слаблена|| 
жіламі|| · 
носімъ|| 
четъирьмі|| · 
῾И|| 
не|| 
могѫште|| 
прістѫпити|| 
кь|| 
немоу|| · 
народомъ|| · 
Ѡт҃кръишѧ|| 
покровъ|| 
ӣдеже|| 
бѣ|| · 
ӣ|| 
прокопавъше|| 
съвѣсишѧ|| 
᾽одръ|| · 
на|| 
немъже|| 
о̄слабленъі|| 
сьлежаа̄ше|| · 
Ӣ|| 
видѣвъ|| 
ӣс҃ъ|| 
вѣрѫ|| 
ӣхъ|| · 
г҃ла|| 
о̄слабленоумоу|| · 
Чѧдо|| · 
Ѡт҃поуштаѭ̆тъ|| 
сѧ|| 
грѣсі|| 
твоӣ|| · 
бѣа̄хѫ|| 
же|| 
е̄тери|| 
от҃|| 
кьніжьнікь|| · 
сѣдѧще|| 
ӣ|| 
помъішлѣѭ̄ще|| 
въ|| 
с҃рдцихъ|| 
своӣхъ|| · 
чьто|| 
сь|| 
тако|| 
г҃летъ|| 
власвими᾽ѭ|| · 
кьто|| 
можетъ|| 
от҃поуштаті|| 
грѣхъі|| · 
тъкьмо|| 
е̄дінъ|| 
б҃ъ|| · 
῾И|| 
а̄бие|| 
раӡоумѣ|| 
ӣс҃ъ|| 
д҃хмъ|| 
своӣмъ|| · 
ѣ̄ко|| 
тако|| 
помъішлѣѭ̄тъ|| 
въ|| 
себѣ|| · 
ӣ|| 
рече|| 
имъ|| 
чьто|| 
си|| 
помъишлѣе̄те|| 
въ|| 
с҃рдциӣхъ|| 
вашіхъ|| · 
чьто|| 
е̄стъ|| 
о̄удобьнѣе̄|| 
рещи|| 
о̄слабленоумоу|| · 
ѡ̄̄тпоущаѭ̄тъ|| 
ти|| 
сѧ|| 
грѣсі|| · 
Ли|| 
рещи|| 
въста҃ні|| 
ӣ|| 
въӡьми|| 
о̄дръ|| 
твоӣ|| 
ӣ|| 
ходи|| · 
Нъ|| 
да|| 
о̄увѣсте|| 
ѣ̄ко|| 
власть|| 
ӣматъ|| 
с҃нъ|| 
ч҃҃лвчь|| · 
ѡт҃поущати|| 
на|| 
ӡеми|| 
грѣхъі|| · 
ӣ|| 
г҃ла|| 
ослабленоумоу|| · 
Тебѣ|| 
г҃лѭ|| 
вьстани|| 
ӣ|| 
въӡьми|| 
о̄дръ|| 
твоӣ|| · 
Ӣ|| 
ӣӡіде|| 
а̄бие|| 
прѣдъ|| 
вьсѣми|| · 
ѣ̄ко|| 
дівіті|| 
сѧ|| 
въсѣмъ|| · 
ӣ|| 
славиті|| 
б҃а|| 
г҃лѭштемъ|| · 
Ѣ̆ко|| 
николиже|| 
сице|| 
видѣхомъ|| ·· · - 
мимо|| 
грѧдъи|| 
ӣс҃ъ|| · 
видѣ|| 
лев᾽ђиѭ̄|| 
алфео̄ва|| · 
сѣдѧщь|| 
на|| 
мъітьници|| · 
ӣ|| 
г҃ла|| 
᾽емоу|| · 
По|| 
мнѣ|| 
грѧді|| · 
ӣ|| 
въставъ|| 
въ|| 
слѣдъ|| 
его|| 
ӣде|| · 
ӣ|| 
бъис҃|| 
въӡлежѧщоу|| 
е̄моу|| 
въ|| 
домоу|| 
е̄го|| · 
ӣ|| 
мн̄оѕи|| 
мъітарі|| 
ӣ|| 
грѣшници|| · 
въӡлежаа̄хѫ|| 
съ|| 
ӣс҃мъ|| · 
᾽и|| 
оученикъи|| 
е̄го|| · 
Бѣхѫ|| 
бо̅|| 
мн̄оѕі|| 
ӣ|| 
по|| 
нем|| 
ӣдѫ|| · 
Ӣ|| 
кьнижьници|| 
ӣ|| 
фарисеӣ|| · 
відѣвъше|| 
ӣ|| 
ѣ̄дѫщъ|| 
съ|| 
мъитарі|| 
ӣ|| 
грѣшьнікъі|| · 
г҃лаа̄хѫ|| 
о̄ученикомъ|| 
е̄го|| · 
чьто|| 
ѣ̄ко|| 
съ|| 
мъитарі|| 
ӣ|| 
грѣшъникъи|| 
ѣ̄стъ|| 
ӣ|| 
пие̄тъ|| · 
Слъи҃шавъ|| 
же|| 
ӣс҃ъ|| 
г҃ла|| 
ӣмъ|| · 
ѣ̄ко|| 
не|| 
трѣбоуѭ̄тъ|| 
съдравиӣ|| 
врача|| 
нъ|| 
болѧшт̄іӣ|| · 
Не|| 
прідъ|| 
пріӡъват|| 
праведъникъ|| · 
нъ|| 
грѣшьникъі|| · 
на|| 
покаа̄ни᾽е|| ·· · - 
хождаа̄ше|| 
ӣс҃ъ|| 
въ|| 
сѫботъ|| · 
скоӡѣ|| 
сѣа̄ніѣ̄|| · 
Ӣ|| 
начѧ|| 
о̄ученици|| 
᾽его|| 
пѫть|| 
творіті|| · 
въстрьгаѭще|| 
класъи|| · 
ӣ|| 
фарісе᾽и|| 
г҃лаа̄хѫ|| 
е̄моу|| · 
Віждь|| 
чт̄о|| 
творѧтъ|| 
въ|| 
сѫбот|| · 
е̄гоже|| 
не|| 
достоӣтъ|| · 
ӣ|| 
ть|| 
г҃ла|| 
ӣмъ|| · · 
нѣсте|| 
ли|| 
николіже|| 
чълі|| · 
чьто|| 
сътворі|| 
д҃дъ|| · 
е̄гда|| 
трѣбова|| · 
ӣ|| 
въӡьа̄лка̄|| · 
самъ|| 
᾽и|| 
і̄же|| 
бѣ᾽ахѫ|| 
сь|| 
нимъ|| · 
како|| 
въніде|| 
въ|| 
дом|| 
б҃жіи|| · 
прі|| 
а̄виа̄тарѣ|| 
а̄рхіе̄реӣ|| · 
ӣ|| 
хлѣбъи|| 
прѣдъложениѣ̄|| 
сънѣстъ|| · 
ӣхъже|| 
не|| 
достоѣ̄а̄ше|| 
ѣ̄сти|| · 
тькьмо|| 
ӣе̄рео̄мъ|| 
е̄дінѣм|| · 
᾽и|| 
дастъ|| 
ӣ|| 
сѫштиӣмъ|| 
сь|| 
нимъ|| · 
Ӣ|| 
г҃лаа̄ше|| 
ӣмъ|| · 
сѫбота|| 
ч҃лка|| 
радьма|| 
бъіс҃|| · 
А̄|| 
не|| 
ч҃лкъ|| 
сѫботъі|| 
раді|| · 
тѣмъже|| 
г҃ь|| 
᾽естъ|| 
с҃нъ|| 
ч҃лчь|| 
сѫботѣ|| · 
Ӣ|| 
въниде|| 
пакъи|| · 
въ|| 
сьньмище|| · 
ӣ|| 
бѣ|| 
тоу|| 
ч҃лкъ|| 
соухѫ|| 
рѫкѫ|| 
ӣмъи|| · 
ӣ|| 
наӡіраа̄хѫ|| 
ӣ|| · 
а̄ще|| 
въ|| 
сѫботѫ|| 
ӣцѣлітъи|| · 
да|| 
на|| 
нь|| 
в҃ъӡ/глѭ|| 
ӣ|| 
г҃ла|| 
ч҃лкоу|| 
ӣмѫщюмоу|| 
соухѫ|| 
рѫкѫ|| · 
стані|| 
по|| 
срѣдѣ|| · 
῾И|| 
г҃҃ла|| 
имъ|| · 
Достоитъ|| 
ли|| 
въ|| 
сѫботѫ|| · 
добро|| 
сътворити|| 
ли|| 
ӡьло|| 
сътворити|| - 
д҃шѫ|| 
с҃псти|| · 
ли|| 
погоубіти|| · 
о̄ни|| 
же|| 
млъ̄чаа̄хѫ|| · 
Ӣ|| 
въӡьрѣвъ|| 
на|| 
нѧ|| 
гнѣвомъ|| · 
с̄кръбѧ|| 
о̄|| 
о̄каменениӣ|| 
с҃рдць|| 
ӣх|| · 
г҃ла|| 
ч҃лкоу|| · 
Прострі|| 
рѫкѫ|| 
твоѭ̄|| · · 
ӣ|| 
прострѣтъ|| · 
ӣ|| 
о̄утвръди|| 
сѧ|| 
рѫка|| 
его|| · 
съдрава|| · 
Ѣ̄ко|| 
ӣ|| 
дроугаѣ|| ·:· - 
Послѣдоваа̄ше|| 
ӣс҃ві|| 
народъ|| 
мъногь|| · 
Ӣ|| 
о̄угнѣтаа̄хѫ|| 
ӣ|| · 
Ӣ|| 
се|| 
жена|| 
е̄тера|| · 
Сѫщи|| 
въ|| 
точеніӣ|| 
кръве|| 
лѣтъ|| 
б҃|| 
і҃̅|| · 
ӣ|| 
мно̄го|| 
пострадавъші|| 
о̄тъ|| 
м̄но̄гь|| 
врачеӣ|| · 
᾽ӣ|| 
ӣӡдаѣ̄въші|| 
