роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.6|5000005
д҃да|Nb|0|FIXME|-s---mg--i|| |10|1|MATT 1.6|5000005
ц҃рѣ|Nb|275|цѣсарь|-s---mg--i|| · |10|1|MATT 1.6|5000005
д҃дъ|Ne|1250|давꙑдъ|-s---mn--i|| |10|1|MATT 1.6|5000005
же|Df|20|же|---------n|| |10|1|MATT 1.6|5000005
ц҃рь|Nb|275|цѣсарь|-s---mn--i|| |10|1|MATT 1.6|5000005
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.6|5000005
соломона|Ne|836|соломонъ|-s---mg--i|| |10|1|MATT 1.6|5000005
ѡт҃|R-|80|отъ|---------n|| |10|1|MATT 1.6|5000005
о̄уріӣнъіѧ̄|A-|0|FIXME|-p---mapwi|| · |10|1|MATT 1.6|5000005
Соломонъ|Ne|836|соломонъ|-s---mn--i|| |10|1|MATT 1.7|5000006
же|Df|20|же|---------n|| |10|1|MATT 1.7|5000006
роді|V-|1198|родити#1|3saia----i|| · |10|1|MATT 1.7|5000006
ровоа̄ма|Nb|3323|ровъ|-s---mg--i|| · |10|1|MATT 1.7|5000006
Ровоа̄мъ|Nb|3323|ровъ|-p---fd--i|| |10|1|MATT 1.7|5000006
же|Df|20|же|---------n|| |10|1|MATT 1.7|5000006
роди|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.7|5000006
а̄віа̄да|Ne|2095|авиатаръ|-s---mg--i|| · |10|1|MATT 1.7|5000006
А̄віа̄дъ|Ne|2095|авиатаръ|-s---mn--i|| |10|1|MATT 1.7|5000006
же|Df|20|же|---------n|| |10|1|MATT 1.7|5000006
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.7|5000006
а̄сс̆а|Ne|0|FIXME|-s---mg--i|| · |10|1|MATT 1.7|5000006
А̄сс̄̄ь|Nb|0|FIXME|-s---mn--i|| |10|1|MATT 1.8|5000007
же|Df|20|же|---------n|| |10|1|MATT 1.8|5000007
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.8|5000007
ӣо̄а̄сафата|F-|0|FIXME|---------n|| · |10|1|MATT 1.8|5000007
ӣо̄а̄сафатъ|V-|0|FIXME|3spia----i|| |10|1|MATT 1.8|5000007
же|Df|20|же|---------n|| |10|1|MATT 1.8|5000007
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.8|5000007
ӣо̄а̄рама|Nb|0|FIXME|-s---mg--i|| · |10|1|MATT 1.8|5000007
Ӣо̄а̄рамь|Ne|0|FIXME|-s---mn--i|| |10|1|MATT 1.8|5000007
же|Df|20|же|---------n|| |10|1|MATT 1.8|5000007
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.8|5000007
ӣо̄ӡіѭ̄|Nb|0|FIXME|-s---fi--i|| · |10|1|MATT 1.8|5000007
