моего|моего|241972|Codex Zographensis|John 2
домоу|домоу|241973|Codex Zographensis|John 2
коупльнаего|коупльнаего|241974|Codex Zographensis|John 2
Помѣнѫшѧ|помѣнѫшѧ|241975|Codex Zographensis|John 2
же|же|241976|Codex Zographensis|John 2
оученици|оученіці|241977|Codex Zographensis|John 2
его|его|241978|Codex Zographensis|John 2
ѣко|ѣко|241979|Codex Zographensis|John 2
напсано|напсано|241980|Codex Zographensis|John 2
естъ|естъ|241981|Codex Zographensis|John 2
жалость|жалость|241982|Codex Zographensis|John 2
домоу|домоу|241983|Codex Zographensis|John 2
твоего|твоего|241984|Codex Zographensis|John 2
сънѣстъ|сънѣстъ|241985|Codex Zographensis|John 2
мѧ|мѧ|241986|Codex Zographensis|John 2
ѡтъвѣшташѧ|отъвѣшташѧ|241987|Codex Zographensis|John 2
же|же|241988|Codex Zographensis|John 2
ꙇюдеі|іюдеі|241989|Codex Zographensis|John 2
ꙇ|і|241990|Codex Zographensis|John 2
рѣшѧ|рѣшѧ|241991|Codex Zographensis|John 2
емоу|емоу|241992|Codex Zographensis|John 2
кое|кое|241993|Codex Zographensis|John 2
ѣвл҄ѣеши|ѣвлѣеші|241994|Codex Zographensis|John 2
ѣко|ѣко|241995|Codex Zographensis|John 2
си|сі|241996|Codex Zographensis|John 2
твориши|творіші|241997|Codex Zographensis|John 2
Ѡтъвѣшта|отъвѣшта|241998|Codex Zographensis|John 2
ꙇ҃с|іс|241999|Codex Zographensis|John 2
ꙇ|і|242000|Codex Zographensis|John 2
рече|рече|242001|Codex Zographensis|John 2
ꙇмъ|імъ|242002|Codex Zographensis|John 2
разорите|разоріте|242003|Codex Zographensis|John 2
цръковь|цръковь|242004|Codex Zographensis|John 2
сиѭ|сіѭ|242005|Codex Zographensis|John 2
ꙇ|і|242006|Codex Zographensis|John 2
трьми|трьмі|242007|Codex Zographensis|John 2
дьнꙑ|дьнъі|242008|Codex Zographensis|John 2
вьздвігнѫ|вьздвігнѫ|242009|Codex Zographensis|John 2
ѭ|ѭ|242010|Codex Zographensis|John 2
рѣшѧ|рѣшѧ|242011|Codex Zographensis|John 2
