дѣтѣль,368
славіті,369
датель,370
добръ,371
пріношеніе,372
благословленіе,373
домъ,374
храмъ,375
съпасітель,376
подъ,377
кровъ,378
закьхеовъ,379
въніті,380
прѣчістъ,381
гласъ,382
евангелістъ,383
въселенаѣ,384
істіна,385
проповѣдаті,386
сьде,387
жіті,388
съмѣренъ,389
грѣшьнъ,390
пріносіті,391
прославіті,392
пакость,393
врѣжденіе,394
жітіе,395
авлѣті,396
даръ,397
земьнъ,398
небесьнъ,399
надъ,400
стадо,401
владъіка,402
вьседрьжітель,403
агньць,404
възіматі,405
грѣхъ,406
прѣзьрѣті,407
доуша,408
моліті,409
прібѣгаті,410
вѣчьнъ,411
іѣковъ,412
оумъножіті,413
рѫка,414
ісаавовъ,415
лаваановъ,416
тъісѧшті,417
тъма,418
се,419
насіліе,420
іноплеменьнікъ,421
часъ,422
съмрьтьнъ,423
съблюсті,424
сътѧжаті,425
незавідьлівъ,426
око,427
наслаждаті,428
хвала,429
едьночѧдъ,430
лешті,431
ложе,432
отіті,433
сотона,434
двьрь,435
ѫгълъ,436
прічѧстьнъ,437
петръ,438
павьлъ,439
азъ,440
покланѣті,441
імѧ,442
доухъ,443
въложіті,444
оумъ,445
срьдьце,446
моі,447
храніті,448
тѣло,449
съставъ,450
зълодѣі,451
сѣть,452
съблазнъ,453
грѣховьнъ,454
въсъілаті,455
вълѣсті,456
пасті#1,457
ніць,458
іереі,459
вьсемогъі,460
ісповѣдьнъ,461
ліхъ,462
сътвореніе,463
коліжьдо,464
ізглаголаті,465
ліхо,466
мъісліті,467
глаголъ,468
лі,469
дѣло,470
помъішленіе,471
помьнѣті,472
любо,473
съгрѣшіті,474
съвѣдѣті,475
нѫжда,476
ненѫжда,477
съпаті,478
відѣті,479
клѧтва,480
лъжа,481
неправьдьнъ,482
поустошь,483
блѧдь,484
ѣкоже,485
із,486
ѣдѣніе,487
пітіе,488
съпаніе,489
рачіті,490
податі,491
посраміті,492
прѣдъ,493
свѣтъ#2,494
покаѣті,495
достоінъ,496
покаѣніе,497
ѣкоже,498
вьсевелікъ,499
троіца,500
помоштьнікъ,501
сіла,502
мѫдрость,503
замъіслъ,504
волѣ,505
вѣра,506
слоужьба,507
грѣшьнікъ,508
съпасті#1,509
любъ,510
рабъ,511
еі,512
помошті,513
какъ,514
бѣда,515
прѣдаѣті,516
мъісль,517
любъі,518
отъложіті,519
слово,520
оконьчаті,521
зълъ,522
дьнь,523
кліментъ,524
огрѧсті,525
блаженъ,526
мѫченікъ,527
папежь,528
веселіті,529
чьстіті,530
мѫченіе,531
наслѣдоваті,532
оплатъ,533
рованіѧ,534
прінесті,535
свѧтіті,536
ходатаіті,537
скврьность,538
очістіті,539
прѣфаціѣ,540
законьнікъ,541
оутѧгнѫті,542
інокость,543
подроугъ,544
ісповѣдь,545
намѣстьнікъ,546
наслѣдьнікъ,547
въсѫдъ,548
прѣдрагъ,549
кръвь,550
напльніті,551
вълітіе,552
просіті,553
еже,554
обѣштаніе,555
рѣснотівьнъ,556
іздрѣшеніе,557
обѧті,558
феліціта,559
раді,560
мѫчѣніца,561
въкоупьнь,562
заштітіті,563
людіе,564
радостьнъ,565
съмѣрьно,566
