id,lemma,pos,count
260,маздраньскыи,A-,2
261,земля,Nb,729
262,отътуды,Df,5
263,амиля,Ne,1
264,димовантъ,Ne,2
265,рѣи,Ne,2
266,убити,V-,221
267,шаусень,Ne,1
268,алеевъ,A-,1
269,дѣтя,Nb,223
270,вънуча,Nb,2
271,махметевъ,A-,1
272,прокляти,V-,24
273,седмьдесятъ,Ma,83
274,розвалити,V-,1
275,кашань,Ne,6
276,наинъ,Ne,2
277,ездѣя,Ne,5
278,сырчанъ,Ne,2
279,таромъ,Ne,2
280,фуникъ,Nb,1
281,кърмити,V-,50
282,животина,Nb,14
283,батманъ,Nb,1
284,алтынъ,Nb,6
285,ларъ,Ne,3
286,бендерь,Ne,1
287,пристанище,Nb,15
288,гурмызьскыи,A-,1
289,парьсѣискыи,A-,2
290,языкъ,Nb,170
291,ити,V-,804
292,гурмызъ,Ne,17
293,миля,Nb,2
294,островъ,Nb,20
295,ежедьнь,Df,2
296,дъвашьды,Df,12
297,дьнь,Nb,938
298,единъ,Ma,506
299,то,Df,530
300,пьсати,V-,160
301,варьныи,A-,7
302,сълньце,Nb,75
303,съжещи,V-,7
304,фоминъ,A-,2
305,тава,Nb,5
306,конь,Nb,191
307,мошкатъ,Ne,7
308,дѣгъ,Ne,4
309,кузратъ,Ne,3
310,канбатъ,Ne,2
311,родити,V-,133
312,красъка,Nb,4
313,лекъ,Nb,2
314,чивиль,Ne,7
315,семыи,Mo,3
316,страна,Nb,155
317,ходити,V-,237
318,нагыи,A-,30
319,покрыти,V-,42
320,грудь,Nb,3
321,волосъ,Nb,3
322,коса,Nb,1
323,плести,V-,2
324,брюхатыи,A-,1
325,вьсякыи,A-,627
326,годъ,Nb,78
327,мужь,Nb,434
328,жена,Nb,328
329,дивити,V-,19
330,бѣлыи,A-,26
331,фота,Nb,9
332,другыи,A-,222
333,бедро,Nb,7
334,бояринъ,Nb,96
335,плече,Nb,24
336,кънягыни,Nb,54
337,обогънути,V-,2
338,слуга,Nb,73
339,къняжь,A-,51
340,боярьскыи,A-,15
341,щитъ,Nb,29
342,мечь,Nb,71
343,рука,Nb,280
344,сулица,Nb,8
345,ножь,Nb,17
346,сабля,Nb,17
347,лукъ,Nb,16
348,стрѣла,Nb,34
349,босыи,A-,8
350,бълкатыи,A-,1
351,женъка,Nb,16
352,паробъкъ,Nb,3
353,дѣвочька,Nb,1
354,седмь,Ma,137
355,лѣто,Nb,1350
356,соромъ,Nb,15
357,сухо,Nb,9
358,пали,Ne,2
359,осмь,Ma,134
360,умри,Ne,2
361,чунерь,Ne,9
362,асатъ,Ne,1
363,ханъ,Nb,7
364,чунерьскыи,A-,1
365,холопъ,Nb,39
366,меликътучаровъ,A-,1
367,дьржати,V-,157
368,съказывати,V-,33
369,тьма,Nb,44
370,меликътучаръ,Ne,10
371,сѣдѣти,V-,183
372,дъвадесяти,Ma,275
373,кафаръ,Nb,4
374,побити,V-,30
375,побивати,V-,6
376,мъногашьды,Df,56
377,же,Df,4467
378,слонъ,Nb,29
379,добрыи,A-,302
380,хоросаньць,Nb,10
381,привозити,V-,4
382,хорасаньскыи,A-,2
383,арабаньскыи,A-,1
384,туркменьскыи,A-,1
385,чеготаньскыи,A-,1
386,корабль,Nb,54
387,привезти,V-,40
388,жеребьць,Nb,9
389,богъ,Nb,1493
390,съто,Ma,76
391,рубль,Nb,37
392,зима,Nb,153
393,троицинъ,A-,1
394,зимовати,V-,10
395,вьсюда,Df,1
396,вода,Nb,203
397,грязь,Nb,8
398,тыиже,Pd,679
399,орати,V-,5
400,сѣяти,V-,15
401,пьшеница,Nb,16
402,тутурганъ,Nb,1
403,ногутъ,Nb,2
404,съястьныи,A-,2
405,вино,Nb,47
406,чинити,V-,27
407,орѣхъ,Nb,1
408,кози,Nb,1
409,брага,Nb,12
410,татьнъ,Nb,1
411,варити,V-,41
412,кичирисъ,Nb,1
413,сахаръ,Nb,3
414,масло,Nb,39
415,порану,Df,3
416,даяти,V-,175
417,шьшень,Nb,1
418,волъ,Nb,12
419,буиволъ,Nb,1
420,возити,V-,13
421,дѣлати,V-,109
422,градъ,Nb,582
423,каменьныи,A-,86
424,сътворити,V-,551
425,дорога,Nb,31
426,тѣсьныи,A-,5
427,льзѣ,Df,19
428,ставити,V-,50
429,подворие,Nb,15
430,ѣсти,V-,36
431,господарыни,Nb,1
432,постеля,Nb,3
433,стьлати,V-,3
434,съпати,V-,30
435,сикишь,F-,3
436,илересънь,F-,1
437,ду,F-,1
438,житель,F-,3
439,берсень,F-,1
440,достурь,F-,1
441,авратъ,F-,1
442,чектуръ,F-,1
443,муфутъ,F-,1
444,любити,V-,135
445,тъгда,Df,303
446,въздѣвати,V-,1
447,пъртъкы,Nb,1
448,сорочица,Nb,4
449,кафтанъ,Nb,8
450,опоясати,V-,1
451,глава,Nb,87
452,обертѣти,V-,3
453,оло,F-,5
454,абрь,F-,1
455,акъ,F-,3
456,керимъ,F-,3
457,рагымъ,F-,6
458,увѣдати,V-,39
459,бесерменинъ,Nb,15
460,русинъ,Nb,56
461,мълвити,V-,66
462,золотыи,A-,26
463,вѣра,Nb,218
464,махметъдени,F-,2
465,сърокъ,Nb,11
466,учинити,V-,64
467,говѣино,Nb,6
468,усъпение,Nb,18
469,съпасовъ,A-,7
470,съмиловати,V-,4
471,чьстьныи,A-,80
472,праздьникъ,Nb,64
473,отъставити,V-,6
474,повелѣти,V-,227
475,погыбнути,V-,57
476,нечьстивыи,A-,11
477,канунъ,Nb,5
478,приѣхати,V-,102
479,хозяиочи,F-,1
480,махметъ,Ne,3
481,отъпросити,V-,2
482,поставити,V-,239
483,таковыи,A-,202
484,господаревъ,A-,2
485,чудо,Nb,62
486,хрьстиянинъ,Nb,78
487,къто,Px,291
488,хотѣти,V-,612
489,оставити,V-,114
490,въскликнути,V-,2
491,залъгати,V-,1
492,пьсъ,Nb,21
493,нѣту,V-,105
494,бесерменьскыи,A-,18
495,пьрьць,Nb,4
496,дешевыи,A-,19
497,ачьче,F-,2
498,пошьлина,Nb,15
499,разбоиникъ,Nb,16
500,розбивати,V-,3
501,ни,C-,584
502,молити,V-,273
503,болванъ,Nb,1
504,знати,V-,85
505,выити,V-,81
506,прѣчистыи,A-,48
507,бедерь,Ne,30
508,кулонгерь,Ne,3
509,пять,Ma,188
510,колубергъ,Ne,8
511,промежи,R-,17
512,колько,Dq,3
513,ковъ,Nb,10
514,только,Df,39
515,четыредесяте,Ma,125
516,колуньгерь,Ne,1
517,девять,Ma,114
518,търгъ,Nb,55
519,камка,Nb,4
520,шелкъ,Nb,5
521,купити,V-,90
522,купля,Nb,18
523,вьсе,Df,10
524,овощь,Nb,14
525,зълодѣи,Nb,15
526,блядь,Nb,6
527,вѣдь,Nb,1
528,тать,Nb,24
529,лъжь,Nb,9
530,зелие,Nb,13
531,господарь,Nb,4
532,морити,V-,2
533,къняжити,V-,44
534,гондустаньць,Nb,2
535,пѣшеходъ,Nb,1
536,бързо,Df,8
537,прямыи,A-,13
538,бои,Nb,11
539,пѣшии,A-,40
540,пускати,V-,18
541,напередъ,Df,15
542,доспѣхъ,Nb,21
543,самъ,Pd,590
544,вязати,V-,4
545,рыло,Nb,1
546,зубъ,Nb,16
547,кендарь,Nb,2
548,ковати,V-,12
549,оболочити,V-,2
550,булатьныи,A-,5
551,городъкъ,Nb,14
552,дъванадесять,Ma,76
