252,постраꙗти,V-
253,ѥще,Df
254,отъвѣтъ,Nb
255,такожде,Df
256,мъногашьдꙑ,Df
257,акилла,Ne
258,симмахъ,Ne
259,инъ,Px
260,оудобъ,A-
261,потворити,V-
262,неже,Df
263,въпросити,V-
264,кънигъчии,Nb
265,къто,Pi
266,вꙑ,Pp
267,кꙑи,Pi
268,врѣмѧ,Nb
269,рѣдъкъ,A-
270,боукарь,Nb
271,отъвѣщати,V-
272,меѳодии,Ne
273,братръ,Nb
274,михаилъ,Ne
275,цѣсарь,Nb
276,борисъ,Ne
277,кънѧѕь,Nb
278,блъгарьскъ,A-
279,растиславъ,Ne
280,моравьскъ,A-
281,коцьлъ,Ne
282,блатьньскъ,A-
283,съзьданиѥ,Nb
284,миръ#2,Nb
285,шесть тꙑсѧщь,Ma
286,три съта,Ma
287,шесть десѧтъ,Ma
288,инъде,Df
289,нꙑнѣ,Df
290,братриꙗ,Nb
291,слава,Nb
292,чьсть,Nb
293,дрьжава,Nb
294,покланꙗниѥ,Nb
295,присно,Df
296,бесконьчьнъ,A-
297,вѣкъ,Nb
298,аминъ,I-
299,молитва,Nb
300,ѥгда,Dq
301,хотѣти,V-
302,виноградъ,Nb
303,садити,V-
304,тꙑ,Pp
305,христ(ос)ъ,Ne
306,отьць,Nb
307,твои,Ps
308,дѣлатель,Nb
309,апостолъ,Nb
310,лозиѥ,Nb
311,нарещи,V-
312,издраиль,Ne
313,егѵпьтъ,Ne
314,прѣнести,V-
315,изгънати,V-
316,насадити,V-
317,призьрѣти,V-
318,оукоренити,V-
319,оуглѫбити,V-
320,милость,Nb
321,оградити,V-
322,острогъ,Nb
323,въходъ,Nb
324,исходъ,Nb
325,избавити,V-
326,снѣгъ,Nb
327,мразъ,Nb
328,градъ#2,Nb
329,носити,V-
330,боурꙗ,Nb
331,възглашениѥ,Nb
332,ꙗко#2,Df
333,милостивъ,A-
334,гроздъ,Nb
335,вино,Nb
336,иманиѥ,Nb
337,съпасъ,Nb
338,нашь,Ps
339,изволити,V-
340,ѥдиночѧдъ,A-
341,сꙑнъ#1,Nb
342,господь,Nb
343,исоусъ,Ne
344,плодъ,Nb
345,бесъмрьтьнъ,A-
346,даровати,V-
347,виньнъ,A-
348,благословити,V-
349,богородица,Nb
350,оугодити,V-
351,благодѣть,Nb
352,щедрота,Nb
353,начѧтиѥ,Nb
354,кꙑсѣлъ,A-
355,вода,Nb
356,кана-галилеискъ,A-
357,бракъ,Nb
358,авити,V-
359,оученикъ,Nb
360,посѣтити,V-
361,жилище,Nb
362,вьсꙗкъ,A-
363,благъ,A-
364,растворѥниѥ,Nb
365,пити,V-
366,да,G-
367,неприꙗзнинъ,A-
368,дѣтѣль,Nb
369,славити,V-
