id,lemma,pos,count
1,о,R-,1026
2,писмѧ,Nb,40
3,чрьноризьць,Nb,10
4,храбъръ,Ne,1
5,прѣжде,Df,125
6,оубо,Df,698
7,словѣне,Nb,4
8,не,Df,3931
9,имѣти,V-,769
10,кънигꙑ,Nb,114
11,нъ,C-,1018
12,чрьта,Nb,3
13,и,C-,14117
14,рѣза,Nb,1
15,чисти,V-,79
16,гадати,V-,1
17,поганъ,A-,15
18,бꙑти,V-,6171
19,крьстити,V-,61
20,же,Df,4084
21,себе,Pk,5753
22,римьскъ,A-,23
23,грьчьскъ,A-,17
24,нѫждати,V-,2
25,словѣньскꙑ,Df,6
26,рѣчь,Nb,35
27,без,R-,226
28,оустроѥниѥ,Nb,5
29,но,C-,1
30,како,Du,326
31,мощи,V-,375
32,пьсати,V-,107
33,добрѣ,Df,62
34,богъ,Nb,1507
35,или,C-,181
36,животъ,Nb,120
37,ѕѣло,Df,154
38,црькꙑ,Nb,208
39,чаꙗниѥ,Nb,5
40,широта,Nb,5
41,ꙗдь,Nb,12
42,оудъ,Nb,25
43,юность,Nb,21
44,ѩзꙑкъ,Nb,264
45,инъ,A-,1
46,подобьнъ,A-,66
47,сь,Pd,1823
48,тако,Df,337
49,мъногъ,A-,681
50,лѣто,Nb,158
51,потомь,Df,52
52,чловѣколюбьць,Nb,16
53,строити,V-,11
54,вьсь,Px,1831
55,оставлꙗти,V-,30
56,чловѣчь,A-,39
57,родъ,Nb,167
58,разоумъ,Nb,67
59,къ,R-,1481
60,приводити,V-,8
61,съпасениѥ,Nb,139
62,помиловати,V-,77
63,посълати,V-,291
64,и,Pp,7990
65,свѧтъ,A-,880
66,константинъ,Ne,19
67,философъ,Nb,36
68,нарицати,V-,131
69,кѵрилъ,Ne,9
70,мѫжь,Nb,243
71,правьдьнъ,A-,122
72,истиньнъ,A-,101
73,сътворити,V-,862
74,тридесѧть,Ma,25
75,осмь,Ma,30
76,овъ,Pd,98
77,по,R-,895
78,чинъ,Nb,35
79,словѣньскъ,A-,23
80,отъ,R-,2488
81,прьвъ,Mo,113
82,начѧти,V-,189
83,онъ,Pd,671
84,алфа,Nb,4
85,а,C-,587
86,азъ,Nb,4
87,обои,Ma,13
88,ꙗкоже,Dq,325
89,подобити,V-,14
90,жидовьскъ,A-,41
91,и,Df,1279
92,съ,R-,1221
93,жидовинъ,Nb,55
94,бо,Df,1384
95,алефь,F-,2
96,иже,Pr,2191
97,съказати,V-,99
98,оучинѥниѥ,Nb,5
99,съврьшати,V-,13
100,въводити,V-,11
101,дѣтищь,Nb,19
102,глаголати,V-,2235
103,оучити,V-,117
104,грьци,Nb,8
105,тъ,Pd,1621
106,рещи,V-,2098
107,съподобити,V-,42
108,речениѥ,Nb,1
109,съказаниѥ,Nb,14
110,да,C-,134
111,въ,R-,5112
112,оучениѥ,Nb,63
113,мѣсто,Nb,287
114,искати,V-,153
115,ꙗко,G-,1433
116,дати,V-,568
117,на,R-,2766
118,отъврьстиѥ,Nb,1
119,оуста,Nb,179
120,оучѧти,V-,1
121,боукꙑ,Nb,6
122,великъ,A-,265
123,раздвижениѥ,Nb,2
124,възгласити,V-,27
125,малъ,A-,118
126,исповѣдати,V-,74
127,сице,Df,107
128,подобати,V-,75
129,а,Nb,1
130,б,Nb,1
131,в,Nb,1
132,г,Nb,1
133,дроугъ,A-,175
134,чьто,Pi,567
135,мьнии,A-,23
136,дъва десѧти,Ma,36
137,четꙑрe,Ma,62
138,вѣдѣти,V-,386
139,коликъ,Pi,6
140,напльнꙗти,V-,3
141,приложити,V-,59
142,дъвогласьнъ,A-,2
143,ѥдинъ на десѧте,Ma,3
144,чисмѧ,Nb,9
145,триѥ,Ma,149
146,шесть,Ma,51
147,пѧтъ,Ma,4
148,девѧть,Ma,34
149,десѧтьнъ,A-,1
150,девѧтъ,Ma,2
151,сътьнъ,A-,1
152,събирати,V-,38
153,тѣмьже,Df,32
154,подобьно,Df,5
155,тъжде,Pd,70
156,образъ,Nb,140
157,ни,C-,500
158,то,Df,198
159,ангелъ,Nb,177
160,ижде,Pr,1
161,коньнъ,A-,2
162,ꙗко,Df,68
163,елиньскъ,A-,9
164,конъ,Nb,1
165,приѩти,V-,437
166,мьнѣти,V-,115
167,мꙑ,Pp,812
168,окаꙗнъ,A-,21
169,повелѣти,V-,292
170,евангелиѥ,Nb,33
171,дъска,Nb,10
172,напьсати,V-,61
173,жидовьскꙑ,Df,2
174,римьскꙑ,Df,2
175,елиньскꙑ,Df,1
176,не бꙑти,V-,279
177,тоу,Df,279
178,такъ,Pd,63
179,безоумиѥ,Nb,21
180,обаче,Df,66
181,наоучити,V-,89
182,рѧдъ,Nb,12
183,бꙑвати,V-,123
184,иногдоѭ,Df,1
185,сѵрьскъ,A-,5
186,адамъ,Ne,48
187,до,R-,261
188,потопъ,Nb,12
189,доньдеже,G-,13
190,раздѣлити,V-,48
191,при,R-,93
192,стлъпотворѥниѥ,Nb,2
193,размѣсити,V-,4
194,нравъ,Nb,12
195,обꙑчаи,Nb,46
196,оуставъ,Nb,17
197,законъ,Nb,187
198,хꙑтрость,Nb,14
199,егѵпьтѣнинъ,Nb,1
200,землѥмѣрениѥ,Nb,1
201,перси,Nb,3
202,халдеи,Nb,1
203,асѵреи,Nb,1
204,ѕвѣздочьтениѥ,Nb,1
205,влъшьвениѥ,Nb,1
206,врачеваниѥ,Nb,1
207,чарованиѥ,Nb,1
208,жидъ,Nb,15
209,небо,Nb,320
210,землꙗ,Nb,521
211,чловѣкъ,Nb,618
212,елинъ,Nb,17
213,граматикиꙗ,Nb,4
214,риторикиꙗ,Nb,2
215,философиꙗ,Nb,4
216,прѣжде,R-,70
217,свои,Pt,1511
218,финичьскъ,A-,1
219,панамидь,Ne,1
220,послѣжде,Df,13
221,прити,V-,870
222,вита,Nb,1
223,шесть на десѧте,Ma,4
224,тъкъмо,Df,26
225,обрѣсти,V-,248
226,кадьмъ,Ne,1
227,милисии,Ne,1
228,девѧть на десѧте,Ma,4
229,симонидъ,Ne,1
230,дъва,Ma,229
231,епихарии,Ne,1
232,съказатель,Nb,2
233,събьрати,V-,124
234,дионисъ,Ne,2
235,граматикъ,Nb,1
236,чисменитъ,A-,1
237,ѥдъва,Df,14
238,минѫти,V-,30
239,божии,A-,482
240,повелѣниѥ,Nb,54
241,седмь десѧтъ,Ma,16
242,прѣложити,V-,26
243,ѥдинъ,Ma,543
244,седмь,Ma,59
245,оустроити,V-,30
246,прѣложениѥ,Nb,3
247,чьстьнъ,A-,80
248,аще,G-,833
249,ли,Df,137
250,къто,Px,144
251,понѥже,G-,72
252,постраꙗти,V-,2
253,ѥще,Df,107
254,отъвѣтъ,Nb,34
255,такожде,Df,89
256,мъногашьдꙑ,Df,20
257,акилла,Ne,2
258,симмахъ,Ne,1
259,инъ,Px,309
260,оудобъ,A-,12
261,потворити,V-,1
262,неже,Df,34
263,въпросити,V-,76
264,кънигъчии,Nb,7
265,къто,Pi,244
266,вꙑ,Pp,1065
267,кꙑи,Pi,148
268,врѣмѧ,Nb,185
269,рѣдъкъ,A-,2
270,боукарь,Nb,1
271,отъвѣщати,V-,399
272,меѳодии,Ne,16
273,братръ,Nb,144
274,михаилъ,Ne,10
275,цѣсарь,Nb,391
276,борисъ,Ne,1
277,кънѧѕь,Nb,148
278,блъгарьскъ,A-,1
279,растиславъ,Ne,7
280,моравьскъ,A-,7
281,коцьлъ,Ne,7
282,блатьньскъ,A-,1
283,съзьданиѥ,Nb,7
284,миръ#2,Nb,170
285,шесть тꙑсѧщь,Ma,1
286,три съта,Ma,6
287,шесть десѧтъ,Ma,15
288,инъде,Df,3
289,нꙑнѣ,Df,267
290,братриꙗ,Nb,114
291,слава,Nb,301
292,чьсть,Nb,97
293,дрьжава,Nb,41
294,покланꙗниѥ,Nb,7
295,присно,Df,90
296,бесконьчьнъ,A-,3
297,вѣкъ,Nb,398
298,аминъ,I-,185
299,молитва,Nb,235
300,ѥгда,Dq,433
301,хотѣти,V-,508
302,виноградъ,Nb,42
303,садити,V-,4
304,тꙑ,Pp,1747
305,христ(ос)ъ,Ne,414
306,отьць,Nb,637
307,твои,Ps,1555
308,дѣлатель,Nb,46
309,апостолъ,Nb,68
310,лозиѥ,Nb,2
311,нарещи,V-,105
312,издраиль,Ne,53
313,егѵпьтъ,Ne,25
314,прѣнести,V-,3
315,изгънати,V-,68
316,насадити,V-,15
317,призьрѣти,V-,33
318,оукоренити,V-,1
319,оуглѫбити,V-,3
320,милость,Nb,192
321,оградити,V-,6
322,острогъ,Nb,2
323,въходъ,Nb,10
324,исходъ,Nb,13
325,избавити,V-,133
326,снѣгъ,Nb,12
327,мразъ,Nb,7
328,градъ#2,Nb,4
329,носити,V-,83
330,боурꙗ,Nb,17
331,възглашениѥ,Nb,4
332,ꙗко#2,Df,403
333,милостивъ,A-,29
334,гроздъ,Nb,3
335,вино,Nb,52
336,иманиѥ,Nb,2
337,съпасъ,Nb,57
338,нашь,Ps,511
339,изволити,V-,37
340,ѥдиночѧдъ,A-,2
341,сꙑнъ#1,Nb,522
342,господь,Nb,1438
343,исоусъ,Ne,866
344,плодъ,Nb,117
345,бесъмрьтьнъ,A-,20
346,даровати,V-,9
347,виньнъ,A-,8
348,благословити,V-,72
349,богородица,Nb,8
350,оугодити,V-,15
351,благодѣть,Nb,69
352,щедрота,Nb,14
353,начѧтиѥ,Nb,3
354,кꙑсѣлъ,A-,1
355,вода,Nb,189
356,кана-галилеискъ,A-,1
357,бракъ,Nb,19
358,авити,V-,141
359,оученикъ,Nb,387
360,посѣтити,V-,13
361,жилище,Nb,26
362,вьсꙗкъ,A-,208
363,благъ,A-,164
364,растворѥниѥ,Nb,2
365,пити,V-,90
366,да,G-,1044
367,неприꙗзнинъ,A-,11
368,дѣтѣль,Nb,17
369,славити,V-,76
370,датель,Nb,4
371,добръ,A-,242
372,приношениѥ,Nb,4
373,благословлѥниѥ,Nb,11
374,домъ,Nb,265
375,храмъ,Nb,36
376,съпаситель,Nb,10
377,подъ,R-,81
378,кровъ,Nb,28
379,закьхеовъ,A-,1
380,вънити,V-,283
381,прѣчистъ,A-,14
382,гласъ,Nb,221
383,евангелистъ,Nb,13
384,въселѥнаꙗ,Nb,45
385,истина,Nb,197
386,проповѣдати,V-,69
387,сьде,Df,109
388,жити,V-,165
389,съмѣрѥнъ,A-,26
390,грѣшьнъ,A-,51
391,приносити,V-,50
392,прославити,V-,66
393,пакость,Nb,20
394,врѣждениѥ,Nb,1
395,житиѥ,Nb,113
396,авлꙗти,V-,33
397,даръ,Nb,111
398,земьнъ,A-,34
399,небесьнъ,A-,65
400,надъ,R-,79
401,стадо,Nb,32
402,владꙑка,Nb,118
403,вьседрьжитель,Nb,19
404,агньць,Nb,16
405,възимати,V-,19
406,грѣхъ,Nb,172
407,прѣзьрѣти,V-,19
408,доуша,Nb,364
409,молити,V-,302
410,прибѣгати,V-,10
411,вѣчьнъ,A-,109
412,иꙗковъ,Ne,72
413,оумъножити,V-,31
414,рѫка,Nb,400
415,исаавовъ,A-,2
416,лаваановъ,A-,1
417,тꙑсѧщи,Nb,2
418,тъма,Nb,11
419,се,I-,318
420,насилиѥ,Nb,3
421,иноплеменьникъ,Nb,12
422,часъ,Nb,98
423,съмрьтьнъ,A-,62
424,съблюсти,V-,23
425,сътѧжати,V-,10
426,незавидьливъ,A-,1
427,око,Nb,218
428,наслаждати,V-,4
429,хвала,Nb,84
430,ѥдьночѧдъ,A-,7
431,лещи,V-,4
432,ложе,Nb,10
433,отити,V-,117
434,сотона,Nb,36
435,двьрь,Nb,78
436,ѫгълъ,Nb,6
437,причѧстьнъ,A-,2
438,петръ,Ne,146
439,павьлъ,Ne,68
440,азъ,Pp,2525
441,покланꙗти,V-,22
442,имѧ,Nb,438
443,доухъ,Nb,316
444,въложити,V-,35
445,оумъ,Nb,113
446,срьдьце,Nb,299
447,мои,Ps,1654
448,хранити,V-,50
449,тѣло,Nb,216
450,съставъ,Nb,4
451,зълодѣи,Nb,15
452,сѣть,Nb,33
453,съблазнъ,Nb,11
454,грѣховьнъ,A-,10
455,въсꙑлати,V-,4
456,вълѣсти,V-,86
457,пасти#1,V-,91
458,ниць,A-,10
459,иѥреи,Nb,24
460,вьсемогꙑ,A-,9
461,исповѣдьнъ,A-,1
462,лихъ,A-,22
463,сътворѥниѥ,Nb,6
464,колижьдо,Df,31
465,изглаголати,V-,6
466,лихо,Df,10
467,мꙑслити,V-,22
468,глаголъ,Nb,63
469,ли,C-,180
470,дѣло,Nb,250
471,помꙑшлѥниѥ,Nb,28
472,помьнѣти,V-,19
473,любо,C-,13
474,съгрѣшити,V-,50
475,съвѣдѣти,V-,16
