2055,55232
2614,55811
678,58763
92,58764
64,58765
366,58766
8,58767
679,58768
304,58769
13,58771
681,58772
18,58773
111,58774
683,58778
217,58780
677,58782
117,58783
684,58784
80,58785
686,58787
687,58788
688,58789
102,58791
115,58792
106,58793
73,58795
691,58796
689,58797
692,58798
96,58800
693,58801
642,58802
694,58803
446,58805
440,58807
20,58808
266,58810
427,58813
307,58814
696,58815
695,58816
248,58819
85,58820
54,58821
449,58822
701,58823
94,58825
243,58827
21,58829
414,58831
116,58843
705,58845
704,58846
703,58847
709,58849
637,58852
706,58853
707,58854
520,58855
342,58858
616,58860
386,58868
1643,58869
497,58870
2048,58871
406,58872
19,58873
1180,58874
1192,58875
720,58876
819,58877
2051,58878
1126,58879
2052,58880
1,58881
2053,58882
41,58883
2054,58884
2056,58886
958,58887
2057,58888
931,58889
176,58890
496,58891
1434,58892
1513,58893
2058,58894
2059,58895
1657,58896
59,58898
930,58899
1658,58900
91,58901
1119,58903
717,58904
1685,58905
355,58907
105,58908
443,58909
65,58910
6,58911
1676,58912
1475,58913
1588,58914
523,58915
221,58916
343,58917
479,58918
2060,58919
209,58920
1529,58921
757,58922
1142,58924
1636,58925
382,58926
2061,58927
447,58929
635,58930
1101,58931
63,58932
1016,58933
773,58934
2297,58935
671,58936
225,58937
2296,58938
1661,58939
191,58940
1303,58942
134,58943
987,58944
774,58945
177,58946
1530,58948
83,58949
669,58950
1069,58951
731,58952
1665,58953
58954,58954
133,58955
1857,58956
1669,58957
900,58958
1671,58959
77,58960
49,58961
938,58962
493,58985
1036,58986
1469,58988
442,58990
1674,58991
306,58993
338,58994
1250,58995
586,58997
782,58998
38,58999
380,59000
498,59001
1489,59016
434,59017
2063,59018
159,59019
976,59020
268,59030
239,59032
1440,59033
1048,59034
1542,59035
170,59036
1383,59037
2064,59038
968,59039
88,59040
348,59043
2065,59044
986,59045
1000,59046
1009,59047
2069,59051
2068,59052
1027,59053
2070,59054
857,59056
412,59057
1640,59058
273,59059
2071,59066
947,59068
763,59069
103,59070
1249,59071
977,59076
422,59077
1102,59078
1072,59079
2113,59080
1246,59081
845,59082
657,59084
755,59085
1688,59086
1687,59087
