485,правь
486,мнѣ
487,хоу
488,трѣ
489,штіі
490,іматъ
491,просі
492,влѣ
493,нб
494,оні
495,іере
496,сіі
497,штіімъ
498,дрѣ
499,дѣте
500,вѣроу
501,любі
502,моліт
503,летъ
504,абіе
505,своѧ
506,пръ
507,нѫѭ
508,жіво
509,дьнь
510,дьне
511,без
512,пло
513,блі
514,штъ
515,ствоу
516,обра
517,всѣ
518,небе
519,врь
520,хъі
521,іоа
522,ем
523,дві
524,тебе
525,въіі
526,ог
527,наше
528,гро
529,штііхъ
530,фарі
531,вьсѧ
532,зъва
533,еші
534,градъ
535,ждѫ
536,въск
537,пок
538,члв
539,ніко
540,оца
541,ед
542,хотѣ
543,аг
544,роді
545,оста
546,проро
547,томоу
548,съвѣдѣ
549,самъ
550,хь
551,оставі
552,іскоу
553,шьдъ
554,відѣвъ
555,своѭ
556,піса
557,глѭште
558,боѭ
559,отъпоу
560,сп
561,сна
562,нарі
563,послоуша
564,прістѫ
565,архіере
566,нъііхъ
567,стоу
568,штѧѧ
569,цоу
570,міръ
571,бѫде
572,цѫ
573,гото
574,амін
575,інъ
576,ѧзъі
577,добро
578,кро
579,тре
580,ідеже
581,ваше
582,кра
583,азь
584,заповѣ
585,много
586,марі
587,акъі
588,твоего
589,нію
590,каме
591,вьсѣхъ
592,хрі
593,мѣсто
594,есть
595,насъ
596,німь
597,тро
598,вѧтъ
599,троу
600,ждъ
601,ѧже
602,штеі
603,емь
604,богъ
605,оба
606,іі
607,знаме
608,своімъ
609,діѣ
610,къто
611,зо
612,земі
613,можетъ
614,еда
615,вѣкъ
616,нікто
617,сіхъ
618,слъіші
619,погоу
620,творѧ
621,нетъ
622,оубі
623,оумь
624,немъ
625,іні
626,ѭшта
627,къні
628,неже
629,съпа
630,бѣаше
631,рова
632,ізба
633,наріца
634,пріѧ
635,галі
636,ніктоже
637,бье
638,бъішѧ
639,оць
640,стъіі
641,соже
642,вое
643,віді
644,домоу
645,жіті
646,даті
647,зѣло
648,дхъ
649,положі
650,бъіс
651,стіѭ
652,правъ
653,сътво
654,стааго
655,прь
656,піла
657,възвра
658,бже
659,црь
660,бжіі
661,люб
662,день
663,веде
664,зъло
665,глаголѫ
666,рас
667,врѣмѧ
668,божі
669,чѫ
670,прідетъ
671,оут
672,сімо
673,шъдъ
674,люді
675,моѭ
676,ства
677,срѣ
678,дошѧ
679,оузь
680,безако
681,свѧ
682,отро
683,въші
684,жена
685,десѧте
686,еліко
687,своіхъ
688,весе
689,пса
690,ѣше
691,фі
692,дова
693,бѣахѫ
694,сръ
695,ліце
696,таі
697,коньча
698,зні
699,града
700,тѣло
701,петръ
702,хотѧ
703,пѫті
704,въша
705,міра
706,бѫдѫтъ
707,многъі
708,оучіте
709,ізіде
710,рѫцѣ
711,рѣхъ
712,штемъ
713,обі
714,вѣрѫ
715,подъ
716,въні
717,мрът
718,обла
719,ствіе
720,помъі
721,хлѣбъ
722,еште
723,оті
724,проті
725,връже
726,едно
727,жѫ
728,відѧ
729,нена
730,цръ
731,бого
732,істінѫ
733,обѣ
734,іді
735,сѫді
736,крьсті
737,праве
738,възь
739,глаголѧ
740,цѣсарь
741,вьс
742,іті
743,твоіхъ
744,съвѣдѣтель
745,кора
746,ідѣ
747,прішедъ
748,шіхъ
749,лежѧ
750,вѣрова
751,агге
752,вьсѣмъ
753,помо
754,неі
755,крѣ
756,блю
757,лоні
758,владъі
759,еѧ
760,вітъ
761,номъ
762,печа
763,ждь
764,каза
765,огнь
766,мнозі
767,глааше
768,нъіімъ
769,радо
770,дроугъі
771,послѣ
772,пріем
773,дшѫ
774,гнѣва
775,томъ
776,деже
777,начѧ
778,ніцѫ
779,богоу
780,прѣбъіва
781,ісповѣ
782,стоѧ
783,сък
784,тогда
785,срь
786,ріі
787,погоубі
788,жівотъ
789,слъішавъ
790,ѭштоу
791,праз
792,пріне
793,імі
794,гле
795,ісплъ
796,свѧтъ
797,чѧтъ
798,сеі
799,праша
800,наѣ
801,добрѣ
802,сѫдъ
803,сьде
804,оугото
805,галіле
806,есте
807,болѣ
808,сіце
809,чьсті
810,оученікомъ
811,слъ
812,нітъ
813,едіного
814,дѣті
815,въпраша
816,кр
817,фарісѣ
818,хрісто
819,свѣтъ
820,дъва
821,вье
822,могѫ
823,срд
824,прідѫ
825,народъ
826,подобь
827,дро
828,хожда
829,зѫ
830,твоѭ
831,такожде
832,імѫтъ
833,она
834,ноуоумоу
835,бъра
836,архіереі
837,подоба
838,годі
839,дес
840,родъ
841,въсѣ
842,слава
843,мѫчені
844,дръжа
845,побѣ
846,віно
847,вьсь
848,речетъ
849,вѧза
850,імене
851,нѫтъ
852,тва
853,штіхъ
854,чкъ
855,господь
856,достоі
857,семь
858,бѣсъ
859,вѣсті
860,цѣлі
861,чоуде
862,нѣі
863,емоуже
864,томь
865,німі
866,позна
867,въшоу
868,вѣръі
869,себе
870,бѫді
871,плѣ
872,ломъ
873,обрѧ
874,бл
875,глаахѫ
876,грѣшь
877,сьмрь
878,нѭ
879,вода
880,паде
881,творітъ
882,земь
883,пѫть
884,срѣдѣ
885,рѭ
886,пѧть
887,відѣті
888,еп
889,нозѣ
890,нікъі
891,вѣсте
892,многа
893,іюдеі
894,іосі
895,прітъ
896,мало
897,ліѣ
898,оуже
899,словеса
900,ісповѣда
901,вьзь
902,молѣ
903,тіі
904,семоу
905,просла
906,нъіхъ
907,рѧтъ
908,носі
909,діѣво
910,ніімъ
911,іѣко
912,сѣдѧ
913,нашего
914,мже
915,скръ
916,глаголе
917,възвраті
918,обрѣте
919,оум
920,сѫбо
921,въкоу
922,імате
923,ході
924,своімі
925,поустъі
926,ісоу
927,дроуга
928,вль
929,ніче
930,овъ
931,погъі
932,гласъ
933,рабъ
934,сътворіті
935,мілості
936,гѣ
937,възда
938,тра
939,радоу
940,оуготова
941,наа
942,лма
943,двь
944,ке
945,рѫкѫ
946,штетъ
947,пріблі
948,пъі
949,кла
950,вѣчь
951,бѫдете
952,оученікъ
953,вѣрь
954,сомъ
955,снѫ
956,пілатъ
957,землі
958,знь
959,подві
960,ізбаві
961,проповѣда
962,съмрь
963,наріцае
964,въздра
965,донь
966,жідо
967,кні
968,стро
969,тѣхъ
970,слъішѧ
971,авра
972,крьстіѣ
973,кві
974,оуста
975,дроугъ
976,ѧті
977,ідетъ
978,мате
979,іжде
980,грѧдѫ
981,апо
982,поусті
983,пріве
984,любь
985,съмѣ
986,імамъ
987,мѣстѣ
988,цср
989,отъпоусті
990,відѣвъше
991,съвръ
992,творіті
993,помъіш
994,цѣхъ
995,моѧ
996,въпросі
997,съконьча
998,рекѫ
999,прістѫпі
1000,есмь
1001,вѣтъ
1002,жръ
1003,фарісѣі
1004,отвръ
1005,штааго
1006,маріѣ
1007,зане
1008,вѣкъі
1009,філо
1010,ѣві
1011,спѣ
1012,селѣ
1013,възъ
1014,твоѧ
1015,бжіе
1016,сль
1017,хоштеші
1018,філосо
1019,омъ
1020,мѫжь
1021,свѣті
1022,плодъ
1023,кое
1024,сві
1025,ові
1026,іосіф
1027,тѣле
1028,зла
1029,съмръ
1030,літъ
1031,неб
1032,прізъва
1033,тъчь
1034,скѫ
1035,оумъ
1036,ніемъ
1037,люде
1038,начѧтъ
1039,съгрѣ
1040,съхра
1041,кнѧ
1042,овь
1043,вѣстъ
1044,прісно
1045,дьніі
1046,імь
1047,дале
1048,вьніде
1049,отца
1050,вель
1051,іші
1052,стръ
1053,само
1054,кмо
1055,відѣшѧ
1056,моіхъ
1057,небо
1058,понеже
1059,іоанъ
1060,колѣ
1061,оученікъі
1062,абье
1063,юже
1064,шеніе
1065,пъва
1066,ствіѣ
1067,вьзі
1068,цемъ
1069,оужа
1070,обь
1071,нѣмъ
1072,бесѣ
1073,пас
1074,оно
1075,сра
1076,чьсть
1077,ліі
1078,ніка
1079,моеѧ
1080,амінь
1081,бъівъшоу
1082,тобоѭ
1083,обаче
1084,тѣмь
1085,длъ
1086,въсе
1087,скъ
1088,слѣдъ
1089,поставі
1090,надъ
1091,славѫ
1092,недѫ
1093,оуслъіша
1094,далече
1095,запрѣ
1096,оузьрі
1097,словесе
1098,носѧ
1099,своеѧ
1100,ретъ
1101,ѭже
1102,вьлѣ
1103,маті
1104,лаза
1105,вьск
1106,глъ
1107,мла
1108,весь
1109,імаші
1110,різъі
1111,ліца
1112,всі
1113,вле
1114,іметъ
1115,любо
1116,тіѭ
1117,реб
1118,цеѭ
1119,бѫдѫ
1120,члкъ
1121,оучітелю
1122,насъі
1123,чесо
1124,сръдь
1125,жітъ
1126,лага
1127,жівѫ
1128,съказа
1129,дѣло
1130,ваті
1131,влъ
1132,авраа
1133,жааше
1134,ходітъ
1135,доньдеже
1136,тъчьѭ
1137,вамі
1138,мѫчі
1139,гъна
1140,слі
1141,еть
1142,рекъ
1143,бес
1144,скъіѧ
1145,шааго
1146,рабо
1147,ѣсті
1148,раба
1149,рьці
1150,заповѣді
1151,нічесоже
1152,хомь
1153,чскъі
1154,оупъва
1155,гю
1156,кі
1157,смо
1158,отіде
1159,водъі
1160,мілость
1161,теле
1162,чрѣ
1163,мль
1164,падъ
1165,помі
1166,въставъ
1167,імъі
1168,осѫ
1169,денъ
1170,колі
1171,пома
1172,дво
1173,дѣа
1174,елі
1175,женѫ
1176,отвѣшта
1177,відіте
1178,лоуі
1179,народі
1180,бжіѣ
1181,рѫка
1182,хождааше
1183,мѫжа
1184,стрѣ
1185,власть
1186,звѣ
1187,образ
1188,горе
1189,глаті
1190,показа
1191,въсі
1192,законъ
1193,творіте
1194,нѧтъ
1195,філософ
1196,нічь
1197,вьнѣ
1198,рѣвъ
1199,землѭ
1200,пріті
1201,собоѭ
1202,трепе
1203,жівъ
1204,срьдь
1205,ноѭ
1206,воле
1207,вече
1208,лмъ
1209,млѣ
1210,штеніе
1211,несе
1212,ліже
1213,дѣі
1214,хоштетъ
1215,ношті
1216,своемоу
1217,хотѣаше
1218,дѣві
1219,чловѣкъ
1220,часъ
1221,пріімъ
1222,оуслъіші
1223,решті
1224,оучѧ
1225,оустъ
1226,лѧтъ
1227,нечі
1228,ѣхѫ
1229,обраті
1230,оумъі
1231,прѣдастъ
1232,молітвѫ
1233,съвѧза
1234,оувѣдѣ
1235,обрѣтъ
1236,объі
1237,але
1238,коуп
1239,спе
1240,іско
1241,цѣлѣ
1242,вьсѣкъ
1243,іоана
1244,слъішавъше
1245,прѣль
1246,етеръ
1247,глште
1248,апосто
1249,дрь
1250,твоемоу
1251,въішь
1252,ада
1253,піті
1254,кого
1255,фарісеі
1256,съкроу
1257,гласі
1258,чоудеса
1259,покаа
1260,оуші
1261,градѣ
1262,оче
1263,віі
1264,твоімъ
1265,зъда
