orv_lemma|chu_lemma|pos|count|lcs_lemma|pre_jot|morph_replace|PV2/3|doublet|stem1|stem2|conj_type|noun_verb|loan_place|non_assim|eng_trans|etym_disc|bad_etym|loan_source|clitic|automatched|ch_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col|nevsky-treaty|nov-list|nov-marg|nov-sin|novgorod-jaroslav|ostromir-col|paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam|vest-kur|zadon|bitflag
свои|свои|Pt|2382|svojь|||||||pron_soft|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col|nevsky-treaty|nov-list|nov-marg|nov-sin|novgorod-jaroslav|ostromir-col|paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad||vest-kur|zadon|30786325577727
грѣшьныи|грѣшьнъ|A-|66|grěšьnъ|||||||adj_hard|2||||||||1|e_sl|afnik|avv|||const|domo|drac|dux-grjaz|gol-gol|||||lav||||mstislav-col|||nov-marg|nov-sin||||||||||||sergrad||||stefan|suz-lav||usp-sbor|||||1520421708275
афонасии||Ne|6|||||||||99||||||||0|e_sl|afnik|avv||||||||||||||||||||||||||||||||sergrad||||||||||||8589934595
микитинъ||A-|1|||||||||99||||||||0|e_sl|afnik|||||||||||||||||||||||||||||||||||||||||||||1
се|сь|I-|456|se||||||||0||||||||1|e_sl|afnik|avv|birchbark||const||drac|dux-grjaz||||||lav|||mst||nevsky-treaty|nov-list||nov-sin|||||||pvl-hyp|||rusprav||sergrad|||spi|stefan|suz-lav||usp-sbor|ust-vlad|varlaam||zadon|25780812587223
написати||V-|69|||||||||99||||||||0|e_sl|afnik|avv|birchbark|bur-alph|const|domo|||gol-gol|||||lav||||mstislav-col|||nov-marg|nov-sin||ostromir-col||||pskov_subtitle_added|pvl-hyp||riga-goth|||sergrad||||stefan||turch|usp-sbor|||||1796784398655
хожение||Nb|8|||||||||99||||||||0|e_sl|afnik|||||||||||||lav||||||||||||||||||||sergrad||||||||||||8589942785
трие||Ma|355|||||||||99||||||||0|e_sl|afnik|avv|birchbark|bur-alph|const|domo|||||kiev-hyp|||lav||mikh|||nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav|||peter||pskov_subtitle_added|pvl-hyp||riga-goth|rusprav||sergrad|||spi|stefan|suz-lav||usp-sbor||varlaam|vest-kur|zadon|32379128030271
море|морѥ|Nb|143|moŕe|morje||||||nt_jo|2||||||||1|e_sl|afnik|avv|||const|||||||||lav||||||||nov-sin|||||||pvl-hyp||riga-goth|||sergrad|||spi|stefan|suz-lav||usp-sbor||||zadon|19182668226579
пьрвыи||Mo|125|||||||||99||||||||0|e_sl|afnik|avv|birchbark||const|domo|drac|||golitsyn||||lav|luk-koloc_subtitle_added|mikh||||||nov-sin||||peter||pskov_subtitle_added|pvl-hyp|||rusprav||sergrad|||spi|stefan|suz-lav|turch|usp-sbor|ust-vlad||vest-kur|zadon|30728781881975
дербентьскыи||A-|1|||||||||99||||||||0|e_sl|afnik|||||||||||||||||||||||||||||||||||||||||||||1
дория||Nb|5|||||||||99||||||||0|e_sl|afnik|||||||||||||||||||||||||||||||||||||||||||||1
хвалисьскыи||A-|2|||||||||99||||||||0|e_sl|afnik|||||||||||||lav||||||||||||||||||||||||||||||||8193
въторыи||Mo|35|||||||||99||||||||0|e_sl|afnik|avv|||const|||||||||lav||||||||nov-sin||||||||||rusprav||sergrad||||stefan|suz-lav|turch|usp-sbor|ust-vlad||||4271347081235
индѣискыи||A-|34|||||||||99||||||||0|e_sl|afnik|avv||||||||||||||||||||||||||||||||||||||||||||3
гондустаньскыи||A-|6|||||||||99||||||||0|e_sl|afnik|||||||||||||||||||||||||||||||||||||||||||||1
третии|третии|Mo|90|tretьjь|||||||adj_soft_ord|2||||Mar. shows an uncontracted long-form третиѣаго which can only be from *tretьjǢjego and confirms our reconstruction of the stem as *tretьj- (cf. *divьj-)||||1|e_sl|afnik|avv||bur-alph|const|domo|drac|||golitsyn||||lav|||mst||nevsky-treaty|||nov-sin|||||pskov-ivan|||||rusprav|schism|sergrad|shch||spi|stefan|suz-lav|turch||||vest-kur|zadon|27451353014907
чьрныи|чрьнъ|A-|37|čŕ̥nъ|||||||adj_hard|2||||||||1|e_sl|afnik|avv|||const|domo||||||||lav||||||||nov-sin||||||||||||sergrad|||spi|stefan|suz-lav||usp-sbor||||zadon|19181326049331
стемъбольскыи||A-|2|||||||||99||||||||0|e_sl|afnik|||||||||||||||||||||||||||||||||||||||||||||1
