torot_word|pos|morph_tag|deep_cleaned|lemma|sentence_no|pres_before|pres_after|text_id|subtitle_id|autotagged|subtitle_short|book_no|chapter|verse|variant_no
же|||же||5000006|| |10|1|1|MATT 1.7|1|1|7|1
роді|||роді||5000006|| · |10|1|1|MATT 1.7|1|1|7|1
ровоа̄ма|||ровоама||5000006|| · |10|1|1|MATT 1.7|1|1|7|1
Ровоа̄мъ|||ровоамъ||5000006|| |10|1|1|MATT 1.7|1|1|7|1
же|||же||5000006|| |10|1|1|MATT 1.7|1|1|7|1
роди|||роді||5000006|| |10|1|1|MATT 1.7|1|1|7|1
а̄віа̄да|||авіада||5000006|| · |10|1|1|MATT 1.7|1|1|7|1
А̄віа̄дъ|||авіадъ||5000006|| |10|1|1|MATT 1.7|1|1|7|1
же|||же||5000006|| |10|1|1|MATT 1.7|1|1|7|1
роді|||роді||5000006|| |10|1|1|MATT 1.7|1|1|7|1
а̄сс̆а|||асса||5000006|| ·|10|1|1|MATT 1.7|1|1|7|1
А̄сс̄̄ь|||ассь||5000007| | |10|1|1|MATT 1.8|1|1|8|1
же|||же||5000007|| |10|1|1|MATT 1.8|1|1|8|1
роді|||роді||5000007|| |10|1|1|MATT 1.8|1|1|8|1
ӣо̄а̄сафата|||іоасафата||5000007|| · |10|1|1|MATT 1.8|1|1|8|1
ӣо̄а̄сафатъ|||іоасафатъ||5000007|| |10|1|1|MATT 1.8|1|1|8|1
же|||же||5000007|| |10|1|1|MATT 1.8|1|1|8|1
роді|||роді||5000007|| |10|1|1|MATT 1.8|1|1|8|1
ӣо̄а̄рама|||іоарама||5000007|| · |10|1|1|MATT 1.8|1|1|8|1
Ӣо̄а̄рамь|||іоарамь||5000007|| |10|1|1|MATT 1.8|1|1|8|1
же|||же||5000007|| |10|1|1|MATT 1.8|1|1|8|1
роді|||роді||5000007|| |10|1|1|MATT 1.8|1|1|8|1
ӣо̄зіѭ̄|||іозіѭ||5000007|| ·|10|1|1|MATT 1.8|1|1|8|1
Ӣо̄зіѣ̄|||іозіѣ||5000008| | |10|1|1|MATT 1.9|1|1|9|1
же|||же||5000008|| |10|1|1|MATT 1.9|1|1|9|1
роді|||роді||5000008|| |10|1|1|MATT 1.9|1|1|9|1
ӣо̄а̄тама|||іоатама||5000008|| · |10|1|1|MATT 1.9|1|1|9|1
ӣо̄а̄тамь|||іоатамь||5000008|| |10|1|1|MATT 1.9|1|1|9|1
же|||же||5000008|| |10|1|1|MATT 1.9|1|1|9|1
роді|||роді||5000008|| |10|1|1|MATT 1.9|1|1|9|1
а̄хаза|||ахаза||5000008|| · |10|1|1|MATT 1.9|1|1|9|1
А̄хазь|||ахазь||5000008|| |10|1|1|MATT 1.9|1|1|9|1
же|||же||5000008|| |10|1|1|MATT 1.9|1|1|9|1
роді|||роді||5000008|| |10|1|1|MATT 1.9|1|1|9|1
ӣе̄зекіѭ̄|||іезекіѭ||5000008|| ·|10|1|1|MATT 1.9|1|1|9|1
ӣе̄зекіѣ̄|||іезекіѣ||5000009| | |10|1|1|MATT 1.10|1|1|10|1
же|||же||5000009|| |10|1|1|MATT 1.10|1|1|10|1
роді|||роді||5000009|| |10|1|1|MATT 1.10|1|1|10|1
манасиѭ̄|||манасіѭ||5000009|| · |10|1|1|MATT 1.10|1|1|10|1
манасіӣ|||манасіі||5000009|| |10|1|1|MATT 1.10|1|1|10|1
же|||же||5000009|| |10|1|1|MATT 1.10|1|1|10|1
роді|||роді||5000009|| |10|1|1|MATT 1.10|1|1|10|1
а̄мо̄с̄а|||амоса||5000009|| · |10|1|1|MATT 1.10|1|1|10|1
А̄мось|||амось||5000009|| |10|1|1|MATT 1.10|1|1|10|1
же|||же||5000009|| |10|1|1|MATT 1.10|1|1|10|1
роді|||роді||5000009|| |10|1|1|MATT 1.10|1|1|10|1
ӣо̄сіѭ̄|||іосіѭ||5000009|| ·|10|1|1|MATT 1.10|1|1|10|1
Ӣо̄сіа̄|||іосіа||5000010| | |10|1|1|MATT 1.11|1|1|11|1
же|||же||5000010|| |10|1|1|MATT 1.11|1|1|11|1
роді|||роді||5000010|| |10|1|1|MATT 1.11|1|1|11|1
ӣо̄хоніѭ̄|||іохоніѭ||5000010|| · |10|1|1|MATT 1.11|1|1|11|1
и|||і||5000010|| |10|1|1|MATT 1.11|1|1|11|1
братиѭ̄|||братіѭ||5000010|| |10|1|1|MATT 1.11|1|1|11|1
е̄го|||его||5000010|| · |10|1|1|MATT 1.11|1|1|11|1
Въ|||въ||5000010|| |10|1|1|MATT 1.11|1|1|11|1
прѣселеніӣ|||прѣселеніі||5000010|| |10|1|1|MATT 1.11|1|1|11|1
вавілонстѣа̄мь|||вавілонстѣамь||5000010|| ·|10|1|1|MATT 1.11|1|1|11|1
По|||по||5000011| | |10|1|1|MATT 1.12|1|1|12|1
прѣселениӣ|||прѣселеніі||5000011|| |10|1|1|MATT 1.12|1|1|12|1
же|||же||5000011|| |10|1|1|MATT 1.12|1|1|12|1
вавілоньстѣ|||вавілоньстѣ||5000011|| · |10|1|1|MATT 1.12|1|1|12|1
Ӣо̄хониѣ̄|||іохоніѣ||5000011|| |10|1|1|MATT 1.12|1|1|12|1
роди|||роді||5000011|| |10|1|1|MATT 1.12|1|1|12|1
салатилѣ|||салатілѣ||5000011|| · |10|1|1|MATT 1.12|1|1|12|1
салатіль|||салатіль||5000011|| |10|1|1|MATT 1.12|1|1|12|1
же|||же||5000011|| |10|1|1|MATT 1.12|1|1|12|1
роді|||роді||5000011|| |10|1|1|MATT 1.12|1|1|12|1
